location	QoS	longitude	revision	station	latitude
Asia/Kolkata	good	86.68363	03 Oct 2015	Adra	23.49668
Europe/Amsterdam	accep	6.61944	23 Jul 2017	Hardenberg	52.57583
Asia/Kolkata	excellent	75.37991	12 Feb 2019	Deoli	25.75728
Europe/Rome	building	8.55552	03/24/2014, 00:00:00	Sassari	40.72586
Asia/Yekaterinburg	accep	53.47103	25 Oct 2015	Oktyabr’skiy	54.48147
Europe/Dublin	good	-7.95	2018/08/27	Athlone	53.43333
Europe/Moscow	accep	43.91385	2020-02-19	Kovylkino	54.03876
Asia/Tokyo	accep	137.36215	2019-01-01	Namerikawa	36.75965
America/Chicago	excellent	-89.99038	26 Jul 2021	Fairview Heights	38.58894
Africa/Ndjamena	maintenance	18.69303	2014-02-11	Mongo	12.18441
Asia/Shanghai	average	117.63083	2020-06-10	Pingyi	35.50056
Europe/Madrid	excellent	-1.325	2019/02/03	Jumilla	38.47917
America/Los_Angeles	good	-118.25508	2022-02-02	Glendale	34.14251
Africa/Algiers	excellent	3.47717	22 Nov 2015	Boumerdas	36.76639
America/Chicago	excellent	-94.41551	2013/09/01	Independence	39.09112
Europe/Moscow	good	46.5813	09/02/2020, 00:00:00	Alatyr’	54.8421
Europe/Warsaw	average	18.30056	2018/05/09	Strzelce Opolskie	50.5107
Pacific/Port_Moresby	accep	144.23058	06/16/2015, 00:00:00	Mount Hagen	-5.85746
Asia/Tokyo	good	135.6	25 Oct 2018	Yao	34.61667
Africa/Dar_es_Salaam	good	38.01667	2018/07/01	Chanika	-5.41667
Africa/Addis_Ababa	excellent	38.01667	01/12/2014, 00:00:00	Debre Tabor	11.85
Europe/Istanbul	good	37.3825	02 Apr 2014	Gaziantep	37.05944
Asia/Yekaterinburg	excellent	53.47103	01/03/2021, 00:00:00	Oktyabr’skiy	54.48147
Europe/Brussels	average	4.52529	2019/05/24	Rixensart	50.71229
Asia/Karachi	accep	71.57118	2016/07/04	Daud Khel	32.87533
Asia/Tokyo	maitennce	135.21667	19 Apr 2022	Sasayama	35.06667
Australia/Brisbane	excellent	153.10236	2021-11-28	Carindale	-27.50578
Africa/Tripoli	excellent	10.18003	20 Oct 2018	Ghat	24.96334
America/Lima	good	-76.70944	2015/01/11	Chosica	-11.94306
America/Mexico_City	maintenance	-100.88023	2020/10/14	Salvatierra	20.21322
Africa/Kampala	average	30.98551	2018/12/10	Paidha	2.41669
Europe/Brussels	good	3.16667	2016-03-28	Wevelgem	50.8
Asia/Aden	average	46.83187	05/07/2020, 00:00:00	Ataq	14.53767
America/Sao_Paulo	good	-48.29694	09/01/2013, 00:00:00	Viradouro	-20.87306
Asia/Seoul	excellent	127.08472	05/20/2021, 00:00:00	Nonsan	36.20389
Asia/Shanghai	good	113.82465	2014/04/06	Licheng	23.29549
America/Sao_Paulo	average	-50.19556	2020-04-25	Iturama	-19.72806
America/Chicago	good	-88.70464	2015/11/14	Tupelo	34.25807
Asia/Kolkata	building	76.32756	24 May 2019	Kalavoor	9.57046
Asia/Karachi	average	68.21204	2014/12/09	Larkana	27.55898
Asia/Jakarta	good	110.71639	15 Jan 2019	Ngemplak	-7.54972
Africa/Johannesburg	accep	30.79165	05/31/2021, 00:00:00	Vryheid	-27.76952
America/New_York	excellent	-80.08199	2014-03-12	Thomasville	35.88264
Asia/Shanghai	excellent	113.82465	2013-08-05	Licheng	23.29549
Africa/Conakry	average	-13.68778	02/03/2022, 00:00:00	Camayenne	9.535
Europe/Paris	good	4.7934	11/16/2015, 00:00:00	Saint-Genis-Laval	45.69558
America/Indiana/Indianapolis	building	-86.11084	2014/12/16	Granger	41.75338
Asia/Manila	building	123.99333	07/12/2014, 00:00:00	Sorsogon	12.97389
Pacific/Efate	average	168.31366	12/22/2018, 00:00:00	Port-Vila	-17.73648
Europe/Berlin	accep	6.26667	11/10/2012, 00:00:00	Schwalmtal	51.21667
Europe/Berlin	average	8.4493	2013-06-16	Hofheim am Taunus	50.09019
Asia/Tokyo	maintenance	136.61667	2016/04/10	Nonoichi	36.53333
Asia/Manila	excellent	120.57224	02 Nov 2013	Burgos	15.72892
Africa/Dar_es_Salaam	excellent	37.73333	2022-06-25	Same	-4.06667
America/Bogota	accep	-74.95472	08 Oct 2014	Puerto Colombia	10.98778
Europe/Berlin	average	12.16179	11 Apr 2018	Landshut	48.52961
Africa/Tunis	accep	10.58082	03 Aug 2016	Msaken	35.72917
Europe/Paris	good	5.4384	17 Nov 2021	Marseille 11	43.2907
Asia/Tehran	good	48.26258	25 Jul 2018	Aleshtar	33.86419
America/Indiana/Indianapolis	maintenance	-86.11084	08/11/2018, 00:00:00	Granger	41.75338
Asia/Kolkata	accep	78.55757	2015-06-11	Lal Bahadur Nagar	17.34769
America/Port-au-Prince	excellent	-72.09391	2022-06-04	Thomazeau	18.65297
Asia/Manila	excellent	124.84472	2019/09/16	Maasin	10.13361
America/New_York	good	-73.89875	09 Mar 2014	Yonkers	40.93121
America/Chicago	good	-87.93341	10/05/2018, 00:00:00	Pleasant Prairie	42.55308
Australia/Brisbane	good	153.10236	19 Aug 2017	Carindale	-27.50578
Africa/Nairobi	average	35.59642	2018-11-03	Lodwar	3.11988
America/Argentina/Buenos_Aires	building	-58.38341	06/30/2018, 00:00:00	Barracas	-34.64966
Africa/Tunis	good	10.03478	06/23/2021, 00:00:00	El Alia	37.16911
Africa/Abidjan	excellent	-3.59625	05/18/2021, 00:00:00	Bonoua	5.27247
America/Santarem	excellent	-52.20639	2016-05-03	Altamira	-3.20333
America/New_York	excellent	-72.27814	2021/01/20	Keene	42.93369
America/Santiago	average	-71.23106	24 May 2021	La Ligua	-32.45242
America/New_York	good	-74.38987	2015/01/15	Scotch Plains	40.65538
Europe/Istanbul	excellent	41.00817	2016-06-17	Silvan	38.13708
Asia/Damascus	excellent	38.28402	2020/06/02	Tadmur	34.5624
Asia/Kolkata	building	75.92694	09 Apr 2016	Davangere	14.46693
Europe/Moscow	excellent	38.2739	19 Oct 2020	Yeysk	46.7055
Asia/Yekaterinburg	excellent	53.47103	2021-08-17	Oktyabr’skiy	54.48147
Europe/Berlin	building	9.72749	2015/05/29	Ehingen	48.28259
Europe/Rome	good	7.60872	09 Jun 2013	Ventimiglia	43.78956
Europe/Amsterdam	good	5.51978	16 Jan 2019	Tongelre	51.44889
Asia/Tokyo	accep	142.45778	08 Aug 2018	Nayoro	44.35056
Asia/Tokyo	good	137.95378	05/04/2019, 00:00:00	Ina	35.82756
America/Argentina/Cordoba	maintenance	-60.93173	12/21/2018, 00:00:00	Esperanza	-31.4488
Asia/Shanghai	maintenance	117.63083	10 Feb 2021	Pingyi	35.50056
Asia/Tehran	maintenance	47.3799	08/17/2020, 00:00:00	Darreh Shahr	33.14447
Asia/Kolkata	average	76.0586	2022/05/13	Hungund	16.06213
Europe/Brussels	acceptable	3.16667	2016/11/20	Wevelgem	50.8
America/New_York	good	-70.92866	12 Jul 2014	Peabody	42.52787
Europe/Madrid	excellent	-0.76773	2017-08-23	Novelda	38.38479
America/Los_Angeles	good	-120.45794	2017/08/02	Lompoc	34.63915
Africa/Lagos	average	4.92235	02/05/2014, 00:00:00	Efon-Alaaye	7.65649
Africa/Algiers	accep	3.50309	2012/10/17	Messaad	34.15429
Asia/Tokyo	average	136.61667	2022/06/17	Nonoichi	36.53333
America/Chicago	maintenance	-86.78777	01 Apr 2020	Vestavia Hills	33.44872
America/New_York	excellent	-72.97261	10/16/2014, 00:00:00	Rutland	43.61062
Europe/Warsaw	excellent	15.00835	05 Jul 2021	Zgorzelec	51.14942
America/New_York	average	-72.97261	2014/02/24	Rutland	43.61062
America/Bogota	average	-75.69947	2019/08/27	San Carlos	8.79577
Africa/Mogadishu	average	42.54536	11/13/2017, 00:00:00	Kismayo	-0.35817
America/Denver	accep	-111.99633	10/04/2019, 00:00:00	Kearns	40.65995
Europe/Berlin	good	7.2278	01/23/2016, 00:00:00	Bad Honnef	50.64336
Europe/Berlin	accep	7.2278	08/28/2014, 00:00:00	Bad Honnef	50.64336
Asia/Kolkata	average	75.92694	03/25/2021, 00:00:00	Davangere	14.46693
Europe/Bratislava	average	17.22635	11/30/2017, 00:00:00	Skalica	48.8449
Asia/Tokyo	excellent	136.84186	2015/09/10	Toba	34.4833
Europe/Moscow	good	37.49338	2014/08/20	Tyoply Stan	55.62047
Europe/Rome	good	8.88104	2016-07-07	Malnate	45.79377
Europe/Berlin	accep	9.47629	13 Jun 2016	Stade	53.59337
Europe/Copenhagen	building	12.53463	11 Dec 2020	Frederiksberg	55.67938
America/Chicago	excellent	-97.92977	2017/06/16	Hutchinson	38.06084
Europe/Vienna	accep	16.4	2015-04-05	Floridsdorf	48.25
Pacific/Efate	accep	168.31366	08 Nov 2015	Port-Vila	-17.73648
Europe/Paris	excellent	2.1699	08/26/2014, 00:00:00	Herblay	48.98994
Asia/Makassar	accep	116.82887	2019/09/10	Balikpapan	-1.26753
Europe/Moscow	building	34.33825	2016-05-28	Dyat’kovo	53.59782
Europe/London	accep	-2.98333	04/27/2015, 00:00:00	Poulton-le-Fylde	53.83333
Europe/Paris	accep	2.45012	06/13/2020, 00:00:00	Bobigny	48.90982
Asia/Manila	excellent	123.62494	20 Oct 2012	Masbate	12.37169
America/Sao_Paulo	accep	-46.99583	16 Aug 2014	Valinhos	-22.97056
Europe/Amsterdam	good	5.51978	2021-04-14	Tongelre	51.44889
Europe/Berlin	average	9.47629	2016-06-29	Stade	53.59337
America/Puerto_Rico	accep	-67.15407	2014-07-22	Aguadilla	18.42745
Asia/Shanghai	excellent	122.05228	2020-12-15	Tianfu	37.19723
America/Los_Angeles	good	-120.93549	2022-07-13	Riverbank	37.73604
America/New_York	good	-74.15987	20 Jun 2017	Nutley	40.82232
America/Chicago	excellent	-88.70464	2018/09/06	Tupelo	34.25807
America/Phoenix	good	-111.78903	2018/11/18	Gilbert	33.35283
Asia/Yangon	average	97.01124	2014-06-24	Kyaikto	17.30858
Europe/Berlin	good	9.15214	2015-07-31	Aschaffenburg	49.97704
America/Chicago	excellent	-93.12577	07/27/2020, 00:00:00	Rosemount	44.73941
Asia/Shanghai	accep	118.53333	2013-04-30	Pucheng	27.92333
America/Guatemala	good	-91.11667	05/24/2021, 00:00:00	Chichicastenango	14.93333
Asia/Barnaul	accep	83.62389	2019-02-15	Novosilikatnyy	53.30972
Africa/Casablanca	accep	-6.90656	27 Aug 2022	Temara	33.92866
Asia/Shanghai	maintenance	120.74221	2020/05/08	Changshu City	31.64615
Europe/Brussels	building	4.25633	2019/09/05	Beveren	51.21187
America/Toronto	accep	-73.75335	22 May 2018	Dorval	45.4473
America/Los_Angeles	accep	-117.14392	2018/07/16	Mira Mesa	32.9156
Europe/Kiev	accep	27.06365	10/30/2013, 00:00:00	Shepetivka	50.18545
America/New_York	good	-74.96933	2014/02/23	Sicklerville	39.71734
Asia/Kolkata	average	76.56719	10/30/2021, 00:00:00	Aklera	24.41288
Asia/Manila	maintenance	124.95278	07 Aug 2014	Tupi	6.33444
Africa/Casablanca	excellent	-6.00137	2014-02-09	Oulmes	33.42585
America/Chicago	building	-97.54667	18 Apr 2013	Hutto	30.5427
Africa/Dar_es_Salaam	accep	39.25	2015-06-17	Magomeni	-6.8
America/Bogota	average	-74.73584	2017-05-01	Honda	5.20856
Asia/Jakarta	excellent	113.69785	2020-10-01	Besuki	-7.73379
Asia/Hong_Kong	accep	114.10479	12/18/2014, 00:00:00	Tsuen Wan	22.37066
Europe/London	average	-2.68758	2021/05/13	Leyland	53.69786
Asia/Tbilisi	average	41.77921	2018-06-20	Kobuleti	41.82143
America/Costa_Rica	accep	-84.13722	2021/05/06	San Rafael	9.92787
Europe/Moscow	accep	38.2739	12/30/2019, 00:00:00	Yeysk	46.7055
Europe/Moscow	accep	37.99117	2022/08/28	Krymsk	44.92934
America/Los_Angeles	acceptable	-116.21677	28 May 2021	Indio	33.7207
Europe/Rome	accep	17.80774	10 Jul 2019	Mesagne	40.55851
America/Indiana/Indianapolis	accep	-86.11084	26 Feb 2019	Granger	41.75338
Europe/Madrid	maintenance	1.10687	04 Oct 2019	Reus	41.15612
Asia/Shanghai	good	117.27583	2013-05-31	Sishui	35.64889
Asia/Kolkata	excellent	71.57737	11 Sep 2019	Gariadhar	21.53889
America/Halifax	excellent	-63.13414	15 May 2015	Charlottetown	46.23899
Europe/Zaporozhye	excellent	36.25361	05 Nov 2018	Polohy	47.48444
Asia/Kolkata	good	75.35927	27 Nov 2014	Talipparamba	12.04161
Europe/Madrid	average	-1.60452	13 Jan 2017	Tudela	42.06166
Europe/Skopje	average	20.91361	11 Mar 2022	Bogovinje	41.92361
Europe/Brussels	good	4.25633	15 Nov 2015	Beveren	51.21187
Asia/Shanghai	accep	118.53333	09/19/2017, 00:00:00	Pucheng	27.92333
America/Costa_Rica	average	-84.13722	04/02/2015, 00:00:00	San Rafael	9.92787
Asia/Jakarta	good	114.33333	06/08/2013, 00:00:00	Muncar	-8.43333
Asia/Jakarta	good	107.60389	2014-04-28	Pameungpeuk	-7.01833
Europe/Sarajevo	excellent	19.21437	2013/01/20	Bijeljina	44.75874
Asia/Kolkata	good	75.11937	2015-07-24	Parola	20.88098
America/Toronto	good	-80.38297	2015-05-14	Norfolk County	42.8334
America/Los_Angeles	building	-117.54866	2016-03-28	Norco	33.93113
America/Havana	good	-81.24441	13 Jun 2021	Varadero	23.15678
Europe/Paris	maintenance	4.86667	06/10/2022, 00:00:00	Vienne	45.51667
Europe/London	good	-0.29825	23 Apr 2014	Surbiton	51.39148
America/New_York	accep	-80.08199	2017/07/08	Thomasville	35.88264
Asia/Kolkata	average	81.54855	01/28/2020, 00:00:00	Jais	26.2649
America/Mexico_City	building	-101.2591	2017-01-26	Guanajuato	21.01858
Asia/Yekaterinburg	excellent	60.70278	2017/03/16	Ozersk	55.75556
Asia/Kolkata	excellent	76.12647	06/16/2022, 00:00:00	Chamba	32.55531
Asia/Bangkok	excellent	103.65309	2022-09-01	Roi Et	16.0567
Africa/Johannesburg	accep	29.00974	07/26/2019, 00:00:00	Mokopane	-24.19436
America/New_York	building	-74.01042	2020/11/26	Newburgh	41.50343
Europe/Moscow	excellent	43.91385	2014-07-12	Kovylkino	54.03876
America/New_York	good	-74.96933	07/04/2022, 00:00:00	Sicklerville	39.71734
America/Manaus	accep	-58.44417	05 Aug 2017	Itacoatiara	-3.14306
Europe/Istanbul	excellent	27.02444	2017-12-27	Edremit	39.59611
America/Los_Angeles	good	-122.40433	2022-09-21	Visitacion Valley	37.71715
Asia/Kuala_Lumpur	accep	102.3278	08/15/2017, 00:00:00	Kampung Ayer Molek	2.2139
Europe/Rome	excellent	14.72443	2022-07-21	Ragusa	36.92574
Europe/Madrid	average	-1.60452	2018-08-15	Tudela	42.06166
Asia/Kolkata	accep	88.28637	31 May 2013	Pandua	23.07492
America/New_York	accep	-71.06616	2017/12/30	Malden	42.4251
Europe/Rome	average	14.01481	08/26/2020, 00:00:00	Roseto degli Abruzzi	42.67164
Europe/London	average	-1.48119	23 Jan 2020	Belper	53.0233
Asia/Manila	maintenance	121.06761	17 Mar 2014	San Jose	12.35275
Europe/Rome	accep	17.80774	2022/01/20	Mesagne	40.55851
Asia/Tehran	average	51.0193	03/30/2018, 00:00:00	Shahre Jadide Andisheh	35.6803
Asia/Aden	good	46.83187	2019/01/02	Ataq	14.53767
Asia/Shanghai	accep	123.50266	2015-05-17	Hushitai	41.94175
Africa/Abidjan	accep	-5.682	2020-01-22	Lakota	5.84752
Europe/Rome	accep	14.39024	2014-01-23	Lanciano	42.22718
Africa/Algiers	maintenance	3.47717	2017-07-29	Boumerdas	36.76639
Asia/Bangkok	average	104.1451	04/19/2014, 00:00:00	Yasothon	15.79408
Europe/Rome	good	14.30935	2016/12/22	Afragola	40.92298
Europe/Chisinau	average	28.28489	2017-12-11	Soroca	48.15659
Europe/Paris	good	2.61667	11/26/2013, 00:00:00	Mitry-Mory	48.98333
Africa/Casablanca	accep	-6.90656	2019/03/17	Temara	33.92866
Asia/Dhaka	building	91.84128	31 Dec 2020	Manikchari	22.83957
America/Sao_Paulo	excellent	-52.51028	2014-10-28	Soledade	-28.81833
America/Argentina/Ushuaia	building	-68.3	2022-04-09	Ushuaia	-54.8
America/Santo_Domingo	average	-71.10077	15 Dec 2017	Santa Cruz de Barahona	18.20854
Europe/Madrid	excellent	-3.67029	2018/07/04	Las Gabias	37.13548
Europe/Rome	good	11.412	14 Jan 2017	Montecchio Maggiore-Alte Ceccato	45.50369
America/Chicago	good	-93.12577	2018/04/26	Rosemount	44.73941
Asia/Kolkata	building	74.3092	2020/04/11	Rajaori	33.37526
America/Manaus	good	-58.44417	01/25/2017, 00:00:00	Itacoatiara	-3.14306
Indian/Antananarivo	maintenance	48.41667	19 Jul 2020	Ambatondrazaka	-17.83333
Europe/Moscow	building	34.34691	2018/02/05	Petrozavodsk	61.78491
America/Mexico_City	average	-102.04897	10/10/2012, 00:00:00	Paracho de Verduzco	19.64745
Europe/London	average	-0.32247	2019-03-30	Lancing	50.82882
Europe/Brussels	maintenance	4.69889	2015-02-20	Gembloux	50.56149
Europe/Madrid	excellent	2.35739	12/21/2021, 00:00:00	Cardedeu	41.63976
America/Chicago	accep	-87.66561	12 Apr 2016	Lower West Side	41.8542
Asia/Tokyo	good	139.55028	03/17/2022, 00:00:00	Kamakura	35.30889
Asia/Kolkata	building	88.58	05/25/2013, 00:00:00	Aistala	23.18
America/New_York	accep	-76.72803	10/07/2018, 00:00:00	Woodlawn	39.32288
Europe/Paris	excellent	-4.1	12/10/2012, 00:00:00	Quimper	48
Europe/Sofia	maintenance	23.225	2012/11/25	Montana	43.4125
Asia/Hong_Kong	maintenance	114.10479	07 Aug 2017	Tsuen Wan	22.37066
Australia/Sydney	average	146.05093	09 Nov 2013	Griffith	-34.28853
Europe/Sarajevo	average	19.21437	09/28/2017, 00:00:00	Bijeljina	44.75874
Africa/Tunis	building	10.58082	07/28/2020, 00:00:00	Msaken	35.72917
America/New_York	good	-81.56929	2020/11/27	Collinwood	41.55838
America/Bogota	excellent	-74.26419	10/10/2017, 00:00:00	Madrid	4.73245
America/Glace_Bay	building	-60.1831	06/13/2022, 00:00:00	Sydney	46.1351
Europe/London	good	-3.05814	10/19/2019, 00:00:00	Rhosllanerchrugog	53.00974
Asia/Shanghai	accep	120.82747	06 Sep 2019	Zhuangyuan	37.30553
America/Cuiaba	building	-52.35558	06/01/2022, 00:00:00	Nova Xavantina	-14.66463
Asia/Yakutsk	average	111.4834	2022/09/02	Aykhal	65.93381
Europe/Paris	good	4.91667	2014-11-05	Bron	45.73333
America/Halifax	good	-63.13414	03/19/2020, 00:00:00	Charlottetown	46.23899
Asia/Kolkata	excellent	74.85849	2018-11-09	Patti	31.28092
Europe/London	average	-0.91979	21 Nov 2016	Lower Earley	51.42708
America/Chicago	excellent	-88.3162	09 Sep 2013	Crystal Lake	42.24113
Europe/Berlin	average	9.5586	06/03/2013, 00:00:00	Schleswig	54.52156
America/Maceio	excellent	-37.03861	2015/07/29	Barra dos Coqueiros	-10.90889
America/Toronto	good	-73.58248	04 Feb 2022	Sainte-Catherine	45.40008
Africa/Algiers	excellent	4.62744	01/07/2022, 00:00:00	El Achir	36.06386
Africa/Tripoli	average	10.18003	10/05/2015, 00:00:00	Ghat	24.96334
America/Bogota	good	-75.87877	01/18/2020, 00:00:00	Andes	5.6561
Europe/Moscow	accep	38.12408	28 Nov 2013	Bogoroditsk	53.77166
Europe/Zurich	excellent	8.52462	2013/03/08	Adliswil	47.30997
Europe/London	accep	-1.06667	2022/07/22	Selby	53.78333
America/Mazatlan	excellent	-105.36369	2014/02/17	Acaponeta	22.49396
Africa/Johannesburg	maintenance	29.24152	06/16/2015, 00:00:00	Standerton	-26.93366
Asia/Shanghai	excellent	123.17306	2019-10-13	Liaoyang	41.27194
America/Santo_Domingo	accep	-71.10077	2021/12/28	Santa Cruz de Barahona	18.20854
America/Sao_Paulo	accep	-42.98194	06/07/2022, 00:00:00	Guapimirim	-22.53722
America/Fortaleza	maintenance	-41.45861	06/16/2016, 00:00:00	Pedro II	-4.42472
Asia/Manila	accep	120.56528	12/25/2014, 00:00:00	Pilar	14.66
Asia/Makassar	average	116.82887	01/03/2013, 00:00:00	Balikpapan	-1.26753
America/Caracas	good	-68.30472	2016/07/03	Tinaquillo	9.91861
Asia/Kolkata	excellent	85.94001	2015/11/29	Teghra	25.49043
