station	QoS	location	latitude	longitude	revision
Tongelre	good	Europe/Amsterdam	51.44889	5.51978	2014-04-15
Larkana	average	Asia/Karachi	27.55898	68.21204	10 Jun 2016
Perugia	building	Europe/Rome	43.1122	12.38878	09 May 2014
Ehingen	average	Europe/Berlin	48.28259	9.72749	13 Nov 2015
Hongseong	excellent	Asia/Seoul	36.6009	126.665	07 May 2016
Calangute	accep	Asia/Kolkata	15.5439	73.7553	02 Jul 2015
Alytus	excellent	Europe/Vilnius	54.39635	24.04142	2012/11/21
Alatyr’	building	Europe/Moscow	54.8421	46.5813	2013-11-04
Roi Et	good	Asia/Bangkok	16.0567	103.65309	12/14/2012, 00:00:00
Nova Kakhovka	good	Europe/Kiev	46.75451	33.34864	09/10/2018, 00:00:00
Fayetteville	good	America/New_York	35.05266	-78.87836	21 Apr 2016
Manikchari	building	Asia/Dhaka	22.83957	91.84128	2019-12-31
Guanajuato	accep	America/Mexico_City	21.01858	-101.2591	07/23/2022, 00:00:00
Frankston South	maintenance	Australia/Melbourne	-38.16604	145.13643	11/28/2021, 00:00:00
Silvan	average	Europe/Istanbul	38.13708	41.00817	06 Nov 2021
Thenia	accep	Africa/Algiers	36.72544	3.55665	2018-02-20
Surbiton	average	Europe/London	51.39148	-0.29825	2014/10/24
Pujali	building	Asia/Kolkata	22.4711	88.1453	2016/09/07
Diwek	average	Asia/Jakarta	-7.57897	112.23109	2021/03/05
Tonota	average	Africa/Gaborone	-21.44236	27.46153	2016-11-30
Ulan-Ude	accep	Asia/Irkutsk	51.82721	107.60627	11/23/2021, 00:00:00
Devizes	maintenance	Europe/London	51.35084	-1.99421	26 May 2020
Izluchinsk	accep	Asia/Yekaterinburg	60.97944	76.92421	2019/09/05
Aistala	good	Asia/Kolkata	23.18	88.58	05/05/2017, 00:00:00
San Bernardo	average	America/Santiago	-33.59217	-70.6996	2014-03-29
Stuttgart	good	Europe/Berlin	48.78232	9.17702	27 Nov 2015
Chichicastenango	excellent	America/Guatemala	14.93333	-91.11667	17 Jul 2013
Jais	average	Asia/Kolkata	26.2649	81.54855	2014/05/14
Gainesville	building	America/New_York	29.65163	-82.32483	04 Nov 2012
Same	acceptable	Africa/Dar_es_Salaam	-4.06667	37.73333	2019/06/05
Cuenca	excellent	America/Guayaquil	-2.90055	-79.00453	06/20/2019, 00:00:00
Tavda	accep	Asia/Yekaterinburg	58.04254	65.27258	2018/12/13
Mongo	building	Africa/Ndjamena	12.18441	18.69303	11/09/2014, 00:00:00
Aguadilla	average	America/Puerto_Rico	18.42745	-67.15407	2016-11-08
Esmeraldas	building	America/Sao_Paulo	-19.7625	-44.31389	01/18/2019, 00:00:00
Ada	building	America/Chicago	34.77453	-96.67834	2015-02-13
Manikchari	good	Asia/Dhaka	22.83957	91.84128	2017-09-26
Aberdeen	excellent	Europe/London	57.14369	-2.09814	2018-01-03
Pandua	good	Asia/Kolkata	23.07492	88.28637	08/07/2021, 00:00:00
Chiavari	maintenance	Europe/Rome	44.31771	9.32241	2020-08-12
Dorval	excellent	America/Toronto	45.4473	-73.75335	2021/06/11
Boumerdas	excellent	Africa/Algiers	36.76639	3.47717	22 Apr 2016
Misterbianco	excellent	Europe/Rome	37.51803	15.00913	27 Apr 2018
Viradouro	accep	America/Sao_Paulo	-20.87306	-48.29694	02/22/2017, 00:00:00
Saraj	good	Europe/Skopje	42	21.32778	26 Feb 2014
Baza	average	Europe/Madrid	37.49073	-2.77259	28 Dec 2014
Franceville	accep	Africa/Libreville	-1.63333	13.58357	10/22/2019, 00:00:00
Nowra	average	Australia/Sydney	-34.88422	150.60036	2021/01/10
Haicheng	average	Asia/Shanghai	40.85158	122.74754	2022/09/03
Morningside Heights	maintenance	America/New_York	40.81	-73.9625	25 Apr 2018
Meerut	average	Asia/Kolkata	28.98002	77.70636	2020/12/31
Izluchinsk	accep	Asia/Yekaterinburg	60.97944	76.92421	08 Nov 2019
Lanciano	accep	Europe/Rome	42.22718	14.39024	05/10/2020, 00:00:00
Dawei	maintenance	Asia/Yangon	14.0823	98.19151	28 Jan 2022
Tarakan	average	Asia/Makassar	3.31332	117.59152	2017/08/01
Talavera de la Reina	excellent	Europe/Madrid	39.96348	-4.83076	01/27/2022, 00:00:00
Chiguayante	average	America/Santiago	-36.9256	-73.02841	2014-03-18
Honda	accep	America/Bogota	5.20856	-74.73584	03/23/2013, 00:00:00
Dax	average	Europe/Paris	43.71032	-1.05366	2015/01/27
Lesnoy	good	Asia/Yekaterinburg	58.63667	59.80222	13 May 2021
Oulmes	excellent	Africa/Casablanca	33.42585	-6.00137	07/04/2015, 00:00:00
Walton-on-the-Naze	accep	Europe/London	51.84819	1.26738	2016-10-28
Tonga	good	Africa/Douala	4.96667	10.7	2021/08/26
Naushahra Virkan	accep	Asia/Karachi	31.96258	73.97117	2014/03/24
Oschatz	building	Europe/Berlin	51.30001	13.10984	07/21/2020, 00:00:00
Sukabumi	good	Asia/Jakarta	-6.91806	106.92667	25 Jan 2019
Nikolayevsk-on-Amure	accep	Asia/Vladivostok	53.14657	140.72287	2015-07-06
Port Richmond	building	America/New_York	40.63316	-74.13653	10/24/2012, 00:00:00
Muncar	good	Asia/Jakarta	-8.43333	114.33333	2013-02-09
Wevelgem	good	Europe/Brussels	50.8	3.16667	2020/01/06
Tarkwa	accep	Africa/Accra	5.30383	-1.98956	02/05/2017, 00:00:00
Roi Et	accep	Asia/Bangkok	16.0567	103.65309	2019/03/30
Darreh Shahr	average	Asia/Tehran	33.14447	47.3799	2015/11/22
Pointe-Claire	building	America/Toronto	45.44868	-73.81669	15 Jul 2022
East Dereham	good	Europe/London	52.68333	0.93333	11/19/2016, 00:00:00
Iwade	accep	Asia/Tokyo	34.25	135.31667	2022-07-13
Roslavl’	maintenance	Europe/Moscow	53.95278	32.86389	09/22/2020, 00:00:00
Oktyabr’skiy	excellent	Asia/Yekaterinburg	54.48147	53.47103	2018-05-23
Lesozavodsk	average	Asia/Vladivostok	45.47885	133.42825	07 Jun 2020
Smolyan	good	Europe/Sofia	41.57439	24.71204	2018/09/16
Malden	maintenance	America/New_York	42.4251	-71.06616	25 Dec 2013
Arzamas	accep	Europe/Moscow	55.39485	43.83992	2013/09/07
Dipolog	good	Asia/Manila	8.56697	123.33471	25 Nov 2016
Temara	maitennce	Africa/Casablanca	33.92866	-6.90656	2012-10-11
Ken Caryl	good	America/Denver	39.57582	-105.11221	03/18/2015, 00:00:00
Cordenons	maintenance	Europe/Rome	45.9836	12.70038	05 Jun 2013
Volla	excellent	Europe/Rome	40.87363	14.34085	25 May 2020
Manaoag	accep	Asia/Manila	16.0438	120.4861	2014/02/18
Surbiton	accep	Europe/London	51.39148	-0.29825	26 May 2013
Beveren	good	Europe/Brussels	51.21187	4.25633	2020-08-12
Hartley	building	Europe/London	51.38673	0.30367	09/09/2015, 00:00:00
Leioa	good	Europe/Madrid	43.32686	-2.98884	27 Jul 2013
Barmbek-Nord	accep	Europe/Berlin	53.6052	10.03988	2013/02/12
Kallio	accep	Europe/Helsinki	60.18427	24.95034	01/02/2021, 00:00:00
Barinas	excellent	America/Caracas	8.62261	-70.20749	2013-07-30
Kalavoor	maintenance	Asia/Kolkata	9.57046	76.32756	01 Mar 2019
Espoo	excellent	Europe/Helsinki	60.2052	24.6522	2018/03/31
Betamcherla	excellent	Asia/Kolkata	15.45144	78.14797	24 Apr 2019
Solntsevo	excellent	Europe/Moscow	55.63711	37.38115	2014/01/18
Albstadt	average	Europe/Berlin	48.21644	9.02596	2015/08/23
San Bernardo	building	America/Santiago	-33.59217	-70.6996	06/25/2017, 00:00:00
Caravaca	maintenance	Europe/Madrid	38.10558	-1.86343	09/30/2015, 00:00:00
Lexington	maintenance	America/New_York	33.98154	-81.23621	2012/11/29
Vitebsk	building	Europe/Minsk	55.1904	30.2049	22 Oct 2019
Pedro II	accep	America/Fortaleza	-4.42472	-41.45861	09 Nov 2015
Malaut	maintenance	Asia/Kolkata	30.21121	74.4818	24 Jul 2015
Longgang	average	Asia/Shanghai	37.65181	120.33063	11/11/2016, 00:00:00
Jaworzno	maintenance	Europe/Warsaw	50.20528	19.27498	06/27/2020, 00:00:00
Salvatierra	good	America/Mexico_City	20.21322	-100.88023	2017-05-14
Kovylkino	excellent	Europe/Moscow	54.03876	43.91385	2018-07-19
Arzamas	excellent	Europe/Moscow	55.39485	43.83992	07/26/2013, 00:00:00
Leyland	good	Europe/London	53.69786	-2.68758	2019-08-25
Hofheim am Taunus	accep	Europe/Berlin	50.09019	8.4493	2013/11/30
Calangute	excellent	Asia/Kolkata	15.5439	73.7553	24 Apr 2016
Lino Lakes	maintenance	America/Chicago	45.16024	-93.08883	02/27/2014, 00:00:00
Murray	average	America/Chicago	36.61033	-88.31476	21 Oct 2016
Port Huron	accep	America/Detroit	42.97086	-82.42491	01/31/2021, 00:00:00
Severodvinsk	accep	Europe/Moscow	64.5635	39.8302	08/15/2019, 00:00:00
Biu	accep	Africa/Lagos	10.61285	12.19458	2012/11/24
Fazilpur	building	Asia/Karachi	32.17629	75.06583	2014-07-12
Las Gabias	excellent	Europe/Madrid	37.13548	-3.67029	10/08/2019, 00:00:00
Columbia Heights	excellent	America/Chicago	45.0408	-93.263	2019/09/25
Hakodate	average	Asia/Tokyo	41.77583	140.73667	04/14/2014, 00:00:00
Tadmur	accep	Asia/Damascus	34.5624	38.28402	2017/03/04
Same	maintenance	Africa/Dar_es_Salaam	-4.06667	37.73333	08/16/2021, 00:00:00
Hushitai	accep	Asia/Shanghai	41.94175	123.50266	2021-09-01
Bad Honnef	building	Europe/Berlin	50.64336	7.2278	02 Apr 2020
Yangambi	good	Africa/Lubumbashi	0.76755	24.43973	25 Jan 2019
Sremska Mitrovica	average	Europe/Belgrade	44.97639	19.61222	2016-05-26
Simpang	accep	Asia/Jakarta	-1.26424	104.09701	04 Nov 2017
East Jerusalem	accep	Asia/Hebron	31.78336	35.23388	2013/01/02
Sheoganj	maintenance	Asia/Kolkata	25.13915	73.06784	2019-07-15
Nowshahr	excellent	Asia/Tehran	36.64852	51.49621	2020/05/13
Walsrode	good	Europe/Berlin	52.86147	9.5926	07/25/2013, 00:00:00
Yablonovskiy	good	Europe/Moscow	44.98901	38.94324	2015/12/15
Kahului	excellent	Pacific/Honolulu	20.88953	-156.47432	2018-11-18
Korschenbroich	accep	Europe/Berlin	51.19139	6.51352	2020/05/03
Great Wyrley	excellent	Europe/London	52.66277	-2.01111	03 Nov 2015
Likhobory	good	Europe/Moscow	55.85	37.56667	2013/03/01
Middletown	excellent	America/New_York	41.54566	-71.29144	03/03/2019, 00:00:00
Nikolayevsk-on-Amure	good	Asia/Vladivostok	53.14657	140.72287	26 Oct 2020
Tebingtinggi	excellent	Asia/Jakarta	3.3285	99.1625	06/07/2014, 00:00:00
Tianfu	average	Asia/Shanghai	37.19723	122.05228	08/15/2019, 00:00:00
Stupino	good	Europe/Moscow	54.90083	38.07083	2017-11-15
Villabate	excellent	Europe/Rome	38.07789	13.44275	04/26/2016, 00:00:00
Gavrilov-Yam	average	Europe/Moscow	57.30185	39.85331	04/07/2018, 00:00:00
Tadmur	maintenance	Asia/Damascus	34.5624	38.28402	2019/08/23
Bretten	good	Europe/Berlin	49.03685	8.70745	02/20/2020, 00:00:00
Walton-on-the-Naze	building	Europe/London	51.84819	1.26738	01 Jul 2014
Scarsdale	accep	America/New_York	41.0051	-73.78458	10 Mar 2020
Barpeta	good	Asia/Kolkata	26.32293	91.00632	12/27/2021, 00:00:00
Middle River	excellent	America/New_York	39.33427	-76.43941	28 Oct 2015
Peabody	average	America/New_York	42.52787	-70.92866	07 Mar 2017
Bang Ban	excellent	Asia/Bangkok	14.37395	100.48528	09 Jan 2018
Nyangao	building	Africa/Dar_es_Salaam	-10.33333	39.28333	2017/10/30
Serinhisar	excellent	Europe/Istanbul	37.58105	29.26639	05/04/2021, 00:00:00
Karben	excellent	Europe/Berlin	50.23019	8.77155	06/15/2018, 00:00:00
Edremit	good	Europe/Istanbul	39.59611	27.02444	2022-07-10
Collinwood	average	America/New_York	41.55838	-81.56929	2022-09-08
Barras	building	America/Fortaleza	-4.24444	-42.29444	2018-12-28
Kediri	excellent	Asia/Jakarta	-7.81667	112.01667	2015/11/21
Venice	average	America/New_York	27.09978	-82.45426	20 Feb 2016
Edremit	good	Europe/Istanbul	39.59611	27.02444	2013-12-01
Yangambi	average	Africa/Lubumbashi	0.76755	24.43973	2017/04/24
Ghat	accep	Africa/Tripoli	24.96334	10.18003	2016/11/12
Kudus	average	Asia/Jakarta	-6.8048	110.8405	11 Nov 2019
Freetown	average	Africa/Freetown	8.48714	-13.2356	2015-11-18
Lanciano	average	Europe/Rome	42.22718	14.39024	11 May 2022
Lille	excellent	Europe/Brussels	51.24197	4.82313	09/15/2015, 00:00:00
Palmeira	excellent	America/Sao_Paulo	-25.42944	-50.00639	2016-04-17
Media Luna	building	America/Havana	20.14298	-77.43532	09 Oct 2012
Stuttgart	excellent	Europe/Berlin	48.78232	9.17702	03/29/2013, 00:00:00
Nyangao	accep	Africa/Dar_es_Salaam	-10.33333	39.28333	2015/09/15
Paracho de Verduzco	excellent	America/Mexico_City	19.64745	-102.04897	30 Apr 2015
Rafaela	average	America/Argentina/Cordoba	-31.25033	-61.4867	2014-05-22
Encinitas	good	America/Los_Angeles	33.03699	-117.29198	03/20/2015, 00:00:00
Hungund	building	Asia/Kolkata	16.06213	76.0586	22 Sep 2016
Sakaraha	good	Indian/Antananarivo	-22.9	44.53333	2018-06-30
Sremska Mitrovica	average	Europe/Belgrade	44.97639	19.61222	09/04/2016, 00:00:00
Longview	accep	America/Chicago	32.5007	-94.74049	2014-01-13
Fitchburg	excellent	America/New_York	42.58342	-71.8023	2021-09-08
Pahrump	maintenance	America/Los_Angeles	36.20829	-115.98391	13 Nov 2016
Lagarto	good	America/Maceio	-10.91722	-37.65	10 Oct 2021
Somma Vesuviana	accep	Europe/Rome	40.87329	14.43865	2017-04-21
Gifhorn	accep	Europe/Berlin	52.47774	10.5511	12 Dec 2016
Houthalen	excellent	Europe/Brussels	51.03427	5.37429	12/25/2012, 00:00:00
Toba	excellent	Asia/Tokyo	34.4833	136.84186	02/23/2018, 00:00:00
Diwek	maintenance	Asia/Jakarta	-7.57897	112.23109	2021/08/30
Coralville	accep	America/Chicago	41.6764	-91.58045	2014-12-09
les Escaldes	excellent	Europe/Andorra	42.50729	1.53414	11 Jul 2015
Mira Mesa	maintenance	America/Los_Angeles	32.9156	-117.14392	23 Aug 2021
Teziutlan	excellent	America/Mexico_City	19.8173	-97.35992	06/03/2015, 00:00:00
Alatyr’	excellent	Europe/Moscow	54.8421	46.5813	2022-06-28
Adra	accep	Asia/Kolkata	23.49668	86.68363	2022-04-24
Novara	excellent	Europe/Rome	45.44694	8.62118	11/19/2014, 00:00:00
Manjeri	average	Asia/Kolkata	11.12018	76.11996	2012/10/18
Varadero	building	America/Havana	23.15678	-81.24441	2013-11-15
North Tustin	maintenance	America/Los_Angeles	33.76446	-117.79394	2016/05/06
Okahandja	excellent	Africa/Windhoek	-21.98333	16.91667	2016-02-13
Sirsi	average	Asia/Kolkata	14.62072	74.83554	24 Jun 2016
Rangia	excellent	Asia/Kolkata	26.44931	91.61356	2019/01/23
Waverly	accep	America/Detroit	42.7392	-84.62081	01 Jun 2016
Aleshtar	building	Asia/Tehran	33.86419	48.26258	05 Apr 2015
Mira Mesa	average	America/Los_Angeles	32.9156	-117.14392	2013-11-17
Thenia	excellent	Africa/Algiers	36.72544	3.55665	2013-03-17
Meerut	accep	Asia/Kolkata	28.98002	77.70636	2018/10/18
Yasothon	accep	Asia/Bangkok	15.79408	104.1451	2022-04-22
Isfahan	average	Asia/Tehran	32.65246	51.67462	28 Sep 2012
Damnoen Saduak	average	Asia/Bangkok	13.51825	99.95469	04/10/2022, 00:00:00
Narva	building	Europe/Tallinn	59.37722	28.19028	2020-11-03
Harstad	good	Europe/Oslo	68.79833	16.54165	01 May 2013
Brighton Beach	average	America/New_York	40.57788	-73.95958	27 Mar 2014
Covington	average	America/New_York	39.08367	-84.50855	11/10/2013, 00:00:00
Tucano	average	America/Bahia	-10.95817	-38.79084	2021/07/15
Watsonville	excellent	America/Los_Angeles	36.91023	-121.75689	2017/05/04
Canavieiras	accep	America/Bahia	-15.675	-38.94722	08/05/2017, 00:00:00
Mexborough	excellent	Europe/London	53.49389	-1.29243	2015/02/17
Hartley	accep	Europe/London	51.38673	0.30367	28 Jul 2021
Lexington	good	America/New_York	33.98154	-81.23621	06/13/2015, 00:00:00
Alwaye	excellent	Asia/Kolkata	10.10649	76.35484	06 Mar 2019
Besuki	good	Asia/Jakarta	-7.73379	113.69785	09/20/2015, 00:00:00
Aytos	average	Europe/Sofia	42.7	27.25	2020/05/26
Marly-le-Roi	building	Europe/Paris	48.86667	2.08333	03/26/2019, 00:00:00
Arua	accep	Africa/Kampala	3.02013	30.91105	24 May 2013
Mount Hagen	excellent	Pacific/Port_Moresby	-5.85746	144.23058	2016-10-09
Jizzax	accep	Asia/Samarkand	40.11583	67.84222	2019-08-12
Alatyr’	good	Europe/Moscow	54.8421	46.5813	31 Jan 2021
Paredes	average	Europe/Lisbon	41.20485	-8.33147	2013-10-25
Shinshiro	accep	Asia/Tokyo	34.9	137.5	2013-08-26
Zgorzelec	accep	Europe/Warsaw	51.14942	15.00835	12/21/2013, 00:00:00
Alytus	maintenance	Europe/Vilnius	54.39635	24.04142	12/31/2019, 00:00:00
Bushey	accep	Europe/London	51.64316	-0.36053	2021/05/29
Izluchinsk	good	Asia/Yekaterinburg	60.97944	76.92421	05/10/2020, 00:00:00
Patnos	average	Europe/Istanbul	39.22493	42.85693	2022-08-15
Lanciano	average	Europe/Rome	42.22718	14.39024	05 Nov 2014
Lesosibirsk	maintenance	Asia/Krasnoyarsk	58.23583	92.48278	05 Mar 2013
Stuttgart	accep	Europe/Berlin	48.78232	9.17702	2018/05/18
Majene	average	Asia/Makassar	-3.5403	118.9707	06/23/2021, 00:00:00
Kati	accep	Africa/Bamako	12.74409	-8.07257	2021/12/05
Villa del Rosario	building	America/Bogota	7.83389	-72.47417	2017/08/20
Francavilla Fontana	good	Europe/Rome	40.53123	17.58522	2014-12-13
Kampung Ayer Molek	average	Asia/Kuala_Lumpur	2.2139	102.3278	2016/07/19
Deltona	average	America/New_York	28.90054	-81.26367	2021/05/02
Somma Vesuviana	excellent	Europe/Rome	40.87329	14.43865	2018/01/19
Kuvandyk	good	Asia/Yekaterinburg	51.4781	57.3552	08/15/2017, 00:00:00
Vestavia Hills	average	America/Chicago	33.44872	-86.78777	2020/05/12
Maxixe	excellent	Africa/Maputo	-23.85972	35.34722	09/18/2019, 00:00:00
Keene	excellent	America/New_York	42.93369	-72.27814	04/25/2022, 00:00:00
Rueil-Malmaison	accep	Europe/Paris	48.8765	2.18967	04/20/2015, 00:00:00
Minokamo	excellent	Asia/Tokyo	35.48199	137.02166	2014-05-21
Tchaourou	good	Africa/Porto-Novo	8.88649	2.59753	2020/09/03
Frenda	excellent	Africa/Algiers	35.06544	1.04945	07/30/2014, 00:00:00
Barpeta	excellent	Asia/Kolkata	26.32293	91.00632	2013-07-22
Norfolk County	good	America/Toronto	42.8334	-80.38297	2014-04-25
San Jose	excellent	Asia/Manila	12.35275	121.06761	2019-10-30
Iwade	good	Asia/Tokyo	34.25	135.31667	06/13/2021, 00:00:00
Landshut	accep	Europe/Berlin	48.52961	12.16179	2014/06/18
Shimotoda	building	Asia/Tokyo	35.815	139.6853	2022-08-05
Krasyliv	excellent	Europe/Kiev	49.65186	26.97253	06 May 2019
Woodbridge	good	America/New_York	40.5576	-74.28459	26 Nov 2012
Schiebroek	accep	Europe/Amsterdam	51.95838	4.47124	15 Jun 2013
Solntsevo	excellent	Europe/Moscow	55.63711	37.38115	13 Jan 2013
Maryborough	maintenance	Australia/Brisbane	-25.54073	152.70493	2021-12-15
Ovalle	average	America/Santiago	-30.60106	-71.19901	2020-08-21
Tortona	accep	Europe/Rome	44.89784	8.86374	2017-11-21
Recife	excellent	America/Recife	-8.05389	-34.88111	2012/12/15
Falconara Marittima	average	Europe/Rome	43.62558	13.39954	2015-01-17
Paoy Paet	accep	Asia/Phnom_Penh	13.65805	102.56365	2021/08/29
El Alia	average	Africa/Tunis	37.16911	10.03478	29 Jan 2015
Ukmerge	good	Europe/Vilnius	55.25	24.75	21 Jan 2014
Nova Xavantina	average	America/Cuiaba	-14.66463	-52.35558	29 Aug 2016
Leland	building	America/New_York	34.25628	-78.04471	2021-09-27
Luena	good	Africa/Luanda	-11.78333	19.91667	2019/02/14
Albstadt	maintenance	Europe/Berlin	48.21644	9.02596	2016-09-19
Lagarto	excellent	America/Maceio	-10.91722	-37.65	01/23/2022, 00:00:00
Annaka	average	Asia/Tokyo	36.33011	138.89585	10 Sep 2013
Licheng	average	Asia/Shanghai	23.29549	113.82465	02/14/2020, 00:00:00
Calauan	maintenance	Asia/Manila	14.14989	121.3152	2016-12-27
Tharu Shah	excellent	Asia/Karachi	26.9423	68.11759	2019-06-05
Alipur	accep	Asia/Karachi	29.38242	70.91106	10/18/2014, 00:00:00
Perugia	good	Europe/Rome	43.1122	12.38878	10 Sep 2022
Nyangao	average	Africa/Dar_es_Salaam	-10.33333	39.28333	2018/10/31
Redding	building	America/Los_Angeles	40.58654	-122.39168	2021-10-10
Sicklerville	excellent	America/New_York	39.71734	-74.96933	10/01/2014, 00:00:00
Dobrush	average	Europe/Minsk	52.4089	31.3237	2020-03-27
Shepetivka	accep	Europe/Kiev	50.18545	27.06365	2016-06-27
Wesseling	good	Europe/Berlin	50.82709	6.9747	2022/02/02
Vitebsk	maintenance	Europe/Minsk	55.1904	30.2049	2017-07-27
Salima	good	Africa/Blantyre	-13.7804	34.4587	20 Oct 2014
Agrigento	excellent	Europe/Rome	37.31065	13.57661	03/18/2014, 00:00:00
Madhipura	good	Asia/Kolkata	25.92127	86.79271	2015-05-18
Brzeg	accep	Europe/Warsaw	50.86079	17.4674	09/06/2014, 00:00:00
Mianwali	accep	Asia/Karachi	32.57756	71.52847	2014-03-25
Qadirpur Ran	accep	Asia/Karachi	30.29184	71.67164	07/24/2016, 00:00:00
Middle River	excellent	America/New_York	39.33427	-76.43941	2014/11/25
Madhipura	maintenance	Asia/Kolkata	25.92127	86.79271	2018-02-15
Kundla	accep	Asia/Kolkata	21.34222	71.30633	12/21/2021, 00:00:00
Kashipur	excellent	Asia/Kolkata	29.21399	78.95693	2019/11/20
Changshu City	maintenance	Asia/Shanghai	31.64615	120.74221	06 Jun 2022
Minas de Marcona	accep	America/Lima	-15.21194	-75.11028	05 Mar 2017
Zhoushan	excellent	Asia/Shanghai	29.98869	122.20488	10 Jul 2018
Chanika	good	Africa/Dar_es_Salaam	-5.41667	38.01667	03/23/2013, 00:00:00
Alatyr’	excellent	Europe/Moscow	54.8421	46.5813	2015/02/28
Bothell	excellent	America/Los_Angeles	47.76232	-122.2054	2014/05/01
Dipolog	building	Asia/Manila	8.56697	123.33471	05 Jul 2022
Thomasville	accep	America/New_York	35.88264	-80.08199	2013-01-11
Biu	average	Africa/Lagos	10.61285	12.19458	2015/09/26
Iturama	good	America/Sao_Paulo	-19.72806	-50.19556	09 Mar 2022
Budva	average	Europe/Podgorica	42.28639	18.84	2012-12-20
Ferrol	accep	Europe/Madrid	43.48961	-8.2194	2018/04/19
les Escaldes	building	Europe/Andorra	42.50729	1.53414	09/29/2018, 00:00:00
Caravaca	average	Europe/Madrid	38.10558	-1.86343	2019/08/04
Mudanya	average	Europe/Istanbul	40.37528	28.88222	08/09/2021, 00:00:00
Aleshtar	maintenance	Asia/Tehran	33.86419	48.26258	11/06/2016, 00:00:00
Gua Musang	average	Asia/Kuala_Lumpur	4.88441	101.96857	2021-11-12
Tebingtinggi	accep	Asia/Jakarta	3.3285	99.1625	2020/12/28
Paracho de Verduzco	average	America/Mexico_City	19.64745	-102.04897	2015/09/19
Dongfeng	maintenance	Asia/Shanghai	42.64031	125.51176	10/10/2020, 00:00:00
Sar-e Pul	excellent	Asia/Kabul	36.21544	65.93249	2020-06-29
Itaperuna	average	America/Sao_Paulo	-21.205	-41.88778	15 Nov 2017
