QoS	revision	location	longitude	code	latitude
excellent	2021/01/07	Europe/Bratislava	17.8031	SK	48.43174
maintenance	01/05/2015, 00:00:00	Europe/Lisbon	-8.33147	PT	41.20485
good	2019-01-23	Asia/Shanghai	112.9	CN	27.85
average	06/08/2022, 00:00:00	Europe/Paris	5.55575	FR	46.67535
average	30 Aug 2016	Europe/Berlin	7.2278	DE	50.64336
maintenance	2018/08/05	America/Los_Angeles	-119.01677	US	36.06523
good	2014-12-04	America/Vancouver	-119.48568	CA	49.88307
good	06/24/2014, 00:00:00	America/Port-au-Prince	-72.09391	HT	18.65297
building	07/14/2022, 00:00:00	Europe/Brussels	3.20639	BE	50.74497
average	07/17/2016, 00:00:00	America/Merida	-89.66123	MX	21.28306
good	08/03/2020, 00:00:00	Europe/Warsaw	16.86194	PL	54.58048
good	10 Oct 2012	Asia/Kolkata	77.24779	IN	10.58806
accep	2021/03/11	America/Panama	-79.62098	PA	9.15093
excellent	04 Jul 2017	Asia/Bangkok	99.96667	TH	8.43333
average	2019-06-29	Asia/Manila	123.62494	PH	12.37169
maintenance	2020/03/24	Europe/Moscow	35.96944	RU	56.03361
accep	2018-09-16	America/Chicago	-94.74049	US	32.5007
maintenance	06/24/2016, 00:00:00	Asia/Shanghai	115.70111	CN	37.73222
accep	2014/03/17	Asia/Karachi	68.88871	PK	25.95533
accep	03/18/2015, 00:00:00	Australia/Perth	115.88782	AU	-32.05251
excellent	10/28/2016, 00:00:00	Pacific/Auckland	171.25364	NZ	-44.39672
accep	12 Mar 2019	Asia/Bangkok	103.65309	TH	16.0567
building	11 May 2016	America/Fortaleza	-42.29444	BR	-4.24444
excellent	2021-12-29	Asia/Tehran	48.26258	IR	33.86419
acceptable	12/11/2020, 00:00:00	Europe/Warsaw	19.27498	PL	50.20528
average	2013/10/07	Europe/Moscow	46.10925	RU	43.35071
accep	10 May 2018	America/New_York	-83.2321	US	33.08014
excellent	01/03/2014, 00:00:00	America/New_York	-72.97261	US	43.61062
good	10/14/2012, 00:00:00	America/Chicago	-86.78777	US	33.44872
accep	2013-03-07	Asia/Kolkata	74.80555	IN	34.08565
excellent	2014/01/08	Europe/Chisinau	28.28489	MD	48.15659
average	08/11/2021, 00:00:00	America/New_York	-77.37331	US	37.60876
accep	2015/06/15	America/Mexico_City	-103.42897	MX	20.28527
average	05/22/2014, 00:00:00	America/Chicago	-88.81395	US	35.61452
good	24 Apr 2019	America/Chicago	-87.66561	US	41.8542
excellent	05/25/2019, 00:00:00	Europe/Paris	2.44892	FR	48.98693
excellent	18 Sep 2021	America/Puerto_Rico	-67.15407	PR	18.42745
good	21 Feb 2021	America/Chicago	-87.71255	US	41.84364
excellent	2022-04-13	Africa/Lagos	9.0027	NG	11.86064
accep	2014/08/29	Asia/Shanghai	117.63083	CN	35.50056
maintenance	01 Jul 2018	Europe/Paris	-0.45877	FR	46.32313
excellent	22 Dec 2018	Asia/Karachi	71.67164	PK	30.29184
excellent	2014-02-07	Asia/Kolkata	75.11937	IN	20.88098
good	2013-02-08	Asia/Kolkata	72.68533	IN	22.75218
excellent	2021/11/04	Europe/Amsterdam	5.74861	NL	52.71083
excellent	05 Nov 2020	America/Port-au-Prince	-72.09391	HT	18.65297
accep	2022-07-10	Asia/Kolkata	78.95693	IN	29.21399
average	12/26/2021, 00:00:00	Europe/Amsterdam	5.2875	NL	51.65333
accep	22 Oct 2018	Asia/Shanghai	122.22833	CN	40.66482
accep	16 Dec 2018	America/Chicago	-88.31476	US	36.61033
accep	10/28/2012, 00:00:00	America/Caracas	-67.33122	VE	10.22677
good	07/14/2014, 00:00:00	America/Los_Angeles	-116.97725	US	33.92946
excellent	02/26/2016, 00:00:00	America/Chicago	-91.73625	US	35.25064
accep	2013/12/16	America/Argentina/Ushuaia	-68.3	AR	-54.8
average	2022/01/01	Europe/Warsaw	19.27498	PL	50.20528
accep	08 Jul 2018	America/Denver	-105.11221	US	39.57582
good	12/23/2017, 00:00:00	Asia/Jakarta	103.61667	ID	-1.6
average	2013/02/17	America/Santarem	-52.20639	BR	-3.20333
accep	2015-07-01	Europe/London	-0.29825	GB	51.39148
building	2021/01/31	America/New_York	-83.55521	US	41.66394
average	2019/06/15	America/Port-au-Prince	-72.22625	HT	18.57677
accep	03/01/2019, 00:00:00	Europe/Rome	8.55552	IT	40.72586
excellent	2022/06/30	Europe/Paris	4.7934	FR	45.69558
average	2016/03/21	Asia/Shanghai	118.53333	CN	27.92333
building	16 Mar 2016	Asia/Shanghai	117.27583	CN	35.64889
average	02/26/2014, 00:00:00	Europe/Berlin	11.37703	DE	48.06919
maintenance	2015/08/14	Europe/Paris	5.16108	FR	48.77275
good	2020-09-24	Europe/Berlin	6.74549	DE	49.5099
average	03/10/2015, 00:00:00	America/Chicago	-95.63079	US	31.76212
average	29 Jan 2018	Europe/Paris	2.25	FR	50.75
average	18 Sep 2013	Europe/Moscow	37.92792	RU	53.93361
excellent	2017/06/03	Africa/Kampala	32.88667	UG	3.27833
average	2021/02/06	Asia/Kolkata	76.0586	IN	16.06213
average	2022/07/05	Asia/Samarkand	67.84222	UZ	40.11583
excellent	18 Jan 2013	Asia/Makassar	118.9707	ID	-3.5403
excellent	28 Feb 2017	Asia/Shanghai	113.82465	CN	23.29549
average	2017/09/25	America/Bogota	-74.95472	CO	10.98778
accep	2019/12/17	Europe/Berlin	8.4493	DE	50.09019
accep	11/12/2015, 00:00:00	Europe/Berlin	9.02596	DE	48.21644
average	2016-07-26	Asia/Yerevan	44.7662	AM	40.49748
accep	2014/01/08	America/Los_Angeles	-117.14392	US	32.9156
accep	2022/08/16	America/Los_Angeles	-120.43572	US	34.95303
accep	23 Jan 2016	America/New_York	-84.50855	US	39.08367
average	2013-04-21	Asia/Tbilisi	41.77921	GE	41.82143
average	06/09/2014, 00:00:00	America/New_York	-82.61573	US	41.24255
good	2017-06-16	America/Santo_Domingo	-71.10077	DO	18.20854
good	2016/09/18	Europe/Berlin	10.03988	DE	53.6052
good	05/09/2019, 00:00:00	Europe/London	1.26738	GB	51.84819
average	07/05/2020, 00:00:00	Europe/Berlin	11.37703	DE	48.06919
accep	18 Jul 2020	America/New_York	-77.70066	US	43.16547
good	2013/04/30	Europe/Moscow	47.1192	RU	42.819
maintenance	2022/04/18	America/Bogota	-73.9614	CO	10.15031
accep	2021-02-22	Europe/London	-3.05814	GB	53.00974
maintenance	21 Jun 2013	Europe/Paris	5.55575	FR	46.67535
average	13 Oct 2015	Asia/Shanghai	122.74754	CN	40.85158
good	2015-12-27	Asia/Almaty	77.0202	KZ	43.41949
building	10/13/2019, 00:00:00	Europe/Amsterdam	7.00417	NL	52.26083
accep	04/16/2017, 00:00:00	Europe/Paris	5.4584	FR	43.32393
maintenance	2013/08/26	Asia/Jakarta	106.85417	ID	-6.48167
excellent	09/12/2015, 00:00:00	Asia/Shanghai	122.05228	CN	37.19723
maintenance	2021/05/16	Europe/Kiev	29.41824	UA	45.99194
excellent	02/12/2018, 00:00:00	America/New_York	-81.26367	US	28.90054
average	2016/04/01	America/Chicago	-93.263	US	45.0408
excellent	2016-07-25	Europe/Podgorica	18.84	ME	42.28639
maintenance	09/16/2017, 00:00:00	Europe/Rome	17.58522	IT	40.53123
accep	25 Jun 2018	Asia/Tokyo	139.07204	JP	36.24624
accep	2020/11/05	Europe/London	-0.36053	GB	51.64316
building	2018-09-16	Asia/Kolkata	84.63445	IN	24.81757
average	03 Dec 2018	America/Fortaleza	-42.29444	BR	-4.24444
good	02 Apr 2016	Asia/Yangon	97.01124	MM	17.30858
average	02 May 2020	Asia/Kolkata	73.85535	IN	18.51957
good	2020-09-09	Europe/Moscow	38.12408	RU	53.77166
building	20 Mar 2014	Europe/Berlin	9.5926	DE	52.86147
accep	13 Aug 2018	America/New_York	-74.13653	US	40.63316
good	2018/12/06	Europe/London	-2.1875	GB	51.26
excellent	18 Mar 2017	America/New_York	-80.22588	US	26.2173
good	01/26/2018, 00:00:00	Asia/Kolkata	77.24779	IN	10.58806
average	2013/05/20	Africa/Lagos	5.06258	NG	7.50251
good	2020-04-19	Asia/Shanghai	117.55417	CN	34.86472
accep	2014-05-04	Australia/Melbourne	145.18333	AU	-37.9
excellent	06/20/2016, 00:00:00	Asia/Jerusalem	34.8732	IL	32.05971
accep	30 Aug 2018	Europe/Rome	15.07041	IT	37.49223
accep	2020-03-28	Europe/Paris	2.12213	FR	48.8222
excellent	05 Jun 2021	Asia/Seoul	128.62667	KR	34.8825
excellent	2019-02-01	Europe/London	-3.05814	GB	53.00974
good	2018/03/28	Asia/Kolkata	88.18466	IN	22.19303
accep	2017/04/05	Europe/Berlin	7.973	DE	51.168
accep	2022/06/06	Europe/Amsterdam	5.23333	NL	52.09
good	10 Sep 2015	Europe/Paris	2.29275	FR	48.79325
excellent	17 Nov 2020	Asia/Tokyo	139.55028	JP	35.30889
building	01/18/2022, 00:00:00	Europe/Kiev	33.9162	UA	51.67822
accep	2017/04/02	America/Mexico_City	-103.42897	MX	20.28527
accep	2014/08/24	Europe/Berlin	7.20769	DE	50.80019
accep	2014-07-09	America/New_York	-80.08199	US	35.88264
accep	06/02/2020, 00:00:00	Africa/Lagos	6.26764	NG	4.92675
average	2014-01-02	Africa/Lagos	12.19458	NG	10.61285
excellent	2013-07-20	Asia/Baghdad	44.02488	IQ	32.61603
accep	2013/06/13	Europe/London	-0.91979	GB	51.42708
excellent	07/08/2019, 00:00:00	America/Vancouver	-119.27337	CA	50.26729
excellent	05 Jun 2020	Africa/Lagos	4.92235	NG	7.65649
average	11/18/2020, 00:00:00	Africa/Lagos	3.39467	NG	6.45407
maintenance	25 Apr 2021	Europe/Belgrade	22.53083	RS	44.22639
accep	02/11/2016, 00:00:00	America/Los_Angeles	-122.86705	US	45.49428
maintenance	2020-06-08	Europe/Rome	16.50104	IT	41.24264
excellent	2018-07-15	Asia/Hong_Kong	114.10479	HK	22.37066
average	2016-08-23	Africa/Blantyre	34.4587	MW	-13.7804
accep	07/27/2018, 00:00:00	America/Bahia	-37.93278	BR	-11.48472
good	2021/06/18	America/Vancouver	-119.48568	CA	49.88307
accep	21 May 2013	Europe/Amsterdam	5.74861	NL	52.71083
excellent	25 Dec 2019	Africa/Ndjamena	18.69303	TD	12.18441
average	07 Dec 2015	Africa/Abidjan	-5.682	CI	5.84752
average	01/03/2020, 00:00:00	Asia/Makassar	118.9707	ID	-3.5403
accep	04/04/2016, 00:00:00	Asia/Shanghai	109.22921	CN	34.65918
average	12/30/2015, 00:00:00	Europe/Berlin	13.31783	DE	52.61131
average	2014/02/19	America/Panama	-79.62098	PA	9.15093
accep	2018/07/02	America/Glace_Bay	-60.1831	CA	46.1351
good	2020-08-20	Europe/Helsinki	24.6522	FI	60.2052
accep	13 Jul 2022	Europe/Rome	12.6723	IT	41.72063
excellent	2013-08-03	America/Bogota	-74.26419	CO	4.73245
excellent	12/01/2019, 00:00:00	Europe/Warsaw	15.00835	PL	51.14942
excellent	2020/10/13	Asia/Yekaterinburg	65.27258	RU	58.04254
average	03/29/2020, 00:00:00	America/New_York	-77.70066	US	43.16547
maintenance	10 Sep 2014	America/Costa_Rica	-85.43772	CR	10.63504
excellent	2019-12-03	Asia/Tbilisi	41.77921	GE	41.82143
average	09 Jun 2014	America/Puerto_Rico	-66.8499	PR	18.03496
average	2021/02/26	Europe/Warsaw	18.34717	PL	54.60528
average	2022-06-16	Europe/Berlin	9.5586	DE	54.52156
accep	03 Dec 2019	Asia/Manila	124.95278	PH	6.33444
good	2016-11-07	Asia/Kolkata	88.58	IN	23.18
excellent	2021-09-17	Europe/Berlin	8.77069	DE	50.80904
excellent	22 Nov 2013	America/Chicago	-97.90308	US	31.12406
accep	29 Aug 2020	Africa/Brazzaville	15.28318	CG	-4.26613
excellent	27 Jun 2021	Europe/Madrid	-1.325	ES	38.47917
maintenance	06/28/2020, 00:00:00	America/New_York	-80.22588	US	26.2173
excellent	22 Aug 2013	Africa/Dar_es_Salaam	39.25	TZ	-6.8
average	2019-05-29	Europe/Berlin	8.96317	DE	48.35149
accep	08/17/2016, 00:00:00	America/Chicago	-87.66561	US	41.8542
accep	2022-09-14	Asia/Jakarta	114.33333	ID	-8.43333
excellent	2015/09/17	Asia/Kolkata	75.92694	IN	14.46693
average	2017-07-27	America/Sao_Paulo	-52.67056	BR	-26.22861
average	05/12/2015, 00:00:00	America/Argentina/Cordoba	-60.93173	AR	-31.4488
good	2015/05/21	America/Sao_Paulo	-51.87389	BR	-23.44361
excellent	19 Jan 2020	Africa/Johannesburg	30.79165	ZA	-27.76952
good	09/21/2014, 00:00:00	Europe/Brussels	3.16667	BE	50.8
accep	2019-03-21	Asia/Tokyo	137.95378	JP	35.82756
accep	08/10/2015, 00:00:00	Europe/Madrid	-4.10734	ES	38.68712
average	09/27/2013, 00:00:00	America/New_York	-73.95958	US	40.57788
good	2015/10/23	Asia/Kolkata	88.1453	IN	22.4711
good	2015-10-29	America/New_York	-71.08977	US	41.9001
excellent	01 Nov 2019	Africa/Lagos	8.2926	NG	9.58126
excellent	12/28/2015, 00:00:00	Asia/Jerusalem	34.86563	IL	31.92923
excellent	2017-07-29	Europe/Berlin	13.29371	DE	52.53048
average	2020/12/11	Europe/Copenhagen	12.53463	DK	55.67938
excellent	27 Mar 2014	America/Maceio	-37.03861	BR	-10.90889
accep	08/14/2018, 00:00:00	Europe/Helsinki	24.14662	FI	65.84811
accep	2015/03/08	Europe/Berlin	6.8625	DE	51.47805
average	05/12/2014, 00:00:00	Asia/Tehran	47.3799	IR	33.14447
excellent	04/01/2017, 00:00:00	Europe/Bucharest	26.01649	RO	44.43579
good	02/05/2021, 00:00:00	Asia/Bangkok	99.95469	TH	13.51825
maintenance	2015/12/24	America/Toronto	-73.58248	CA	45.40008
good	01 May 2020	Africa/Johannesburg	29.24152	ZA	-26.93366
building	2020-07-30	America/New_York	-69.96533	US	43.91452
excellent	2014/06/03	America/Los_Angeles	-120.93549	US	37.73604
average	2013-07-21	America/Los_Angeles	-122.38731	US	45.53929
average	07/20/2021, 00:00:00	Europe/Berlin	13.10984	DE	51.30001
excellent	04/18/2019, 00:00:00	Europe/Saratov	46.04833	RU	51.40944
good	05/17/2019, 00:00:00	America/Vancouver	-119.48568	CA	49.88307
good	08/20/2021, 00:00:00	Asia/Shanghai	120.82747	CN	37.30553
excellent	2020/10/28	Europe/Madrid	-4.83076	ES	39.96348
maintenance	11/23/2015, 00:00:00	Africa/Addis_Ababa	37.55	ET	6.03333
excellent	11/11/2018, 00:00:00	Asia/Kuala_Lumpur	101.96857	MY	4.88441
good	2017/01/28	Asia/Kolkata	74.85849	IN	31.28092
accep	11/13/2020, 00:00:00	America/Detroit	-83.48216	US	42.30865
average	2016/01/29	America/Chicago	-94.74049	US	32.5007
excellent	2019/03/04	Africa/Algiers	3.50309	DZ	34.15429
excellent	2018/04/28	America/Mazatlan	-105.36369	MX	22.49396
accep	2020-10-16	Europe/Paris	5.4584	FR	43.32393
good	2015-12-09	Asia/Shanghai	120.74221	CN	31.64615
accep	08/03/2022, 00:00:00	America/Los_Angeles	-117.54866	US	33.93113
excellent	11 Oct 2020	Asia/Tokyo	135.6	JP	34.61667
good	10/27/2019, 00:00:00	America/New_York	-82.46148	US	28.15112
good	2018-01-11	America/Caracas	-70.20749	VE	8.62261
accep	10/20/2017, 00:00:00	America/Port_of_Spain	-61.51889	TT	10.66668
excellent	2021-11-25	America/Los_Angeles	-118.25508	US	34.14251
average	04/14/2015, 00:00:00	Asia/Tokyo	140.73667	JP	41.77583
accep	02/10/2013, 00:00:00	Indian/Antananarivo	44.53333	MG	-22.9
accep	2018/03/08	Europe/Madrid	1.10687	ES	41.15612
maintenance	09/15/2013, 00:00:00	Asia/Jerusalem	34.86563	IL	31.92923
accep	22 Oct 2016	America/Sao_Paulo	-48.29694	BR	-20.87306
accep	2016-04-30	America/Panama	-79.62603	PA	8.88988
average	2019/06/01	America/Santiago	-73.02841	CL	-36.9256
accep	2017/07/18	Asia/Shanghai	122.22833	CN	40.66482
good	31 Oct 2016	America/Chicago	-86.77917	US	36.02506
excellent	2019/04/02	America/New_York	-72.27814	US	42.93369
building	15 Mar 2021	America/Havana	-80.58556	CU	22.98212
excellent	2019-03-04	America/Indiana/Indianapolis	-85.76942	US	39.78504
accep	11 Sep 2019	Europe/Amsterdam	4.47124	NL	51.95838
maintenance	2012-12-29	Europe/Madrid	-1.64295	ES	42.8139
good	12/18/2021, 00:00:00	Europe/Moscow	38.16694	RU	54.84444
excellent	16 Sep 2014	America/Bogota	-74.95472	CO	10.98778
accep	07/02/2013, 00:00:00	America/Chicago	-91.06177	US	33.41012
building	06/11/2017, 00:00:00	America/New_York	-80.22588	US	26.2173
building	03/15/2022, 00:00:00	America/Chicago	-91.77127	US	37.95143
maintenance	02/06/2021, 00:00:00	America/Bogota	-77.03116	CO	3.8801
