station	code	revision	QoS	latitude	longitude
Guaraciaba do Norte	BR	27 Nov 2012	good	-4.16694	-40.7475
Liberia	CR	2016/10/28	good	10.63504	-85.43772
Trossingen	DE	03/14/2022, 00:00:00	accep	48.07667	8.64409
New Canaan	US	11/02/2019, 00:00:00	average	41.14676	-73.49484
Sceaux	FR	2014/12/06	average	48.77644	2.29026
Yanliang	CN	2020-10-13	excellent	34.65918	109.22921
Ferrol	ES	2019/08/28	accep	43.48961	-8.2194
Barneveld	NL	2013/08/03	average	52.14	5.58472
Lymington	GB	08/14/2013, 00:00:00	good	50.75767	-1.5443
Hengshui	CN	2022-07-17	maintenance	37.73222	115.70111
Narva	EE	09/07/2015, 00:00:00	average	59.37722	28.19028
Kendall	US	2020/08/08	excellent	25.67927	-80.31727
Chharra	IN	2017-09-04	accep	27.9247	78.40102
Inawashiro	JP	13 Mar 2013	excellent	37.56667	140.11667
Carlos Barbosa	BR	09/28/2013, 00:00:00	good	-29.2975	-51.50361
Jackson	US	18 Dec 2016	maintenance	35.61452	-88.81395
East Jerusalem	PS	09/20/2015, 00:00:00	average	31.78336	35.23388
Tadmur	SY	2015/08/30	good	34.5624	38.28402
Vught	NL	04/27/2019, 00:00:00	good	51.65333	5.2875
Hudiksvall	SE	04/11/2018, 00:00:00	accep	61.72744	17.10558
Odessa	US	2020-03-20	accep	31.84568	-102.36764
Rixensart	BE	2014/07/02	accep	50.71229	4.52529
Otradnyy	RU	2014/02/01	good	53.37596	51.3452
Shalqar	KZ	08/06/2022, 00:00:00	excellent	47.83333	59.6
Catania	IT	29 Nov 2017	average	37.49223	15.07041
Viewpark	GB	2016-01-09	good	55.82737	-4.0573
Srinagar	IN	07/04/2017, 00:00:00	excellent	34.08565	74.80555
Barras	BR	2015/04/21	accep	-4.24444	-42.29444
Rosemount	US	14 Jul 2013	average	44.73941	-93.12577
Severodvinsk	RU	2018-07-15	average	64.5635	39.8302
Nayoro	JP	2021/10/02	maintenance	44.35056	142.45778
Annaka	JP	05 Aug 2018	accep	36.33011	138.89585
Huntley	US	09/22/2021, 00:00:00	average	42.16808	-88.42814
Same	TZ	09/05/2015, 00:00:00	average	-4.06667	37.73333
Mikhaylovka	RU	12/07/2014, 00:00:00	accep	50.06	43.2379
Haldwani	IN	2019/06/18	good	29.22254	79.5286
Hueytown	US	2018/04/04	building	33.45122	-86.99666
Yablonovskiy	RU	2014-04-26	average	44.98901	38.94324
Laguna Niguel	US	11 Jun 2018	good	33.52253	-117.70755
Artsyz	UA	01 Jul 2016	average	45.99194	29.41824
Chacabuco	AR	10 Sep 2013	excellent	-34.64167	-60.47389
Mitry-Mory	FR	2020-04-25	building	48.98333	2.61667
Sarandi	BR	2017-07-26	accep	-23.44361	-51.87389
Tinaquillo	VE	02 Aug 2015	maintenance	9.91861	-68.30472
Middle River	US	2016/06/09	maintenance	39.33427	-76.43941
Onex	CH	2016-07-04	excellent	46.18396	6.10237
Imbituba	BR	08/06/2019, 00:00:00	accep	-28.24	-48.67028
Jiangyan	CN	2013/01/10	accep	32.50611	120.14278
Ada	US	12/23/2017, 00:00:00	accep	34.77453	-96.67834
Hushitai	CN	24 Sep 2013	accep	41.94175	123.50266
Sterling	US	16 Jul 2019	maintenance	39.00622	-77.4286
Espoo	FI	2013-06-23	average	60.2052	24.6522
Blackpool	GB	07/31/2015, 00:00:00	average	53.81667	-3.05
Marau	BR	2020-02-23	good	-28.44917	-52.2
Baulkham Hills	AU	03 Aug 2019	excellent	-33.75881	150.99292
Kachkanar	RU	2018-02-17	average	58.7002	59.4839
Muncar	ID	01/28/2019, 00:00:00	good	-8.43333	114.33333
Colomiers	FR	13 Apr 2016	maintenance	43.61058	1.33467
Jagna	PH	11/09/2012, 00:00:00	excellent	9.6531	124.3697
Tiruppuvanam	IN	08/23/2014, 00:00:00	good	9.82564	78.25795
Bhayandar	IN	2021-09-04	average	19.30157	72.85107
Luena	AO	2019/01/21	building	-11.78333	19.91667
Mwandiga	TZ	2015-07-01	accep	-4.83	29.65806
Gembloux	BE	01/12/2018, 00:00:00	accep	50.56149	4.69889
Rahat	IL	2013-05-03	accep	31.39547	34.75699
Madrid	CO	21 Dec 2019	good	4.73245	-74.26419
Igbara-Odo	NG	02/11/2022, 00:00:00	good	7.50251	5.06258
Boston	US	12 Aug 2013	good	42.35843	-71.05977
Barras	BR	2018-02-27	average	-4.24444	-42.29444
Korschenbroich	DE	02/02/2013, 00:00:00	good	51.19139	6.51352
Zhoucun	CN	06 Dec 2014	excellent	36.81667	117.81667
Malakhovka	RU	2017-12-31	accep	55.64776	38.02486
Daud Khel	PK	2020-11-07	maintenance	32.87533	71.57118
Athlone	IE	03/20/2015, 00:00:00	average	53.43333	-7.95
Mardin	TR	2019-04-05	accep	37.31309	40.74357
Sankt Peter	AT	08/14/2018, 00:00:00	maintenance	47.05	15.46667
Collinwood	US	2013/08/15	accep	41.55838	-81.56929
Bijeljina	BA	2017/08/16	good	44.75874	19.21437
Shahre Jadide Andisheh	IR	06/28/2016, 00:00:00	good	35.6803	51.0193
Gronau	DE	2015/06/08	building	52.21099	7.02238
Sillanwali	PK	07 Apr 2020	accep	31.82539	72.54064
Sar-e Pul	AF	08/10/2020, 00:00:00	accep	36.21544	65.93249
Kanganpur	PK	2020-02-18	accep	30.76468	74.12286
Madrid	CO	21 Mar 2020	average	4.73245	-74.26419
Sangla Hill	PK	28 Sep 2012	excellent	31.71667	73.38333
Masbate	PH	2017/02/18	excellent	12.37169	123.62494
Tinaquillo	VE	07 Apr 2022	good	9.91861	-68.30472
Kampung Ayer Molek	MY	07/31/2019, 00:00:00	accep	2.2139	102.3278
Damnoen Saduak	TH	29 Dec 2017	excellent	13.51825	99.95469
New City	US	06/17/2014, 00:00:00	building	41.80753	-87.65644
Dawei	MM	2016/04/15	maitennce	14.0823	98.19151
Adliswil	CH	03/03/2016, 00:00:00	excellent	47.30997	8.52462
Kangayam	IN	2017/06/21	accep	11.00599	77.5609
Thomasville	US	18 Jan 2021	excellent	35.88264	-80.08199
Dharmapuri	IN	2013/07/18	building	12.1277	78.15794
Vernon	CA	06/21/2014, 00:00:00	maintenance	50.26729	-119.27337
Boo	SE	2018-11-16	excellent	59.33333	18.28333
Eastwood	AU	07/25/2016, 00:00:00	good	-33.79176	151.08057
Miracema	BR	05/20/2019, 00:00:00	average	-21.41222	-42.19667
Azrou	MA	01/30/2022, 00:00:00	average	33.43443	-5.22126
Saint-Genis-Laval	FR	2016-04-21	average	45.69558	4.7934
Westchester	US	12/15/2016, 00:00:00	good	41.85059	-87.882
Valday	RU	19 Oct 2021	building	57.97472	33.2525
Kallio	FI	2018-12-28	excellent	60.18427	24.95034
Pedro II	BR	12/02/2020, 00:00:00	average	-4.42472	-41.45861
Oulmes	MA	2013/11/05	accep	33.42585	-6.00137
Sukabumi	ID	06/09/2013, 00:00:00	excellent	-6.91806	106.92667
Bretten	DE	12 Dec 2021	accep	49.03685	8.70745
Barpeta	IN	2017/07/25	good	26.32293	91.00632
Bang Ban	TH	11/25/2021, 00:00:00	maintenance	14.37395	100.48528
Nutley	US	02/11/2020, 00:00:00	building	40.82232	-74.15987
Huntley	US	2013-05-29	maintenance	42.16808	-88.42814
Cordenons	IT	17 Jun 2020	good	45.9836	12.70038
Maspalomas	ES	20 Jul 2022	good	27.76056	-15.58602
Al Jubayl	SA	2017/07/17	maintenance	27.0174	49.62251
Encinitas	US	2021/09/06	excellent	33.03699	-117.29198
Palmeira	BR	08/05/2017, 00:00:00	excellent	-25.42944	-50.00639
Heroica Matamoros	MX	2020/12/26	excellent	25.87972	-97.50417
Bothell	US	14 May 2017	excellent	47.76232	-122.2054
Bhuban	IN	07/31/2019, 00:00:00	maintenance	20.88197	85.83334
Oaxaca	MX	2019/05/05	average	17.06542	-96.72365
Great Wyrley	GB	04/11/2022, 00:00:00	accep	52.66277	-2.01111
Oberhausen	DE	2013-09-10	good	51.47805	6.8625
Hongseong	KR	2016-06-04	average	36.6009	126.665
Kediri	ID	2018-01-08	good	-7.81667	112.01667
Pameungpeuk	ID	2017/10/04	good	-7.01833	107.60389
Oldenzaal	NL	28 Jul 2013	accep	52.31333	6.92917
Veracruz	PA	30 Jul 2020	accep	8.88988	-79.62603
Herblay	FR	2021/01/27	good	48.98994	2.1699
Estelle	US	04/18/2021, 00:00:00	good	29.84576	-90.10674
Pilkhua	IN	2016-03-08	average	28.71271	77.656
Bobigny	FR	2015-11-03	excellent	48.90982	2.45012
Kitgum	UG	21 Sep 2020	building	3.27833	32.88667
Xiangtan	CN	2021/08/22	accep	27.85	112.9
Covington	US	2015/03/01	average	39.08367	-84.50855
Danjiangkou	CN	09/18/2021, 00:00:00	excellent	32.54278	111.50861
Ganei Tikva	IL	10/06/2012, 00:00:00	good	32.05971	34.8732
Most	CZ	2016-04-20	average	50.50301	13.63617
Jersey City	US	11/03/2014, 00:00:00	good	40.72816	-74.07764
Gandia	ES	2019-06-04	accep	38.96667	-0.18333
Ovalle	CL	08 Aug 2016	good	-30.60106	-71.19901
Gates-North Gates	US	07/04/2022, 00:00:00	average	43.16547	-77.70066
Ilopango	SV	22 Feb 2017	excellent	13.70167	-89.10944
Meizhou	CN	2015-10-15	excellent	24.28859	116.11768
