QoS	latitude	station	code	revision	longitude
excellent	37.74615	Ponta Delgada	PT	23 Sep 2016	-25.66689
good	48.15659	Soroca	MD	07/30/2021, 00:00:00	28.28489
excellent	15.79408	Yasothon	TH	2017-02-03	104.1451
average	-33.79176	Eastwood	AU	09/26/2018, 00:00:00	151.08057
accep	33.03699	Encinitas	US	06/24/2017, 00:00:00	-117.29198
accep	40.55851	Mesagne	IT	11/02/2014, 00:00:00	17.80774
accep	51.12794	Temse	BE	07/24/2015, 00:00:00	4.21372
average	53.53041	Nizhniy Lomov	RU	2022-07-23	43.67663
accep	42.8334	Norfolk County	CA	2013-05-21	-80.38297
maintenance	10.98778	Puerto Colombia	CO	16 Nov 2017	-74.95472
accep	52.48173	Brierley Hill	GB	2016/11/17	-2.12139
maintenance	35.72917	Msaken	TN	04/23/2019, 00:00:00	10.58082
maintenance	-1.9487	Rwamagana	RW	01/15/2013, 00:00:00	30.4347
maintenance	41.66394	Toledo	US	26 Feb 2013	-83.55521
excellent	34.31	Jerada	MA	2019/03/19	-2.16
average	16.455	La Trinidad	PH	13 Dec 2020	120.5875
average	-2.90055	Cuenca	EC	2020-01-30	-79.00453
building	42.7	Aytos	BG	2022-02-10	27.25
excellent	43.62558	Falconara Marittima	IT	12/24/2020, 00:00:00	13.39954
good	53.69786	Leyland	GB	2017/04/15	-2.68758
building	51.08468	Burscheid	DE	2019-07-02	7.11393
accep	40.72586	Sassari	IT	2022/02/21	8.55552
maintenance	50.23805	Nidderau	DE	2019/04/13	8.86704
average	57.30185	Gavrilov-Yam	RU	2013/06/06	39.85331
average	49.28669	Elbeuf	FR	2018/12/04	1.00288
accep	22.19303	Diamond Harbour	IN	2019-07-07	88.18466
good	51.26	Westbury	GB	2019-04-23	-2.1875
excellent	-21.15	Ikalamavony	MG	2014/06/09	46.58333
accep	44.27804	Kaukauna	US	2014-01-31	-88.27205
good	36.76639	Boumerdas	DZ	06/13/2022, 00:00:00	3.47717
good	53.69786	Leyland	GB	18 Mar 2016	-2.68758
accep	52.53048	Charlottenburg-Nord	DE	01 Dec 2016	13.29371
average	55.67938	Frederiksberg	DK	2016-10-22	12.53463
building	25.67927	Kendall	US	2014-06-29	-80.31727
average	51.78967	Clacton-on-Sea	GB	2014-11-30	1.15597
building	14.0823	Dawei	MM	2017-05-28	98.19151
good	36.24624	Fujioka	JP	2019/01/31	139.07204
accep	39.12074	Bergama	TR	2018-10-09	27.18052
excellent	35.89972	Valletta	MT	17 Jun 2020	14.51472
accep	23.02677	Foshan	CN	07 Oct 2014	113.13148
accep	45.53069	Gorgonzola	IT	08/23/2018, 00:00:00	9.40531
excellent	-33.38056	Durazno	UY	2017-04-18	-56.52361
average	41.77583	Hakodate	JP	04/01/2017, 00:00:00	140.73667
excellent	35.89972	Valletta	MT	15 May 2013	14.51472
average	31.64615	Changshu City	CN	2014/02/19	120.74221
average	5.4709	Batu Feringgi	MY	07/11/2022, 00:00:00	100.24529
average	29.84576	Estelle	US	2016-10-17	-90.10674
good	40.56754	Pekin	US	2021-09-03	-89.64066
average	53.6052	Barmbek-Nord	DE	2014/06/06	10.03988
average	50.09019	Hofheim am Taunus	DE	01 Aug 2018	8.4493
excellent	41.16704	Bridgeport	US	03/08/2013, 00:00:00	-73.20483
accep	8.43333	Nakhon Si Thammarat	TH	2019/12/05	99.96667
building	28.98002	Meerut	IN	2019-08-12	77.70636
average	35.61452	Jackson	US	2018/04/10	-88.81395
building	50.20528	Jaworzno	PL	2019/01/12	19.27498
accep	54.48147	Oktyabr’skiy	RU	2015/10/02	53.47103
building	65.84811	Tornio	FI	16 Mar 2014	24.14662
accep	38.13708	Silvan	TR	03 May 2014	41.00817
good	26.9423	Tharu Shah	PK	2016/06/03	68.11759
good	50.26729	Vernon	CA	24 Mar 2018	-119.27337
building	29.84576	Estelle	US	2022/06/14	-90.10674
good	10.31672	Cebu City	PH	24 Aug 2020	123.89071
maintenance	40.66482	Yingkou	CN	10/21/2021, 00:00:00	122.22833
average	37.05944	Gaziantep	TR	2020/12/23	37.3825
accep	55.85	Likhobory	RU	2012/11/12	37.56667
average	-7.73379	Besuki	ID	03 Jun 2013	113.69785
building	37.65639	Goyang-si	KR	2019/04/17	126.835
excellent	37.74615	Ponta Delgada	PT	09 Sep 2021	-25.66689
accep	37.73222	Hengshui	CN	2017/10/15	115.70111
building	42.67164	Roseto degli Abruzzi	IT	20 Dec 2019	14.01481
building	33.14447	Darreh Shahr	IR	04/05/2016, 00:00:00	47.3799
excellent	40.42386	San Fernando de Henares	ES	2022-02-18	-3.53261
accep	35.05266	Fayetteville	US	04 Apr 2014	-78.87836
accep	48.77644	Sceaux	FR	15 Apr 2020	2.29026
average	18.42745	Aguadilla	PR	2016-05-09	-67.15407
building	31.64615	Changshu City	CN	13 Apr 2018	120.74221
excellent	-3.5403	Majene	ID	2013/04/07	118.9707
good	47.76232	Bothell	US	05/21/2013, 00:00:00	-122.2054
building	44.97639	Sremska Mitrovica	RS	11/10/2018, 00:00:00	19.61222
excellent	47.76232	Bothell	US	2014-10-02	-122.2054
average	42.55308	Pleasant Prairie	US	2016-11-14	-87.93341
excellent	-2.90055	Cuenca	EC	10/30/2020, 00:00:00	-79.00453
good	32.54278	Danjiangkou	CN	2017-08-09	111.50861
maintenance	44.75874	Bijeljina	BA	2020-01-23	19.21437
building	30.35028	Jingzhou	CN	2020-07-30	112.19028
accep	48.90472	La Garenne-Colombes	FR	12/31/2013, 00:00:00	2.2469
average	46.65581	Kherson	UA	2021-03-18	32.6178
good	35	Komono	JP	2015-08-10	136.51667
maintenance	53.00974	Rhosllanerchrugog	GB	2019/10/16	-3.05814
maintenance	31.28092	Patti	IN	2017-10-24	74.85849
excellent	26.67319	Juhaynah	EG	2019-05-10	31.4976
average	-22.45667	Santa Gertrudes	BR	10/24/2017, 00:00:00	-47.53028
accep	6.95194	Recodo	PH	2014/02/16	121.96361
accep	11.8659	Ar Ruseris	SD	2017/05/09	34.3869
average	43.62558	Falconara Marittima	IT	2019/03/23	13.39954
average	53.43333	Athlone	IE	2018/09/11	-7.95
excellent	50.06	Mikhaylovka	RU	08 Apr 2020	43.2379
average	3.51667	Mbalmayo	CM	2014/10/29	11.5
building	-20.87306	Viradouro	BR	08/31/2020, 00:00:00	-48.29694
excellent	36.06386	El Achir	DZ	2021/03/18	4.62744
good	44.92801	Valence	FR	2014-05-13	4.8951
good	50.72043	Rudolstadt	DE	2020/10/09	11.34046
accep	-15.675	Canavieiras	BR	31 Mar 2019	-38.94722
accep	39.57582	Ken Caryl	US	29 Jan 2019	-105.11221
average	23.15678	Varadero	CU	11/11/2018, 00:00:00	-81.24441
average	-7.57897	Diwek	ID	04/13/2020, 00:00:00	112.23109
maintenance	-1.63333	Franceville	GA	21 Sep 2017	13.58357
excellent	-37.9	Wheelers Hill	AU	2015/09/05	145.18333
average	45.75279	Boli	CN	2012-10-11	130.57211
good	20.22816	Zacoalco de Torres	MX	05 Aug 2017	-103.5687
building	45.44694	Novara	IT	2017/12/16	8.62118
accep	22.88783	Jashpurnagar	IN	2014-11-09	84.13864
good	33.45122	Hueytown	US	2019-10-18	-86.99666
excellent	-6.91806	Sukabumi	ID	2022/03/17	106.92667
excellent	47.48444	Polohy	UA	27 Nov 2015	36.25361
average	-33.88096	Strathfield	AU	2021-05-25	151.07986
good	-26.22861	Pato Branco	BR	01/02/2016, 00:00:00	-52.67056
average	-33.38056	Durazno	UY	2017-07-01	-56.52361
good	32.87533	Daud Khel	PK	2015/01/28	71.57118
average	50.5107	Strzelce Opolskie	PL	2021/10/27	18.30056
accep	9.15093	Chilibre	PA	07/09/2017, 00:00:00	-79.62098
excellent	50.75767	Lymington	GB	2022/07/15	-1.5443
good	-6.25	Mvomero	TZ	08/23/2021, 00:00:00	38.66667
good	57.30185	Gavrilov-Yam	RU	03/16/2018, 00:00:00	39.85331
accep	23.29549	Licheng	CN	01 Feb 2014	113.82465
average	51.24197	Lille	BE	2015/09/28	4.82313
average	20.21322	Salvatierra	MX	2018-04-20	-100.88023
excellent	51.62907	High Wycombe	GB	08 Oct 2017	-0.74934
maintenance	39.43534	Lebanon	US	2018/11/09	-84.20299
maintenance	42.30865	Canton	US	2016/03/24	-83.48216
excellent	33.78333	Wacheng	CN	2016/06/01	114.51667
excellent	25.92127	Madhipura	IN	2021-02-21	86.79271
good	-20.88231	Saint-Denis	RE	10 May 2019	55.4504
accep	45.73333	Bron	FR	12 Apr 2015	4.91667
accep	11.12018	Manjeri	IN	2018-09-21	76.11996
maintenance	43.4125	Montana	BG	2021/03/18	23.225
good	35.8	Gero	JP	2015/01/28	137.23333
building	45.79377	Malnate	IT	05/03/2015, 00:00:00	8.88104
excellent	-10.91111	Aracaju	BR	14 Sep 2015	-37.07167
building	53.93361	Kireyevsk	RU	2017-10-24	37.92792
excellent	39.72943	Aurora	US	2022-08-18	-104.83192
good	43.78956	Ventimiglia	IT	2021-05-04	7.60872
average	33.03699	Encinitas	US	2019-08-26	-117.29198
good	12.74409	Kati	ML	07/25/2018, 00:00:00	-8.07257
good	51.65	Barnet	GB	02/23/2021, 00:00:00	-0.2
average	20.88197	Bhuban	IN	18 Mar 2018	85.83334
excellent	47.92526	Grand Forks	US	2018/08/24	-97.03285
good	45.53929	Troutdale	US	21 Dec 2019	-122.38731
good	7.57944	New Yekepa	LR	06 Mar 2018	-8.53778
average	16.68911	Myawadi	MM	03/11/2016, 00:00:00	98.50893
maintenance	-3.14306	Itacoatiara	BR	2020/02/25	-58.44417
accep	48.25	Floridsdorf	AT	01/19/2013, 00:00:00	16.4
excellent	41.91738	Palafrugell	ES	2016/01/21	3.1631
average	-7.01833	Pameungpeuk	ID	2015/04/23	107.60389
average	45.43341	Beaconsfield	CA	12/20/2012, 00:00:00	-73.86586
average	47.46657	Zaysan	KZ	2013/04/11	84.87144
average	6.46838	Socorro	CO	2020/12/15	-73.26022
good	51.42708	Lower Earley	GB	04 Oct 2013	-0.91979
excellent	3.3285	Tebingtinggi	ID	05/17/2014, 00:00:00	99.1625
maintenance	33.45122	Hueytown	US	2017/09/27	-86.99666
average	38.91817	Front Royal	US	2020-09-26	-78.19444
average	49.13645	Eppingen	DE	2017/05/24	8.91229
building	-1.6	Jambi City	ID	2018/10/15	103.61667
average	43.82634	Motomachi	JP	19 Feb 2015	144.09638
excellent	33.42585	Oulmes	MA	12 Nov 2012	-6.00137
maintenance	47.48444	Polohy	UA	2015-03-24	36.25361
excellent	-38.16604	Frankston South	AU	09 Jun 2019	145.13643
maintenance	42.8139	Segundo Ensanche	ES	07/04/2015, 00:00:00	-1.64295
excellent	-25.42944	Palmeira	BR	09/23/2020, 00:00:00	-50.00639
excellent	33.95015	South Whittier	US	05/01/2022, 00:00:00	-118.03917
maintenance	43.48961	Ferrol	ES	14 Jan 2021	-8.2194
average	48.07667	Trossingen	DE	19 Dec 2018	8.64409
good	42.4251	Malden	US	2019-02-20	-71.06616
good	15.5439	Calangute	IN	15 Sep 2016	73.7553
average	43.50891	Split	HR	02/19/2022, 00:00:00	16.43915
excellent	-4.16694	Guaraciaba do Norte	BR	28 Apr 2022	-40.7475
building	49.65186	Krasyliv	UA	2017-04-14	26.97253
excellent	9.89206	Baki	SO	2021/04/06	43.38531
building	41.55947	Campobasso	IT	2021/06/09	14.66737
good	0.76755	Yangambi	CD	29 Jul 2018	24.43973
good	40.85158	Haicheng	CN	08/09/2020, 00:00:00	122.74754
excellent	53.46506	Chapletown	GB	16 Jun 2016	-1.47217
building	24.05979	Leteri	IN	06 Mar 2014	77.40858
average	37.51803	Misterbianco	IT	2021/06/27	15.00913
average	38.07789	Villabate	IT	2015/05/30	13.44275
building	-22.45667	Santa Gertrudes	BR	27 Dec 2012	-47.53028
good	45.75279	Boli	CN	28 Jan 2017	130.57211
building	57.30185	Gavrilov-Yam	RU	2016/01/15	39.85331
accep	33.42585	Oulmes	MA	01/07/2022, 00:00:00	-6.00137
average	53.94313	Bad Segeberg	DE	2018/12/06	10.30215
average	29.22254	Haldwani	IN	20 Feb 2021	79.5286
average	-1.26753	Balikpapan	ID	2021-07-04	116.82887
average	32.9156	Mira Mesa	US	05/18/2020, 00:00:00	-117.14392
accep	38.55632	Vahdat	TJ	09/28/2012, 00:00:00	69.01354
accep	43.35071	Gudermes	RU	05/29/2014, 00:00:00	46.10925
good	18.51957	Pune	IN	2019/09/25	73.85535
excellent	46.09273	Iron River	US	31 Jul 2017	-88.64235
good	64.5635	Severodvinsk	RU	01 Jun 2021	39.8302
building	13.65805	Paoy Paet	KH	2012-11-26	102.56365
accep	46.09273	Iron River	US	03/01/2017, 00:00:00	-88.64235
good	33.08014	Milledgeville	US	2022-07-16	-83.2321
average	43.82634	Motomachi	JP	2015-11-17	144.09638
building	30.75545	Ajdabiya	LY	2021/09/23	20.22625
excellent	40.53123	Francavilla Fontana	IT	06 Dec 2018	17.58522
excellent	-32.05251	Willetton	AU	2021-09-07	115.88782
building	25.67927	Kendall	US	01/14/2014, 00:00:00	-80.31727
average	-21.44345	Tupiza	BO	2021-11-30	-65.71875
accep	27.92333	Pucheng	CN	17 Jun 2016	118.53333
maintenance	56.9083	Beryozovsky	RU	2019/01/29	60.8019
maintenance	41.75338	Granger	US	2022/06/06	-86.11084
building	49.88307	Kelowna	CA	07/11/2017, 00:00:00	-119.48568
maintenance	-20.88231	Saint-Denis	RE	2022-02-22	55.4504
average	45.47885	Lesozavodsk	RU	01 May 2014	133.42825
accep	41.24264	Bisceglie	IT	30 Nov 2015	16.50104
average	-7.81667	Kediri	ID	06/07/2021, 00:00:00	112.01667
average	49.68369	Bensheim	DE	28 Aug 2013	8.61839
average	46.1351	Sydney	CA	20 Jul 2016	-60.1831
building	48.79325	Fontenay-aux-Roses	FR	2020-05-12	2.29275
excellent	32.44874	Abilene	US	2013-05-18	-99.73314
excellent	12.1277	Dharmapuri	IN	2015-10-14	78.15794
good	40.57788	Brighton Beach	US	2012/10/29	-73.95958
average	41.8542	Lower West Side	US	2018-02-03	-87.66561
accep	-4.5833	Kasangulu	CD	31 Jan 2017	15.16554
accep	-20.25333	Itabirito	BR	2013/11/06	-43.80139
average	30.75545	Ajdabiya	LY	2013/11/22	20.22625
accep	34.09668	Claremont	US	19 Jan 2019	-117.71978
accep	30.46907	Kot Addu	PK	2014/06/11	70.96699
average	37.74615	Ponta Delgada	PT	22 Feb 2017	-25.66689
average	-34.74785	Pontevedra	AR	07/29/2017, 00:00:00	-58.70072
good	4.96667	Tonga	CM	2021/07/06	10.7
good	14.62578	Antipolo	PH	2022/04/27	121.12251
accep	-34.74785	Pontevedra	AR	11/11/2015, 00:00:00	-58.70072
maintenance	6.25947	Tak Bai	TH	2018/09/02	102.05461
average	54.8421	Alatyr’	RU	2015-12-17	46.5813
good	46.23899	Charlottetown	CA	01/30/2022, 00:00:00	-63.13414
building	41.94175	Hushitai	CN	2013/03/15	123.50266
good	-32.45242	La Ligua	CL	2015/09/10	-71.23106
excellent	26.2173	North Lauderdale	US	01/30/2018, 00:00:00	-80.22588
