location	longitude	latitude	QoS	station	revision
Europe/Rome	12.70038	45.9836	maintenance	Cordenons	2020-05-04
America/Santiago	-71.19901	-30.60106	building	Ovalle	2013-01-22
America/Mexico_City	-103.5687	20.22816	good	Zacoalco de Torres	2021/04/14
America/Edmonton	-113.3187	53.51684	accep	Sherwood Park	2021-06-18
Africa/Lagos	5.06258	7.50251	good	Igbara-Odo	01/08/2016, 00:00:00
Asia/Kolkata	73.66633	25.92493	maintenance	Sojat	09/14/2014, 00:00:00
Africa/Cairo	29.91582	31.20176	accep	Alexandria	2013-02-13
America/New_York	-82.46148	28.15112	accep	Lutz	2019/10/02
America/Recife	-34.88111	-8.05389	acceptable	Recife	2021/03/30
Asia/Kolkata	77.656	28.71271	building	Pilkhua	2017/11/27
Europe/London	-0.32247	50.82882	good	Lancing	03/18/2019, 00:00:00
America/New_York	-80.22588	26.2173	good	North Lauderdale	2013-10-01
Asia/Shanghai	112.19028	30.35028	accep	Jingzhou	2016-01-10
America/New_York	-73.89875	40.93121	excellent	Yonkers	2021/11/15
Europe/Moscow	53.26023	54.39304	good	Bavly	2016-10-04
Africa/Cairo	31.4976	26.67319	accep	Juhaynah	21 Jun 2019
Europe/London	-1.99421	51.35084	accep	Devizes	2014/12/21
America/Los_Angeles	-117.54866	33.93113	accep	Norco	2021/10/30
Europe/London	-3.05	53.81667	excellent	Blackpool	2017/08/24
America/Chicago	-91.06177	33.41012	average	Greenville	2021-10-09
Europe/Paris	-1.05366	43.71032	maintenance	Dax	2016-08-04
Africa/Bamako	-8.07257	12.74409	building	Kati	06/16/2022, 00:00:00
America/Sao_Paulo	-49.27306	-25.42778	average	Curitiba	08/12/2014, 00:00:00
America/Chicago	-88.27205	44.27804	average	Kaukauna	10 Sep 2016
Asia/Shanghai	122.05228	37.19723	excellent	Tianfu	23 Feb 2016
America/Chicago	-91.06177	33.41012	accep	Greenville	2014-04-16
America/New_York	-82.07842	26.91756	average	Punta Gorda Isles	2014/01/05
Europe/Kiev	31.33078	47.56494	excellent	Voznesensk	2012-11-27
Europe/Rome	7.60872	43.78956	excellent	Ventimiglia	18 Oct 2018
America/Los_Angeles	-122.24092	47.4943	good	Bryn Mawr-Skyway	2015/11/02
Europe/Paris	2.29026	48.77644	excellent	Sceaux	2012-09-27
Africa/Algiers	2.95924	36.76775	good	Cheraga	2020/12/31
Europe/London	-1.47217	53.46506	good	Chapletown	2017-08-12
Europe/Paris	5.4384	43.2907	accep	Marseille 11	2020-11-15
Asia/Yekaterinburg	56.36091	51.78771	accep	Saraktash	02 Jun 2017
Europe/Berlin	7.02238	52.21099	building	Gronau	31 Mar 2017
Asia/Kolkata	91.61356	26.44931	average	Rangia	14 Aug 2016
Africa/Dar_es_Salaam	38.01667	-5.41667	average	Chanika	11/11/2020, 00:00:00
Australia/Melbourne	145.13643	-38.16604	excellent	Frankston South	06 Jan 2015
Europe/Berlin	13.28702	52.4581	accep	Dahlem	2020-12-26
Europe/Moscow	34.33825	53.59782	accep	Dyat’kovo	2013/05/22
Europe/London	-0.36053	51.64316	accep	Bushey	2020-09-27
America/Argentina/Ushuaia	-68.3	-54.8	building	Ushuaia	2016/05/31
Asia/Kolkata	73.7553	15.5439	excellent	Calangute	2016/01/31
Asia/Kolkata	78.27539	12.95629	excellent	Robertsonpet	2016-07-05
America/Vancouver	-119.48568	49.88307	building	Kelowna	2014-02-19
America/Mexico_City	-97.35992	19.8173	excellent	Teziutlan	2015/11/09
Europe/Zaporozhye	36.25361	47.48444	good	Polohy	2016-09-28
Europe/Amsterdam	6.92917	52.31333	good	Oldenzaal	09/24/2014, 00:00:00
Europe/Prague	12.87117	50.23271	accep	Karlovy Vary	2019-10-20
Europe/Istanbul	28.67582	40.98894	excellent	Yakuplu	08/01/2017, 00:00:00
America/New_York	-72.97261	43.61062	average	Rutland	2019-06-24
Europe/London	1.15597	51.78967	average	Clacton-on-Sea	2019/06/03
Africa/Nairobi	34.11169	0.46005	excellent	Busia	2015-11-11
America/Caracas	-62.64102	8.35122	excellent	Ciudad Guayana	2013/01/13
America/New_York	-81.77285	28.54944	good	Clermont	2019/02/22
Europe/Moscow	37.92792	53.93361	average	Kireyevsk	2014-04-19
Asia/Shanghai	112.9	27.85	good	Xiangtan	2022/05/21
America/Bogota	-74.95472	10.98778	good	Puerto Colombia	2013-03-20
America/New_York	-74.13653	40.63316	average	Port Richmond	01/29/2013, 00:00:00
America/Sao_Paulo	-46.99583	-22.97056	excellent	Valinhos	14 Mar 2022
America/Chicago	-86.77917	36.02506	good	Brentwood Estates	2016-12-23
Asia/Tokyo	139.6853	35.815	accep	Shimotoda	2018/01/02
Europe/Rome	12.38878	43.1122	average	Perugia	2015-05-25
Asia/Bangkok	99.95469	13.51825	accep	Damnoen Saduak	2013/02/21
America/Argentina/Tucuman	-65.61427	-27.4338	good	Aguilares	2020/10/23
Europe/Paris	2.29026	48.77644	excellent	Sceaux	2019-10-04
Africa/Kigali	30.4347	-1.9487	maitennce	Rwamagana	2015/12/22
Europe/Rome	14.01481	42.67164	excellent	Roseto degli Abruzzi	2017/03/15
America/New_York	-73.75513	40.60538	accep	Far Rockaway	2021-09-11
America/Havana	-82.00919	23.04419	building	Jaruco	2019/02/26
Europe/London	-1.29243	53.49389	average	Mexborough	2015-09-19
America/New_York	-80.31727	25.67927	maintenance	Kendall	26 Oct 2021
Asia/Tokyo	144.09638	43.82634	good	Motomachi	25 Sep 2015
Asia/Karachi	75.06583	32.17629	accep	Fazilpur	27 May 2021
Europe/Paris	2.2469	48.90472	accep	La Garenne-Colombes	2018-12-06
Africa/Porto-Novo	2.59753	8.88649	accep	Tchaourou	2017-11-05
Europe/Madrid	-8.2194	43.48961	maintenance	Ferrol	2020/05/20
Asia/Jakarta	112.23109	-7.57897	accep	Diwek	2022-06-02
America/Chicago	-97.90308	31.12406	good	Copperas Cove	08/16/2016, 00:00:00
Europe/Madrid	-6.03731	37.35813	accep	San Juan de Aznalfarache	20 Aug 2022
America/Sao_Paulo	-47.53028	-22.45667	average	Santa Gertrudes	11/07/2018, 00:00:00
America/Santarem	-52.20639	-3.20333	good	Altamira	2017-04-19
Europe/London	-1.47217	53.46506	good	Chapletown	02 Dec 2018
America/Bahia	-39.25	-12.91667	good	Muritiba	2013-07-08
Europe/Moscow	37.92792	53.93361	maintenance	Kireyevsk	15 Feb 2022
Asia/Tokyo	137.4	34.81667	maintenance	Toyokawa	08/29/2013, 00:00:00
Europe/Rome	16.50104	41.24264	good	Bisceglie	2018-08-03
Asia/Yekaterinburg	60.70278	55.75556	average	Ozersk	2019/12/22
America/Sao_Paulo	-53.13722	-22.92306	good	Loanda	18 Nov 2015
America/Mexico_City	-93.11308	16.75973	maintenance	Tuxtla	2016/12/14
Asia/Shanghai	115.70111	37.73222	good	Hengshui	16 Nov 2016
Europe/Rome	15.07041	37.49223	accep	Catania	2018/04/29
America/New_York	-77.96389	39.45621	building	Martinsburg	2022-07-29
America/Los_Angeles	-117.79394	33.76446	maintenance	North Tustin	2013/03/02
Europe/Berlin	7.36027	51.20219	accep	Radevormwald	06 Jul 2014
Asia/Kolkata	85.94001	25.49043	accep	Teghra	07/25/2022, 00:00:00
Europe/Berlin	8.77155	50.23019	excellent	Karben	11 Dec 2015
Africa/Lagos	4.74161	7.62789	excellent	Ilesa	2022-09-14
Africa/Mogadishu	42.54536	-0.35817	building	Kismayo	2018/01/15
America/Sao_Paulo	-43.80139	-20.25333	excellent	Itabirito	22 Mar 2021
Europe/Madrid	-8.2194	43.48961	good	Ferrol	16 Jun 2021
Europe/London	-2.09814	57.14369	excellent	Aberdeen	2013/12/07
Europe/Berlin	9.15214	49.97704	maintenance	Aschaffenburg	2019-11-28
America/Jamaica	-76.78319	18.00747	average	New Kingston	11/10/2017, 00:00:00
Asia/Almaty	84.87144	47.46657	accep	Zaysan	2019-02-08
Europe/Berlin	12.1369	51.04962	good	Zeitz	2016-10-24
Africa/Nairobi	36.36339	0.03813	average	Nyahururu	22 Jul 2021
America/Lima	-69.08333	-16.25	accep	Yunguyo	2018/07/22
America/New_York	-73.0515	41.55815	average	Waterbury	01/11/2019, 00:00:00
Asia/Karachi	71.52847	32.57756	excellent	Mianwali	10/02/2020, 00:00:00
America/Guayaquil	-79.59415	-2.13404	average	Milagro	06 Mar 2016
Europe/Berlin	9.72749	48.28259	excellent	Ehingen	2017-07-08
America/Chicago	-96.39774	30.16688	accep	Brenham	2022-02-06
America/Mexico_City	-102.04897	19.64745	building	Paracho de Verduzco	06/23/2016, 00:00:00
Asia/Tokyo	130.94098	33.3213	accep	Hita	06/03/2022, 00:00:00
Europe/Paris	1.6	43.11667	good	Pamiers	07/19/2018, 00:00:00
Asia/Tokyo	130.94098	33.3213	accep	Hita	04/07/2013, 00:00:00
Asia/Damascus	38.28402	34.5624	good	Tadmur	11/24/2018, 00:00:00
Asia/Shanghai	114.68333	23.73333	good	Heyuan	2020-08-10
America/Puerto_Rico	-67.15407	18.42745	average	Aguadilla	2020/06/03
America/Sao_Paulo	-48.67028	-28.24	good	Imbituba	2013-10-01
America/Denver	-104.22884	32.42067	maitennce	Carlsbad	2013/04/13
Africa/Tunis	9.37082	36.08497	acceptable	Siliana	16 Nov 2021
Europe/Brussels	3.16667	50.8	maintenance	Wevelgem	04/12/2021, 00:00:00
Europe/Istanbul	28.67582	40.98894	building	Yakuplu	01 Sep 2022
Europe/Moscow	38.02486	55.64776	average	Malakhovka	2018/04/10
Asia/Kolkata	86.68363	23.49668	accep	Adra	02/20/2014, 00:00:00
Europe/London	-4.0573	55.82737	good	Viewpark	16 Sep 2018
Africa/Johannesburg	30.79165	-27.76952	excellent	Vryheid	02 Sep 2016
Europe/Berlin	13.29371	52.53048	accep	Charlottenburg-Nord	2015/05/10
Asia/Baghdad	44.02488	32.61603	excellent	Karbala	2022-06-13
Asia/Shanghai	113.82465	23.29549	average	Licheng	12/21/2014, 00:00:00
America/Boise	-116.56346	43.54072	accep	Nampa	14 Nov 2015
America/Chicago	-95.30106	32.35126	good	Tyler	10/13/2013, 00:00:00
Asia/Tokyo	142.45778	44.35056	excellent	Nayoro	01/25/2015, 00:00:00
Africa/Algiers	4.62744	36.06386	excellent	El Achir	06/03/2019, 00:00:00
Asia/Kolkata	74.85849	31.28092	excellent	Patti	2019/09/26
Europe/Moscow	37.38115	55.63711	excellent	Solntsevo	04 Jul 2014
America/Santarem	-52.20639	-3.20333	excellent	Altamira	2016/09/28
Asia/Jakarta	106.92667	-6.91806	average	Sukabumi	01/29/2016, 00:00:00
Europe/Rome	14.72443	36.92574	maintenance	Ragusa	24 Nov 2019
Asia/Shanghai	115.70111	37.73222	good	Hengshui	04/08/2018, 00:00:00
Asia/Bishkek	73	40.93333	average	Jalal-Abad	2019-07-16
America/New_York	-81.38758	30.17746	building	Palm Valley	02 Jun 2022
Europe/Madrid	3.1631	41.91738	excellent	Palafrugell	2017/09/27
Asia/Barnaul	83.62389	53.30972	maintenance	Novosilikatnyy	2017/07/01
America/New_York	-74.15987	40.82232	average	Nutley	29 Sep 2017
Africa/Algiers	3.50309	34.15429	accep	Messaad	05/24/2021, 00:00:00
Europe/London	-0.32247	50.82882	maintenance	Lancing	05/01/2021, 00:00:00
Europe/Moscow	43.83992	55.39485	excellent	Arzamas	06/27/2020, 00:00:00
Europe/London	-3.05	53.81667	good	Blackpool	2015/08/26
Asia/Yangon	98.50893	16.68911	good	Myawadi	2019/10/24
Europe/Berlin	12.1369	51.04962	good	Zeitz	11/09/2019, 00:00:00
Asia/Tokyo	130.94098	33.3213	excellent	Hita	2015/05/07
Europe/Oslo	16.54165	68.79833	average	Harstad	09/04/2016, 00:00:00
Europe/Berlin	9.20427	48.49144	good	Reutlingen	10/13/2014, 00:00:00
America/Los_Angeles	-117.71978	34.09668	good	Claremont	2015-09-10
Europe/Madrid	2.35739	41.63976	accep	Cardedeu	02/22/2015, 00:00:00
Asia/Hong_Kong	114.10479	22.37066	maintenance	Tsuen Wan	2015-11-03
America/Sao_Paulo	-41.88778	-21.205	building	Itaperuna	2018-11-10
Africa/Dar_es_Salaam	37.73333	-4.06667	building	Same	2014/01/05
Europe/Skopje	21.32778	42	building	Saraj	03/18/2016, 00:00:00
America/New_York	-84.20299	39.43534	good	Lebanon	09/16/2020, 00:00:00
America/Los_Angeles	-120.93549	37.73604	excellent	Riverbank	2016/04/24
America/New_York	-74.13653	40.63316	accep	Port Richmond	01 Jan 2017
Asia/Kuching	116.10146	5.90702	excellent	Donggongon	2013/02/12
Europe/London	-0.74934	51.62907	good	High Wycombe	06/17/2020, 00:00:00
America/Maceio	-37.07167	-10.91111	excellent	Aracaju	01/09/2015, 00:00:00
America/Mexico_City	-98.11889	19.04222	accep	Casa Blanca	2019/01/17
Asia/Seoul	127.08472	36.20389	average	Nonsan	2019-09-17
Europe/Berlin	8.77155	50.23019	good	Karben	2017/08/08
Europe/Paris	5.4584	43.32393	average	Les Olives	2016-08-10
Asia/Ulaanbaatar	106.88324	47.90771	maintenance	Ulan Bator	2017/12/25
Europe/Moscow	30.38167	59.80917	maintenance	Shushary	30 Aug 2013
Australia/Perth	115.8614	-31.95224	average	Perth	2020-06-23
America/Chicago	-87.71255	41.84364	building	South Lawndale	2022-02-09
Indian/Antananarivo	47.31667	-19.65	average	Antanifotsy	2017/03/26
Europe/London	0.75	52.41667	maintenance	Thetford	2019/04/13
Asia/Karachi	75.06583	32.17629	building	Fazilpur	2022-05-15
America/La_Paz	-65.71875	-21.44345	excellent	Tupiza	16 Mar 2017
Europe/Paris	4.8951	44.92801	excellent	Valence	15 Nov 2013
Europe/London	-0.76667	53.38333	excellent	Gainsborough	2017/07/15
Europe/Moscow	37.56667	55.85	accep	Likhobory	03/14/2020, 00:00:00
Europe/Paris	5.03586	43.83125	accep	Cavaillon	2020-01-02
America/Los_Angeles	-117.54866	33.93113	average	Norco	04/18/2018, 00:00:00
Europe/Berlin	10.98461	48.35693	accep	Friedberg	2014-08-23
America/Mexico_City	-102.04897	19.64745	accep	Paracho de Verduzco	2018/02/07
Asia/Tokyo	136.51667	35	good	Komono	03/10/2016, 00:00:00
Asia/Shanghai	117.33333	34.85	maintenance	Taozhuang	12/15/2018, 00:00:00
America/Detroit	-82.42491	42.97086	good	Port Huron	2013-12-12
Europe/Berlin	8.77155	50.23019	maintenance	Karben	2015-10-19
America/Los_Angeles	-119.0376	34.21639	good	Camarillo	01/26/2014, 00:00:00
Europe/London	-0.33525	53.7446	accep	Kingston upon Hull	2017-11-01
Europe/Rome	17.80774	40.55851	excellent	Mesagne	2015/02/07
Europe/Amsterdam	6.61944	52.57583	average	Hardenberg	07 Jun 2021
Asia/Bangkok	99.95469	13.51825	good	Damnoen Saduak	02 Dec 2020
Asia/Kolkata	85.37752	22.10194	average	Barbil	08/18/2013, 00:00:00
America/Fortaleza	-41.45861	-4.42472	excellent	Pedro II	2019/06/11
America/Argentina/Ushuaia	-68.3	-54.8	good	Ushuaia	22 Apr 2019
Asia/Karachi	68.11759	26.9423	maintenance	Tharu Shah	2013/03/10
Asia/Kolkata	71.57737	21.53889	accep	Gariadhar	2017-01-25
America/Port-au-Prince	-72.22625	18.57677	maitennce	Croix-des-Bouquets	2021-04-20
America/Mexico_City	-103.5687	20.22816	maintenance	Zacoalco de Torres	18 Mar 2020
America/Santo_Domingo	-71.10077	18.20854	excellent	Santa Cruz de Barahona	01/20/2018, 00:00:00
Europe/London	-3.52751	50.7236	accep	Exeter	2017/03/15
America/Manaus	-58.44417	-3.14306	good	Itacoatiara	2020-07-18
Europe/Malta	14.51472	35.89972	maintenance	Valletta	2018-08-29
Asia/Kolkata	81.54855	26.2649	building	Jais	02/10/2015, 00:00:00
Europe/Madrid	3.1631	41.91738	building	Palafrugell	02/15/2020, 00:00:00
America/New_York	-75.60804	39.96097	building	West Chester	2021-08-27
Europe/Saratov	46.04833	51.40944	accep	Privolzhskiy	2022-01-20
America/Sao_Paulo	-41.25528	-19.32556	maintenance	Resplendor	2022-09-25
Europe/Madrid	-4.10734	38.68712	accep	Puertollano	05 Mar 2016
America/Los_Angeles	-122.24092	47.4943	excellent	Bryn Mawr-Skyway	2022-08-09
America/New_York	-78.87836	35.05266	accep	Fayetteville	2016-04-14
Europe/Brussels	4.69889	50.56149	average	Gembloux	2013-06-06
Asia/Shanghai	112.9	27.85	good	Xiangtan	2019/07/24
Asia/Kolkata	78.55757	17.34769	average	Lal Bahadur Nagar	07/24/2019, 00:00:00
Africa/Johannesburg	29.24152	-26.93366	maintenance	Standerton	2012/12/28
Africa/Dar_es_Salaam	37.00438	-7.60361	maitennce	Kidodi	2020/02/02
Europe/Madrid	-2.77259	37.49073	good	Baza	2020/05/29
Europe/Moscow	37.56667	55.85	excellent	Likhobory	09 Oct 2015
Asia/Makassar	118.9707	-3.5403	excellent	Majene	2018-05-10
America/Los_Angeles	-123.02621	44.99012	building	Keizer	16 Feb 2020
America/Mexico_City	-102.04897	19.64745	building	Paracho de Verduzco	10 Apr 2022
Asia/Shanghai	117.33333	34.85	average	Taozhuang	2015/11/18
Africa/Bamako	-8.07257	12.74409	good	Kati	2016-05-26
Asia/Kolkata	78.95693	29.21399	average	Kashipur	2012/12/26
Asia/Phnom_Penh	102.56365	13.65805	excellent	Paoy Paet	17 Jul 2018
Europe/London	-2.58736	56.56317	average	Arbroath	01/04/2018, 00:00:00
Europe/Madrid	2.35739	41.63976	average	Cardedeu	2020-08-12
America/Chicago	-99.73314	32.44874	accep	Abilene	2018-12-03
America/Chicago	-95.63079	31.76212	acceptable	Palestine	10/08/2019, 00:00:00
America/Los_Angeles	-117.79394	33.76446	average	North Tustin	07/28/2013, 00:00:00
Europe/Sofia	24.71204	41.57439	average	Smolyan	12 Sep 2013
Australia/Brisbane	152.70493	-25.54073	average	Maryborough	2017/02/10
Africa/Ndjamena	18.69303	12.18441	accep	Mongo	2018-02-03
Europe/London	-2.58736	56.56317	building	Arbroath	2021/02/12
Asia/Kolkata	78.55757	17.34769	accep	Lal Bahadur Nagar	20 Dec 2012
Europe/Brussels	4.07601	50.88506	good	Denderleeuw	2021/10/21
Asia/Bangkok	103.65309	16.0567	excellent	Roi Et	2018-07-18
America/Chicago	-97.90308	31.12406	average	Copperas Cove	02 Feb 2013
Asia/Kolkata	74.3092	33.37526	average	Rajaori	2016/06/25
Europe/Podgorica	18.84	42.28639	excellent	Budva	08/21/2018, 00:00:00
America/Vancouver	-119.48568	49.88307	accep	Kelowna	2015/09/15
Europe/Berlin	8.4493	50.09019	good	Hofheim am Taunus	2016-10-20
Europe/Kiev	27.06365	50.18545	excellent	Shepetivka	31 Mar 2015
Asia/Kuching	116.10146	5.90702	accep	Donggongon	29 Dec 2020
America/Chicago	-97.90308	31.12406	building	Copperas Cove	2017-03-25
Europe/Moscow	38.12408	53.77166	average	Bogoroditsk	2015-09-17
Africa/Lagos	4.92235	7.65649	excellent	Efon-Alaaye	09/27/2013, 00:00:00
Europe/London	-1.08593	50.79205	accep	Southsea	2022-05-27
Europe/Vienna	15.46667	47.05	accep	Sankt Peter	2020/10/19
Asia/Damascus	38.28402	34.5624	maintenance	Tadmur	06/22/2018, 00:00:00
America/Chicago	-87.71255	41.84364	average	South Lawndale	2022-06-13
Asia/Shanghai	112.19028	30.35028	average	Jingzhou	2016-08-14
Asia/Tokyo	140.73667	41.77583	good	Hakodate	12/25/2019, 00:00:00
America/Los_Angeles	-116.21677	33.7207	good	Indio	2015/12/27
America/Manaus	-58.44417	-3.14306	average	Itacoatiara	12/28/2018, 00:00:00
Africa/Windhoek	16.91667	-21.98333	building	Okahandja	01/08/2014, 00:00:00
Europe/Madrid	-1.86343	38.10558	maintenance	Caravaca	06 Feb 2016
America/New_York	-83.55521	41.66394	accep	Toledo	2020-05-28
Asia/Kolkata	74.83554	14.62072	average	Sirsi	2018-05-26
Europe/Rome	9.32241	44.31771	maintenance	Chiavari	2013-01-12
Africa/Tunis	10.03478	37.16911	accep	El Alia	2020/07/09
Europe/Madrid	2.35739	41.63976	accep	Cardedeu	27 Dec 2020
Asia/Bangkok	99.89166	15.46063	excellent	Thap Than	09/01/2017, 00:00:00
Europe/Rome	8.62118	45.44694	average	Novara	11/01/2020, 00:00:00
Europe/Rome	7.60872	43.78956	good	Ventimiglia	2016/10/12
America/Sao_Paulo	-51.50361	-29.2975	accep	Carlos Barbosa	2018-10-22
Europe/Paris	2.25	50.75	average	Saint-Omer	07 Oct 2013
Europe/Madrid	2.18247	41.41204	good	el Camp de l'Arpa del Clot	08/06/2014, 00:00:00
Africa/Blantyre	34.4587	-13.7804	building	Salima	2019/03/16
Europe/Dublin	-7.35	53.53333	good	An Muileann gCearr	2020/06/30
Africa/Lagos	4.52514	12.74482	building	Argungu	2019/09/03
Africa/Dar_es_Salaam	35.7	-7.76667	excellent	Iringa	30 Jun 2017
Australia/Brisbane	152.70493	-25.54073	good	Maryborough	04/24/2022, 00:00:00
Europe/Berlin	9.15214	49.97704	good	Aschaffenburg	03 Apr 2017
America/Maceio	-37.65	-10.91722	average	Lagarto	13 May 2019
Australia/Brisbane	152.70493	-25.54073	accep	Maryborough	2019/12/14
Asia/Kuala_Lumpur	100.24529	5.4709	acceptable	Batu Feringgi	27 Aug 2016
America/Vancouver	-119.27337	50.26729	accep	Vernon	09 Apr 2013
America/Mexico_City	-102.04897	19.64745	building	Paracho de Verduzco	2017/05/15
Asia/Kolkata	86.68363	23.49668	good	Adra	2019-04-01
Australia/Brisbane	152.70493	-25.54073	average	Maryborough	2021/04/15
Europe/Paris	-1.05366	43.71032	good	Dax	26 Sep 2014
Europe/Madrid	1.10687	41.15612	good	Reus	16 Nov 2019
Asia/Novokuznetsk	85.4265	55.8736	average	Yashkino	2013-05-07
Europe/Dublin	-7.35	53.53333	excellent	An Muileann gCearr	06 Sep 2015
Asia/Shanghai	120.03308	28.88162	acceptable	Guli	05 Dec 2017
Asia/Dili	125.21972	-8.99167	accep	Maliana	2017-04-27
Europe/Chisinau	28.28489	48.15659	average	Soroca	2012/11/13
America/Los_Angeles	-118.25508	34.14251	good	Glendale	11 May 2014
Europe/Rome	13.57661	37.31065	excellent	Agrigento	04/13/2018, 00:00:00
America/Los_Angeles	-122.2054	47.76232	accep	Bothell	2013-03-27
Africa/Douala	9.00472	4.2475	average	Idenao	2021/08/26
America/Mexico_City	-100.88023	20.21322	good	Salvatierra	2015-07-14
Europe/London	0.75	52.41667	excellent	Thetford	2021-02-09
Europe/Berlin	8.63333	52.2	average	Kirchlengern	2016-03-24
Europe/Prague	13.63617	50.50301	average	Most	2021/06/01
Europe/Amsterdam	5.2875	51.65333	accep	Vught	2016-10-10
America/Chicago	-86.78777	33.44872	excellent	Vestavia Hills	04/12/2021, 00:00:00
Asia/Urumqi	86.00214	46.51872	building	Hoxtolgay	2018/08/30
America/New_York	-77.37331	37.60876	average	Mechanicsville	2016/09/23
America/Los_Angeles	-117.23991	47.64995	excellent	Opportunity	05/11/2015, 00:00:00
Africa/Lagos	4.52514	12.74482	good	Argungu	08 Oct 2017
Europe/Berlin	8.51667	51.88333	accep	Verl	12/20/2014, 00:00:00
America/New_York	-81.38758	30.17746	maintenance	Palm Valley	15 Feb 2015
America/New_York	-72.86843	41.27621	accep	East Haven	08/20/2021, 00:00:00
America/El_Salvador	-89.71472	13.73417	good	Sonzacate	05 Feb 2020
America/Los_Angeles	-117.70755	33.52253	accep	Laguna Niguel	04/28/2016, 00:00:00
America/Martinique	-60.94228	14.67751	good	Le Robert	2014-01-17
Europe/Rome	15.00913	37.51803	accep	Misterbianco	14 Sep 2014
America/New_York	-77.37331	37.60876	good	Mechanicsville	11/11/2015, 00:00:00
Asia/Jakarta	113.69785	-7.73379	good	Besuki	2014-05-14
Europe/Lisbon	-9.24671	38.72706	accep	Carnaxide	2018-06-04
Europe/Rome	12.38878	43.1122	average	Perugia	2014-03-19
America/Argentina/Cordoba	-60.93173	-31.4488	good	Esperanza	16 Jan 2018
Asia/Kolkata	88.18466	22.19303	average	Diamond Harbour	2021/01/20
Europe/Istanbul	34.37389	40.1675	maintenance	Sungurlu	2020-01-04
Asia/Shanghai	115.70111	37.73222	accep	Hengshui	01/22/2019, 00:00:00
Indian/Reunion	55.4504	-20.88231	building	Saint-Denis	09/17/2019, 00:00:00
America/New_York	-81.23621	33.98154	good	Lexington	2018-12-06
Asia/Jakarta	110.71639	-7.54972	average	Ngemplak	2021/10/26
America/Merida	-89.66123	21.28306	excellent	Progreso	2017/10/22
America/Los_Angeles	-117.23991	47.64995	excellent	Opportunity	06/09/2022, 00:00:00
Asia/Kuala_Lumpur	100.24529	5.4709	average	Batu Feringgi	28 Feb 2016
Asia/Jakarta	101.44167	0.51667	good	Pekanbaru	26 Nov 2020
Europe/London	-1.29243	53.49389	good	Mexborough	2018/02/18
America/Los_Angeles	-122.40433	37.71715	good	Visitacion Valley	22 Mar 2019
Europe/Rome	17.80774	40.55851	maintenance	Mesagne	09/26/2019, 00:00:00
America/Chicago	-88.31476	36.61033	average	Murray	2020/02/10
Asia/Yekaterinburg	60.70278	55.75556	average	Ozersk	02 Nov 2020
Africa/Johannesburg	29.24152	-26.93366	excellent	Standerton	2013-02-28
Europe/Berlin	12.16179	48.52961	maintenance	Landshut	21 Feb 2016
Asia/Shanghai	130.57211	45.75279	excellent	Boli	2013/04/07
Europe/Rome	9.32241	44.31771	building	Chiavari	01/05/2020, 00:00:00
Asia/Shanghai	111.50861	32.54278	building	Danjiangkou	2021/03/20
America/Mexico_City	-97.35992	19.8173	excellent	Teziutlan	2015-02-03
America/Chicago	-89.64066	40.56754	excellent	Pekin	2019-09-26
America/New_York	-82.46148	28.15112	average	Lutz	08 May 2019
Europe/Berlin	9.17702	48.78232	good	Stuttgart	12/29/2021, 00:00:00
Asia/Baku	45.36561	41.09246	average	Qazax	10/21/2019, 00:00:00
America/Toronto	-73.75335	45.4473	excellent	Dorval	2015/12/12
Asia/Manila	124.84472	10.13361	good	Maasin	2013-09-06
America/Bogota	-77.03116	3.8801	maintenance	Buenaventura	10/29/2014, 00:00:00
Asia/Kolkata	86.59611	25.87498	building	Saharsa	21 Sep 2017
America/New_York	-76.99081	38.96372	accep	Chillum	2017/11/02
Europe/Brussels	4.69889	50.56149	maintenance	Gembloux	2013-03-15
America/New_York	-73.78458	41.0051	building	Scarsdale	2019-11-09
Europe/Samara	51.3452	53.37596	excellent	Otradnyy	2021/11/17
America/El_Salvador	-89.10944	13.70167	good	Ilopango	07 May 2016
Africa/Tunis	10.78222	36.46917	maintenance	Beni Khiar	2013-09-21
Europe/London	0.47713	51.39323	excellent	Strood	2016-05-04
America/Sao_Paulo	-43.80139	-20.25333	accep	Itabirito	25 Jul 2022
Europe/Sofia	27.25	42.7	maintenance	Aytos	2016/10/22
Asia/Jakarta	107.60389	-7.01833	building	Pameungpeuk	2016-06-06
Asia/Kolkata	78.40102	27.9247	average	Chharra	2013/12/17
Europe/Paris	5.4584	43.32393	maintenance	Les Olives	2013-09-28
Asia/Manila	120.5875	16.455	building	La Trinidad	2019-07-30
Europe/Amsterdam	6.76111	53.16167	maintenance	Hoogezand	12/15/2015, 00:00:00
America/Fortaleza	-42.29444	-4.24444	building	Barras	2017-04-16
America/Chicago	-87.65644	41.80753	good	New City	2018/03/29
America/Chicago	-87.71255	41.84364	building	South Lawndale	2018-11-14
Africa/Lagos	5.06258	7.50251	excellent	Igbara-Odo	2012-11-29
Asia/Shanghai	117.33333	34.85	building	Taozhuang	2022/04/30
Asia/Kolkata	75.96976	15.73628	accep	Gajendragarh	05/13/2018, 00:00:00
Asia/Kolkata	79.41727	12.25282	accep	Gingee	05/31/2014, 00:00:00
Asia/Manila	123.89071	10.31672	good	Cebu City	2014-05-05
