QoS	longitude	code	location	latitude	revision
building	4.69889	BE	Europe/Brussels	50.56149	08/07/2021, 00:00:00
average	37.56667	RU	Europe/Moscow	55.85	04/25/2015, 00:00:00
good	9.15214	DE	Europe/Berlin	49.97704	2013-09-21
average	5.22778	NL	Europe/Amsterdam	51.955	2020-09-15
average	-102.04897	MX	America/Mexico_City	19.64745	28 Oct 2014
building	-49.27306	BR	America/Sao_Paulo	-25.42778	2017/07/19
accep	-1.08593	GB	Europe/London	50.79205	2021/05/18
accep	2.25	FR	Europe/Paris	50.75	02/25/2016, 00:00:00
excellent	-97.03285	US	America/Chicago	47.92526	11/12/2019, 00:00:00
good	-91.11667	GT	America/Guatemala	14.93333	2020-01-12
accep	-88.3162	US	America/Chicago	42.24113	2019/04/19
average	-82.45426	US	America/New_York	27.09978	2015/01/29
building	13.39954	IT	Europe/Rome	43.62558	07 Apr 2014
excellent	-91.11667	GT	America/Guatemala	14.93333	2017/09/02
accep	-100.44843	MX	America/Mexico_City	20.74122	05 Mar 2018
good	-122.40433	US	America/Los_Angeles	37.71715	2013/10/15
good	5.37429	BE	Europe/Brussels	51.03427	2016/02/27
maintenance	-48.67028	BR	America/Sao_Paulo	-28.24	02/10/2018, 00:00:00
good	-91.11667	GT	America/Guatemala	14.93333	2016-03-25
excellent	152.70493	AU	Australia/Brisbane	-25.54073	09/04/2016, 00:00:00
good	33.34864	UA	Europe/Kiev	46.75451	02 May 2020
excellent	-73.02841	CL	America/Santiago	-36.9256	2019-04-10
excellent	19.91667	AO	Africa/Luanda	-11.78333	2020/12/14
good	109.22921	CN	Asia/Shanghai	34.65918	07/16/2020, 00:00:00
accep	-52.51028	BR	America/Sao_Paulo	-28.81833	07/17/2016, 00:00:00
good	123.62494	PH	Asia/Manila	12.37169	2014/11/19
average	-83.55521	US	America/New_York	41.66394	2013-02-18
accep	103.81667	MY	Asia/Kuala_Lumpur	1.6	10/18/2014, 00:00:00
accep	24.95034	FI	Europe/Helsinki	60.18427	08 Jul 2016
acceptable	17.10558	SE	Europe/Stockholm	61.72744	2014-03-03
good	-52.67056	BR	America/Sao_Paulo	-26.22861	2013/03/24
average	56.36091	RU	Asia/Yekaterinburg	51.78771	03/04/2017, 00:00:00
average	38.94324	RU	Europe/Moscow	44.98901	23 Jan 2015
excellent	140.11667	JP	Asia/Tokyo	37.56667	08/31/2022, 00:00:00
good	-117.23991	US	America/Los_Angeles	47.64995	2017-01-06
good	4.82313	BE	Europe/Brussels	51.24197	28 Nov 2012
average	-60.93173	AR	America/Argentina/Cordoba	-31.4488	2016/04/19
maintenance	91.00632	IN	Asia/Kolkata	26.32293	2014/05/27
average	-117.23991	US	America/Los_Angeles	47.64995	2022/06/16
maintenance	-78.04471	US	America/New_York	34.25628	11/21/2021, 00:00:00
good	137.02166	JP	Asia/Tokyo	35.48199	2021/04/08
average	9.15013	NE	Africa/Niamey	13.70727	15 Aug 2014
maintenance	-82.46148	US	America/New_York	28.15112	12/17/2020, 00:00:00
average	-93.12577	US	America/Chicago	44.73941	2016-12-07
average	-4.21376	GB	Europe/London	55.82885	08/12/2013, 00:00:00
good	-77.96389	US	America/New_York	39.45621	05/17/2018, 00:00:00
excellent	-82.42491	US	America/Detroit	42.97086	19 Sep 2013
maintenance	100.48528	TH	Asia/Bangkok	14.37395	25 Oct 2019
maintenance	-58.70072	AR	America/Argentina/Buenos_Aires	-34.74785	24 Dec 2016
excellent	-82.46148	US	America/New_York	28.15112	2020-03-11
good	-97.35992	MX	America/Mexico_City	19.8173	2014/03/31
excellent	-41.25528	BR	America/Sao_Paulo	-19.32556	2018-12-09
excellent	65.93249	AF	Asia/Kabul	36.21544	07/11/2017, 00:00:00
accep	8.70745	DE	Europe/Berlin	49.03685	05 Aug 2021
maintenance	17.22635	SK	Europe/Bratislava	48.8449	03/23/2019, 00:00:00
good	-76.78319	JM	America/Jamaica	18.00747	2017/06/25
good	55.4504	RE	Indian/Reunion	-20.88231	08/06/2014, 00:00:00
good	111.73861	CN	Asia/Shanghai	35.20889	28 Oct 2020
average	15.16554	CD	Africa/Kinshasa	-4.5833	04/24/2019, 00:00:00
good	4.74161	NG	Africa/Lagos	7.62789	2013/08/24
average	129.96972	JP	Asia/Tokyo	33.4425	2016/11/22
building	77.5609	IN	Asia/Kolkata	11.00599	06/09/2016, 00:00:00
accep	130.57211	CN	Asia/Shanghai	45.75279	10/18/2018, 00:00:00
average	5.37429	BE	Europe/Brussels	51.03427	07/25/2016, 00:00:00
average	137.5	JP	Asia/Tokyo	34.9	2014/02/08
average	-77.55777	US	America/New_York	37.52487	04 Mar 2018
good	-91.06177	US	America/Chicago	33.41012	2015/06/15
building	20.91361	MK	Europe/Skopje	41.92361	21 Aug 2019
excellent	122.08333	CN	Asia/Shanghai	46.08333	2014/08/20
accep	74.83554	IN	Asia/Kolkata	14.62072	06/13/2015, 00:00:00
average	21.32778	MK	Europe/Skopje	42	2017/07/23
building	-75.87877	CO	America/Bogota	5.6561	2017/02/16
good	57.3552	RU	Asia/Yekaterinburg	51.4781	02/24/2019, 00:00:00
excellent	140.11667	JP	Asia/Tokyo	37.56667	2019-09-29
accep	-60.94228	MQ	America/Martinique	14.67751	2017-04-16
average	136.13108	JP	Asia/Tokyo	34.75856	2016-02-08
average	178.00417	NZ	Pacific/Auckland	-38.65333	02/09/2013, 00:00:00
excellent	75.06583	PK	Asia/Karachi	32.17629	2022/04/29
good	10.18003	LY	Africa/Tripoli	24.96334	2012-11-29
average	-122.40433	US	America/Los_Angeles	37.71715	17 Apr 2016
good	138.89585	JP	Asia/Tokyo	36.33011	2019-04-28
maintenance	-122.24064	US	America/Los_Angeles	47.80527	06/13/2016, 00:00:00
good	-15.58602	ES	Atlantic/Canary	27.76056	2017-12-29
accep	79.5286	IN	Asia/Kolkata	29.22254	2015-09-18
good	115.04814	CN	Asia/Shanghai	30.24706	2014/01/20
maintenance	91.00632	IN	Asia/Kolkata	26.32293	14 Mar 2018
good	-37.65	BR	America/Maceio	-10.91722	2021/08/26
accep	9.47629	DE	Europe/Berlin	53.59337	2015/10/08
building	68.21204	PK	Asia/Karachi	27.55898	2020-11-06
accep	144.23058	PG	Pacific/Port_Moresby	-5.85746	11 Oct 2018
average	-72.22625	HT	America/Port-au-Prince	18.57677	2021/10/08
average	-0.76667	GB	Europe/London	53.38333	2018/08/23
excellent	19.61222	RS	Europe/Belgrade	44.97639	22 Oct 2017
average	-119.48568	CA	America/Vancouver	49.88307	2013/09/20
good	18.34717	PL	Europe/Warsaw	54.60528	05 Jan 2017
good	-42.98194	BR	America/Sao_Paulo	-22.53722	12/07/2021, 00:00:00
average	8.61839	DE	Europe/Berlin	49.68369	2020/05/04
average	98.19151	MM	Asia/Yangon	14.0823	17 Nov 2021
good	13.31783	DE	Europe/Berlin	52.61131	2017/10/18
average	30.96755	UA	Europe/Kiev	49.07866	03/26/2019, 00:00:00
average	146.05093	AU	Australia/Sydney	-34.28853	15 Jun 2017
maintenance	124.3697	PH	Asia/Manila	9.6531	2019-08-21
good	43.63417	RU	Europe/Moscow	43.96222	06/13/2013, 00:00:00
good	4.52514	NG	Africa/Lagos	12.74482	2014-01-26
building	79.5286	IN	Asia/Kolkata	29.22254	2015/06/07
excellent	38.94324	RU	Europe/Moscow	44.98901	2018-11-05
average	1.00288	FR	Europe/Paris	49.28669	2022/09/21
average	-2.16	MA	Africa/Casablanca	34.31	04/02/2016, 00:00:00
maintenance	-90.10674	US	America/Chicago	29.84576	30 Sep 2013
maintenance	-101.2591	MX	America/Mexico_City	21.01858	01/24/2015, 00:00:00
excellent	137.23333	JP	Asia/Tokyo	35.8	2021-01-30
building	83.36889	IN	Asia/Kolkata	26.76628	04/23/2016, 00:00:00
excellent	171.25364	NZ	Pacific/Auckland	-44.39672	25 May 2017
average	-91.06177	US	America/Chicago	33.41012	17 May 2015
good	88.58	IN	Asia/Kolkata	23.18	07/04/2013, 00:00:00
accep	-8.53778	LR	Africa/Monrovia	7.57944	2015-08-04
good	8.86704	DE	Europe/Berlin	50.23805	02 Aug 2021
excellent	151.08057	AU	Australia/Sydney	-33.79176	2021-02-02
average	-72.47417	CO	America/Bogota	7.83389	06/14/2020, 00:00:00
excellent	-73.0515	US	America/New_York	41.55815	29 Mar 2018
average	86.68363	IN	Asia/Kolkata	23.49668	13 Jul 2014
building	124.95278	PH	Asia/Manila	6.33444	12/09/2017, 00:00:00
building	-97.50417	MX	America/Matamoros	25.87972	2021-02-21
average	78.27539	IN	Asia/Kolkata	12.95629	2016-10-10
excellent	104.64992	TH	Asia/Bangkok	14.64056	02/22/2015, 00:00:00
good	-78.87836	US	America/New_York	35.05266	2013-06-07
building	-4.0573	GB	Europe/London	55.82737	21 Jun 2015
maintenance	-77.02303	US	America/New_York	38.70734	07/19/2016, 00:00:00
excellent	-91.77127	US	America/Chicago	37.95143	2020/08/07
accep	135.6	JP	Asia/Tokyo	34.61667	2017-04-16
good	-73.89875	US	America/New_York	40.93121	08/16/2015, 00:00:00
excellent	8.86704	DE	Europe/Berlin	50.23805	12/10/2014, 00:00:00
accep	-2.52398	GB	Europe/London	53.19146	13 Oct 2015
average	110.71639	ID	Asia/Jakarta	-7.54972	25 May 2022
good	27.02444	TR	Europe/Istanbul	39.59611	2013/01/15
maintenance	-94.91386	MX	America/Mexico_City	17.94979	2019/11/21
building	-74.15987	US	America/New_York	40.82232	10/14/2012, 00:00:00
good	136.51667	JP	Asia/Tokyo	35	2017/07/31
average	10.58082	TN	Africa/Tunis	35.72917	2015-06-18
maintenance	-41.88778	BR	America/Sao_Paulo	-21.205	2020/02/23
excellent	98.19151	MM	Asia/Yangon	14.0823	15 Mar 2020
maintenance	137.36215	JP	Asia/Tokyo	36.75965	03 Sep 2013
building	-1.06667	GB	Europe/London	53.78333	10/05/2020, 00:00:00
excellent	77.5609	IN	Asia/Kolkata	11.00599	2019/11/30
maintenance	-44.31389	BR	America/Sao_Paulo	-19.7625	30 Jan 2014
excellent	4.25633	BE	Europe/Brussels	51.21187	23 Nov 2021
building	-88.27205	US	America/Chicago	44.27804	2016-02-17
accep	-93.71133	US	America/Chicago	41.57721	2013/12/26
maintenance	-99.32556	MX	America/Mexico_City	19.32889	2013/08/14
accep	-93.263	US	America/Chicago	45.0408	09 Dec 2013
excellent	8.51667	DE	Europe/Berlin	51.88333	21 Sep 2013
excellent	2.35739	ES	Europe/Madrid	41.63976	2021-09-14
good	-50.19556	BR	America/Sao_Paulo	-19.72806	2021/10/29
accep	29.26639	TR	Europe/Istanbul	37.58105	10/27/2020, 00:00:00
average	-100.88023	MX	America/Mexico_City	20.21322	09/08/2022, 00:00:00
accep	14.43865	IT	Europe/Rome	40.87329	29 Jan 2020
good	-87.65644	US	America/Chicago	41.80753	2013/05/12
accep	27.25	BG	Europe/Sofia	42.7	2013/07/22
building	5.37429	BE	Europe/Brussels	51.03427	2016/09/22
maintenance	-70.6996	CL	America/Santiago	-33.59217	05/19/2015, 00:00:00
good	24.95034	FI	Europe/Helsinki	60.18427	12/02/2019, 00:00:00
excellent	71.67164	PK	Asia/Karachi	30.29184	12 Jan 2015
maintenance	-98.11889	MX	America/Mexico_City	19.04222	09/15/2021, 00:00:00
excellent	1.33467	FR	Europe/Paris	43.61058	16 Feb 2021
accep	-73.9625	US	America/New_York	40.81	12/25/2012, 00:00:00
maintenance	-87.65644	US	America/Chicago	41.80753	2016-08-13
accep	24.43973	CD	Africa/Lubumbashi	0.76755	2014-03-31
excellent	130.57211	CN	Asia/Shanghai	45.75279	2021/08/12
average	14.01481	IT	Europe/Rome	42.67164	08 Jan 2019
building	43.2379	RU	Europe/Volgograd	50.06	2018-06-03
maintenance	37.3825	TR	Europe/Istanbul	37.05944	06/29/2013, 00:00:00
good	40.17171	RU	Europe/Moscow	58.1908	05/14/2013, 00:00:00
average	10.30215	DE	Europe/Berlin	53.94313	2017-11-14
good	34.86563	IL	Asia/Jerusalem	31.92923	2018-02-22
excellent	8.86374	IT	Europe/Rome	44.89784	2020-03-28
average	100.04427	TH	Asia/Bangkok	13.8196	12/10/2012, 00:00:00
accep	6.92917	NL	Europe/Amsterdam	52.31333	2021/01/21
good	-6.00137	MA	Africa/Casablanca	33.42585	03/17/2014, 00:00:00
average	-89.10944	SV	America/El_Salvador	13.70167	05/26/2018, 00:00:00
average	20.22625	LY	Africa/Tripoli	30.75545	2016/12/18
average	9.15214	DE	Europe/Berlin	49.97704	09/08/2016, 00:00:00
average	-122.86705	US	America/Los_Angeles	45.49428	2018-01-05
building	112.73333	CN	Asia/Shanghai	38.40917	31 Jan 2013
average	-98.11889	MX	America/Mexico_City	19.04222	2012/11/24
accep	-87.66561	US	America/Chicago	41.8542	2017/12/15
building	29.65806	TZ	Africa/Dar_es_Salaam	-4.83	03/04/2018, 00:00:00
good	16.91667	NA	Africa/Windhoek	-21.98333	2020/05/27
average	120.33063	CN	Asia/Shanghai	37.65181	2014-06-12
maintenance	11.32903	DE	Europe/Berlin	50.9803	2014-10-13
accep	12.38878	IT	Europe/Rome	43.1122	09/18/2014, 00:00:00
average	105.75635	VN	Asia/Ho_Chi_Minh	10.29085	06/16/2015, 00:00:00
maintenance	138.31667	JP	Asia/Tokyo	36.65	2021-01-24
good	8.77069	DE	Europe/Berlin	50.80904	07 May 2020
accep	-41.88778	BR	America/Sao_Paulo	-21.205	2017/05/06
building	5.2875	NL	Europe/Amsterdam	51.65333	10/31/2013, 00:00:00
good	74.12286	PK	Asia/Karachi	30.76468	16 Dec 2017
excellent	-6.00137	MA	Africa/Casablanca	33.42585	05 Jul 2013
accep	106.92667	ID	Asia/Jakarta	-6.91806	03 Jan 2015
excellent	55.4504	RE	Indian/Reunion	-20.88231	2018-05-29
building	25.8191	BY	Europe/Minsk	53.5942	2017/06/29
accep	46.04833	RU	Europe/Saratov	51.40944	06/21/2015, 00:00:00
average	-13.2356	SL	Africa/Freetown	8.48714	2017/01/30
excellent	71.57118	PK	Asia/Karachi	32.87533	01/12/2021, 00:00:00
average	102.05461	TH	Asia/Bangkok	6.25947	13 Nov 2020
