location	code	QoS	revision	latitude	longitude
America/Chicago	US	good	12/16/2016, 00:00:00	40.56754	-89.64066
Asia/Kolkata	IN	building	2013/02/08	28.71271	77.656
Asia/Shanghai	CN	accep	15 Dec 2013	24.28859	116.11768
Europe/Paris	FR	excellent	2019-06-14	45.73333	4.91667
Europe/Belgrade	RS	accep	06/01/2020, 00:00:00	44.22639	22.53083
Africa/Maputo	MZ	average	04/27/2015, 00:00:00	-23.85972	35.34722
Asia/Makassar	ID	building	07/17/2021, 00:00:00	3.31332	117.59152
Europe/Madrid	ES	excellent	16 Aug 2018	43.31667	-2.68333
Asia/Kolkata	IN	maintenance	20 Oct 2013	24.05979	77.40858
Indian/Reunion	RE	accep	2014-01-02	-20.88231	55.4504
Europe/Moscow	RU	accep	2020-08-07	55.39485	43.83992
America/Recife	BR	accep	2019/10/31	-8.05389	-34.88111
Europe/Berlin	DE	building	15 May 2018	48.06919	11.37703
Africa/Lagos	NG	excellent	2016-01-06	4.92675	6.26764
Asia/Shanghai	CN	building	26 Nov 2014	32.54278	111.50861
Africa/Casablanca	MA	average	2020-09-09	33.92866	-6.90656
Europe/Brussels	BE	good	16 Oct 2016	50.56149	4.69889
Europe/Rome	IT	good	03 Sep 2017	45.53069	9.40531
Asia/Shanghai	CN	maintenance	11/05/2021, 00:00:00	40.85158	122.74754
Asia/Shanghai	CN	average	2017-06-09	35.85	117.7
Australia/Brisbane	AU	excellent	2019/05/15	-25.54073	152.70493
Asia/Shanghai	CN	maitennce	2014-07-23	42.64031	125.51176
Asia/Manila	PH	average	21 Oct 2017	10.13361	124.84472
Australia/Sydney	AU	good	07/21/2022, 00:00:00	-33.79176	151.08057
Asia/Phnom_Penh	KH	accep	2013-11-20	13.65805	102.56365
Africa/Casablanca	MA	maintenance	06/11/2022, 00:00:00	33.42585	-6.00137
Asia/Kolkata	IN	accep	07/07/2016, 00:00:00	25.13915	73.06784
Europe/London	GB	average	2014/06/27	51.35084	-1.99421
Europe/Amsterdam	NL	excellent	2016/08/05	53.16167	6.76111
Africa/Nairobi	KE	average	06/28/2022, 00:00:00	0.03813	36.36339
Africa/Tunis	TN	average	2020/07/16	36.46917	10.78222
Asia/Kuala_Lumpur	MY	good	2020-11-22	4.02219	101.02083
Africa/Nairobi	KE	accep	2022/07/28	0.46005	34.11169
Asia/Kolkata	IN	maintenance	2013-06-08	15.5439	73.7553
Europe/Minsk	BY	maintenance	2015-11-16	52.4089	31.3237
America/Los_Angeles	US	accep	2019/11/10	36.06523	-119.01677
Africa/Casablanca	MA	acceptable	2018-05-04	34.31	-2.16
America/New_York	US	average	2022-06-14	33.54428	-84.23381
Asia/Shanghai	CN	accep	2012-10-08	35.85	117.7
Asia/Tokyo	JP	good	2018/05/17	36.65	138.31667
America/New_York	US	good	25 May 2021	41.66394	-83.55521
Africa/Dar_es_Salaam	TZ	excellent	13 Oct 2015	-7.60361	37.00438
Europe/Tallinn	EE	accep	2019/06/11	59.37722	28.19028
America/New_York	US	good	20 Sep 2021	42.35843	-71.05977
Asia/Bangkok	TH	excellent	08 Aug 2013	13.44581	101.18445
America/Argentina/Buenos_Aires	AR	building	2018-05-25	-34.64167	-60.47389
Europe/Madrid	ES	accep	2018/04/24	38.47917	-1.325
Asia/Yekaterinburg	RU	maintenance	03/12/2017, 00:00:00	56.9083	60.8019
Europe/Moscow	RU	good	2017-10-06	42.819	47.1192
America/New_York	US	good	2016/11/13	40.68066	-73.47429
Asia/Tehran	IR	accep	08 Jun 2018	33.86419	48.26258
Africa/Maputo	MZ	average	2017-10-20	-23.85972	35.34722
America/New_York	US	excellent	2022/01/08	40.67705	-73.89125
Asia/Ho_Chi_Minh	VN	excellent	2015/10/30	10.29085	105.75635
Europe/Rome	IT	excellent	12/01/2013, 00:00:00	37.31065	13.57661
America/New_York	US	accep	04 Mar 2022	42.52787	-70.92866
America/Sao_Paulo	BR	building	2019/01/18	-19.72806	-50.19556
America/New_York	US	average	06 Feb 2015	32.54044	-82.90375
America/Mexico_City	MX	average	25 Oct 2017	20.22816	-103.5687
Europe/Kiev	UA	accep	01 Jan 2020	49.07866	30.96755
Europe/London	GB	excellent	09/03/2020, 00:00:00	50.75767	-1.5443
Asia/Hebron	PS	excellent	15 Jan 2018	31.78336	35.23388
Europe/London	GB	good	26 Mar 2019	53.38333	-0.76667
Europe/Skopje	MK	excellent	2016-06-28	42	21.32778
Europe/London	GB	accep	2017/07/21	51.38673	0.30367
Asia/Kolkata	IN	maintenance	15 Apr 2020	26.76628	83.36889
Europe/Berlin	DE	good	2018-02-26	49.68369	8.61839
America/Chicago	US	excellent	01/15/2019, 00:00:00	33.44872	-86.78777
Europe/Amsterdam	NL	accep	2020/11/29	52.31333	6.92917
Europe/Kiev	UA	accep	2022-04-03	47.56494	31.33078
Europe/Rome	IT	excellent	2014-01-24	42.67164	14.01481
Europe/Amsterdam	NL	excellent	2014/08/09	52.31333	6.92917
America/Los_Angeles	US	average	2013-10-12	47.38093	-122.23484
Asia/Shanghai	CN	good	08/18/2020, 00:00:00	32.54278	111.50861
Asia/Krasnoyarsk	RU	maintenance	04 Sep 2021	58.23583	92.48278
Europe/Paris	FR	average	05 Nov 2013	48.8222	2.12213
Europe/Madrid	ES	average	22 May 2022	38.68712	-4.10734
America/New_York	US	average	2017/08/07	40.63316	-74.13653
America/Costa_Rica	CR	good	2015-05-16	9.92787	-84.13722
Europe/Warsaw	PL	good	2016-04-04	54.58048	16.86194
Europe/Paris	FR	average	05/28/2013, 00:00:00	48.8765	2.18967
America/Chicago	US	accep	2019-11-06	34.25807	-88.70464
America/Puerto_Rico	PR	average	2017-06-12	18.42745	-67.15407
America/Indiana/Indianapolis	US	building	19 Jun 2020	41.75338	-86.11084
Asia/Krasnoyarsk	RU	average	2017-02-21	55.54028	89.20083
Europe/Rome	IT	building	2021/04/15	38.07789	13.44275
Asia/Bangkok	TH	good	2014-01-17	14.37395	100.48528
America/Fortaleza	BR	good	12 Dec 2016	-4.24444	-42.29444
Europe/London	GB	good	2020-10-20	53.49389	-1.29243
Asia/Manila	PH	accep	07/02/2021, 00:00:00	14.95472	120.89694
America/Sao_Paulo	BR	good	18 Apr 2014	-19.32556	-41.25528
Europe/Berlin	DE	average	03/04/2022, 00:00:00	50.64336	7.2278
Europe/Madrid	ES	average	02 Jan 2015	41.63976	2.35739
Europe/Rome	IT	accep	2018-10-05	41.55947	14.66737
Asia/Kolkata	IN	average	08/03/2015, 00:00:00	21.59983	71.21169
America/New_York	US	acceptable	01 Dec 2014	26.91756	-82.07842
America/Chicago	US	accep	19 Jul 2018	35.25064	-91.73625
Europe/Belgrade	RS	good	16 Jun 2014	44.22639	22.53083
Asia/Karachi	PK	good	10/06/2019, 00:00:00	30.76468	74.12286
Europe/Saratov	RU	accep	03/16/2020, 00:00:00	51.40944	46.04833
America/Bahia	BR	excellent	2019-10-04	-10.95817	-38.79084
Africa/Lagos	NG	average	12/09/2013, 00:00:00	10.61285	12.19458
Asia/Karachi	PK	accep	16 Sep 2020	27.55898	68.21204
Asia/Kolkata	IN	good	2022-09-13	21.59983	71.21169
Europe/Rome	IT	good	2021-07-20	37.49223	15.07041
America/Bogota	CO	building	2016-06-20	8.79577	-75.69947
Europe/Brussels	BE	average	31 Oct 2016	51.24197	4.82313
America/Argentina/Buenos_Aires	AR	maintenance	12 Jun 2021	-34.74785	-58.70072
America/New_York	US	good	02/01/2017, 00:00:00	40.60538	-73.75513
Europe/London	GB	average	06 Aug 2016	55.82737	-4.0573
Asia/Seoul	KR	excellent	06/26/2015, 00:00:00	37.65639	126.835
Europe/Madrid	ES	accep	2013/02/04	37.13548	-3.67029
Europe/Berlin	DE	excellent	23 Jul 2018	50.80904	8.77069
America/New_York	US	accep	14 Jun 2015	39.96097	-75.60804
Asia/Kolkata	IN	accep	2012/10/10	30.81383	75.16878
Asia/Tokyo	JP	excellent	20 Aug 2020	36.75965	137.36215
America/Sao_Paulo	BR	average	05/23/2021, 00:00:00	-22.57306	-47.1725
America/Santiago	CL	good	08/10/2022, 00:00:00	-30.60106	-71.19901
America/Caracas	VE	building	06/26/2022, 00:00:00	10.22677	-67.33122
America/Los_Angeles	US	average	2016-09-16	33.95015	-118.03917
Asia/Kolkata	IN	average	2016/07/17	14.62072	74.83554
Asia/Kolkata	IN	excellent	2014-06-27	19.21667	73.08333
America/Recife	BR	good	2019-08-21	-8.28333	-35.03333
Asia/Tokyo	JP	maintenance	04/28/2017, 00:00:00	34.75856	136.13108
Asia/Manila	PH	excellent	2014-11-18	14.95472	120.89694
Africa/Addis_Ababa	ET	average	06/29/2016, 00:00:00	6.03333	37.55
America/Lima	PE	average	2019/05/04	-3.74912	-73.25383
Asia/Kolkata	IN	average	11/18/2015, 00:00:00	29.22254	79.5286
Asia/Jakarta	ID	good	2018/02/08	-6.8048	110.8405
Asia/Novokuznetsk	RU	accep	06 Aug 2016	55.8736	85.4265
Asia/Aqtobe	KZ	good	2017-04-27	47.83333	59.6
Asia/Manila	PH	accep	01 Oct 2017	10.31672	123.89071
Europe/Brussels	BE	maintenance	17 Apr 2014	50.56149	4.69889
America/Denver	US	accep	2019/02/02	32.42067	-104.22884
Asia/Jakarta	ID	good	08/09/2015, 00:00:00	-6.8048	110.8405
Asia/Shanghai	CN	accep	01/21/2019, 00:00:00	40.66482	122.22833
America/Caracas	VE	average	2020-08-12	10.22677	-67.33122
America/Sao_Paulo	BR	average	20 May 2021	-21.41222	-42.19667
Europe/Amsterdam	NL	good	11/08/2021, 00:00:00	51.65333	5.2875
Europe/Paris	FR	good	12/15/2019, 00:00:00	43.83125	5.03586
Europe/Rome	IT	excellent	2022-01-05	45.9836	12.70038
Africa/Douala	CM	excellent	02/13/2021, 00:00:00	4.2475	9.00472
America/New_York	US	accep	2016/10/31	40.57788	-73.95958
America/New_York	US	average	04/08/2014, 00:00:00	40.94065	-73.99681
America/Chicago	US	good	2015-11-08	32.35126	-95.30106
Europe/Belgrade	RS	maintenance	2017-03-01	44.22639	22.53083
America/Detroit	US	average	02/08/2019, 00:00:00	42.7392	-84.62081
America/Sao_Paulo	BR	maitennce	22 Aug 2015	-19.7625	-44.31389
Europe/Berlin	DE	excellent	2022/05/20	49.97704	9.15214
Europe/Paris	FR	building	2015/11/12	43.2907	5.4384
Europe/Berlin	DE	good	2020/03/15	50.82709	6.9747
Europe/Brussels	BE	average	11/25/2021, 00:00:00	50.71229	4.52529
Europe/Prague	CZ	average	18 Nov 2017	50.23271	12.87117
America/Sao_Paulo	BR	excellent	07/16/2019, 00:00:00	-19.7625	-44.31389
Europe/London	GB	excellent	05/04/2021, 00:00:00	51.26	-2.1875
Asia/Kolkata	IN	accep	22 Aug 2020	26.2649	81.54855
Europe/Berlin	DE	maintenance	2015-06-17	52.59319	13.32127
America/Bogota	CO	excellent	16 Nov 2013	4.73245	-74.26419
Europe/Rome	IT	good	01/01/2016, 00:00:00	37.51803	15.00913
America/Chicago	US	average	12/05/2018, 00:00:00	42.55308	-87.93341
Asia/Manila	PH	accep	27 Sep 2017	15.72892	120.57224
Asia/Karachi	PK	average	2013/09/10	32.17629	75.06583
Europe/Berlin	DE	maintenance	2013/01/29	52.47774	10.5511
America/Chicago	US	good	2018-06-18	34.77453	-96.67834
America/Phoenix	US	accep	10/04/2020, 00:00:00	33.50921	-111.89903
Europe/Amsterdam	NL	building	2018-06-22	51.65333	5.2875
Africa/Khartoum	SD	accep	2016/04/23	11.8659	34.3869
Europe/Berlin	DE	maintenance	07/05/2017, 00:00:00	51.20219	7.36027
Europe/Paris	FR	maintenance	2015-01-21	50.75	2.25
Europe/Kiev	UA	building	11/03/2017, 00:00:00	51.67822	33.9162
Europe/Kiev	UA	average	12/07/2016, 00:00:00	51.67822	33.9162
America/Chicago	US	average	2012-10-16	37.95143	-91.77127
America/Chicago	US	average	03/25/2013, 00:00:00	41.57721	-93.71133
America/New_York	US	good	2017/02/25	40.82232	-74.15987
Asia/Krasnoyarsk	RU	good	2018/10/06	55.54028	89.20083
America/New_York	US	average	29 Oct 2013	38.70734	-77.02303
Europe/Berlin	DE	excellent	03/28/2014, 00:00:00	52.21099	7.02238
Europe/Paris	FR	good	02/11/2013, 00:00:00	46.32313	-0.45877
America/Martinique	MQ	maintenance	02 Dec 2013	14.67751	-60.94228
Asia/Shanghai	CN	good	03/05/2014, 00:00:00	37.65181	120.33063
Europe/Kiev	UA	maintenance	2020-07-18	51.67822	33.9162
Europe/Rome	IT	average	10/05/2015, 00:00:00	45.39402	9.29109
Europe/Istanbul	TR	building	23 Apr 2017	39.59611	27.02444
Africa/Dar_es_Salaam	TZ	good	11/15/2012, 00:00:00	-6.25	38.66667
Europe/Rome	IT	building	10 Dec 2013	40.53123	17.58522
America/Havana	CU	accep	2021-08-10	23.04419	-82.00919
Europe/Berlin	DE	average	05/11/2021, 00:00:00	50.80019	7.20769
Europe/London	GB	average	28 Aug 2017	52.68333	0.93333
Europe/Berlin	DE	accep	2014/08/05	51.30001	13.10984
Asia/Kolkata	IN	good	01 Feb 2017	14.62072	74.83554
Asia/Kolkata	IN	average	2018/01/10	24.05979	77.40858
America/Chicago	US	good	2021/07/03	36.02506	-86.77917
Africa/Algiers	DZ	excellent	30 Jan 2021	36.76775	2.95924
America/Los_Angeles	US	maintenance	10/27/2014, 00:00:00	38.54491	-121.74052
Europe/Berlin	DE	maintenance	02/14/2020, 00:00:00	50.09019	8.4493
Asia/Bangkok	TH	excellent	16 Nov 2017	16.0567	103.65309
America/Bahia	BR	average	2018-03-18	-11.48472	-37.93278
Asia/Kolkata	IN	good	04 Feb 2020	28.98002	77.70636
America/Caracas	VE	accep	2014/06/22	8.62261	-70.20749
Asia/Manila	PH	maintenance	31 Aug 2019	16.0438	120.4861
Asia/Jakarta	ID	average	20 Aug 2022	-7.0981	109.3243
Asia/Tehran	IR	excellent	2014-08-29	32.65246	51.67462
Europe/Rome	IT	building	2013-08-12	40.87363	14.34085
Asia/Hong_Kong	HK	accep	04/14/2021, 00:00:00	22.37066	114.10479
Africa/Tunis	TN	maintenance	2013-05-16	36.46917	10.78222
Asia/Jakarta	ID	average	06/14/2014, 00:00:00	-6.48167	106.85417
America/Chicago	US	accep	2012-11-14	41.6764	-91.58045
Europe/Rome	IT	excellent	2016/04/22	37.49223	15.07041
Indian/Reunion	RE	good	2017/03/10	-20.88231	55.4504
Asia/Tokyo	JP	building	30 Jan 2019	33.3213	130.94098
America/Costa_Rica	CR	accep	2022/01/19	9.92787	-84.13722
Europe/Rome	IT	good	2017-06-06	44.59445	11.04979
Asia/Bishkek	KG	excellent	06 Nov 2020	40.93333	73
America/New_York	US	building	2019/03/21	40.24537	-75.64963
Asia/Yekaterinburg	RU	accep	2013-03-30	58.63667	59.80222
America/Sao_Paulo	BR	average	2022/04/14	-22.92306	-53.13722
America/New_York	US	excellent	03 Jun 2016	42.52787	-70.92866
Europe/Madrid	ES	average	10/10/2018, 00:00:00	38.68712	-4.10734
America/New_York	US	average	2017/05/26	40.65538	-74.38987
Pacific/Efate	VU	excellent	2014-03-07	-17.73648	168.31366
America/Lima	PE	good	01/07/2015, 00:00:00	-15.21194	-75.11028
America/Sao_Paulo	BR	excellent	08/16/2014, 00:00:00	-20.87306	-48.29694
Asia/Kuching	MY	average	2012/12/22	5.90702	116.10146
Europe/Rome	IT	building	2015/03/01	37.31065	13.57661
America/Chicago	US	maintenance	2020-10-17	32.52515	-93.75018
Asia/Tokyo	JP	average	2013/03/22	36.53333	136.61667
Australia/Sydney	AU	building	14 Apr 2020	-34.28853	146.05093
Africa/Tripoli	LY	average	02 Jul 2021	24.96334	10.18003
Europe/Paris	FR	excellent	2019/06/21	43.61092	3.87723
America/Recife	BR	accep	09/30/2016, 00:00:00	-8.66667	-35.71667
Africa/Dar_es_Salaam	TZ	average	17 Jul 2022	-7.76667	35.7
America/Argentina/Buenos_Aires	AR	accep	31 Aug 2018	-34.74785	-58.70072
