QoS	longitude	latitude	revision	station	location
excellent	38.01667	-5.41667	10 Dec 2018	Chanika	Africa/Dar_es_Salaam
average	-2.09814	57.14369	01/09/2020, 00:00:00	Aberdeen	Europe/London
average	7.11393	51.08468	2014/12/26	Burscheid	Europe/Berlin
maintenance	120.97844	14.8361	2020-05-06	Guyong	Asia/Manila
excellent	-156.47432	20.88953	2022/02/12	Kahului	Pacific/Honolulu
excellent	78.23456	28.92694	10/25/2019, 00:00:00	Bachhraon	Asia/Kolkata
average	117.33333	34.85	27 Feb 2017	Taozhuang	Asia/Shanghai
good	2.59753	8.88649	2012-10-18	Tchaourou	Africa/Porto-Novo
excellent	79.82979	11.93381	28 Dec 2016	Puducherry	Asia/Kolkata
good	75.37991	25.75728	15 Sep 2021	Deoli	Asia/Kolkata
average	-73.9614	10.15031	04/02/2013, 00:00:00	El Copey	America/Bogota
excellent	92.48278	58.23583	2018-12-19	Lesosibirsk	Asia/Krasnoyarsk
accep	35.34722	-23.85972	2021/05/21	Maxixe	Africa/Maputo
average	34.33825	53.59782	2019-04-02	Dyat’kovo	Europe/Moscow
excellent	12.16179	48.52961	2019-10-11	Landshut	Europe/Berlin
excellent	136.51667	35	2016/09/13	Komono	Asia/Tokyo
accep	2.31889	35.21222	2022/09/03	Ksar Chellala	Africa/Algiers
average	8.91229	49.13645	02/04/2020, 00:00:00	Eppingen	Europe/Berlin
average	83.97573	21.46527	2012/12/30	Sambalpur	Asia/Kolkata
good	142.45778	44.35056	2018/04/28	Nayoro	Asia/Tokyo
excellent	65.93249	36.21544	06 Jul 2013	Sar-e Pul	Asia/Kabul
good	-89.71472	13.73417	2013-08-16	Sonzacate	America/El_Salvador
maintenance	-111.78903	33.35283	2012-11-05	Gilbert	America/Phoenix
average	124.84472	10.13361	04/06/2019, 00:00:00	Maasin	Asia/Manila
accep	4.21372	51.12794	17 Jun 2020	Temse	Europe/Brussels
good	1.10687	41.15612	20 Nov 2013	Reus	Europe/Madrid
accep	-89.10944	13.70167	2018-10-10	Ilopango	America/El_Salvador
excellent	11.412	45.50369	23 Feb 2013	Montecchio Maggiore-Alte Ceccato	Europe/Rome
accep	144.09638	43.82634	14 Feb 2021	Motomachi	Asia/Tokyo
maintenance	3.16667	50.8	13 Nov 2017	Wevelgem	Europe/Brussels
maintenance	37.99117	44.92934	04/01/2021, 00:00:00	Krymsk	Europe/Moscow
excellent	2.29026	48.77644	2013/11/27	Sceaux	Europe/Paris
building	-52.2	-28.44917	06 Dec 2020	Marau	America/Sao_Paulo
accep	12.6723	41.72063	27 Jul 2013	Ariccia	Europe/Rome
average	-50.19556	-19.72806	2013-10-07	Iturama	America/Sao_Paulo
building	9.0027	11.86064	01/10/2015, 00:00:00	Gaya	Africa/Lagos
average	-48.67028	-28.24	25 Mar 2020	Imbituba	America/Sao_Paulo
maintenance	-5.53715	50.11861	26 Nov 2012	Penzance	Europe/London
average	-117.29198	33.03699	2015/10/19	Encinitas	America/Los_Angeles
building	-13.2356	8.48714	2013-04-04	Freetown	Africa/Freetown
accep	86.51499	23.1959	2020/07/06	Kenda	Asia/Kolkata
excellent	38.94324	44.98901	2022/06/19	Yablonovskiy	Europe/Moscow
good	13.10984	51.30001	02 Aug 2016	Oschatz	Europe/Berlin
excellent	-5.53715	50.11861	2015/09/17	Penzance	Europe/London
excellent	10.03988	53.6052	2014/09/08	Barmbek-Nord	Europe/Berlin
excellent	78.55757	17.34769	12/20/2012, 00:00:00	Lal Bahadur Nagar	Asia/Kolkata
maitennce	34.33825	53.59782	2012/12/18	Dyat’kovo	Europe/Moscow
good	-73.81669	45.44868	23 Jun 2013	Pointe-Claire	America/Toronto
excellent	44.7662	40.49748	02 Dec 2014	Hrazdan	Asia/Yerevan
good	4.07601	50.88506	01 Dec 2017	Denderleeuw	Europe/Brussels
maintenance	-72.47417	7.83389	2016/09/10	Villa del Rosario	America/Bogota
average	39.8302	64.5635	2014/12/30	Severodvinsk	Europe/Moscow
building	-73.25383	-3.74912	2016-11-01	Iquitos	America/Lima
average	101.02083	4.02219	2013-06-08	Teluk Intan	Asia/Kuala_Lumpur
good	5.55575	46.67535	02 Feb 2016	Lons-le-Saunier	Europe/Paris
accep	12.84052	45.78071	06/27/2021, 00:00:00	Portogruaro	Europe/Rome
average	-73.9614	10.15031	03/20/2018, 00:00:00	El Copey	America/Bogota
accep	69.67639	41.29444	2018-10-31	Parkent	Asia/Tashkent
excellent	67.84222	40.11583	2017-08-09	Jizzax	Asia/Samarkand
good	1.33467	43.61058	11 Aug 2015	Colomiers	Europe/Paris
excellent	103.81667	1.6	2019-03-27	Ulu Tiram	Asia/Kuala_Lumpur
accep	120.74221	31.64615	09/05/2022, 00:00:00	Changshu City	Asia/Shanghai
accep	-84.13722	9.92787	20 Dec 2015	San Rafael	America/Costa_Rica
maintenance	-77.02303	38.70734	2019-11-26	Fort Washington	America/New_York
maintenance	-123.02621	44.99012	2015/02/10	Keizer	America/Los_Angeles
excellent	4.21372	51.12794	14 Aug 2019	Temse	Europe/Brussels
accep	-67.15407	18.42745	14 Oct 2019	Aguadilla	America/Puerto_Rico
excellent	-121.75689	36.91023	26 May 2016	Watsonville	America/Los_Angeles
average	35.59642	3.11988	2020/10/02	Lodwar	Africa/Nairobi
building	29.65806	-4.83	2017-12-03	Mwandiga	Africa/Dar_es_Salaam
average	-2.1875	51.26	2021-05-31	Westbury	Europe/London
excellent	-6.90656	33.92866	06/12/2022, 00:00:00	Temara	Africa/Casablanca
good	106.92667	-6.91806	19 Jun 2022	Sukabumi	Asia/Jakarta
excellent	25.34244	50.75932	23 May 2022	Lutsk	Europe/Kiev
excellent	-98.11889	19.04222	04/25/2015, 00:00:00	Casa Blanca	America/Mexico_City
good	-51.87389	-23.44361	2022/07/18	Sarandi	America/Sao_Paulo
building	-115.98391	36.20829	2018-06-22	Pahrump	America/Los_Angeles
accep	-86.78777	33.44872	2014/04/03	Vestavia Hills	America/Chicago
average	-93.71133	41.57721	04/06/2020, 00:00:00	West Des Moines	America/Chicago
excellent	-87.71255	41.84364	16 Oct 2017	South Lawndale	America/Chicago
accep	120.74221	31.64615	06/14/2013, 00:00:00	Changshu City	Asia/Shanghai
good	9.00472	4.2475	2015/09/15	Idenao	Africa/Douala
good	-116.97725	33.92946	2019/05/07	Beaumont	America/Los_Angeles
excellent	77.70636	28.98002	2013-12-27	Meerut	Asia/Kolkata
accep	-50.00639	-25.42944	2021-05-05	Palmeira	America/Sao_Paulo
average	-1.60452	42.06166	02/01/2014, 00:00:00	Tudela	Europe/Madrid
average	35.59642	3.11988	05/11/2018, 00:00:00	Lodwar	Africa/Nairobi
good	9.02596	48.21644	28 Aug 2017	Albstadt	Europe/Berlin
good	32.86389	53.95278	2021-07-13	Roslavl’	Europe/Moscow
excellent	26.01649	44.43579	2016-08-10	Sector 6	Europe/Bucharest
maintenance	72.68533	22.75218	2018-04-26	Kheda	Asia/Kolkata
good	106.88324	47.90771	07/08/2022, 00:00:00	Ulan Bator	Asia/Ulaanbaatar
excellent	101.02083	4.02219	2022/09/12	Teluk Intan	Asia/Kuala_Lumpur
good	-73.47429	40.68066	12/06/2016, 00:00:00	Massapequa	America/New_York
accep	-80.38297	42.8334	15 Sep 2020	Norfolk County	America/Toronto
good	5.74861	52.71083	2015-12-14	Emmeloord	Europe/Amsterdam
average	6.8625	51.47805	2014-04-06	Oberhausen	Europe/Berlin
building	120.97844	14.8361	2014/09/03	Guyong	Asia/Manila
good	-76.88442	40.2737	09/24/2013, 00:00:00	Harrisburg	America/New_York
excellent	-74.28459	40.5576	2019/03/05	Woodbridge	America/New_York
building	-119.0376	34.21639	2016/12/19	Camarillo	America/Los_Angeles
average	118.9707	-3.5403	2014/08/08	Majene	Asia/Makassar
accep	104.64992	14.64056	03/15/2020, 00:00:00	Kantharalak	Asia/Bangkok
excellent	73.7553	15.5439	2019/01/31	Calangute	Asia/Kolkata
maintenance	111.73861	35.20889	06/20/2019, 00:00:00	Changzhi	Asia/Shanghai
good	8.96317	48.35149	09/10/2013, 00:00:00	Hechingen	Europe/Berlin
accep	137.23333	35.8	2020-02-04	Gero	Asia/Tokyo
building	42.54536	-0.35817	2016-10-25	Kismayo	Africa/Mogadishu
accep	-76.78319	18.00747	10/23/2013, 00:00:00	New Kingston	America/Jamaica
accep	-111.90466	40.34912	2015-08-16	Saratoga Springs	America/Denver
average	-42.98194	-22.53722	09/09/2020, 00:00:00	Guapimirim	America/Sao_Paulo
excellent	-87.66561	41.8542	2017/12/27	Lower West Side	America/Chicago
excellent	8.88104	45.79377	26 Dec 2015	Malnate	Europe/Rome
excellent	-81.56929	41.55838	2016/04/03	Collinwood	America/New_York
average	31.4976	26.67319	2022-08-05	Juhaynah	Africa/Cairo
good	98.19151	14.0823	11/09/2015, 00:00:00	Dawei	Asia/Yangon
good	-85.43772	10.63504	21 Dec 2016	Liberia	America/Costa_Rica
good	-83.55521	41.66394	2020-05-14	Toledo	America/New_York
average	34.11169	0.46005	03/23/2015, 00:00:00	Busia	Africa/Nairobi
building	133.42825	45.47885	2022/08/05	Lesozavodsk	Asia/Vladivostok
average	25.8191	53.5942	2019/06/07	Novogrudok	Europe/Minsk
accep	-90.10674	29.84576	2019-12-25	Estelle	America/Chicago
excellent	109.22921	34.65918	2018-01-30	Yanliang	Asia/Shanghai
building	9.85	53.63333	2019-02-28	Halstenbek	Europe/Berlin
accep	89.11943	23.9028	2016-11-05	Kushtia	Asia/Dhaka
average	117.27583	35.64889	2018/05/21	Sishui	Asia/Shanghai
average	3.47717	36.76639	2014-01-13	Boumerdas	Africa/Algiers
accep	-69.96533	43.91452	10/15/2014, 00:00:00	Brunswick	America/New_York
good	-91.77127	37.95143	22 Apr 2022	Rolla	America/Chicago
excellent	37.49338	55.62047	2018/12/01	Tyoply Stan	Europe/Moscow
building	31.4976	26.67319	2015-04-15	Juhaynah	Africa/Cairo
maintenance	-2.52398	53.19146	14 Jul 2019	Winsford	Europe/London
good	137.95378	35.82756	2014/12/17	Ina	Asia/Tokyo
average	13.29371	52.53048	2014-02-28	Charlottenburg-Nord	Europe/Berlin
accep	85.94001	25.49043	04 Jun 2021	Teghra	Asia/Kolkata
average	68.75915	27.52948	12/05/2016, 00:00:00	Khairpur Mir’s	Asia/Karachi
good	-60.1831	46.1351	03/06/2017, 00:00:00	Sydney	America/Glace_Bay
average	8.88104	45.79377	23 Oct 2015	Malnate	Europe/Rome
building	-1.4001	7.06273	12 Apr 2021	Mampong	Africa/Accra
average	77.0202	43.41949	2016/11/05	Otegen Batyra	Asia/Almaty
good	-88.31476	36.61033	2021/04/03	Murray	America/Chicago
building	48.87498	38.45598	2017/10/03	Astara	Asia/Baku
good	39.28333	-10.33333	22 May 2015	Nyangao	Africa/Dar_es_Salaam
excellent	32.86389	53.95278	2020-08-01	Roslavl’	Europe/Moscow
average	-75.69947	8.79577	2014/09/04	San Carlos	America/Bogota
maintenance	-122.86705	45.49428	02/15/2018, 00:00:00	Aloha	America/Los_Angeles
good	72.54566	29.69221	12 Apr 2021	Hasilpur	Asia/Karachi
accep	4.74161	7.62789	2013/08/03	Ilesa	Africa/Lagos
excellent	145.18333	-37.9	12 Dec 2016	Wheelers Hill	Australia/Melbourne
maintenance	-82.07842	26.91756	08 May 2013	Punta Gorda Isles	America/New_York
average	75.11937	20.88098	28 Mar 2015	Parola	Asia/Kolkata
excellent	-70.6996	-33.59217	04/24/2014, 00:00:00	San Bernardo	America/Santiago
maintenance	3.47717	36.76639	2021/05/20	Boumerdas	Africa/Algiers
good	126.835	37.65639	23 Aug 2016	Goyang-si	Asia/Seoul
excellent	-0.91979	51.42708	04/27/2014, 00:00:00	Lower Earley	Europe/London
average	-71.23106	-32.45242	2013/06/28	La Ligua	America/Santiago
accep	100.24529	5.4709	2014-11-18	Batu Feringgi	Asia/Kuala_Lumpur
good	-70.20749	8.62261	2020/06/05	Barinas	America/Caracas
accep	-84.50855	39.08367	2014-04-15	Covington	America/New_York
accep	-116.21677	33.7207	2013/06/19	Indio	America/Los_Angeles
average	122.22833	40.66482	08/31/2018, 00:00:00	Yingkou	Asia/Shanghai
excellent	2.12213	48.8222	07 Feb 2014	Le Chesnay	Europe/Paris
maintenance	-35.71667	-8.66667	16 Nov 2014	Catende	America/Recife
maintenance	-56.52361	-33.38056	2022-06-03	Durazno	America/Montevideo
maintenance	-52.20639	-3.20333	2021-07-20	Altamira	America/Santarem
good	-71.8023	42.58342	2016/09/13	Fitchburg	America/New_York
accep	121.96361	6.95194	10/30/2021, 00:00:00	Recodo	Asia/Manila
accep	10.7	4.96667	27 Mar 2019	Tonga	Africa/Douala
good	-74.96933	39.71734	14 Sep 2022	Sicklerville	America/New_York
good	-98.15529	26.18924	27 Feb 2016	San Juan	America/Chicago
average	79.5286	29.22254	2016-04-08	Haldwani	Asia/Kolkata
accep	-122.39168	40.58654	22 Dec 2014	Redding	America/Los_Angeles
good	137.23333	35.8	04/17/2013, 00:00:00	Gero	Asia/Tokyo
accep	-75.87877	5.6561	2021/01/30	Andes	America/Bogota
excellent	111.4834	65.93381	2022-08-14	Aykhal	Asia/Yakutsk
maintenance	-44.31389	-19.7625	15 Sep 2021	Esmeraldas	America/Sao_Paulo
good	-1.06667	53.78333	02/23/2013, 00:00:00	Selby	Europe/London
excellent	76.92421	60.97944	04 Aug 2021	Izluchinsk	Asia/Yekaterinburg
good	37.3825	37.05944	2022/03/06	Gaziantep	Europe/Istanbul
accep	7.2278	50.64336	22 Aug 2014	Bad Honnef	Europe/Berlin
good	-48.52333	-0.71667	08 Mar 2015	Soure	America/Belem
maintenance	16.4	48.25	2014/08/14	Floridsdorf	Europe/Vienna
maintenance	-80.58556	22.98212	2021-08-22	Corralillo	America/Havana
average	-7.35	53.53333	2017-02-01	An Muileann gCearr	Europe/Dublin
average	120.74221	31.64615	2013-07-12	Changshu City	Asia/Shanghai
average	65.50917	44.85278	2016-11-27	Kyzylorda	Asia/Qyzylorda
accep	5.16108	48.77275	19 Nov 2014	Bar-le-Duc	Europe/Paris
excellent	-41.25528	-19.32556	01 Oct 2017	Resplendor	America/Sao_Paulo
accep	30.98551	2.41669	2012/10/11	Paidha	Africa/Kampala
maitennce	122.08333	46.08333	24 Apr 2019	Ulanhot	Asia/Shanghai
average	18.30056	50.5107	2018/04/27	Strzelce Opolskie	Europe/Warsaw
accep	-82.4017	23.0072	2022/06/29	Boyeros	America/Havana
accep	26.01649	44.43579	2022/01/12	Sector 6	Europe/Bucharest
building	-122.2608	38.17492	04/24/2020, 00:00:00	American Canyon	America/Los_Angeles
accep	-84.62081	42.7392	2018/07/27	Waverly	America/Detroit
building	-74.73584	5.20856	2021/05/08	Honda	America/Bogota
building	-73.97069	40.64621	2020-08-06	Kensington	America/New_York
good	-77.70066	43.16547	2018-07-17	Gates-North Gates	America/New_York
maintenance	73.06784	25.13915	2020/04/01	Sheoganj	Asia/Kolkata
excellent	124.3697	9.6531	2019/12/08	Jagna	Asia/Manila
accep	20.22625	30.75545	2018/02/04	Ajdabiya	Africa/Tripoli
excellent	112.73333	38.40917	2018-08-08	Xinzhou	Asia/Shanghai
building	8.91229	49.13645	15 Feb 2015	Eppingen	Europe/Berlin
maintenance	-87.70172	41.72059	2019/11/27	Evergreen Park	America/Chicago
good	106.85417	-6.48167	2014/09/22	Cibinong	Asia/Jakarta
good	26.01649	44.43579	2021/09/13	Sector 6	Europe/Bucharest
accep	37.92792	53.93361	09 Mar 2013	Kireyevsk	Europe/Moscow
good	77.9129	25.6439	07/07/2014, 00:00:00	Narwar	Asia/Kolkata
maitennce	-89.99038	38.58894	2015/02/14	Fairview Heights	America/Chicago
average	97.01124	17.30858	10 Sep 2014	Kyaikto	Asia/Yangon
building	130.94098	33.3213	17 May 2014	Hita	Asia/Tokyo
average	122.05228	37.19723	2013/02/23	Tianfu	Asia/Shanghai
average	-82.32483	29.65163	2019-11-10	Gainesville	America/New_York
accep	2.18247	41.41204	13 Nov 2021	el Camp de l'Arpa del Clot	Europe/Madrid
building	-104.22884	32.42067	2020-12-26	Carlsbad	America/Denver
average	19.21437	44.75874	2022/08/03	Bijeljina	Europe/Sarajevo
average	102.05461	6.25947	2022-07-30	Tak Bai	Asia/Bangkok
average	112.01667	-7.81667	2013/03/20	Kediri	Asia/Jakarta
average	78.55757	17.34769	12/11/2015, 00:00:00	Lal Bahadur Nagar	Asia/Kolkata
average	-98.15529	26.18924	2022-08-27	San Juan	America/Chicago
accep	8.91229	49.13645	2021/03/02	Eppingen	Europe/Berlin
average	137.95378	35.82756	2017/06/22	Ina	Asia/Tokyo
accep	75.92694	14.46693	11 Dec 2015	Davangere	Asia/Kolkata
excellent	-88.70464	34.25807	07 Aug 2014	Tupelo	America/Chicago
good	15.28318	-4.26613	16 Jul 2017	Brazzaville	Africa/Brazzaville
average	112.73333	38.40917	04/13/2021, 00:00:00	Xinzhou	Asia/Shanghai
accep	5.74861	52.71083	2018/06/11	Emmeloord	Europe/Amsterdam
maintenance	137.4	34.81667	11 Jul 2019	Toyokawa	Asia/Tokyo
good	-2.98333	53.83333	29 Mar 2018	Poulton-le-Fylde	Europe/London
excellent	112.01667	-7.81667	02 Jul 2019	Kediri	Asia/Jakarta
good	-98.15529	26.18924	09/01/2020, 00:00:00	San Juan	America/Chicago
accep	9.29109	45.39402	2013-01-29	San Giuliano Milanese	Europe/Rome
accep	-94.91386	17.94979	01/12/2018, 00:00:00	Acayucan	America/Mexico_City
average	124.95278	6.33444	01 Nov 2019	Tupi	Asia/Manila
excellent	1.04945	35.06544	06 Jan 2020	Frenda	Africa/Algiers
excellent	-94.41551	39.09112	02/09/2013, 00:00:00	Independence	America/Chicago
building	-82.42491	42.97086	02/28/2021, 00:00:00	Port Huron	America/Detroit
excellent	-72.27814	42.93369	31 Jan 2013	Keene	America/New_York
good	32.86389	53.95278	2022-06-19	Roslavl’	Europe/Moscow
accep	24.43973	0.76755	12/21/2016, 00:00:00	Yangambi	Africa/Lubumbashi
accep	4.18333	7.6	2016/07/10	Olupona	Africa/Lagos
building	178.00417	-38.65333	18 Jul 2015	Gisborne	Pacific/Auckland
good	-6.90656	33.92866	2019/03/31	Temara	Africa/Casablanca
accep	-0.59543	44.80477	2014-08-01	Talence	Europe/Paris
average	8.51667	51.88333	2014-12-31	Verl	Europe/Berlin
accep	68.21204	27.55898	09/19/2014, 00:00:00	Larkana	Asia/Karachi
excellent	74.83554	14.62072	01 Nov 2016	Sirsi	Asia/Kolkata
average	17.10558	61.72744	31 Oct 2020	Hudiksvall	Europe/Stockholm
excellent	39.85331	57.30185	02 Jul 2021	Gavrilov-Yam	Europe/Moscow
excellent	78.14797	15.45144	2013/10/23	Betamcherla	Asia/Kolkata
good	117.27583	35.64889	2015-08-27	Sishui	Asia/Shanghai
good	-78.87836	35.05266	15 Dec 2019	Fayetteville	America/New_York
excellent	-87.88754	41.15376	2016-08-31	Bourbonnais	America/Chicago
excellent	16.86194	54.58048	2017-04-22	Ustka	Europe/Warsaw
good	-101.2591	21.01858	2013/11/11	Guanajuato	America/Mexico_City
average	136.61667	36.53333	10 Feb 2018	Nonoichi	Asia/Tokyo
accep	-87.70172	41.72059	19 Dec 2015	Evergreen Park	America/Chicago
building	-122.24092	47.4943	2020/07/17	Bryn Mawr-Skyway	America/Los_Angeles
average	116.82887	-1.26753	12/30/2017, 00:00:00	Balikpapan	Asia/Makassar
accep	-82.4017	23.0072	10 Apr 2022	Boyeros	America/Havana
accep	-73.26022	6.46838	2021/08/21	Socorro	America/Bogota
average	-93.263	45.0408	2018-06-04	Columbia Heights	America/Chicago
good	-74.26419	4.73245	02 Feb 2017	Madrid	America/Bogota
average	17.22635	48.8449	23 Sep 2019	Skalica	Europe/Bratislava
accep	88.28637	23.07492	2021/11/11	Pandua	Asia/Kolkata
accep	28.19028	59.37722	2014/02/25	Narva	Europe/Tallinn
accep	144.23058	-5.85746	11/13/2016, 00:00:00	Mount Hagen	Pacific/Port_Moresby
good	86.51499	23.1959	2022/06/16	Kenda	Asia/Kolkata
good	-97.54667	30.5427	2019/02/04	Hutto	America/Chicago
excellent	13.29371	52.53048	2016-06-15	Charlottenburg-Nord	Europe/Berlin
average	12.38878	43.1122	04/08/2013, 00:00:00	Perugia	Europe/Rome
good	-75.11028	-15.21194	27 Nov 2014	Minas de Marcona	America/Lima
average	-88.3162	42.24113	11/18/2020, 00:00:00	Crystal Lake	America/Chicago
average	38.2739	46.7055	07/26/2017, 00:00:00	Yeysk	Europe/Moscow
