QoS	revision	latitude	longitude	location	code
excellent	2016/09/12	31.39547	34.75699	Asia/Jerusalem	IL
excellent	2013-11-01	53.53395	33.72798	Europe/Moscow	RU
good	23 Mar 2014	11.84962	-86.19903	America/Managua	NI
accep	12 Oct 2015	51.08468	7.11393	Europe/Berlin	DE
average	2017/06/13	-7.76667	35.7	Africa/Dar_es_Salaam	TZ
good	12 Dec 2020	34.8825	128.62667	Asia/Seoul	KR
average	01/08/2022, 00:00:00	20.22816	-103.5687	America/Mexico_City	MX
excellent	19 Oct 2014	50.23019	8.77155	Europe/Berlin	DE
average	2017-04-16	32.5007	-94.74049	America/Chicago	US
good	2015/09/21	53.14657	140.72287	Asia/Vladivostok	RU
average	14 Jul 2021	18.18158	76.03889	Asia/Kolkata	IN
accep	2015-11-18	-27.76952	30.79165	Africa/Johannesburg	ZA
average	04/24/2019, 00:00:00	46.23899	-63.13414	America/Halifax	CA
maintenance	06 Jul 2021	-8.76194	-63.90389	America/Porto_Velho	BR
good	2016/10/17	19.30157	72.85107	Asia/Kolkata	IN
excellent	28 Oct 2013	14.95472	120.89694	Asia/Manila	PH
accep	01/07/2018, 00:00:00	12.35275	121.06761	Asia/Manila	PH
accep	04 Apr 2022	4.94273	15.87735	Africa/Bangui	CF
excellent	2013/01/22	40.72371	-73.95097	America/New_York	US
accep	21 Mar 2020	-8.73508	24.99798	Africa/Lubumbashi	CD
accep	03/03/2021, 00:00:00	9.15093	-79.62098	America/Panama	PA
average	2021/04/15	-4.24444	-42.29444	America/Fortaleza	BR
maintenance	07/10/2015, 00:00:00	40.11583	67.84222	Asia/Samarkand	UZ
excellent	17 Dec 2019	33.7207	-116.21677	America/Los_Angeles	US
building	06/24/2014, 00:00:00	10.31672	123.89071	Asia/Manila	PH
average	2022/01/27	-26.93366	29.24152	Africa/Johannesburg	ZA
average	11 Apr 2013	34.4833	136.84186	Asia/Tokyo	JP
maintenance	01/27/2016, 00:00:00	51.4781	57.3552	Asia/Yekaterinburg	RU
accep	2020-04-16	27.34089	117.4831	Asia/Shanghai	CN
good	2013/06/10	9.57046	76.32756	Asia/Kolkata	IN
maintenance	16 Sep 2014	26.76628	83.36889	Asia/Kolkata	IN
good	02 Nov 2021	41.27194	123.17306	Asia/Shanghai	CN
building	09/28/2020, 00:00:00	10.12268	77.54372	Asia/Kolkata	IN
good	10/25/2018, 00:00:00	41.55947	14.66737	Europe/Rome	IT
good	2019-07-12	32.35126	-95.30106	America/Chicago	US
excellent	13 Apr 2020	36.76775	2.95924	Africa/Algiers	DZ
average	2015-01-31	55.82885	-4.21376	Europe/London	GB
accep	2020/03/09	-34.74785	-58.70072	America/Argentina/Buenos_Aires	AR
excellent	23 Jan 2019	6.8485	3.64633	Africa/Lagos	NG
excellent	31 Jan 2021	37.30553	120.82747	Asia/Shanghai	CN
acceptable	01 Jan 2022	55.54028	89.20083	Asia/Krasnoyarsk	RU
good	05/31/2020, 00:00:00	23.07492	88.28637	Asia/Kolkata	IN
good	2020-06-30	50.82709	6.9747	Europe/Berlin	DE
excellent	2020-04-17	36.20389	127.08472	Asia/Seoul	KR
excellent	01 Apr 2021	32.5007	-94.74049	America/Chicago	US
good	06 Apr 2019	36.21544	65.93249	Asia/Kabul	AF
accep	19 Jun 2013	-28.24	-48.67028	America/Sao_Paulo	BR
excellent	08/14/2018, 00:00:00	21.01858	-101.2591	America/Mexico_City	MX
accep	19 Sep 2014	48.52961	12.16179	Europe/Berlin	DE
average	2014/09/06	43.71032	-1.05366	Europe/Paris	FR
good	2016/04/25	-2.90055	-79.00453	America/Guayaquil	EC
excellent	2017/01/04	39.45621	-77.96389	America/New_York	US
average	10/23/2020, 00:00:00	48.77275	5.16108	Europe/Paris	FR
good	09/05/2013, 00:00:00	45.40008	-73.58248	America/Toronto	CA
average	2021-10-26	20.88953	-156.47432	Pacific/Honolulu	US
maintenance	2018-09-16	-21.44345	-65.71875	America/La_Paz	BO
average	07/31/2017, 00:00:00	31.64615	120.74221	Asia/Shanghai	CN
good	14 Dec 2017	41.72063	12.6723	Europe/Rome	IT
average	02/27/2021, 00:00:00	42.8334	-80.38297	America/Toronto	CA
good	2021/05/20	27.92333	118.53333	Asia/Shanghai	CN
building	2018-10-27	15.48131	-86.57415	America/Tegucigalpa	HN
building	2022/04/27	50.7236	-3.52751	Europe/London	GB
good	12 Mar 2017	37.73222	115.70111	Asia/Shanghai	CN
good	2018/05/12	42.8334	-80.38297	America/Toronto	CA
average	2013-09-08	25.6439	77.9129	Asia/Kolkata	IN
good	19 Feb 2020	9.58126	8.2926	Africa/Lagos	NG
good	07/25/2020, 00:00:00	-34.74785	-58.70072	America/Argentina/Buenos_Aires	AR
accep	2015-03-28	20.88197	85.83334	Asia/Kolkata	IN
good	09/14/2022, 00:00:00	48.46458	9.22796	Europe/Berlin	DE
good	16 Apr 2019	53.00974	-3.05814	Europe/London	GB
accep	12 Jul 2017	41.55838	-81.56929	America/New_York	US
excellent	01/11/2017, 00:00:00	50.79205	-1.08593	Europe/London	GB
excellent	07/01/2016, 00:00:00	7.06273	-1.4001	Africa/Accra	GH
good	2018/07/09	-38.16604	145.13643	Australia/Melbourne	AU
average	2018-08-31	43.61092	3.87723	Europe/Paris	FR
good	2015-09-18	42.24113	-88.3162	America/Chicago	US
building	27 Nov 2019	50.5107	18.30056	Europe/Warsaw	PL
good	2019/05/06	7.6	4.18333	Africa/Lagos	NG
excellent	2018/02/24	41.20485	-8.33147	Europe/Lisbon	PT
maintenance	29 May 2022	37.71715	-122.40433	America/Los_Angeles	US
excellent	29 Jun 2020	43.62558	13.39954	Europe/Rome	IT
excellent	2018-12-31	-4.5833	15.16554	Africa/Kinshasa	CD
accep	02/05/2013, 00:00:00	45.47885	133.42825	Asia/Vladivostok	RU
average	2017/07/16	49.65186	26.97253	Europe/Kiev	UA
accep	2022/07/14	14.8361	120.97844	Asia/Manila	PH
maintenance	07/07/2019, 00:00:00	11.84962	-86.19903	America/Managua	NI
accep	2018-05-17	50.76306	-1.29772	Europe/London	GB
average	2013-03-17	51.20219	7.36027	Europe/Berlin	DE
building	09 May 2017	-28.81833	-52.51028	America/Sao_Paulo	BR
accep	12 Apr 2014	9.82564	78.25795	Asia/Kolkata	IN
accep	2013-11-23	22.10194	85.37752	Asia/Kolkata	IN
average	2018/10/24	13.44581	101.18445	Asia/Bangkok	TH
maintenance	11/05/2016, 00:00:00	51.24197	4.82313	Europe/Brussels	BE
average	2022/04/25	51.65	-0.2	Europe/London	GB
building	16 Jul 2018	51.82721	107.60627	Asia/Irkutsk	RU
average	06/30/2014, 00:00:00	12.37169	123.62494	Asia/Manila	PH
acceptable	18 Sep 2019	43.31667	-2.68333	Europe/Madrid	ES
accep	2020/02/24	29.22254	79.5286	Asia/Kolkata	IN
good	05/05/2019, 00:00:00	-19.7625	-44.31389	America/Sao_Paulo	BR
excellent	2015/03/13	-3.5403	118.9707	Asia/Makassar	ID
excellent	11/05/2017, 00:00:00	8.62261	-70.20749	America/Caracas	VE
maintenance	11/28/2014, 00:00:00	41.82143	41.77921	Asia/Tbilisi	GE
average	2015/03/05	40.58654	-122.39168	America/Los_Angeles	US
accep	2017-06-09	58.1908	40.17171	Europe/Moscow	RU
average	2022/02/03	-4.16694	-40.7475	America/Fortaleza	BR
good	2016/04/23	51.67822	33.9162	Europe/Kiev	UA
average	2020/09/19	34.95303	-120.43572	America/Los_Angeles	US
average	07 Dec 2014	53.53333	-7.35	Europe/Dublin	IE
average	31 Aug 2018	33.98154	-81.23621	America/New_York	US
good	01/26/2016, 00:00:00	51.78967	1.15597	Europe/London	GB
accep	14 Jun 2017	30.76468	74.12286	Asia/Karachi	PK
accep	11/30/2012, 00:00:00	14.62072	74.83554	Asia/Kolkata	IN
accep	24 Jul 2019	41.29444	69.67639	Asia/Tashkent	UZ
maintenance	2014/05/22	44.80477	-0.59543	Europe/Paris	FR
excellent	06/16/2020, 00:00:00	6.45407	3.39467	Africa/Lagos	NG
excellent	2016/01/24	23.9028	89.11943	Asia/Dhaka	BD
accep	2021-06-13	35.6803	51.0193	Asia/Tehran	IR
accep	2019-11-04	41.75338	-86.11084	America/Indiana/Indianapolis	US
good	08/28/2021, 00:00:00	8.62261	-70.20749	America/Caracas	VE
excellent	17 Sep 2018	-28.81833	-52.51028	America/Sao_Paulo	BR
maintenance	2018/07/16	-20.88231	55.4504	Indian/Reunion	RE
good	2017/09/18	43.35071	46.10925	Europe/Moscow	RU
good	2016/08/03	50.82882	-0.32247	Europe/London	GB
average	2022/08/15	40.58654	-122.39168	America/Los_Angeles	US
good	12/19/2019, 00:00:00	32.17629	75.06583	Asia/Karachi	PK
maintenance	19 Jun 2019	-25.42944	-50.00639	America/Sao_Paulo	BR
excellent	30 Sep 2013	6.45407	3.39467	Africa/Lagos	NG
accep	01/02/2017, 00:00:00	33.3213	130.94098	Asia/Tokyo	JP
maintenance	06/27/2015, 00:00:00	51.03427	5.37429	Europe/Brussels	BE
building	02 Mar 2019	38.45598	48.87498	Asia/Baku	AZ
good	01/29/2014, 00:00:00	44.99012	-123.02621	America/Los_Angeles	US
good	2018/08/18	38.47917	-1.325	Europe/Madrid	ES
maintenance	2013-05-22	68.79833	16.54165	Europe/Oslo	NO
accep	15 Jan 2016	-34.64966	-58.38341	America/Argentina/Buenos_Aires	AR
good	2019-02-11	34.61667	135.6	Asia/Tokyo	JP
building	04 Feb 2014	41.09246	45.36561	Asia/Baku	AZ
accep	26 Feb 2022	-30.60106	-71.19901	America/Santiago	CL
excellent	10/18/2015, 00:00:00	43.50891	16.43915	Europe/Zagreb	HR
good	2021-04-22	36.06523	-119.01677	America/Los_Angeles	US
accep	2013/04/15	35.61452	-88.81395	America/Chicago	US
excellent	22 Jul 2013	50.75767	-1.5443	Europe/London	GB
excellent	31 Jan 2017	7.50251	5.06258	Africa/Lagos	NG
average	02/11/2017, 00:00:00	22.88783	84.13864	Asia/Kolkata	IN
excellent	2018/02/03	27.71809	-82.35176	America/New_York	US
excellent	2013-04-07	19.64745	-102.04897	America/Mexico_City	MX
building	02/15/2013, 00:00:00	18.00747	-76.78319	America/Jamaica	JM
average	01/19/2019, 00:00:00	36.02506	-86.77917	America/Chicago	US
average	2018/01/04	45.40008	-73.58248	America/Toronto	CA
excellent	2015/08/23	37.49223	15.07041	Europe/Rome	IT
average	10/01/2013, 00:00:00	44.92934	37.99117	Europe/Moscow	RU
accep	2021-04-14	34.81667	137.4	Asia/Tokyo	JP
average	01/22/2014, 00:00:00	17.06542	-96.72365	America/Mexico_City	MX
excellent	06/04/2016, 00:00:00	53.30972	83.62389	Asia/Barnaul	RU
building	04/22/2021, 00:00:00	45.47885	133.42825	Asia/Vladivostok	RU
excellent	2016-03-12	68.79833	16.54165	Europe/Oslo	NO
building	07 Nov 2014	41.48199	-81.79819	America/New_York	US
excellent	07/19/2015, 00:00:00	-6.25	38.66667	Africa/Dar_es_Salaam	TZ
accep	10 Jul 2017	29.65163	-82.32483	America/New_York	US
building	2021/08/12	51.21667	6.26667	Europe/Berlin	DE
building	2016/03/17	38.07789	13.44275	Europe/Rome	IT
excellent	2014/01/10	7.65649	4.92235	Africa/Lagos	NG
average	05/05/2013, 00:00:00	25.80565	68.49143	Asia/Karachi	PK
accep	07/21/2020, 00:00:00	33.35283	-111.78903	America/Phoenix	US
building	01/01/2021, 00:00:00	41.20485	-8.33147	Europe/Lisbon	PT
building	2012-12-26	51.78967	1.15597	Europe/London	GB
average	24 Jul 2017	36.91023	-121.75689	America/Los_Angeles	US
average	03/25/2013, 00:00:00	47.98372	10.18527	Europe/Berlin	DE
good	07/29/2014, 00:00:00	-21.41222	-42.19667	America/Sao_Paulo	BR
excellent	07/17/2016, 00:00:00	45.44694	8.62118	Europe/Rome	IT
building	15 Apr 2016	22.98212	-80.58556	America/Havana	CU
average	2014-11-27	32.50611	120.14278	Asia/Shanghai	CN
building	04/17/2014, 00:00:00	35.82756	137.95378	Asia/Tokyo	JP
good	30 Jan 2020	23.49668	86.68363	Asia/Kolkata	IN
average	2018-08-04	-27.76952	30.79165	Africa/Johannesburg	ZA
building	2017-08-26	36.08497	9.37082	Africa/Tunis	TN
accep	2022-02-20	-19.7625	-44.31389	America/Sao_Paulo	BR
excellent	2013-02-10	8.48714	-13.2356	Africa/Freetown	SL
maintenance	2020-12-09	41.80753	-87.65644	America/Chicago	US
accep	2020/02/26	51.04962	12.1369	Europe/Berlin	DE
average	18 Aug 2020	20.88197	85.83334	Asia/Kolkata	IN
excellent	06/06/2021, 00:00:00	56.56317	-2.58736	Europe/London	GB
excellent	2020-04-15	39.33427	-76.43941	America/New_York	US
good	10/13/2015, 00:00:00	48.78232	9.17702	Europe/Berlin	DE
good	2012/11/28	35.72917	10.58082	Africa/Tunis	TN
accep	30 Aug 2020	52.31333	6.92917	Europe/Amsterdam	NL
excellent	05/11/2014, 00:00:00	41.94175	123.50266	Asia/Shanghai	CN
average	2016-05-02	48.46458	9.22796	Europe/Berlin	DE
average	2014/06/04	26.2173	-80.22588	America/New_York	US
maintenance	2015/07/21	50.71229	4.52529	Europe/Brussels	BE
average	2022-05-03	41.94175	123.50266	Asia/Shanghai	CN
excellent	06/10/2014, 00:00:00	34.5624	38.28402	Asia/Damascus	SY
building	30 May 2016	46.32374	-120.00865	America/Los_Angeles	US
excellent	2012/09/28	26.91756	-82.07842	America/New_York	US
good	09/23/2015, 00:00:00	20.14298	-77.43532	America/Havana	CU
excellent	2016/11/25	-3.5403	118.9707	Asia/Makassar	ID
maintenance	14 May 2020	60.2052	24.6522	Europe/Helsinki	FI
excellent	2017/09/20	18.18158	76.03889	Asia/Kolkata	IN
maitennce	2016/04/21	31.92923	34.86563	Asia/Jerusalem	IL
excellent	14 Jul 2015	9.15093	-79.62098	America/Panama	PA
accep	19 Aug 2014	-7.73379	113.69785	Asia/Jakarta	ID
excellent	23 Jun 2018	18.18158	76.03889	Asia/Kolkata	IN
building	14 Feb 2015	50.7236	-3.52751	Europe/London	GB
average	2022/09/05	-44.39672	171.25364	Pacific/Auckland	NZ
building	08/21/2013, 00:00:00	45.75279	130.57211	Asia/Shanghai	CN
good	2019/01/17	53.81667	-3.05	Europe/London	GB
maintenance	16 Aug 2015	43.61062	-72.97261	America/New_York	US
maintenance	2014-01-14	22.10194	85.37752	Asia/Kolkata	IN
acceptable	2017/06/15	23.07492	88.28637	Asia/Kolkata	IN
excellent	2018-03-18	51.21667	6.26667	Europe/Berlin	DE
average	2021/08/22	57.47908	-4.22398	Europe/London	GB
accep	2015/07/22	49.41029	38.15035	Europe/Zaporozhye	UA
excellent	11 Jun 2017	28.90054	-81.26367	America/New_York	US
accep	31 Jan 2015	37.19723	122.05228	Asia/Shanghai	CN
average	2017/06/06	22.49396	-105.36369	America/Mazatlan	MX
accep	07 Jan 2022	33.42585	-6.00137	Africa/Casablanca	MA
accep	2017-07-19	53.53395	33.72798	Europe/Moscow	RU
accep	2020-12-30	30.16688	-96.39774	America/Chicago	US
maintenance	2017-07-24	21.53889	71.57737	Asia/Kolkata	IN
maintenance	03/19/2022, 00:00:00	-28.81833	-52.51028	America/Sao_Paulo	BR
good	2014/06/14	33.45122	-86.99666	America/Chicago	US
excellent	2021-02-09	36.61033	-88.31476	America/Chicago	US
average	09/21/2016, 00:00:00	-21.44345	-65.71875	America/La_Paz	BO
good	2015/10/28	40.49748	44.7662	Asia/Yerevan	AM
average	16 Jul 2022	41.09822	120.74792	Asia/Shanghai	CN
accep	2018-08-26	48.07667	8.64409	Europe/Berlin	DE
maintenance	2020-05-02	39.09112	-94.41551	America/Chicago	US
excellent	2016-11-09	42.35843	-71.05977	America/New_York	US
excellent	09 Feb 2016	48.77275	5.16108	Europe/Paris	FR
maintenance	2013-02-11	3.8801	-77.03116	America/Bogota	CO
excellent	2020/08/04	24.96334	10.18003	Africa/Tripoli	LY
excellent	11 Jun 2016	37.74615	-25.66689	Atlantic/Azores	PT
good	2015-07-25	14.0823	98.19151	Asia/Yangon	MM
excellent	08 Feb 2021	35.06667	135.21667	Asia/Tokyo	JP
good	10/24/2018, 00:00:00	51.35084	-1.99421	Europe/London	GB
good	2020/10/27	26.18924	-98.15529	America/Chicago	US
average	08/06/2021, 00:00:00	-10.91111	-37.07167	America/Maceio	BR
accep	13 Jun 2019	3.27833	32.88667	Africa/Kampala	UG
good	29 Dec 2019	-23.85972	35.34722	Africa/Maputo	MZ
excellent	2019-07-25	-33.59217	-70.6996	America/Santiago	CL
good	13 Nov 2013	52.66277	-2.01111	Europe/London	GB
average	01/08/2013, 00:00:00	53.63333	9.85	Europe/Berlin	DE
accep	05 Jun 2014	41.85059	-87.882	America/Chicago	US
accep	2018-12-03	34.63915	-120.45794	America/Los_Angeles	US
average	2018-05-07	30.81383	75.16878	Asia/Kolkata	IN
good	13 Mar 2018	45.35	126.28333	Asia/Shanghai	CN
accep	06/19/2022, 00:00:00	44.92801	4.8951	Europe/Paris	FR
average	08/02/2015, 00:00:00	40.93333	73	Asia/Bishkek	KG
average	19 Nov 2017	-5.85746	144.23058	Pacific/Port_Moresby	PG
accep	2015-02-19	45.44868	-73.81669	America/Toronto	CA
maintenance	2021/04/16	50.64336	7.2278	Europe/Berlin	DE
excellent	12 Jul 2019	27.76056	-15.58602	Atlantic/Canary	ES
good	08/03/2021, 00:00:00	45.4473	-73.75335	America/Toronto	CA
average	03/21/2015, 00:00:00	-37.88333	145.06667	Australia/Melbourne	AU
good	2012/11/01	27.0174	49.62251	Asia/Riyadh	SA
excellent	11/20/2019, 00:00:00	10.15031	-73.9614	America/Bogota	CO
accep	11/10/2015, 00:00:00	39.59611	27.02444	Europe/Istanbul	TR
maintenance	2020/06/03	-6.8	39.25	Africa/Dar_es_Salaam	TZ
good	2022/03/02	36.92574	14.72443	Europe/Rome	IT
average	2016/05/09	29.84576	-90.10674	America/Chicago	US
excellent	02/16/2015, 00:00:00	39.71734	-74.96933	America/New_York	US
average	2017-12-31	3.8801	-77.03116	America/Bogota	CO
good	15 Oct 2018	31.71667	73.38333	Asia/Karachi	PK
good	2012-12-22	33.42585	-6.00137	Africa/Casablanca	MA
building	2020-08-21	13.51825	99.95469	Asia/Bangkok	TH
good	15 Nov 2015	-8.43333	114.33333	Asia/Jakarta	ID
good	11/07/2012, 00:00:00	14.62578	121.12251	Asia/Manila	PH
good	04 Mar 2015	21.01858	-101.2591	America/Mexico_City	MX
excellent	2013-11-26	50.7236	-3.52751	Europe/London	GB
accep	2013-04-22	34.5624	38.28402	Asia/Damascus	SY
accep	17 Apr 2022	36.06523	-119.01677	America/Los_Angeles	US
maintenance	2017/08/05	40.1675	34.37389	Europe/Istanbul	TR
building	2018/03/17	50.88506	4.07601	Europe/Brussels	BE
excellent	05/11/2013, 00:00:00	48.78232	9.17702	Europe/Berlin	DE
building	2015-11-08	44.89784	8.86374	Europe/Rome	IT
accep	2021/01/06	13.70167	-89.10944	America/El_Salvador	SV
good	25 Sep 2018	39.43534	-84.20299	America/New_York	US
good	2013-12-01	34.15429	3.50309	Africa/Algiers	DZ
average	2022/04/10	-10.95817	-38.79084	America/Bahia	BR
excellent	2014/07/23	14.0823	98.19151	Asia/Yangon	MM
accep	2020/03/02	49.88307	-119.48568	America/Vancouver	CA
average	15 Feb 2021	35.6803	51.0193	Asia/Tehran	IR
average	2013-03-14	52.53048	13.29371	Europe/Berlin	DE
good	21 Oct 2018	45.4473	-73.75335	America/Toronto	CA
accep	31 Aug 2017	48.77644	2.29026	Europe/Paris	FR
accep	2013/04/18	55.54028	89.20083	Asia/Krasnoyarsk	RU
good	14 May 2022	58.04254	65.27258	Asia/Yekaterinburg	RU
excellent	2016-04-08	4.73245	-74.26419	America/Bogota	CO
building	11/22/2014, 00:00:00	9.6531	124.3697	Asia/Manila	PH
good	2020-11-25	34.81667	137.4	Asia/Tokyo	JP
accep	2014-01-14	-7.57897	112.23109	Asia/Jakarta	ID
good	2018/02/27	45.0408	-93.263	America/Chicago	US
excellent	05/11/2014, 00:00:00	36.91023	-121.75689	America/Los_Angeles	US
good	2022/08/02	43.71032	-1.05366	Europe/Paris	FR
excellent	2019-06-20	-6.91806	106.92667	Asia/Jakarta	ID
excellent	02/21/2016, 00:00:00	-11.78333	19.91667	Africa/Luanda	AO
