location	revision	code	QoS	latitude	longitude
Asia/Kolkata	2015/08/19	IN	excellent	17.54907	82.85749
Europe/Berlin	08/13/2013, 00:00:00	DE	maintenance	52.86147	9.5926
Asia/Manila	04 Jul 2015	PH	average	14.66	120.56528
Asia/Tokyo	11 Dec 2015	JP	maintenance	36.33011	138.89585
Europe/Madrid	2019/08/16	ES	average	38.47917	-1.325
Europe/Moscow	01 Mar 2016	RU	building	58.1908	40.17171
Africa/Lagos	16 Apr 2022	NG	accep	6.45407	3.39467
Europe/London	2018/01/04	GB	accep	57.14369	-2.09814
Europe/Lisbon	07 Jul 2021	PT	good	38.72706	-9.24671
Asia/Manila	2013-04-07	PH	excellent	10.7375	122.9666
Africa/Windhoek	2019/09/11	NA	accep	-21.98333	16.91667
Europe/Lisbon	08 May 2018	PT	average	41.1053	-7.32097
America/Chicago	2016-07-28	US	good	33.41012	-91.06177
Africa/Lagos	2013-06-15	NG	good	7.50251	5.06258
America/Montevideo	26 Jul 2020	UY	good	-33.38056	-56.52361
Europe/Malta	04/19/2015, 00:00:00	MT	excellent	35.89972	14.51472
America/Denver	12 May 2016	US	average	32.42067	-104.22884
Pacific/Efate	07 Mar 2021	VU	accep	-17.73648	168.31366
Africa/Lagos	2013/02/27	NG	accep	7.62789	4.74161
Africa/Lagos	08 Apr 2017	NG	good	6.45407	3.39467
Africa/Banjul	13 Jan 2017	GM	average	13.56667	-15.6
Europe/Rome	2020/02/04	IT	good	41.72063	12.6723
America/Halifax	03/10/2022, 00:00:00	CA	accep	46.23899	-63.13414
Europe/Berlin	2014/08/30	DE	good	48.78232	9.17702
Africa/Djibouti	2017/03/21	DJ	good	11.15583	42.7125
America/Los_Angeles	09/18/2017, 00:00:00	US	average	46.32374	-120.00865
America/Chicago	2021-12-25	US	building	39.09112	-94.41551
Europe/Moscow	2013-11-02	RU	good	55.38752	36.73307
Asia/Kolkata	26 Jan 2021	IN	building	21.59983	71.21169
America/Mexico_City	2015-11-29	MX	excellent	19.64745	-102.04897
America/Los_Angeles	2015-10-23	US	good	33.76446	-117.79394
Africa/Addis_Ababa	20 Mar 2017	ET	accep	11.85	38.01667
Asia/Manila	10/10/2013, 00:00:00	PH	good	12.37169	123.62494
America/Panama	06/27/2021, 00:00:00	PA	maintenance	9.15093	-79.62098
Asia/Tehran	10/18/2019, 00:00:00	IR	excellent	32.65246	51.67462
America/Port-au-Prince	05/06/2021, 00:00:00	HT	accep	18.65297	-72.09391
America/Santiago	27 Jan 2022	CL	average	-30.60106	-71.19901
Europe/Moscow	20 May 2016	RU	average	53.95278	32.86389
Europe/Moscow	2012/12/11	RU	excellent	55.85	37.56667
Africa/Johannesburg	2014/10/29	ZA	average	-27.76952	30.79165
America/Sao_Paulo	2015/02/27	BR	excellent	-22.92306	-53.13722
America/Guayaquil	11/08/2017, 00:00:00	EC	accep	-2.90055	-79.00453
Asia/Kolkata	2013-08-13	IN	excellent	17.34769	78.55757
America/Sao_Paulo	2014/08/21	BR	maintenance	-21.41222	-42.19667
Europe/Berlin	01 Feb 2021	DE	good	48.73218	11.18709
Asia/Karachi	17 Feb 2016	PK	accep	25.80565	68.49143
Europe/London	08 Oct 2020	GB	maintenance	53.38333	-0.76667
Asia/Shanghai	2012/11/24	CN	maintenance	41.94175	123.50266
Asia/Tokyo	01/12/2017, 00:00:00	JP	accep	34.4833	136.84186
America/New_York	2019-05-28	US	accep	26.91756	-82.07842
Asia/Jakarta	07/28/2021, 00:00:00	ID	good	-7.81667	112.01667
Asia/Kolkata	2013/06/28	IN	accep	20.88197	85.83334
Africa/Freetown	22 Apr 2015	SL	building	8.48714	-13.2356
Asia/Tehran	27 Jan 2022	IR	average	32.65246	51.67462
America/Chicago	06 Sep 2021	US	excellent	32.5007	-94.74049
Europe/Rome	2019/07/17	IT	good	44.89784	8.86374
America/New_York	2012/12/03	US	average	40.60538	-73.75513
Europe/Istanbul	19 Feb 2016	TR	accep	39.22493	42.85693
America/Havana	07/03/2018, 00:00:00	CU	accep	23.04419	-82.00919
Europe/Moscow	12/13/2021, 00:00:00	RU	maintenance	54.8421	46.5813
Africa/Luanda	2018-05-22	AO	excellent	-11.78333	19.91667
America/Sao_Paulo	2020/01/12	BR	maintenance	-21.42917	-45.94722
America/New_York	2013-06-27	US	building	40.72816	-74.07764
America/Mexico_City	2020-11-09	MX	average	17.94979	-94.91386
America/New_York	2018-07-02	US	good	40.57788	-73.95958
Asia/Shanghai	2015/05/04	CN	good	28.88162	120.03308
Africa/Addis_Ababa	05/30/2021, 00:00:00	ET	building	11.85	38.01667
Asia/Bangkok	2020/05/29	TH	excellent	14.37395	100.48528
Europe/Moscow	07/02/2021, 00:00:00	RU	good	55.38752	36.73307
Europe/Moscow	2022-01-25	RU	average	57.30185	39.85331
Asia/Kolkata	2014-06-01	IN	excellent	18.87813	72.93924
Europe/Paris	2020/09/03	FR	building	43.32393	5.4584
Europe/Brussels	2022/05/02	BE	accep	50.74497	3.20639
Asia/Bishkek	2014-11-09	KG	excellent	40.93333	73
Asia/Jakarta	02 Apr 2016	ID	good	-1.26424	104.09701
America/New_York	08 Feb 2021	US	average	41.14676	-73.49484
Asia/Karachi	2013/09/21	PK	accep	26.9423	68.11759
Asia/Karachi	2019/05/22	PK	building	32.57756	71.52847
Europe/Madrid	10/09/2013, 00:00:00	ES	accep	40.70995	0.57856
Asia/Samarkand	2017-08-18	UZ	excellent	40.11583	67.84222
Europe/Bucharest	22 Mar 2019	RO	excellent	44.43579	26.01649
Africa/Nairobi	10/01/2014, 00:00:00	KE	accep	0.03813	36.36339
Africa/Lagos	2019-10-22	NG	good	6.45407	3.39467
Asia/Kolkata	20 Feb 2014	IN	good	14.62072	74.83554
Europe/Berlin	05 Aug 2022	DE	excellent	48.78232	9.17702
America/Puerto_Rico	12/31/2015, 00:00:00	PR	maintenance	18.42745	-67.15407
America/Chicago	2018-09-04	US	accep	42.24113	-88.3162
America/Mexico_City	11/20/2012, 00:00:00	MX	maintenance	19.8173	-97.35992
Africa/Brazzaville	2018-09-15	CG	average	-4.26613	15.28318
Africa/Lagos	2012-11-28	NG	good	7.50251	5.06258
Europe/Berlin	2018-05-06	DE	maintenance	48.06919	11.37703
Asia/Shanghai	04/08/2016, 00:00:00	CN	maintenance	36.19278	117.65694
Africa/Algiers	2022-03-06	DZ	maintenance	36.27462	4.85668
Asia/Barnaul	2015-05-08	RU	excellent	53.30972	83.62389
Asia/Kolkata	2016/09/29	IN	excellent	22.19303	88.18466
Australia/Brisbane	2013-01-01	AU	average	-27.50578	153.10236
Asia/Seoul	2021-05-18	KR	accep	34.8825	128.62667
America/New_York	2019-04-20	US	maintenance	43.61062	-72.97261
Europe/Moscow	2015/04/27	RU	accep	43.35071	46.10925
America/Mazatlan	2015/01/22	MX	accep	22.49396	-105.36369
America/Bogota	06/03/2022, 00:00:00	CO	good	7.83389	-72.47417
Africa/Douala	07/27/2022, 00:00:00	CM	good	4.2475	9.00472
Africa/Monrovia	2013-07-08	LR	accep	7.57944	-8.53778
Europe/Vilnius	17 May 2019	LT	maintenance	55.25	24.75
America/New_York	2013-07-25	US	excellent	38.70734	-77.02303
Europe/Moscow	20 Sep 2017	RU	excellent	53.77166	38.12408
Europe/Moscow	12/31/2015, 00:00:00	RU	excellent	42.819	47.1192
Europe/Berlin	22 Apr 2020	DE	average	50.9803	11.32903
Europe/London	2017-08-22	GB	accep	50.7236	-3.52751
Europe/Rome	2022-01-02	IT	maintenance	45.50369	11.412
Asia/Makassar	2021-05-15	ID	average	-3.5403	118.9707
Asia/Kolkata	2020/12/23	IN	accep	25.75728	75.37991
America/Manaus	2017-09-26	BR	excellent	-3.14306	-58.44417
America/Chicago	23 Dec 2012	US	average	30.16688	-96.39774
Africa/Johannesburg	05/27/2013, 00:00:00	ZA	accep	-27.76952	30.79165
Australia/Melbourne	2013-03-14	AU	average	-38.16604	145.13643
Europe/London	29 Nov 2013	GB	excellent	55.82885	-4.21376
Europe/Vienna	09/25/2015, 00:00:00	AT	excellent	47.05	15.46667
America/Los_Angeles	2019-05-04	US	excellent	44.99012	-123.02621
Europe/Moscow	07/30/2017, 00:00:00	RU	average	56.03361	35.96944
Asia/Kolkata	12 Aug 2019	IN	good	29.22254	79.5286
Europe/Paris	11/17/2017, 00:00:00	FR	average	43.61092	3.87723
America/Lima	11 Feb 2016	PE	excellent	-11.94306	-76.70944
America/Los_Angeles	2013-03-11	US	building	33.92946	-116.97725
America/Chicago	16 Jun 2017	US	building	42.16808	-88.42814
Europe/Berlin	17 Nov 2014	DE	maintenance	50.80019	7.20769
America/Chicago	2016-10-22	US	accep	41.6764	-91.58045
Europe/Rome	03 Oct 2019	IT	accep	37.31065	13.57661
Africa/Accra	2020-01-13	GH	good	7.06273	-1.4001
Europe/Madrid	2017-07-18	ES	average	38.96667	-0.18333
Asia/Tokyo	05 Feb 2019	JP	excellent	33.4425	129.96972
America/Chicago	2017/04/27	US	accep	32.44874	-99.73314
America/Argentina/Buenos_Aires	2019/06/20	AR	maintenance	-34.64167	-60.47389
Europe/London	09/25/2022, 00:00:00	GB	excellent	50.75767	-1.5443
Asia/Manila	11/25/2016, 00:00:00	PH	excellent	16.455	120.5875
Europe/Rome	21 Oct 2015	IT	excellent	45.53069	9.40531
Asia/Shanghai	2014/07/30	CN	average	30.35028	112.19028
America/Chicago	2015-04-13	US	maintenance	31.84568	-102.36764
Europe/Amsterdam	2022-08-15	NL	accep	53.16167	6.76111
Asia/Tehran	2019-12-16	IR	building	35.6803	51.0193
America/New_York	2013-06-04	US	maintenance	38.91817	-78.19444
America/New_York	29 Mar 2022	US	average	41.24255	-82.61573
America/New_York	10/05/2015, 00:00:00	US	good	28.90054	-81.26367
Asia/Kolkata	2019/08/29	IN	excellent	25.87498	86.59611
Europe/Zurich	2015-01-07	CH	accep	46.18396	6.10237
America/New_York	2017/03/21	US	good	43.1009	-75.23266
Asia/Manila	2012-10-24	PH	average	16.0438	120.4861
Indian/Antananarivo	09 Aug 2013	MG	building	-21.15	46.58333
Asia/Karachi	2013/05/11	PK	maintenance	30.46907	70.96699
Europe/Amsterdam	05 Nov 2012	NL	good	51.44889	5.51978
America/Chicago	2016/07/31	US	excellent	41.72059	-87.70172
Asia/Yakutsk	2012-12-01	RU	excellent	65.93381	111.4834
America/Chicago	2015/06/28	US	accep	44.27804	-88.27205
Asia/Kolkata	2019-03-14	IN	maintenance	21.53889	71.57737
Africa/Douala	2013/12/10	CM	excellent	3.51667	11.5
Europe/Saratov	2014-10-29	RU	accep	51.40944	46.04833
Australia/Melbourne	11/03/2021, 00:00:00	AU	good	-37.88333	145.06667
Asia/Tokyo	02 Nov 2017	JP	building	35.815	139.6853
America/Tegucigalpa	2013-11-29	HN	average	15.48131	-86.57415
Europe/Paris	2018-03-10	FR	accep	46.67535	5.55575
Asia/Kolkata	05 May 2014	IN	excellent	31.28092	74.85849
Asia/Seoul	2014-07-10	KR	good	36.20389	127.08472
Europe/London	2020-10-18	GB	accep	55.82737	-4.0573
Asia/Shanghai	08 Dec 2021	CN	building	37.65181	120.33063
Asia/Kolkata	03 Apr 2014	IN	excellent	26.44931	91.61356
Asia/Manila	2016-05-29	PH	average	14.14989	121.3152
Europe/Moscow	2021/05/09	RU	building	57.97472	33.2525
Africa/Johannesburg	2013/01/26	ZA	accep	-26.93366	29.24152
America/New_York	10/04/2015, 00:00:00	US	excellent	39.08367	-84.50855
Australia/Perth	2014-09-04	AU	average	-31.95224	115.8614
Europe/Rome	2020-09-04	IT	accep	40.92298	14.30935
Europe/Paris	10/06/2012, 00:00:00	FR	good	48.90472	2.2469
Europe/Rome	2022-06-12	IT	good	37.31065	13.57661
Asia/Yakutsk	2013-03-05	RU	accep	65.93381	111.4834
America/Belem	2021/12/02	BR	building	-0.71667	-48.52333
America/Vancouver	2020-08-28	CA	excellent	50.26729	-119.27337
Asia/Yangon	06 Feb 2018	MM	average	17.30858	97.01124
Asia/Kolkata	02 Oct 2017	IN	accep	25.49043	85.94001
Africa/Casablanca	2019/05/10	MA	average	34.31	-2.16
Africa/Dar_es_Salaam	2014/10/21	TZ	average	-10.33333	39.28333
America/Halifax	2013/11/28	CA	accep	46.23899	-63.13414
Europe/Paris	2020/04/30	FR	good	48.90982	2.45012
America/New_York	05/01/2015, 00:00:00	US	maintenance	28.90054	-81.26367
Africa/Addis_Ababa	06 Jul 2020	ET	building	6.03333	37.55
Asia/Kolkata	2018/10/14	IN	good	18.18158	76.03889
America/Los_Angeles	05/29/2020, 00:00:00	US	maintenance	32.9156	-117.14392
Europe/Istanbul	2013/06/12	TR	accep	37.31309	40.74357
America/Boise	2020/10/09	US	average	43.54072	-116.56346
Africa/Banjul	2019/10/31	GM	good	13.56667	-15.6
America/New_York	2016/02/15	US	excellent	42.4251	-71.06616
Europe/Paris	08/25/2014, 00:00:00	FR	accep	43.61058	1.33467
Europe/Kiev	10 Jun 2018	UA	average	49.65186	26.97253
Asia/Shanghai	2020/12/02	CN	average	41.94175	123.50266
America/New_York	04/04/2020, 00:00:00	US	average	42.35843	-71.05977
Asia/Colombo	02/04/2021, 00:00:00	LK	accep	6.84019	79.87116
Africa/Blantyre	22 Jun 2022	MW	good	-13.7804	34.4587
Europe/Minsk	20 Dec 2014	BY	average	52.4089	31.3237
America/Mexico_City	2021/08/10	MX	accep	19.64745	-102.04897
America/Argentina/Ushuaia	07/12/2021, 00:00:00	AR	average	-54.8	-68.3
Europe/Berlin	2013-08-07	DE	good	52.21099	7.02238
Asia/Karachi	25 Oct 2019	PK	building	31.71667	73.38333
America/Sao_Paulo	2017-11-29	BR	excellent	-23.44361	-51.87389
America/New_York	05/09/2019, 00:00:00	US	average	27.71809	-82.35176
Asia/Kolkata	2019/06/02	IN	good	25.92127	86.79271
America/Lima	12 Nov 2020	PE	maintenance	-3.74912	-73.25383
Europe/Paris	2018-05-01	FR	maintenance	50.75	2.25
Europe/Rome	14 Jan 2018	IT	building	42.67164	14.01481
America/Los_Angeles	12 Feb 2021	US	excellent	34.09668	-117.71978
America/Mexico_City	07/15/2015, 00:00:00	MX	excellent	17.94979	-94.91386
Asia/Qyzylorda	2014-04-06	KZ	accep	44.85278	65.50917
Asia/Jakarta	2020/07/04	ID	excellent	0.51667	101.44167
Asia/Yangon	28 Nov 2013	MM	accep	17.30858	97.01124
Europe/Istanbul	11/28/2018, 00:00:00	TR	maintenance	39.22493	42.85693
America/Los_Angeles	12/25/2018, 00:00:00	US	accep	33.72255	-116.37697
Europe/Samara	2015-10-12	RU	excellent	53.37596	51.3452
Australia/Sydney	2016-06-22	AU	good	-33.88096	151.07986
America/Bogota	2018-05-13	CO	average	10.15031	-73.9614
Asia/Tokyo	2018-09-06	JP	excellent	41.77583	140.73667
America/Mexico_City	21 Aug 2021	MX	accep	16.75973	-93.11308
Asia/Karachi	10/22/2020, 00:00:00	PK	excellent	31.96258	73.97117
Africa/Kampala	2016-11-19	UG	average	3.02013	30.91105
America/Jamaica	2014-10-18	JM	excellent	18.00747	-76.78319
Europe/Minsk	2016-04-08	BY	accep	52.4089	31.3237
Europe/Moscow	12 Oct 2018	RU	good	53.77166	38.12408
America/Chicago	06/23/2013, 00:00:00	US	average	29.84576	-90.10674
Africa/Dar_es_Salaam	03 May 2018	TZ	average	-6.8	39.25
America/Los_Angeles	23 Jan 2019	US	excellent	36.20829	-115.98391
Europe/Kiev	2016-07-08	UA	average	46.75451	33.34864
America/Chicago	01/11/2016, 00:00:00	US	maintenance	29.53885	-95.44744
Africa/Johannesburg	04 Aug 2021	ZA	average	-27.76952	30.79165
Europe/London	2016/12/21	GB	excellent	53.78333	-1.06667
America/Bogota	2016-08-27	CO	accep	10.98778	-74.95472
Africa/Lagos	15 Jul 2018	NG	average	7.65649	4.92235
Africa/Algiers	25 Jul 2018	DZ	excellent	36.06386	4.62744
Asia/Kolkata	2017/01/22	IN	average	14.46693	75.92694
Asia/Tokyo	2018-08-17	JP	average	35.48199	137.02166
Asia/Manila	23 Sep 2014	PH	average	16.0438	120.4861
Europe/Amsterdam	09/01/2020, 00:00:00	NL	good	52.14	5.58472
Asia/Kolkata	2021-04-13	IN	good	18.18158	76.03889
Europe/Berlin	30 Dec 2013	DE	accep	50.82709	6.9747
Europe/Paris	2022/03/22	FR	maintenance	48	-4.1
Asia/Kolkata	04/18/2017, 00:00:00	IN	good	28.71271	77.656
America/Detroit	2020-08-29	US	average	42.97086	-82.42491
Africa/Dar_es_Salaam	2018-03-23	TZ	average	-4.06667	37.73333
Europe/Kiev	11/07/2016, 00:00:00	UA	good	49.65186	26.97253
America/Argentina/Tucuman	2019-05-27	AR	accep	-27.4338	-65.61427
America/Bogota	09/12/2014, 00:00:00	CO	accep	5.6561	-75.87877
America/Panama	2019-06-11	PA	excellent	9.15093	-79.62098
Asia/Yekaterinburg	2016-01-13	RU	good	51.78771	56.36091
Europe/Paris	2020-08-18	FR	average	43.2907	5.4384
America/Denver	2016/05/13	US	good	32.42067	-104.22884
America/New_York	10 Jan 2018	US	maintenance	39.45621	-77.96389
Asia/Tokyo	2013-03-27	JP	building	36.33011	138.89585
America/New_York	25 Mar 2018	US	building	37.60876	-77.37331
Asia/Manila	09 Aug 2017	PH	average	16.0438	120.4861
Atlantic/Canary	2020/12/17	ES	maintenance	27.76056	-15.58602
America/Mexico_City	2020-12-27	MX	excellent	20.28527	-103.42897
America/Los_Angeles	2017-02-12	US	good	47.64995	-117.23991
Europe/Belgrade	31 Oct 2016	RS	excellent	44.97639	19.61222
Europe/Paris	15 Sep 2015	FR	excellent	50.75	2.25
Europe/Berlin	11 Feb 2020	DE	good	50.64336	7.2278
Europe/Rome	2015-06-06	IT	average	44.59445	11.04979
Africa/Dar_es_Salaam	2020-02-12	TZ	accep	-7.76667	35.7
America/Los_Angeles	11 Aug 2013	US	accep	36.06523	-119.01677
Asia/Shanghai	22 Dec 2014	CN	average	30.35028	112.19028
Europe/Paris	18 Feb 2020	FR	average	43.61058	1.33467
Europe/Vienna	2019/05/19	AT	average	47.05	15.46667
Indian/Antananarivo	02 Jan 2019	MG	building	-21.15	46.58333
Asia/Yekaterinburg	26 May 2019	RU	excellent	55.75556	60.70278
America/Bahia	08 Jan 2013	BR	excellent	-15.675	-38.94722
America/Chicago	08 Jan 2019	US	building	29.53885	-95.44744
Africa/Dar_es_Salaam	2019/03/25	TZ	maitennce	-2.68333	33
Europe/London	2017-09-11	GB	maintenance	51.39323	0.47713
America/Mexico_City	03/17/2021, 00:00:00	MX	accep	19.32889	-99.32556
Europe/Rome	06/22/2014, 00:00:00	IT	maintenance	36.92574	14.72443
America/Mexico_City	2013-12-10	MX	maintenance	19.04222	-98.11889
America/Argentina/Buenos_Aires	27 Sep 2016	AR	building	-34.74785	-58.70072
America/New_York	2012-12-11	US	good	38.70734	-77.02303
