QoS	code	longitude	location	revision	latitude
good	CN	130.57211	Asia/Shanghai	10 Jun 2021	45.75279
good	RU	35.96944	Europe/Moscow	02/03/2018, 00:00:00	56.03361
excellent	US	-80.66756	America/New_York	2018-06-25	26.68451
good	RU	37.49338	Europe/Moscow	14 Jun 2016	55.62047
maintenance	CN	117.33333	Asia/Shanghai	2012-10-04	34.85
good	US	-84.67837	America/New_York	2021/08/25	34.06635
accep	IR	51.49621	Asia/Tehran	12/15/2018, 00:00:00	36.64852
building	GB	-2.1875	Europe/London	2016/10/18	51.26
good	DE	6.26667	Europe/Berlin	05/31/2013, 00:00:00	51.21667
average	MX	-97.50417	America/Matamoros	2015/08/30	25.87972
excellent	CA	-113.3187	America/Edmonton	10/16/2019, 00:00:00	53.51684
excellent	US	-86.77917	America/Chicago	2015-03-24	36.02506
good	PH	124.95278	Asia/Manila	2015-08-13	6.33444
average	JP	139.07204	Asia/Tokyo	17 Feb 2013	36.24624
accep	GB	-2.01111	Europe/London	2018-09-01	52.66277
average	MY	102.3278	Asia/Kuala_Lumpur	11/07/2012, 00:00:00	2.2139
maintenance	CN	126.28333	Asia/Shanghai	2017/07/26	45.35
excellent	GB	-4.22398	Europe/London	10/01/2020, 00:00:00	57.47908
excellent	CU	-81.24441	America/Havana	06/19/2016, 00:00:00	23.15678
good	US	-73.75513	America/New_York	11 Nov 2013	40.60538
average	UA	26.97253	Europe/Kiev	2019/06/04	49.65186
average	DE	6.8625	Europe/Berlin	2018-12-21	51.47805
average	IN	73.08333	Asia/Kolkata	03/07/2013, 00:00:00	19.21667
accep	SL	-13.2356	Africa/Freetown	02 Aug 2015	8.48714
excellent	US	-97.03285	America/Chicago	2020-02-06	47.92526
good	CA	-79.2663	America/Toronto	05/10/2016, 00:00:00	43.86682
average	IN	78.25795	Asia/Kolkata	27 Feb 2018	9.82564
good	IN	79.82979	Asia/Kolkata	26 Feb 2018	11.93381
excellent	MX	-103.5687	America/Mexico_City	09/08/2020, 00:00:00	20.22816
average	IN	73.66633	Asia/Kolkata	2022/06/12	25.92493
accep	MM	98.50893	Asia/Yangon	2020-06-13	16.68911
accep	MN	106.88324	Asia/Ulaanbaatar	21 Feb 2022	47.90771
good	NI	-86.58208	America/Managua	2019/08/02	13.48082
accep	VU	168.31366	Pacific/Efate	2017/10/14	-17.73648
good	AF	65.93249	Asia/Kabul	10 Dec 2020	36.21544
accep	GM	-15.6	Africa/Banjul	2022-01-11	13.56667
excellent	VE	-70.20749	America/Caracas	2022-08-07	8.62261
average	RU	40.17171	Europe/Moscow	11/12/2019, 00:00:00	58.1908
maintenance	IN	86.59509	Asia/Kolkata	2021/07/13	26.11527
accep	RU	107.60627	Asia/Irkutsk	2018-05-04	51.82721
good	AR	-68.3	America/Argentina/Ushuaia	16 Sep 2021	-54.8
accep	EE	28.19028	Europe/Tallinn	2016/11/21	59.37722
average	FR	2.45012	Europe/Paris	2021-01-08	48.90982
average	UA	32.6178	Europe/Kiev	2013-08-27	46.65581
average	FR	2.08333	Europe/Paris	09/01/2014, 00:00:00	48.86667
good	AR	-60.47389	America/Argentina/Buenos_Aires	15 Mar 2019	-34.64167
good	FR	4.8951	Europe/Paris	06/06/2018, 00:00:00	44.92801
accep	IN	78.23456	Asia/Kolkata	2017-08-13	28.92694
building	JP	140.11667	Asia/Tokyo	05 Feb 2014	37.56667
excellent	JP	140.73667	Asia/Tokyo	2020-03-09	41.77583
good	SL	-13.2356	Africa/Freetown	2019-09-16	8.48714
accep	RU	46.5813	Europe/Moscow	10/27/2015, 00:00:00	54.8421
excellent	GA	13.58357	Africa/Libreville	2018-10-23	-1.63333
accep	IN	78.14797	Asia/Kolkata	2013/06/20	15.45144
accep	KR	128.63083	Asia/Seoul	07/16/2019, 00:00:00	36.82167
excellent	CN	122.05228	Asia/Shanghai	07/03/2020, 00:00:00	37.19723
excellent	FR	4.86667	Europe/Paris	2021/03/16	45.51667
accep	NG	9.0027	Africa/Lagos	2021/07/21	11.86064
good	US	-123.02621	America/Los_Angeles	2021/04/05	44.99012
building	UZ	72.34424	Asia/Tashkent	20 Dec 2021	40.78206
accep	US	-87.70172	America/Chicago	10/18/2018, 00:00:00	41.72059
average	DE	9.15214	Europe/Berlin	2015-09-05	49.97704
excellent	GB	1.15597	Europe/London	2013/04/26	51.78967
accep	ME	18.84	Europe/Podgorica	09/18/2013, 00:00:00	42.28639
good	DZ	1.04945	Africa/Algiers	2019-11-13	35.06544
average	FR	2.2469	Europe/Paris	2013/09/08	48.90472
accep	TZ	29.65806	Africa/Dar_es_Salaam	2015/06/13	-4.83
excellent	US	-76.72803	America/New_York	2015/08/27	39.32288
accep	CN	114.68333	Asia/Shanghai	11/04/2012, 00:00:00	23.73333
good	UA	33.34864	Europe/Kiev	2022/06/17	46.75451
maitennce	CI	-5.682	Africa/Abidjan	2013/11/28	5.84752
building	ES	-8.2194	Europe/Madrid	01/24/2015, 00:00:00	43.48961
excellent	MM	98.50893	Asia/Yangon	2016-11-05	16.68911
good	IN	77.24779	Asia/Kolkata	04/06/2014, 00:00:00	10.58806
good	US	-75.23266	America/New_York	06/25/2021, 00:00:00	43.1009
good	BR	-50.19556	America/Sao_Paulo	2013/05/13	-19.72806
building	AD	1.53414	Europe/Andorra	2020/06/21	42.50729
good	TH	101.18445	Asia/Bangkok	2015/03/09	13.44581
accep	US	-81.23621	America/New_York	14 Jul 2021	33.98154
average	MM	98.50893	Asia/Yangon	2016/08/07	16.68911
excellent	CA	-73.86586	America/Toronto	2017-02-13	45.43341
building	PK	71.57118	Asia/Karachi	2013/08/10	32.87533
accep	US	-94.41551	America/Chicago	08/24/2021, 00:00:00	39.09112
accep	KR	128.62667	Asia/Seoul	03/11/2018, 00:00:00	34.8825
accep	IN	76.03889	Asia/Kolkata	05/13/2013, 00:00:00	18.18158
average	IN	86.68363	Asia/Kolkata	2013-12-27	23.49668
excellent	DE	8.4493	Europe/Berlin	2020/08/04	50.09019
good	DJ	42.7125	Africa/Djibouti	2012-10-27	11.15583
good	MX	-97.35992	America/Mexico_City	2016/09/05	19.8173
accep	IN	78.25795	Asia/Kolkata	2019/11/04	9.82564
good	RU	60.8019	Asia/Yekaterinburg	01/11/2019, 00:00:00	56.9083
accep	DE	9.15214	Europe/Berlin	2020/12/29	49.97704
maintenance	BW	27.46153	Africa/Gaborone	06/14/2013, 00:00:00	-21.44236
good	US	-88.64235	America/Menominee	2013/06/26	46.09273
average	GB	-1.99421	Europe/London	08 Sep 2022	51.35084
building	ES	0.57856	Europe/Madrid	10 Mar 2016	40.70995
good	NG	5.06258	Africa/Lagos	07 Aug 2015	7.50251
building	NL	5.22778	Europe/Amsterdam	21 May 2021	51.955
accep	CN	112.73333	Asia/Shanghai	10/10/2018, 00:00:00	38.40917
building	MX	-100.88023	America/Mexico_City	06/05/2013, 00:00:00	20.21322
excellent	US	-120.00865	America/Los_Angeles	07/23/2015, 00:00:00	46.32374
good	US	-74.28459	America/New_York	2020-05-14	40.5576
excellent	DE	12.16179	Europe/Berlin	02/13/2013, 00:00:00	48.52961
maintenance	RU	43.67663	Europe/Moscow	07 Jan 2017	53.53041
maintenance	AR	-61.4867	America/Argentina/Cordoba	2017/06/26	-31.25033
good	RU	30.38167	Europe/Moscow	2013-10-02	59.80917
average	PK	73.38333	Asia/Karachi	2014/09/12	31.71667
good	BE	4.52529	Europe/Brussels	2015/04/08	50.71229
accep	BR	-51.50361	America/Sao_Paulo	08/05/2013, 00:00:00	-29.2975
good	NO	16.54165	Europe/Oslo	2016/08/08	68.79833
accep	DE	9.47629	Europe/Berlin	11/17/2013, 00:00:00	53.59337
maintenance	US	-82.61573	America/New_York	13 Sep 2021	41.24255
good	US	-83.55521	America/New_York	2016/08/20	41.66394
excellent	AR	-59.13316	America/Argentina/Buenos_Aires	2015/11/26	-37.32167
average	PK	74.12286	Asia/Karachi	26 Mar 2016	30.76468
excellent	RU	39.85331	Europe/Moscow	2017/08/05	57.30185
excellent	BR	-37.07167	America/Maceio	06 May 2019	-10.91111
average	DE	7.2278	Europe/Berlin	09/20/2021, 00:00:00	50.64336
excellent	DE	10.5511	Europe/Berlin	05/04/2016, 00:00:00	52.47774
maintenance	US	-118.25508	America/Los_Angeles	2017-02-06	34.14251
accep	ET	38.01667	Africa/Addis_Ababa	31 Aug 2021	11.85
accep	MX	-105.36369	America/Mazatlan	12/11/2014, 00:00:00	22.49396
excellent	VE	-68.30472	America/Caracas	2018-06-02	9.91861
maintenance	IT	11.412	Europe/Rome	01/31/2022, 00:00:00	45.50369
average	XK	20.89389	Europe/Belgrade	01/02/2016, 00:00:00	42.62833
good	GB	-2.52398	Europe/London	19 Aug 2019	53.19146
accep	GB	-2.98333	Europe/London	07/28/2019, 00:00:00	53.83333
average	US	-71.06616	America/New_York	07 Sep 2014	42.4251
acceptable	IN	91.61356	Asia/Kolkata	2021/08/15	26.44931
building	AU	115.88782	Australia/Perth	02/15/2013, 00:00:00	-32.05251
excellent	GB	-0.29825	Europe/London	08/03/2015, 00:00:00	51.39148
excellent	IT	15.07041	Europe/Rome	2014-06-07	37.49223
accep	US	-86.77917	America/Chicago	2019-12-19	36.02506
building	IT	14.34085	Europe/Rome	2017/08/15	40.87363
maintenance	ID	114.33333	Asia/Jakarta	2018/12/19	-8.43333
excellent	US	-122.24092	America/Los_Angeles	03/08/2018, 00:00:00	47.4943
average	TZ	33	Africa/Dar_es_Salaam	2012/12/06	-2.68333
building	SK	17.22635	Europe/Bratislava	2018-04-16	48.8449
building	US	-74.28459	America/New_York	06/17/2017, 00:00:00	40.5576
accep	US	-116.37697	America/Los_Angeles	2022-05-11	33.72255
building	PK	71.57118	Asia/Karachi	09/29/2020, 00:00:00	32.87533
excellent	PH	120.4861	Asia/Manila	31 May 2013	16.0438
maitennce	ID	109.05389	Asia/Jakarta	2014-09-05	-7.51611
accep	CN	114.68333	Asia/Shanghai	2013/07/19	23.73333
good	KE	36.36339	Africa/Nairobi	04 May 2019	0.03813
excellent	PK	74.12286	Asia/Karachi	10 Apr 2019	30.76468
building	UG	30.98551	Africa/Kampala	2016-06-15	2.41669
excellent	PT	-25.66689	Atlantic/Azores	2017-05-07	37.74615
excellent	US	-82.46148	America/New_York	05/27/2014, 00:00:00	28.15112
good	TH	99.96667	Asia/Bangkok	07 Nov 2021	8.43333
excellent	PH	122.8637	Asia/Manila	2013-01-29	9.3337
good	US	-75.23266	America/New_York	2014-12-21	43.1009
excellent	VU	168.31366	Pacific/Efate	2022-07-12	-17.73648
building	CN	114.68333	Asia/Shanghai	2015-07-20	23.73333
average	AU	150.60036	Australia/Sydney	22 Feb 2019	-34.88422
good	TZ	29.65806	Africa/Dar_es_Salaam	29 Mar 2018	-4.83
average	US	-74.38987	America/New_York	2015-04-22	40.65538
maintenance	US	-95.63079	America/Chicago	08/20/2015, 00:00:00	31.76212
average	DE	6.26667	Europe/Berlin	2016/12/28	51.21667
average	MX	-103.5687	America/Mexico_City	2021/04/15	20.22816
accep	BE	3.16667	Europe/Brussels	06/03/2015, 00:00:00	50.8
excellent	US	-105.11221	America/Denver	2016/01/24	39.57582
accep	CO	-73.26022	America/Bogota	2017-04-30	6.46838
maintenance	CL	-73.02841	America/Santiago	15 Dec 2018	-36.9256
good	ID	103.61667	Asia/Jakarta	2018/02/08	-1.6
excellent	NG	4.52514	Africa/Lagos	2014-01-12	12.74482
good	PH	120.57224	Asia/Manila	12/27/2017, 00:00:00	15.72892
building	AR	-68.3	America/Argentina/Ushuaia	2017/01/13	-54.8
good	US	-117.23991	America/Los_Angeles	2019-09-29	47.64995
excellent	VE	-68.30472	America/Caracas	2016-12-03	9.91861
excellent	IT	12.6723	Europe/Rome	05/16/2016, 00:00:00	41.72063
average	US	-95.44744	America/Chicago	2015/05/20	29.53885
maintenance	US	-95.63079	America/Chicago	12/25/2019, 00:00:00	31.76212
average	BR	-44.31389	America/Sao_Paulo	01/02/2021, 00:00:00	-19.7625
average	TZ	39.28333	Africa/Dar_es_Salaam	01 Apr 2018	-10.33333
excellent	DE	9.5586	Europe/Berlin	10 Aug 2021	54.52156
accep	MT	14.51472	Europe/Malta	2012/11/15	35.89972
accep	RW	30.4347	Africa/Kigali	19 Jan 2015	-1.9487
average	IN	75.16878	Asia/Kolkata	2016/03/27	30.81383
excellent	US	-73.49484	America/New_York	05/15/2017, 00:00:00	41.14676
excellent	GB	-4.22398	Europe/London	11/12/2021, 00:00:00	57.47908
maintenance	PH	120.4861	Asia/Manila	2018-05-09	16.0438
good	US	-102.36764	America/Chicago	2021/12/07	31.84568
excellent	BG	24.71204	Europe/Sofia	2022-09-02	41.57439
average	IN	85.37752	Asia/Kolkata	2015/09/20	22.10194
excellent	IT	17.80774	Europe/Rome	11 May 2020	40.55851
good	RU	37.56667	Europe/Moscow	2018/11/03	55.85
excellent	CD	24.43973	Africa/Lubumbashi	11/01/2021, 00:00:00	0.76755
good	CO	-75.87877	America/Bogota	2014-05-02	5.6561
average	DE	8.70745	Europe/Berlin	09 Aug 2013	49.03685
excellent	IT	12.6723	Europe/Rome	2020-04-16	41.72063
average	UA	33.34864	Europe/Kiev	15 Jun 2018	46.75451
excellent	KR	126.835	Asia/Seoul	03/07/2015, 00:00:00	37.65639
good	US	-73.95958	America/New_York	2015-12-12	40.57788
good	CO	-74.95472	America/Bogota	2017/05/25	10.98778
accep	BR	-63.90389	America/Porto_Velho	07/25/2014, 00:00:00	-8.76194
excellent	ID	118.9707	Asia/Makassar	2018-01-05	-3.5403
accep	US	-72.97261	America/New_York	2015/09/15	43.61062
average	US	-116.37697	America/Los_Angeles	21 Nov 2017	33.72255
good	GB	-2.58736	Europe/London	2020-02-05	56.56317
good	FR	4.63031	Europe/Paris	05 Jun 2016	43.67681
excellent	PH	121.06761	Asia/Manila	2015-09-09	12.35275
good	TZ	37.73333	Africa/Dar_es_Salaam	2019-06-16	-4.06667
building	PK	73.97117	Asia/Karachi	2017-01-31	31.96258
excellent	PL	15.00835	Europe/Warsaw	2015-07-23	51.14942
accep	RU	38.94324	Europe/Moscow	10/18/2017, 00:00:00	44.98901
average	RU	37.49338	Europe/Moscow	2017-07-19	55.62047
average	RU	69.49015	Asia/Yekaterinburg	03 May 2015	56.11281
excellent	JP	137.95378	Asia/Tokyo	2018-08-31	35.82756
good	IT	17.80774	Europe/Rome	2019/09/12	40.55851
accep	DE	9.85	Europe/Berlin	2022-05-10	53.63333
average	CN	105.89333	Asia/Shanghai	02/02/2018, 00:00:00	34.56861
average	DE	7.973	Europe/Berlin	2021-09-21	51.168
average	UY	-56.52361	America/Montevideo	2015/04/28	-33.38056
accep	GB	-2.01111	Europe/London	2013/04/22	52.66277
building	AU	145.18333	Australia/Melbourne	2019/10/11	-37.9
excellent	IN	88.1453	Asia/Kolkata	2013/03/02	22.4711
good	IN	85.94001	Asia/Kolkata	02/05/2019, 00:00:00	25.49043
excellent	US	-121.74052	America/Los_Angeles	2017/04/02	38.54491
good	UY	-56.52361	America/Montevideo	2020-04-18	-33.38056
good	CO	-74.73584	America/Bogota	2020-03-22	5.20856
excellent	FR	4.86667	Europe/Paris	2016/12/11	45.51667
accep	GB	-0.2	Europe/London	15 Sep 2021	51.65
accep	LT	24.75	Europe/Vilnius	02/13/2014, 00:00:00	55.25
average	US	-73.89875	America/New_York	2014/11/06	40.93121
excellent	PH	123.33471	Asia/Manila	2014/10/01	8.56697
excellent	US	-122.38731	America/Los_Angeles	11/05/2012, 00:00:00	45.53929
accep	IL	34.75699	Asia/Jerusalem	12/25/2019, 00:00:00	31.39547
good	DZ	2.95924	Africa/Algiers	29 Apr 2020	36.76775
good	CA	-80.38297	America/Toronto	12/13/2021, 00:00:00	42.8334
building	KZ	59.6	Asia/Aqtobe	16 May 2019	47.83333
excellent	CO	-75.69947	America/Bogota	2022/05/28	8.79577
average	KR	128.9889	Asia/Seoul	2020/10/16	37.1759
good	MX	-89.66123	America/Merida	2018/10/02	21.28306
excellent	GN	-13.68778	Africa/Conakry	11 Aug 2017	9.535
good	US	-88.27205	America/Chicago	2020/01/07	44.27804
average	GB	-3.05	Europe/London	2020/01/01	53.81667
building	MY	102.3278	Asia/Kuala_Lumpur	30 Aug 2015	2.2139
average	CA	-73.58248	America/Toronto	2019-03-30	45.40008
good	CL	-71.19901	America/Santiago	2018/08/03	-30.60106
good	MY	101.02083	Asia/Kuala_Lumpur	2021-09-04	4.02219
excellent	BE	5.37429	Europe/Brussels	2015/08/24	51.03427
average	AU	150.60036	Australia/Sydney	08/08/2017, 00:00:00	-34.88422
good	EC	-79.00453	America/Guayaquil	2018-03-08	-2.90055
good	UA	25.34244	Europe/Kiev	2022/07/02	50.75932
accep	KR	128.63083	Asia/Seoul	11 Apr 2017	36.82167
accep	CN	117.7	Asia/Shanghai	07 Dec 2018	35.85
good	IT	11.412	Europe/Rome	2022-04-13	45.50369
accep	IN	72.93924	Asia/Kolkata	2019-07-25	18.87813
average	IT	13.44275	Europe/Rome	08/31/2016, 00:00:00	38.07789
accep	CN	117.27583	Asia/Shanghai	04/25/2017, 00:00:00	35.64889
good	FR	-0.59543	Europe/Paris	05 Dec 2018	44.80477
good	US	-121.75689	America/Los_Angeles	27 Jun 2013	36.91023
maintenance	TN	10.78222	Africa/Tunis	2022/09/18	36.46917
accep	IT	8.62118	Europe/Rome	2020/06/23	45.44694
maintenance	GB	-0.36053	Europe/London	20 Mar 2015	51.64316
excellent	UA	32.6178	Europe/Kiev	02/01/2022, 00:00:00	46.65581
good	MX	-98.11889	America/Mexico_City	07/13/2013, 00:00:00	19.04222
accep	IN	77.9129	Asia/Kolkata	10/17/2013, 00:00:00	25.6439
excellent	FR	2.08333	Europe/Paris	19 Dec 2020	48.86667
excellent	ES	-4.10734	Europe/Madrid	2013/07/26	38.68712
average	FR	5.16108	Europe/Paris	2021/09/10	48.77275
building	UG	30.91105	Africa/Kampala	2019-10-03	3.02013
excellent	IT	16.50104	Europe/Rome	2014-04-03	41.24264
average	MY	101.02083	Asia/Kuala_Lumpur	08/17/2015, 00:00:00	4.02219
maintenance	AO	19.91667	Africa/Luanda	2015/08/14	-11.78333
excellent	CA	-73.81669	America/Toronto	2022-06-04	45.44868
building	BR	-48.29694	America/Sao_Paulo	2015/02/02	-20.87306
maintenance	RU	60.70278	Asia/Yekaterinburg	03/28/2021, 00:00:00	55.75556
good	GB	0.30367	Europe/London	04/10/2014, 00:00:00	51.38673
maintenance	AZ	48.87498	Asia/Baku	2020/10/06	38.45598
average	PK	68.75915	Asia/Karachi	2019/11/12	27.52948
good	CN	112.9	Asia/Shanghai	2013-06-30	27.85
excellent	LY	20.22625	Africa/Tripoli	2021-11-16	30.75545
good	BR	-34.88111	America/Recife	09/06/2015, 00:00:00	-8.05389
average	CM	11.5	Africa/Douala	2020-01-07	3.51667
excellent	PK	74.12286	Asia/Karachi	2014/11/19	30.76468
accep	IN	76.56719	Asia/Kolkata	2017/11/29	24.41288
maintenance	DE	9.85	Europe/Berlin	2020-10-21	53.63333
accep	IN	83.36889	Asia/Kolkata	07/22/2014, 00:00:00	26.76628
accep	RU	46.04833	Europe/Saratov	07/09/2013, 00:00:00	51.40944
excellent	CI	-3.59625	Africa/Abidjan	22 Nov 2016	5.27247
excellent	ET	37.55	Africa/Addis_Ababa	03/01/2014, 00:00:00	6.03333
accep	JP	137.23333	Asia/Tokyo	2014-12-14	35.8
good	ES	-4.83076	Europe/Madrid	05/19/2022, 00:00:00	39.96348
accep	DE	9.72749	Europe/Berlin	2018/09/10	48.28259
average	PR	-67.15407	America/Puerto_Rico	2013-10-09	18.42745
excellent	US	-81.77285	America/New_York	04 Oct 2017	28.54944
good	GB	-0.2	Europe/London	01/17/2015, 00:00:00	51.65
accep	ES	-3.67029	Europe/Madrid	07/09/2020, 00:00:00	37.13548
excellent	RU	38.02486	Europe/Moscow	07/19/2013, 00:00:00	55.64776
average	ID	116.82887	Asia/Makassar	2015-07-16	-1.26753
accep	US	-71.06616	America/New_York	2013/03/02	42.4251
maintenance	BR	-63.90389	America/Porto_Velho	02/22/2017, 00:00:00	-8.76194
excellent	IN	81.54855	Asia/Kolkata	2019-08-29	26.2649
average	DE	7.02238	Europe/Berlin	04/12/2020, 00:00:00	52.21099
building	MD	28.28489	Europe/Chisinau	10/16/2021, 00:00:00	48.15659
good	RU	32.86389	Europe/Moscow	24 May 2013	53.95278
excellent	CN	125.51176	Asia/Shanghai	06/28/2019, 00:00:00	42.64031
excellent	DE	11.37703	Europe/Berlin	11/21/2014, 00:00:00	48.06919
excellent	KR	128.62667	Asia/Seoul	20 Jun 2016	34.8825
good	JP	140.11667	Asia/Tokyo	07/13/2022, 00:00:00	37.56667
accep	BR	-48.59278	America/Sao_Paulo	2019/02/24	-23.7975
good	NL	6.92917	Europe/Amsterdam	11/09/2012, 00:00:00	52.31333
