QoS	latitude	revision	longitude	code	location
excellent	32.52515	08/23/2015, 00:00:00	-93.75018	US	America/Chicago
accep	42.30865	21 Oct 2014	-83.48216	US	America/Detroit
average	48.35693	2018/04/23	10.98461	DE	Europe/Berlin
good	-22.45667	13 Sep 2018	-47.53028	BR	America/Sao_Paulo
building	10.66668	02 May 2020	-61.51889	TT	America/Port_of_Spain
maintenance	6.9909	2020-07-30	79.883	LK	Asia/Colombo
maintenance	35.64889	2014-05-20	117.27583	CN	Asia/Shanghai
accep	41.41204	2021/09/27	2.18247	ES	Europe/Madrid
good	48.8222	2019-08-03	2.12213	FR	Europe/Paris
accep	-23.44361	03/22/2018, 00:00:00	-51.87389	BR	America/Sao_Paulo
good	45.35	11/20/2018, 00:00:00	126.28333	CN	Asia/Shanghai
average	17.06542	2020/03/26	-96.72365	MX	America/Mexico_City
excellent	37.95143	02/02/2022, 00:00:00	-91.77127	US	America/Chicago
maitennce	32.42067	23 May 2015	-104.22884	US	America/Denver
accep	53.95278	2014/04/14	32.86389	RU	Europe/Moscow
excellent	26.9423	07/01/2015, 00:00:00	68.11759	PK	Asia/Karachi
accep	42.30865	26 May 2017	-83.48216	US	America/Detroit
accep	45.44868	2019-08-30	-73.81669	CA	America/Toronto
accep	45.9836	2020-05-21	12.70038	IT	Europe/Rome
building	48.90982	27 Sep 2020	2.45012	FR	Europe/Paris
excellent	42.4251	2020/06/17	-71.06616	US	America/New_York
excellent	24.41288	08/30/2021, 00:00:00	76.56719	IN	Asia/Kolkata
maintenance	48.43174	2012-10-20	17.8031	SK	Europe/Bratislava
accep	54.60528	01/26/2015, 00:00:00	18.34717	PL	Europe/Warsaw
maintenance	37.31309	07/26/2016, 00:00:00	40.74357	TR	Europe/Istanbul
good	10.10649	2018-01-04	76.35484	IN	Asia/Kolkata
average	45.0408	31 Aug 2021	-93.263	US	America/Chicago
good	28.15112	2019/09/06	-82.46148	US	America/New_York
building	11.12018	30 Jun 2019	76.11996	IN	Asia/Kolkata
excellent	11.50526	25 May 2019	77.23826	IN	Asia/Kolkata
average	-7.60361	04 Jul 2021	37.00438	TZ	Africa/Dar_es_Salaam
maintenance	34.65918	2016/05/28	109.22921	CN	Asia/Shanghai
excellent	44.35056	2018/11/08	142.45778	JP	Asia/Tokyo
accep	51.39148	2015-12-08	-0.29825	GB	Europe/London
maintenance	11.85	2012-11-19	38.01667	ET	Africa/Addis_Ababa
maintenance	-24.19436	07 Nov 2015	29.00974	ZA	Africa/Johannesburg
accep	23.5654	2015-06-01	119.58627	TW	Asia/Taipei
maitennce	36.61954	10/30/2013, 00:00:00	4.08282	DZ	Africa/Algiers
average	6.15038	2015-10-10	6.83042	NG	Africa/Lagos
excellent	-10.91111	2014-08-14	-37.07167	BR	America/Maceio
excellent	4.96667	13 Nov 2021	10.7	CM	Africa/Douala
good	31.82539	2020/03/23	72.54064	PK	Asia/Karachi
average	28.71271	01/03/2022, 00:00:00	77.656	IN	Asia/Kolkata
accep	36.75965	2015/12/21	137.36215	JP	Asia/Tokyo
good	53.19146	10/08/2016, 00:00:00	-2.52398	GB	Europe/London
excellent	41.50343	2022-02-01	-74.01042	US	America/New_York
average	10.22677	11/12/2014, 00:00:00	-67.33122	VE	America/Caracas
average	-8.99167	2014-11-24	125.21972	TL	Asia/Dili
average	32.44874	2017-12-13	-99.73314	US	America/Chicago
excellent	10.66668	2021/02/26	-61.51889	TT	America/Port_of_Spain
accep	33.52253	2022-09-07	-117.70755	US	America/Los_Angeles
accep	51.67822	2019-06-03	33.9162	UA	Europe/Kiev
accep	-1.26424	2015-06-22	104.09701	ID	Asia/Jakarta
accep	30.75545	16 Nov 2019	20.22625	LY	Africa/Tripoli
maintenance	51.955	07 May 2018	5.22778	NL	Europe/Amsterdam
average	-7.51611	01/09/2017, 00:00:00	109.05389	ID	Asia/Jakarta
good	48.8765	12 Jan 2021	2.18967	FR	Europe/Paris
average	18.03496	2014-03-27	-66.8499	PR	America/Puerto_Rico
excellent	34.85	12/10/2017, 00:00:00	117.33333	CN	Asia/Shanghai
good	25.49043	01/08/2020, 00:00:00	85.94001	IN	Asia/Kolkata
average	-4.16694	2019-02-22	-40.7475	BR	America/Fortaleza
average	31.64615	29 Feb 2020	120.74221	CN	Asia/Shanghai
accep	39.78504	2022/06/30	-85.76942	US	America/Indiana/Indianapolis
excellent	36.92574	2016-11-03	14.72443	IT	Europe/Rome
good	51.62907	29 Aug 2014	-0.74934	GB	Europe/London
accep	35.25064	09/27/2014, 00:00:00	-91.73625	US	America/Chicago
maintenance	58.7002	10/25/2012, 00:00:00	59.4839	RU	Asia/Yekaterinburg
excellent	48.06919	12/11/2015, 00:00:00	11.37703	DE	Europe/Berlin
excellent	48.77275	2022/04/14	5.16108	FR	Europe/Paris
building	38.91817	27 Jun 2013	-78.19444	US	America/New_York
accep	13.70167	16 Nov 2020	-89.10944	SV	America/El_Salvador
accep	-11.78333	17 Oct 2015	19.91667	AO	Africa/Luanda
average	41.15376	17 May 2014	-87.88754	US	America/Chicago
maitennce	2.2139	2014-09-15	102.3278	MY	Asia/Kuala_Lumpur
excellent	-8.99167	2013/03/07	125.21972	TL	Asia/Dili
accep	48.8222	2017-07-16	2.12213	FR	Europe/Paris
good	14.95472	09/21/2014, 00:00:00	120.89694	PH	Asia/Manila
excellent	34.81667	04 Oct 2014	137.4	JP	Asia/Tokyo
maintenance	35.06667	2019/11/13	135.21667	JP	Asia/Tokyo
good	0.03813	2020-04-07	36.36339	KE	Africa/Nairobi
excellent	23.18	12/01/2013, 00:00:00	88.58	IN	Asia/Kolkata
accep	39.08367	18 Sep 2016	-84.50855	US	America/New_York
building	34.15429	04/20/2014, 00:00:00	3.50309	DZ	Africa/Algiers
average	45.49428	13 Dec 2016	-122.86705	US	America/Los_Angeles
excellent	5.6561	04/21/2022, 00:00:00	-75.87877	CO	America/Bogota
maintenance	54.52156	06 May 2020	9.5586	DE	Europe/Berlin
excellent	51.40148	02/07/2015, 00:00:00	-1.32471	GB	Europe/London
excellent	50.82709	2021-05-10	6.9747	DE	Europe/Berlin
building	10.12268	2019-01-27	77.54372	IN	Asia/Kolkata
building	24.81757	2016/09/09	84.63445	IN	Asia/Kolkata
good	39.96348	10 Nov 2019	-4.83076	ES	Europe/Madrid
good	54.39304	31 Aug 2018	53.26023	RU	Europe/Moscow
good	46.7055	2014-03-31	38.2739	RU	Europe/Moscow
good	-10.91722	2016-07-29	-37.65	BR	America/Maceio
accep	58.04254	2017/12/01	65.27258	RU	Asia/Yekaterinburg
acceptable	48.78232	09 Apr 2014	9.17702	DE	Europe/Berlin
average	32.61603	2018-06-22	44.02488	IQ	Asia/Baghdad
average	-37.9	04/29/2018, 00:00:00	145.18333	AU	Australia/Melbourne
good	49.41029	2014/11/20	38.15035	UA	Europe/Zaporozhye
average	26.11527	2014/12/19	86.59509	IN	Asia/Kolkata
good	46.23899	2020/10/13	-63.13414	CA	America/Halifax
accep	14.95472	13 Jul 2019	120.89694	PH	Asia/Manila
good	40.1675	10/06/2013, 00:00:00	34.37389	TR	Europe/Istanbul
average	42.64685	01/09/2014, 00:00:00	-5.55835	ES	Europe/Madrid
good	46.08333	2013-04-07	122.08333	CN	Asia/Shanghai
good	37.65639	2022-02-25	126.835	KR	Asia/Seoul
accep	24.81757	2015/07/19	84.63445	IN	Asia/Kolkata
average	41.63976	19 Jun 2020	2.35739	ES	Europe/Madrid
excellent	20.74122	2021-07-24	-100.44843	MX	America/Mexico_City
accep	6.25947	07/03/2016, 00:00:00	102.05461	TH	Asia/Bangkok
building	23.18	20 Mar 2020	88.58	IN	Asia/Kolkata
accep	22.98212	2020/04/24	-80.58556	CU	America/Havana
good	37.71715	02 Feb 2017	-122.40433	US	America/Los_Angeles
average	34.25628	2022/04/06	-78.04471	US	America/New_York
accep	34.85	19 Dec 2015	117.33333	CN	Asia/Shanghai
good	50.64336	04/23/2021, 00:00:00	7.2278	DE	Europe/Berlin
excellent	16.75973	05/05/2016, 00:00:00	-93.11308	MX	America/Mexico_City
building	30.21121	2014/09/12	74.4818	IN	Asia/Kolkata
good	3.27833	31 May 2018	32.88667	UG	Africa/Kampala
accep	23.49668	02/03/2020, 00:00:00	86.68363	IN	Asia/Kolkata
average	-34.64167	07/19/2018, 00:00:00	-60.47389	AR	America/Argentina/Buenos_Aires
good	34.14251	2019-07-22	-118.25508	US	America/Los_Angeles
accep	2.41669	2012-11-04	30.98551	UG	Africa/Kampala
excellent	12.35275	2014-09-10	121.06761	PH	Asia/Manila
accep	37.65181	02 Jun 2013	120.33063	CN	Asia/Shanghai
accep	17.94979	2020-02-18	-94.91386	MX	America/Mexico_City
building	-8.76194	06/11/2022, 00:00:00	-63.90389	BR	America/Porto_Velho
good	53.69786	04 Mar 2016	-2.68758	GB	Europe/London
excellent	46.51872	2016/10/09	86.00214	CN	Asia/Urumqi
accep	18.51957	20 Aug 2017	73.85535	IN	Asia/Kolkata
good	55.25	2020/10/09	24.75	LT	Europe/Vilnius
average	50.88506	17 Aug 2015	4.07601	BE	Europe/Brussels
accep	33.50921	10/19/2020, 00:00:00	-111.89903	US	America/Phoenix
good	3.3285	20 Feb 2017	99.1625	ID	Asia/Jakarta
good	44.73941	06 Feb 2014	-93.12577	US	America/Chicago
average	43.32686	10/22/2014, 00:00:00	-2.98884	ES	Europe/Madrid
excellent	53.46506	2019-03-22	-1.47217	GB	Europe/London
excellent	31.64615	2014/08/20	120.74221	CN	Asia/Shanghai
good	34.56861	09/20/2016, 00:00:00	105.89333	CN	Asia/Shanghai
accep	10.98778	2015/04/12	-74.95472	CO	America/Bogota
accep	48.90472	04 Jun 2016	2.2469	FR	Europe/Paris
good	40.93121	2015/03/16	-73.89875	US	America/New_York
average	40.24537	2019-12-31	-75.64963	US	America/New_York
excellent	36.20829	2020-09-17	-115.98391	US	America/Los_Angeles
accep	51.64316	07/24/2014, 00:00:00	-0.36053	GB	Europe/London
maintenance	28.71271	05/05/2014, 00:00:00	77.656	IN	Asia/Kolkata
accep	35.21222	03/03/2021, 00:00:00	2.31889	DZ	Africa/Algiers
excellent	53.77166	17 Jun 2016	38.12408	RU	Europe/Moscow
accep	29.21399	01/02/2020, 00:00:00	78.95693	IN	Asia/Kolkata
maintenance	54.84444	09 Feb 2017	38.16694	RU	Europe/Moscow
accep	2.41669	2016/03/29	30.98551	UG	Africa/Kampala
accep	13.70727	06 May 2015	9.15013	NE	Africa/Niamey
excellent	40.2737	10/06/2012, 00:00:00	-76.88442	US	America/New_York
building	37.19723	28 Apr 2014	122.05228	CN	Asia/Shanghai
building	44.89784	2020/11/14	8.86374	IT	Europe/Rome
excellent	46.7055	2017-10-03	38.2739	RU	Europe/Moscow
building	39.45621	2014-09-13	-77.96389	US	America/New_York
average	20.74122	2021-05-17	-100.44843	MX	America/Mexico_City
average	9.57046	2014/07/23	76.32756	IN	Asia/Kolkata
excellent	-21.41222	23 Nov 2015	-42.19667	BR	America/Sao_Paulo
accep	-17.74431	2017-09-09	-48.62789	BR	America/Sao_Paulo
average	3.27833	05/13/2018, 00:00:00	32.88667	UG	Africa/Kampala
building	50.79205	06 Feb 2022	-1.08593	GB	Europe/London
good	48.25	08/10/2018, 00:00:00	16.4	AT	Europe/Vienna
excellent	41.29444	16 Jan 2020	69.67639	UZ	Asia/Tashkent
excellent	41.09822	2020-04-01	120.74792	CN	Asia/Shanghai
good	36.72544	2015-03-14	3.55665	DZ	Africa/Algiers
good	58.7002	2014/10/09	59.4839	RU	Asia/Yekaterinburg
maintenance	50.71229	2014-10-17	4.52529	BE	Europe/Brussels
good	47.4943	2021-09-05	-122.24092	US	America/Los_Angeles
building	41.92361	2014-09-18	20.91361	MK	Europe/Skopje
average	36.61033	2020-01-26	-88.31476	US	America/Chicago
average	41.9001	2016-01-29	-71.08977	US	America/New_York
maintenance	-54.8	26 Oct 2018	-68.3	AR	America/Argentina/Ushuaia
average	37.31065	2014/01/12	13.57661	IT	Europe/Rome
excellent	36.33011	08/11/2017, 00:00:00	138.89585	JP	Asia/Tokyo
building	-4.83	11/13/2020, 00:00:00	29.65806	TZ	Africa/Dar_es_Salaam
accep	36.19278	2015/09/03	117.65694	CN	Asia/Shanghai
average	35.72917	08/17/2019, 00:00:00	10.58082	TN	Africa/Tunis
good	38.47917	2013/01/23	-1.325	ES	Europe/Madrid
excellent	41.41204	11/29/2014, 00:00:00	2.18247	ES	Europe/Madrid
average	11.00599	09/04/2019, 00:00:00	77.5609	IN	Asia/Kolkata
excellent	-28.24	04/18/2014, 00:00:00	-48.67028	BR	America/Sao_Paulo
excellent	-25.42778	03 Sep 2021	-49.27306	BR	America/Sao_Paulo
average	26.91756	01 Nov 2021	-82.07842	US	America/New_York
average	54.84444	2019-12-04	38.16694	RU	Europe/Moscow
accep	17.94979	19 Oct 2021	-94.91386	MX	America/Mexico_City
excellent	55.1904	2017/03/25	30.2049	BY	Europe/Minsk
good	51.95838	14 Dec 2015	4.47124	NL	Europe/Amsterdam
accep	-7.81667	02/22/2022, 00:00:00	112.01667	ID	Asia/Jakarta
accep	38.37255	2019/08/01	34.02537	TR	Europe/Istanbul
good	30.29184	11/03/2021, 00:00:00	71.67164	PK	Asia/Karachi
good	35.6803	06 May 2017	51.0193	IR	Asia/Tehran
