station	latitude	longitude	QoS	revision	location
Most	50.50301	13.63617	accep	22 May 2014	Europe/Prague
Rueil-Malmaison	48.8765	2.18967	accep	06/15/2022, 00:00:00	Europe/Paris
Thomazeau	18.65297	-72.09391	maintenance	05/19/2013, 00:00:00	America/Port-au-Prince
Canton	42.30865	-83.48216	excellent	2020/05/20	America/Detroit
Ciudad Guayana	8.35122	-62.64102	maintenance	09/27/2019, 00:00:00	America/Caracas
Catende	-8.66667	-35.71667	excellent	2015-05-04	America/Recife
Sassari	40.72586	8.55552	maintenance	07 Feb 2013	Europe/Rome
Kolomyagi	60.02427	30.28491	building	2017-08-27	Europe/Moscow
Blackpool	53.81667	-3.05	excellent	02 Jan 2013	Europe/London
Bad Segeberg	53.94313	10.30215	maintenance	2018/04/04	Europe/Berlin
Soure	-0.71667	-48.52333	maintenance	2012/11/12	America/Belem
Bhit Shah	25.80565	68.49143	average	2014/02/01	Asia/Karachi
Stupino	54.90083	38.07083	accep	2017-02-26	Europe/Moscow
Tadmur	34.5624	38.28402	average	01/31/2017, 00:00:00	Asia/Damascus
Moga	30.81383	75.16878	average	2014-09-06	Asia/Kolkata
Hungund	16.06213	76.0586	excellent	08/28/2019, 00:00:00	Asia/Kolkata
Kamina	-8.73508	24.99798	accep	2013/06/15	Africa/Lubumbashi
Pfullingen	48.46458	9.22796	average	04/03/2013, 00:00:00	Europe/Berlin
Troutdale	45.53929	-122.38731	building	2014/04/28	America/Los_Angeles
Pfullingen	48.46458	9.22796	maintenance	2015/11/06	Europe/Berlin
Rutherglen	55.82885	-4.21376	average	09/30/2013, 00:00:00	Europe/London
Gronau	52.21099	7.02238	excellent	09/26/2022, 00:00:00	Europe/Berlin
Deltona	28.90054	-81.26367	average	07/29/2020, 00:00:00	America/New_York
Chapletown	53.46506	-1.47217	building	2013/11/23	Europe/London
Ken Caryl	39.57582	-105.11221	excellent	04/30/2018, 00:00:00	America/Denver
Zaysan	47.46657	84.87144	good	2014/04/03	Asia/Almaty
Mikhaylovka	50.06	43.2379	good	2017-11-22	Europe/Volgograd
Maliana	-8.99167	125.21972	average	08/10/2020, 00:00:00	Asia/Dili
Perugia	43.1122	12.38878	accep	09/19/2014, 00:00:00	Europe/Rome
Ulanhot	46.08333	122.08333	good	2020/07/13	Asia/Shanghai
Albstadt	48.21644	9.02596	building	2014/07/25	Europe/Berlin
Le Chesnay	48.8222	2.12213	good	2017/12/26	Europe/Paris
Darreh Shahr	33.14447	47.3799	average	01/12/2019, 00:00:00	Asia/Tehran
Kidodi	-7.60361	37.00438	average	16 Sep 2021	Africa/Dar_es_Salaam
Otradnyy	53.37596	51.3452	maintenance	11/19/2013, 00:00:00	Europe/Samara
Danilov	58.1908	40.17171	average	2021/07/10	Europe/Moscow
Searcy	35.25064	-91.73625	good	04/17/2015, 00:00:00	America/Chicago
Namerikawa	36.75965	137.36215	average	04/27/2016, 00:00:00	Asia/Tokyo
Aklera	24.41288	76.56719	average	08/24/2018, 00:00:00	Asia/Kolkata
Yasothon	15.79408	104.1451	accep	2020-07-01	Asia/Bangkok
Kherson	46.65581	32.6178	excellent	2012/10/26	Europe/Kiev
Boli	45.75279	130.57211	average	12 Aug 2014	Asia/Shanghai
Front Royal	38.91817	-78.19444	accep	2021-01-03	America/New_York
Kashipur	29.21399	78.95693	building	2015/11/03	Asia/Kolkata
Sathyamangalam	11.50526	77.23826	building	01/05/2018, 00:00:00	Asia/Kolkata
Ina	35.82756	137.95378	excellent	2013/11/29	Asia/Tokyo
Ferrol	43.48961	-8.2194	maintenance	27 Mar 2021	Europe/Madrid
Venice	27.09978	-82.45426	good	2018-11-12	America/New_York
Muritiba	-12.91667	-39.25	maintenance	02/12/2015, 00:00:00	America/Bahia
Catania	37.49223	15.07041	excellent	29 Mar 2018	Europe/Rome
Supaul	26.11527	86.59509	excellent	14 Nov 2016	Asia/Kolkata
Troutdale	45.53929	-122.38731	maintenance	2021/02/01	America/Los_Angeles
'Ali Sabieh	11.15583	42.7125	maintenance	2017/01/09	Africa/Djibouti
Gingee	12.25282	79.41727	good	11 May 2017	Asia/Kolkata
Hutto	30.5427	-97.54667	good	04/07/2013, 00:00:00	America/Chicago
La Trinidad	16.455	120.5875	good	10/23/2012, 00:00:00	Asia/Manila
Dublin	32.54044	-82.90375	accep	2022/09/24	America/New_York
Norwalk	41.24255	-82.61573	average	05/05/2016, 00:00:00	America/New_York
Sicklerville	39.71734	-74.96933	accep	03 Jan 2014	America/New_York
Kingston upon Hull	53.7446	-0.33525	average	2013-08-19	Europe/London
Beidao	34.56861	105.89333	good	23 Nov 2017	Asia/Shanghai
Busia	0.46005	34.11169	accep	2022/07/16	Africa/Nairobi
Newburgh	41.50343	-74.01042	maintenance	2020/03/30	America/New_York
Floridsdorf	48.25	16.4	accep	2021-10-10	Europe/Vienna
Kalavoor	9.57046	76.32756	excellent	2016/02/29	Asia/Kolkata
Aracaju	-10.91111	-37.07167	building	12/05/2012, 00:00:00	America/Maceio
Waterbury	41.55815	-73.0515	average	30 Mar 2016	America/New_York
Chamba	32.55531	76.12647	building	02 Nov 2019	Asia/Kolkata
Hueytown	33.45122	-86.99666	average	2013-04-21	America/Chicago
Aracaju	-10.91111	-37.07167	average	09 Oct 2014	America/Maceio
Mampong	7.06273	-1.4001	building	2017/02/20	Africa/Accra
Milagro	-2.13404	-79.59415	average	17 Apr 2019	America/Guayaquil
Maspalomas	27.76056	-15.58602	excellent	05 Aug 2015	Atlantic/Canary
Tupi	6.33444	124.95278	average	09/02/2014, 00:00:00	Asia/Manila
Mexborough	53.49389	-1.29243	building	2012-10-12	Europe/London
Toyokawa	34.81667	137.4	accep	13 Apr 2018	Asia/Tokyo
Argungu	12.74482	4.52514	excellent	2016/08/28	Africa/Lagos
Nampa	43.54072	-116.56346	accep	09/29/2021, 00:00:00	America/Boise
Aklera	24.41288	76.56719	building	2021-06-27	Asia/Kolkata
Chacabuco	-34.64167	-60.47389	average	26 Sep 2021	America/Argentina/Buenos_Aires
Espoo	60.2052	24.6522	excellent	2020-03-01	Europe/Helsinki
Rosemount	44.73941	-93.12577	excellent	2019/05/03	America/Chicago
Kot Addu	30.46907	70.96699	good	2015/11/18	Asia/Karachi
Barnet	51.65	-0.2	average	14 Aug 2020	Europe/London
Elamanchili	17.54907	82.85749	maintenance	2019-08-02	Asia/Kolkata
Kobuleti	41.82143	41.77921	good	2020-06-30	Asia/Tbilisi
Acworth	34.06635	-84.67837	accep	2022-05-02	America/New_York
Albufeira	37.08819	-8.2503	average	2015-06-17	Europe/Lisbon
Pune	18.51957	73.85535	good	2015-03-11	Asia/Kolkata
Norco	33.93113	-117.54866	good	11 May 2021	America/Los_Angeles
Bensheim	49.68369	8.61839	good	04/15/2022, 00:00:00	Europe/Berlin
Bad Honnef	50.64336	7.2278	accep	2021/05/17	Europe/Berlin
American Canyon	38.17492	-122.2608	accep	2020-12-03	America/Los_Angeles
Fayetteville	35.05266	-78.87836	excellent	12 Feb 2013	America/New_York
Heroica Matamoros	25.87972	-97.50417	average	05 Feb 2021	America/Matamoros
Strood	51.39323	0.47713	average	2019/04/22	Europe/London
Vienne	45.51667	4.86667	good	11 Jun 2018	Europe/Paris
Tupiza	-21.44345	-65.71875	good	2017-12-05	America/La_Paz
Caldas Novas	-17.74431	-48.62789	average	2016-07-13	America/Sao_Paulo
Kati	12.74409	-8.07257	excellent	2015/06/01	Africa/Bamako
Taunton	41.9001	-71.08977	excellent	14 Jan 2021	America/New_York
Albstadt	48.21644	9.02596	maintenance	04 Nov 2015	Europe/Berlin
Segundo Ensanche	42.8139	-1.64295	excellent	02/24/2016, 00:00:00	Europe/Madrid
Chanika	-5.41667	38.01667	average	2015-07-27	Africa/Dar_es_Salaam
Honda	5.20856	-74.73584	good	2017-07-07	America/Bogota
East Haven	41.27621	-72.86843	average	21 Sep 2019	America/New_York
Dombivli	19.21667	73.08333	accep	31 Oct 2014	Asia/Kolkata
Sorsogon	12.97389	123.99333	good	12 Feb 2013	Asia/Manila
Kyzylorda	44.85278	65.50917	maintenance	12 Aug 2018	Asia/Qyzylorda
Kashipur	29.21399	78.95693	maintenance	2015-08-16	Asia/Kolkata
Zhoucun	36.81667	117.81667	excellent	03 Jun 2016	Asia/Shanghai
Canton	42.30865	-83.48216	average	29 Mar 2020	America/Detroit
Schererville	41.47892	-87.45476	excellent	09 Oct 2017	America/Chicago
Pekin	40.56754	-89.64066	accep	2022/02/04	America/Chicago
Damnoen Saduak	13.51825	99.95469	accep	2022/09/16	Asia/Bangkok
Greenfield	39.78504	-85.76942	good	2014/06/11	America/Indiana/Indianapolis
Karbala	32.61603	44.02488	average	20 Oct 2013	Asia/Baghdad
Ar Ruseris	11.8659	34.3869	average	2022-09-14	Africa/Khartoum
Ngemplak	-7.54972	110.71639	accep	2018/12/21	Asia/Jakarta
Middletown	41.54566	-71.29144	accep	10 Jul 2020	America/New_York
Sungurlu	40.1675	34.37389	excellent	2015-03-26	Europe/Istanbul
Casa Blanca	19.04222	-98.11889	accep	2020/09/23	America/Mexico_City
Naushahra Virkan	31.96258	73.97117	average	2013/11/23	Asia/Karachi
Simpang	-1.26424	104.09701	maintenance	2021/09/27	Asia/Jakarta
Shimotoda	35.815	139.6853	excellent	2022/01/10	Asia/Tokyo
Sinhyeon	34.8825	128.62667	accep	2021-08-28	Asia/Seoul
Cardedeu	41.63976	2.35739	accep	2013/02/24	Europe/Madrid
El Achir	36.06386	4.62744	good	2015/04/23	Africa/Algiers
Ventimiglia	43.78956	7.60872	average	06/22/2021, 00:00:00	Europe/Rome
Afragola	40.92298	14.30935	building	2016/08/22	Europe/Rome
Copperas Cove	31.12406	-97.90308	average	2015-06-26	America/Chicago
Canavieiras	-15.675	-38.94722	accep	2020/09/05	America/Bahia
Lille	51.24197	4.82313	maintenance	10/13/2012, 00:00:00	Europe/Brussels
Reus	41.15612	1.10687	maintenance	2014-10-02	Europe/Madrid
Carindale	-27.50578	153.10236	average	2017-07-13	Australia/Brisbane
Kahului	20.88953	-156.47432	excellent	12/22/2012, 00:00:00	Pacific/Honolulu
Sa Dec	10.29085	105.75635	average	2022-02-07	Asia/Ho_Chi_Minh
Dax	43.71032	-1.05366	accep	2017-02-08	Europe/Paris
Dongdu	35.85	117.7	excellent	2016-08-27	Asia/Shanghai
Campobasso	41.55947	14.66737	accep	2013-10-25	Europe/Rome
Salvatierra	20.21322	-100.88023	excellent	01/22/2018, 00:00:00	America/Mexico_City
Boyeros	23.0072	-82.4017	average	2018-12-19	America/Havana
Rudolstadt	50.72043	11.34046	good	05 Feb 2015	Europe/Berlin
Saratoga Springs	40.34912	-111.90466	accep	2019-09-23	America/Denver
Great Wyrley	52.66277	-2.01111	maintenance	2018/03/09	Europe/London
Amposta	40.70995	0.57856	good	2016-03-24	Europe/Madrid
Yeysk	46.7055	38.2739	average	08/10/2017, 00:00:00	Europe/Moscow
Greenville	33.41012	-91.06177	average	2016-05-02	America/Chicago
Gandia	38.96667	-0.18333	accep	03/25/2017, 00:00:00	Europe/Madrid
Gifhorn	52.47774	10.5511	good	2018-07-19	Europe/Berlin
Burgos	15.72892	120.57224	building	03/21/2020, 00:00:00	Asia/Manila
Cheraga	36.76775	2.95924	good	30 May 2015	Africa/Algiers
Pune	18.51957	73.85535	accep	2014-02-11	Asia/Kolkata
Madhipura	25.92127	86.79271	building	12/23/2019, 00:00:00	Asia/Kolkata
Rajaori	33.37526	74.3092	building	04 Apr 2020	Asia/Kolkata
Oldenzaal	52.31333	6.92917	average	2021/02/27	Europe/Amsterdam
Andijon	40.78206	72.34424	average	03/31/2018, 00:00:00	Asia/Tashkent
Yangambi	0.76755	24.43973	excellent	05/27/2019, 00:00:00	Africa/Lubumbashi
Dombivli	19.21667	73.08333	average	01/20/2019, 00:00:00	Asia/Kolkata
Alytus	54.39635	24.04142	excellent	2017/04/28	Europe/Vilnius
Nonoichi	36.53333	136.61667	maintenance	07 Feb 2014	Asia/Tokyo
Mira Mesa	32.9156	-117.14392	average	24 Apr 2016	America/Los_Angeles
Malden	42.4251	-71.06616	excellent	2021-12-07	America/New_York
Jerada	34.31	-2.16	average	2021/04/08	Africa/Casablanca
'Ali Sabieh	11.15583	42.7125	good	2019/02/10	Africa/Djibouti
Gauting	48.06919	11.37703	good	2020-06-14	Europe/Berlin
Waterbury	41.55815	-73.0515	good	2022-06-10	America/New_York
Ozersk	55.75556	60.70278	excellent	20 May 2022	Asia/Yekaterinburg
Roslavl’	53.95278	32.86389	good	04 Jan 2013	Europe/Moscow
Carnot	4.94273	15.87735	average	2015/10/19	Africa/Bangui
Smolyan	41.57439	24.71204	good	2019-08-23	Europe/Sofia
Huangshi	30.24706	115.04814	good	24 Jul 2020	Asia/Shanghai
Talence	44.80477	-0.59543	good	2018-09-09	Europe/Paris
Udumalaippettai	10.58806	77.24779	accep	12/02/2015, 00:00:00	Asia/Kolkata
Xinzhou	38.40917	112.73333	accep	2022/08/14	Asia/Shanghai
Oaxaca	17.06542	-96.72365	good	2018-10-08	America/Mexico_City
Barmbek-Nord	53.6052	10.03988	accep	2012/12/08	Europe/Berlin
Simpang	-1.26424	104.09701	excellent	11/21/2013, 00:00:00	Asia/Jakarta
Gandia	38.96667	-0.18333	accep	2020-11-12	Europe/Madrid
Oschatz	51.30001	13.10984	accep	29 Aug 2016	Europe/Berlin
Puducherry	11.93381	79.82979	average	2018/03/11	Asia/Kolkata
Martinsburg	39.45621	-77.96389	excellent	18 Dec 2021	America/New_York
Ghat	24.96334	10.18003	good	2018/09/06	Africa/Tripoli
Francavilla Fontana	40.53123	17.58522	accep	2022/05/15	Europe/Rome
Kitgum	3.27833	32.88667	good	27 Mar 2017	Africa/Kampala
Lille	51.24197	4.82313	maintenance	18 Jun 2021	Europe/Brussels
Charlottetown	46.23899	-63.13414	maintenance	23 Apr 2019	America/Halifax
Kobuleti	41.82143	41.77921	accep	03 Dec 2018	Asia/Tbilisi
Troutdale	45.53929	-122.38731	average	31 Jan 2020	America/Los_Angeles
Jalal-Abad	40.93333	73	excellent	04/29/2021, 00:00:00	Asia/Bishkek
Kireyevsk	53.93361	37.92792	maintenance	19 Feb 2013	Europe/Moscow
Shreveport	32.52515	-93.75018	average	2018-05-16	America/Chicago
Budva	42.28639	18.84	average	06/16/2016, 00:00:00	Europe/Podgorica
Diamond Harbour	22.19303	88.18466	accep	02/26/2015, 00:00:00	Asia/Kolkata
Esmeraldas	-19.7625	-44.31389	building	2017/09/28	America/Sao_Paulo
Privolzhskiy	51.40944	46.04833	good	2016-05-09	Europe/Saratov
Elamanchili	17.54907	82.85749	building	01/05/2017, 00:00:00	Asia/Kolkata
Baki	9.89206	43.38531	excellent	2016-03-29	Africa/Mogadishu
Mianwali	32.57756	71.52847	average	2016/06/16	Asia/Karachi
Bhit Shah	25.80565	68.49143	good	06/07/2019, 00:00:00	Asia/Karachi
Ulanhot	46.08333	122.08333	excellent	18 Nov 2012	Asia/Shanghai
Walsrode	52.86147	9.5926	good	2017-12-12	Europe/Berlin
Mirriah	13.70727	9.15013	average	21 Jan 2013	Africa/Niamey
Sinhyeon	34.8825	128.62667	average	2018/11/21	Asia/Seoul
Covington	39.08367	-84.50855	average	2022-09-05	America/New_York
Lons-le-Saunier	46.67535	5.55575	excellent	18 Oct 2019	Europe/Paris
Onex	46.18396	6.10237	excellent	13 Dec 2017	Europe/Zurich
Albufeira	37.08819	-8.2503	accep	2016/01/15	Europe/Lisbon
Gaziantep	37.05944	37.3825	accep	16 Jun 2019	Europe/Istanbul
Brunswick	43.91452	-69.96533	maintenance	2015/07/16	America/New_York
Mesagne	40.55851	17.80774	excellent	2019/12/30	Europe/Rome
Lesozavodsk	45.47885	133.42825	accep	12/31/2016, 00:00:00	Asia/Vladivostok
Puerto Colombia	10.98778	-74.95472	average	2015/03/09	America/Bogota
Corralillo	22.98212	-80.58556	average	2015/01/27	America/Havana
Sassari	40.72586	8.55552	excellent	2017-07-02	Europe/Rome
Sillanwali	31.82539	72.54064	accep	2013/08/11	Asia/Karachi
Teluk Intan	4.02219	101.02083	excellent	20 Oct 2012	Asia/Kuala_Lumpur
Meizhou	24.28859	116.11768	maintenance	11 Oct 2016	Asia/Shanghai
Solntsevo	55.63711	37.38115	accep	2013/02/13	Europe/Moscow
Villa del Rosario	7.83389	-72.47417	maintenance	15 Sep 2014	America/Bogota
Thomasville	35.88264	-80.08199	average	09/19/2016, 00:00:00	America/New_York
Aistala	23.18	88.58	good	04 Aug 2018	Asia/Kolkata
Vught	51.65333	5.2875	excellent	2013/10/17	Europe/Amsterdam
Manjeri	11.12018	76.11996	excellent	2013/02/08	Asia/Kolkata
Gajendragarh	15.73628	75.96976	average	2020/09/27	Asia/Kolkata
Cowes	50.76306	-1.29772	accep	2018/11/08	Europe/London
Ponta Delgada	37.74615	-25.66689	accep	26 Apr 2013	Atlantic/Azores
Rixensart	50.71229	4.52529	excellent	2019-07-31	Europe/Brussels
Nowra	-34.88422	150.60036	excellent	02 Jun 2021	Australia/Sydney
Lagarto	-10.91722	-37.65	average	2017/07/22	America/Maceio
Viewpark	55.82737	-4.0573	accep	2018/08/06	Europe/London
East Jerusalem	31.78336	35.23388	excellent	08 Sep 2018	Asia/Hebron
Yablonovskiy	44.98901	38.94324	maintenance	02/01/2019, 00:00:00	Europe/Moscow
Montana	43.4125	23.225	accep	08/03/2020, 00:00:00	Europe/Sofia
Riverbank	37.73604	-120.93549	average	2022/06/14	America/Los_Angeles
Lino Lakes	45.16024	-93.08883	maintenance	15 Feb 2014	America/Chicago
Korschenbroich	51.19139	6.51352	excellent	08 Jan 2022	Europe/Berlin
Hofheim am Taunus	50.09019	8.4493	excellent	21 Oct 2021	Europe/Berlin
Saratoga Springs	40.34912	-111.90466	accep	22 May 2015	America/Denver
New City	41.80753	-87.65644	building	2017/03/28	America/Chicago
'Ali Sabieh	11.15583	42.7125	good	08/07/2020, 00:00:00	Africa/Djibouti
Ariccia	41.72063	12.6723	average	2016-08-04	Europe/Rome
Palm Desert	33.72255	-116.37697	accep	2016-01-12	America/Los_Angeles
Muritiba	-12.91667	-39.25	accep	09/07/2022, 00:00:00	America/Bahia
Riverbank	37.73604	-120.93549	excellent	2020/01/17	America/Los_Angeles
Paidha	2.41669	30.98551	good	12/17/2015, 00:00:00	Africa/Kampala
Freetown	8.48714	-13.2356	average	2019-04-28	Africa/Freetown
Durazno	-33.38056	-56.52361	maintenance	2016-01-03	America/Montevideo
Xiangtan	27.85	112.9	accep	2012-12-21	Asia/Shanghai
Yakuplu	40.98894	28.67582	accep	21 Oct 2013	Europe/Istanbul
Palestine	31.76212	-95.63079	accep	11/12/2016, 00:00:00	America/Chicago
Standerton	-26.93366	29.24152	accep	2015/05/04	Africa/Johannesburg
Naga	10.20898	123.758	average	02/12/2015, 00:00:00	Asia/Manila
Varadero	23.15678	-81.24441	excellent	19 Jan 2021	America/Havana
Kirchlengern	52.2	8.63333	good	13 Jan 2015	Europe/Berlin
Lakota	5.84752	-5.682	excellent	08/21/2016, 00:00:00	Africa/Abidjan
Leioa	43.32686	-2.98884	excellent	28 Feb 2016	Europe/Madrid
Houthalen	51.03427	5.37429	good	12/10/2014, 00:00:00	Europe/Brussels
el Camp de l'Arpa del Clot	41.41204	2.18247	accep	2021-11-14	Europe/Madrid
Clermont	28.54944	-81.77285	average	2022-07-21	America/New_York
Ikalamavony	-21.15	46.58333	excellent	03/15/2013, 00:00:00	Indian/Antananarivo
Sirsi	14.62072	74.83554	average	27 Dec 2013	Asia/Kolkata
San Carlos	8.79577	-75.69947	accep	15 Mar 2014	America/Bogota
Sarandi	-23.44361	-51.87389	good	2020/04/20	America/Sao_Paulo
Carnot	4.94273	15.87735	average	11/06/2020, 00:00:00	Africa/Bangui
Aguadilla	18.42745	-67.15407	average	2021-04-25	America/Puerto_Rico
Gernika-Lumo	43.31667	-2.68333	good	09/08/2018, 00:00:00	Europe/Madrid
Schleswig	54.52156	9.5586	average	2018/08/27	Europe/Berlin
Riverbank	37.73604	-120.93549	excellent	2020/08/20	America/Los_Angeles
Herblay	48.98994	2.1699	good	2017/08/10	Europe/Paris
San Giuliano Milanese	45.39402	9.29109	average	10/12/2013, 00:00:00	Europe/Rome
Francavilla Fontana	40.53123	17.58522	average	16 Jan 2018	Europe/Rome
Meerut	28.98002	77.70636	accep	19 May 2015	Asia/Kolkata
Manikchari	22.83957	91.84128	excellent	2022-06-26	Asia/Dhaka
Blackpool	53.81667	-3.05	average	2017-08-25	Europe/London
Hushitai	41.94175	123.50266	good	2013/05/13	Asia/Shanghai
Yingkou	40.66482	122.22833	average	2019-11-20	Asia/Shanghai
Jambi City	-1.6	103.61667	maintenance	03/06/2022, 00:00:00	Asia/Jakarta
Chapletown	53.46506	-1.47217	building	2020/03/07	Europe/London
Diwek	-7.57897	112.23109	excellent	2017/05/20	Asia/Jakarta
Pleasant Prairie	42.55308	-87.93341	average	08/31/2022, 00:00:00	America/Chicago
Negotin	44.22639	22.53083	acceptable	05/24/2019, 00:00:00	Europe/Belgrade
Buenaventura	3.8801	-77.03116	good	07 Jan 2017	America/Bogota
Tongelre	51.44889	5.51978	good	2021/07/06	Europe/Amsterdam
Le Chesnay	48.8222	2.12213	excellent	2016-10-25	Europe/Paris
La Trinidad	16.455	120.5875	building	2017-10-08	Asia/Manila
Harrisburg	40.2737	-76.88442	maintenance	2021/01/23	America/New_York
Karben	50.23019	8.77155	good	2018-07-27	Europe/Berlin
Salvatierra	20.21322	-100.88023	good	05/26/2014, 00:00:00	America/Mexico_City
Batu Feringgi	5.4709	100.24529	good	2019-04-05	Asia/Kuala_Lumpur
Dharmapuri	12.1277	78.15794	good	04 Dec 2014	Asia/Kolkata
Scarsdale	41.0051	-73.78458	excellent	2013-01-03	America/New_York
Sillanwali	31.82539	72.54064	excellent	12/18/2019, 00:00:00	Asia/Karachi
Rafaela	-31.25033	-61.4867	accep	2013-01-03	America/Argentina/Cordoba
Ulan-Ude	51.82721	107.60627	excellent	2019-03-27	Asia/Irkutsk
Arua	3.02013	30.91105	acceptable	02/28/2018, 00:00:00	Africa/Kampala
Gandia	38.96667	-0.18333	average	2019/01/25	Europe/Madrid
Okahandja	-21.98333	16.91667	good	27 Sep 2017	Africa/Windhoek
Sun City Center	27.71809	-82.35176	excellent	01 May 2019	America/New_York
Mount Hagen	-5.85746	144.23058	average	2018/01/04	Pacific/Port_Moresby
Shahre Jadide Andisheh	35.6803	51.0193	good	11/15/2019, 00:00:00	Asia/Tehran
Port Huron	42.97086	-82.42491	accep	2014/01/03	America/Detroit
Porterville	36.06523	-119.01677	accep	2013-11-26	America/Los_Angeles
Negotin	44.22639	22.53083	maintenance	2019/10/21	Europe/Belgrade
Nkpor	6.15038	6.83042	building	2014-02-12	Africa/Lagos
Uran	18.87813	72.93924	maintenance	2016/01/22	Asia/Kolkata
Rueil-Malmaison	48.8765	2.18967	accep	2015/01/23	Europe/Paris
Barnet	51.65	-0.2	average	2021/06/14	Europe/London
Gavrilov-Yam	57.30185	39.85331	good	2018/08/17	Europe/Moscow
Rangia	26.44931	91.61356	excellent	04/25/2019, 00:00:00	Asia/Kolkata
Saint-Omer	50.75	2.25	average	05 Feb 2021	Europe/Paris
Dorval	45.4473	-73.75335	accep	2017/11/23	America/Toronto
Novara	45.44694	8.62118	good	2019-01-02	Europe/Rome
Frederiksberg	55.67938	12.53463	excellent	12/13/2016, 00:00:00	Europe/Copenhagen
Likhobory	55.85	37.56667	maintenance	2014/04/02	Europe/Moscow
Haldwani	29.22254	79.5286	good	04/02/2019, 00:00:00	Asia/Kolkata
Kashipur	29.21399	78.95693	maintenance	09 Oct 2021	Asia/Kolkata
Colomiers	43.61058	1.33467	excellent	01 Oct 2014	Europe/Paris
Hoxtolgay	46.51872	86.00214	good	2014-10-01	Asia/Urumqi
Haicheng	40.85158	122.74754	accep	2018-07-24	Asia/Shanghai
Dongfeng	42.64031	125.51176	average	03 Nov 2014	Asia/Shanghai
Udumalaippettai	10.58806	77.24779	average	2021/02/24	Asia/Kolkata
Valday	57.97472	33.2525	average	08 Feb 2013	Europe/Moscow
Deoli	25.75728	75.37991	good	18 Sep 2013	Asia/Kolkata
East Jerusalem	31.78336	35.23388	accep	2013-10-12	Asia/Hebron
Kheda	22.75218	72.68533	accep	2015-11-24	Asia/Kolkata
Kelowna	49.88307	-119.48568	average	2013-12-09	America/Vancouver
Gudermes	43.35071	46.10925	average	04/26/2019, 00:00:00	Europe/Moscow
Somma Vesuviana	40.87329	14.43865	average	2017/08/19	Europe/Rome
Ulu Tiram	1.6	103.81667	accep	08/04/2019, 00:00:00	Asia/Kuala_Lumpur
Gingee	12.25282	79.41727	good	08 Oct 2021	Asia/Kolkata
Santa Rosa Jauregui	20.74122	-100.44843	average	04/09/2013, 00:00:00	America/Mexico_City
Nkpor	6.15038	6.83042	building	26 Aug 2013	Africa/Lagos
Ustka	54.58048	16.86194	average	25 Jan 2022	Europe/Warsaw
Curitiba	-25.42778	-49.27306	excellent	2019/05/27	America/Sao_Paulo
Pameungpeuk	-7.01833	107.60389	good	11/14/2012, 00:00:00	Asia/Jakarta
Fontenay-aux-Roses	48.79325	2.29275	good	07 Aug 2018	Europe/Paris
Guyong	14.8361	120.97844	average	29 Sep 2016	Asia/Manila
Kent	47.38093	-122.23484	maintenance	2014/08/15	America/Los_Angeles
Ilopango	13.70167	-89.10944	accep	2022-05-16	America/El_Salvador
