location	latitude	longitude	QoS	revision	code
America/Sao_Paulo	-17.74431	-48.62789	building	02/22/2017, 00:00:00	BR
America/Toronto	43.86682	-79.2663	accep	10/23/2020, 00:00:00	CA
Africa/Monrovia	7.57944	-8.53778	good	2021/09/05	LR
Europe/Rome	43.62558	13.39954	average	2021/12/07	IT
America/New_York	43.1009	-75.23266	average	2018-05-31	US
Europe/Istanbul	38.13708	41.00817	accep	02/13/2021, 00:00:00	TR
Europe/London	53.46506	-1.47217	average	04 Sep 2019	GB
Asia/Tokyo	33.4425	129.96972	excellent	2019-09-17	JP
Europe/Berlin	50.9803	11.32903	acceptable	12 Dec 2015	DE
Europe/Brussels	50.88506	4.07601	building	04 Apr 2015	BE
America/Lima	-16.25	-69.08333	maintenance	2019-09-16	PE
America/New_York	39.32011	-76.51552	accep	12/17/2020, 00:00:00	US
America/Managua	11.84962	-86.19903	building	2019/11/01	NI
Asia/Tashkent	41.29444	69.67639	good	2018/10/29	UZ
Asia/Almaty	47.46657	84.87144	building	02 Sep 2020	KZ
America/Phoenix	33.35283	-111.78903	building	28 Oct 2019	US
Asia/Kolkata	25.87498	86.59611	accep	2019-12-27	IN
Asia/Vladivostok	45.47885	133.42825	building	27 Jan 2022	RU
Asia/Tokyo	34.75856	136.13108	excellent	2022-07-16	JP
America/New_York	43.91452	-69.96533	average	2013/12/01	US
Europe/Moscow	43.96222	43.63417	building	2016/01/09	RU
Europe/Berlin	51.47805	6.8625	maintenance	12/22/2021, 00:00:00	DE
Asia/Tbilisi	41.82143	41.77921	good	04/22/2021, 00:00:00	GE
Asia/Karachi	32.57756	71.52847	good	07/25/2017, 00:00:00	PK
America/Panama	9.15093	-79.62098	good	2016/06/02	PA
Europe/Paris	50.75	2.25	average	2021-07-28	FR
America/Mexico_City	21.01858	-101.2591	excellent	2021/01/03	MX
America/Costa_Rica	9.92787	-84.13722	building	27 Oct 2016	CR
America/Los_Angeles	37.73604	-120.93549	good	2013-11-07	US
Africa/Bamako	12.74409	-8.07257	good	2019-05-10	ML
Asia/Kolkata	33.37526	74.3092	accep	10/23/2014, 00:00:00	IN
Asia/Jakarta	-7.81667	112.01667	excellent	28 Sep 2018	ID
America/Chicago	41.6764	-91.58045	average	2019/12/08	US
Asia/Shanghai	37.30553	120.82747	good	2013-04-13	CN
Europe/Moscow	54.03876	43.91385	excellent	2016/09/14	RU
America/Lima	-15.21194	-75.11028	average	2021/06/26	PE
America/Havana	23.0072	-82.4017	average	06/28/2017, 00:00:00	CU
Africa/Gaborone	-21.44236	27.46153	maintenance	04 Jul 2015	BW
Europe/Paris	43.61092	3.87723	good	08/24/2019, 00:00:00	FR
Asia/Damascus	34.5624	38.28402	building	28 Nov 2019	SY
Asia/Hebron	31.78336	35.23388	excellent	06/14/2014, 00:00:00	PS
Africa/Conakry	9.535	-13.68778	average	05/14/2021, 00:00:00	GN
America/Chicago	36.02506	-86.77917	average	16 Aug 2014	US
America/Argentina/Buenos_Aires	-34.64167	-60.47389	good	14 Nov 2015	AR
Asia/Shanghai	40.66482	122.22833	building	17 May 2014	CN
Asia/Jerusalem	32.05971	34.8732	excellent	05/03/2018, 00:00:00	IL
Africa/Maputo	-23.85972	35.34722	good	12/06/2017, 00:00:00	MZ
America/Los_Angeles	46.32374	-120.00865	excellent	2015-05-07	US
Asia/Shanghai	35.50056	117.63083	good	2013/11/16	CN
America/Denver	39.72943	-104.83192	accep	2018/11/22	US
Africa/Algiers	36.61954	4.08282	accep	05/24/2014, 00:00:00	DZ
Europe/London	53.78333	-1.06667	building	2016/12/09	GB
America/Puerto_Rico	18.03496	-66.8499	maintenance	01/14/2018, 00:00:00	PR
Europe/London	51.62907	-0.74934	good	03/15/2018, 00:00:00	GB
Europe/Berlin	48.21644	9.02596	good	11 Nov 2012	DE
Europe/Madrid	43.48961	-8.2194	average	2021-10-22	ES
Asia/Kolkata	15.5439	73.7553	maintenance	08 Jul 2021	IN
Europe/Madrid	43.48961	-8.2194	average	10 Jul 2020	ES
Europe/Amsterdam	52.71083	5.74861	excellent	08 Feb 2015	NL
Asia/Shanghai	27.92333	118.53333	excellent	2017/10/24	CN
America/Chicago	36.61033	-88.31476	good	2015-05-24	US
Asia/Shanghai	33.78333	114.51667	average	2021-07-06	CN
Europe/Berlin	51.21667	6.26667	accep	02 Jul 2017	DE
Asia/Shanghai	42.64031	125.51176	good	2016-11-12	CN
Asia/Kolkata	33.37526	74.3092	good	29 May 2014	IN
Europe/Andorra	42.50729	1.53414	good	12/28/2020, 00:00:00	AD
Europe/London	53.69786	-2.68758	good	2014/02/24	GB
Europe/Berlin	47.98372	10.18527	good	2018-12-11	DE
America/Los_Angeles	34.63915	-120.45794	building	2014/11/09	US
Europe/Moscow	55.85	37.56667	average	2021/08/13	RU
Asia/Urumqi	46.51872	86.00214	average	2013/01/08	CN
Asia/Phnom_Penh	13.65805	102.56365	average	2014-02-15	KH
Asia/Kolkata	10.12268	77.54372	excellent	2018/04/05	IN
Asia/Manila	8.56697	123.33471	accep	2018-11-23	PH
Asia/Tokyo	36.53333	136.61667	accep	2019/11/21	JP
America/Santiago	-30.60106	-71.19901	building	19 Dec 2018	CL
Asia/Irkutsk	51.82721	107.60627	excellent	2017/11/07	RU
Europe/Amsterdam	52.71083	5.74861	good	03/23/2015, 00:00:00	NL
Europe/Rome	45.39402	9.29109	accep	01/05/2021, 00:00:00	IT
America/Los_Angeles	37.73604	-120.93549	accep	08/17/2022, 00:00:00	US
America/New_York	41.48199	-81.79819	building	01/19/2016, 00:00:00	US
Asia/Kolkata	9.57046	76.32756	maintenance	2018-12-22	IN
America/Los_Angeles	47.4943	-122.24092	good	2020-11-15	US
Africa/Tripoli	24.96334	10.18003	accep	04/30/2019, 00:00:00	LY
America/New_York	40.68066	-73.47429	accep	26 Apr 2014	US
Asia/Damascus	34.5624	38.28402	excellent	2017-12-08	SY
Asia/Tokyo	35.48199	137.02166	maitennce	10/14/2012, 00:00:00	JP
Asia/Kolkata	23.49668	86.68363	excellent	23 Sep 2013	IN
Africa/Tunis	37.16911	10.03478	good	02 Sep 2022	TN
Europe/London	51.62907	-0.74934	accep	04/28/2021, 00:00:00	GB
Australia/Sydney	-33.88096	151.07986	accep	2016-05-31	AU
Europe/Berlin	48.49144	9.20427	good	21 Mar 2017	DE
Europe/Helsinki	60.18427	24.95034	good	2020/06/07	FI
Indian/Antananarivo	-17.83333	48.41667	excellent	2012/11/10	MG
America/El_Salvador	13.70167	-89.10944	good	2014/09/06	SV
Asia/Kolkata	30.21121	74.4818	accep	02/20/2022, 00:00:00	IN
Asia/Jakarta	-8.43333	114.33333	excellent	23 Apr 2019	ID
Asia/Shanghai	28.88162	120.03308	excellent	23 Apr 2013	CN
America/Sao_Paulo	-28.24	-48.67028	average	2014-09-28	BR
Europe/Berlin	47.98372	10.18527	excellent	2020/06/19	DE
America/Chicago	41.47892	-87.45476	building	2021-09-11	US
Europe/Brussels	51.24197	4.82313	average	2018-08-09	BE
America/Los_Angeles	33.7207	-116.21677	good	05/07/2022, 00:00:00	US
America/Porto_Velho	-8.76194	-63.90389	accep	2020-08-02	BR
America/Chicago	45.0408	-93.263	building	2017-02-05	US
America/Denver	40.34912	-111.90466	excellent	2022-05-07	US
Europe/Amsterdam	51.95838	4.47124	accep	15 Apr 2016	NL
Asia/Riyadh	27.0174	49.62251	excellent	2021-06-16	SA
Asia/Shanghai	42.64031	125.51176	maintenance	2016/12/02	CN
America/Chicago	44.27804	-88.27205	excellent	2021/04/19	US
America/Los_Angeles	34.95303	-120.43572	accep	2019/08/30	US
Asia/Tokyo	34.61667	135.6	building	09/09/2017, 00:00:00	JP
Africa/Nairobi	0.03813	36.36339	building	28 Jul 2021	KE
America/Havana	23.04419	-82.00919	accep	2021/01/08	CU
Africa/Lagos	6.45407	3.39467	good	06 Aug 2020	NG
Europe/London	50.75767	-1.5443	good	2017/11/30	GB
America/New_York	27.09978	-82.45426	building	22 Sep 2016	US
Asia/Manila	16.455	120.5875	excellent	2018-02-28	PH
Europe/Paris	45.73333	4.91667	excellent	13 Feb 2015	FR
Europe/Copenhagen	55.67938	12.53463	excellent	23 Jan 2018	DK
Europe/Rome	45.39402	9.29109	accep	2021/05/19	IT
America/New_York	34.25628	-78.04471	accep	2021/12/03	US
Europe/Rome	37.49223	15.07041	accep	10 Dec 2014	IT
America/New_York	39.33427	-76.43941	good	2015/12/25	US
Europe/Rome	40.87363	14.34085	good	10/30/2015, 00:00:00	IT
Europe/London	51.38673	0.30367	accep	27 Dec 2015	GB
Europe/Kiev	49.07866	30.96755	accep	09/29/2016, 00:00:00	UA
Asia/Manila	10.13361	124.84472	average	2022/03/26	PH
America/Mexico_City	19.32932	-98.1664	average	05 Nov 2015	MX
Asia/Kolkata	14.46693	75.92694	average	2012-11-30	IN
Europe/Madrid	40.70995	0.57856	accep	17 Aug 2013	ES
Africa/Accra	6.46346	-2.31938	excellent	03/03/2019, 00:00:00	GH
America/New_York	39.00622	-77.4286	accep	09/04/2016, 00:00:00	US
America/Mexico_City	20.22816	-103.5687	accep	13 May 2020	MX
Europe/Berlin	51.20219	7.36027	average	2019/10/24	DE
Australia/Brisbane	-27.50578	153.10236	excellent	2015/08/02	AU
America/Chicago	41.72059	-87.70172	good	2012-12-21	US
Europe/Stockholm	61.72744	17.10558	accep	14 Feb 2020	SE
Europe/Zagreb	43.50891	16.43915	maintenance	2012-10-04	HR
America/Caracas	9.91861	-68.30472	good	03/05/2015, 00:00:00	VE
America/Recife	-8.28333	-35.03333	building	31 Mar 2021	BR
Africa/Cairo	26.67319	31.4976	average	2013-05-19	EG
America/Los_Angeles	34.95303	-120.43572	maintenance	29 Nov 2021	US
Atlantic/Canary	27.76056	-15.58602	good	2016-06-25	ES
America/New_York	38.70734	-77.02303	good	2017/10/15	US
Asia/Kolkata	22.75218	72.68533	building	03/10/2018, 00:00:00	IN
Asia/Jakarta	0.51667	101.44167	excellent	16 Aug 2014	ID
Asia/Jakarta	-7.54972	110.71639	excellent	2017-06-18	ID
Europe/Berlin	48.07667	8.64409	accep	10/20/2021, 00:00:00	DE
Europe/Paris	48.98693	2.44892	accep	02/14/2018, 00:00:00	FR
America/Los_Angeles	37.73604	-120.93549	accep	2014/07/06	US
Africa/Dar_es_Salaam	-7.76667	35.7	excellent	08 Nov 2015	TZ
America/Chicago	41.84364	-87.71255	good	26 Jan 2022	US
America/New_York	40.63316	-74.13653	maitennce	2014-01-31	US
Asia/Kolkata	29.22254	79.5286	excellent	03/06/2020, 00:00:00	IN
America/Halifax	46.23899	-63.13414	excellent	09/23/2019, 00:00:00	CA
Africa/Accra	7.06273	-1.4001	accep	24 Oct 2015	GH
America/New_York	28.15112	-82.46148	average	10/13/2014, 00:00:00	US
Asia/Karachi	32.17629	75.06583	excellent	04/15/2017, 00:00:00	PK
Europe/Madrid	38.38479	-0.76773	accep	2020-11-12	ES
America/Chicago	34.25807	-88.70464	building	2015-08-13	US
Asia/Kolkata	22.88783	84.13864	average	2022/06/30	IN
America/Chicago	36.61033	-88.31476	accep	2022-03-08	US
America/New_York	28.15112	-82.46148	good	2014/05/15	US
Asia/Kolkata	22.88783	84.13864	excellent	25 Sep 2022	IN
Asia/Yakutsk	65.93381	111.4834	excellent	2015/10/29	RU
Europe/Rome	45.39402	9.29109	good	11/17/2015, 00:00:00	IT
America/New_York	40.82232	-74.15987	building	08/09/2015, 00:00:00	US
Asia/Karachi	32.87533	71.57118	good	01/16/2019, 00:00:00	PK
Europe/Paris	48.90982	2.45012	excellent	2018/03/18	FR
America/Argentina/Ushuaia	-54.8	-68.3	building	12/07/2020, 00:00:00	AR
Africa/Douala	4.2475	9.00472	maintenance	2015-05-05	CM
Asia/Yekaterinburg	56.11281	69.49015	good	04/09/2017, 00:00:00	RU
Australia/Sydney	-33.75881	150.99292	accep	2015-04-29	AU
Asia/Kolkata	26.2649	81.54855	good	2016-09-13	IN
Africa/Kampala	3.02013	30.91105	accep	08/01/2019, 00:00:00	UG
Europe/Istanbul	40.98894	28.67582	maintenance	14 Jun 2015	TR
Africa/Dar_es_Salaam	-6.8	39.25	average	10 Sep 2013	TZ
Africa/Algiers	35.06544	1.04945	average	2015-11-15	DZ
Europe/Moscow	55.38752	36.73307	good	2017/02/15	RU
Asia/Tokyo	35.06667	135.21667	excellent	01/24/2019, 00:00:00	JP
America/Bogota	4.73245	-74.26419	accep	17 Jun 2013	CO
Asia/Urumqi	46.51872	86.00214	excellent	30 Jun 2018	CN
Africa/Dar_es_Salaam	-6.25	38.66667	excellent	05 Aug 2013	TZ
America/Port-au-Prince	18.65297	-72.09391	average	2016-12-04	HT
Europe/Madrid	40.70995	0.57856	accep	2020-11-17	ES
America/Cuiaba	-14.66463	-52.35558	accep	2018/02/08	BR
Europe/Berlin	50.23019	8.77155	accep	01 Jul 2022	DE
America/New_York	40.72816	-74.07764	accep	2018-07-23	US
Europe/Madrid	42.8139	-1.64295	average	2014/05/02	ES
America/Mexico_City	19.32889	-99.32556	excellent	2014-02-07	MX
Asia/Shanghai	41.27194	123.17306	excellent	2015/04/22	CN
America/Bahia	-11.48472	-37.93278	accep	2014/08/30	BR
America/Mexico_City	20.74122	-100.44843	maintenance	09/30/2015, 00:00:00	MX
Europe/Berlin	51.19139	6.51352	good	2016-11-09	DE
Europe/Berlin	48.78232	9.17702	excellent	06/16/2020, 00:00:00	DE
Europe/Kiev	47.56494	31.33078	excellent	05/10/2014, 00:00:00	UA
Asia/Bangkok	16.0567	103.65309	good	2014-06-23	TH
Asia/Bangkok	15.79408	104.1451	good	27 Oct 2013	TH
Asia/Kolkata	23.49668	86.68363	good	18 Mar 2021	IN
America/Chicago	34.25807	-88.70464	average	02/05/2021, 00:00:00	US
Asia/Shanghai	45.35	126.28333	excellent	01/13/2021, 00:00:00	CN
Asia/Bangkok	13.8196	100.04427	maintenance	03/21/2018, 00:00:00	TH
Asia/Kolkata	23.07492	88.28637	building	2020-05-01	IN
Europe/Paris	41.91886	8.73812	average	2013-04-14	FR
Europe/Istanbul	39.59611	27.02444	building	23 Oct 2012	TR
Asia/Tokyo	35.8	137.23333	average	04/15/2013, 00:00:00	JP
America/Chicago	40.56754	-89.64066	excellent	21 May 2015	US
Europe/London	50.75767	-1.5443	average	13 Jun 2016	GB
Europe/Brussels	50.71229	4.52529	excellent	06/07/2015, 00:00:00	BE
America/Fortaleza	-4.24444	-42.29444	good	25 Nov 2015	BR
Europe/Helsinki	65.84811	24.14662	good	01/09/2015, 00:00:00	FI
Asia/Seoul	34.8825	128.62667	good	03/11/2014, 00:00:00	KR
America/Indiana/Indianapolis	41.75338	-86.11084	good	09 Apr 2022	US
America/Mexico_City	17.06542	-96.72365	good	11/18/2013, 00:00:00	MX
Asia/Manila	14.66	120.56528	accep	20 Jun 2016	PH
Europe/Paris	48	-4.1	excellent	2017-12-16	FR
Europe/Rome	36.92574	14.72443	accep	08 Feb 2017	IT
Asia/Qyzylorda	44.85278	65.50917	good	2013/10/12	KZ
Europe/Madrid	37.49073	-2.77259	average	29 Aug 2022	ES
Indian/Antananarivo	-22.9	44.53333	good	08 Jan 2013	MG
Asia/Bishkek	40.93333	73	good	20 Jun 2022	KG
America/Argentina/Buenos_Aires	-34.64966	-58.38341	good	13 Sep 2020	AR
Africa/Algiers	35.06544	1.04945	maintenance	2012/10/04	DZ
Europe/Berlin	49.5099	6.74549	building	05/22/2021, 00:00:00	DE
Asia/Hong_Kong	22.37066	114.10479	average	2015-11-28	HK
Europe/Zaporozhye	49.41029	38.15035	average	2014/06/02	UA
Asia/Tokyo	34.61667	135.6	accep	2018-10-13	JP
Asia/Shanghai	23.73333	114.68333	building	11/27/2019, 00:00:00	CN
Australia/Melbourne	-37.9	145.18333	excellent	07/24/2016, 00:00:00	AU
Asia/Manila	10.31672	123.89071	excellent	2016-01-21	PH
Europe/Podgorica	42.28639	18.84	accep	2021-07-14	ME
America/Guatemala	14.93333	-91.11667	excellent	2022-01-22	GT
America/New_York	40.72816	-74.07764	average	23 Feb 2013	US
Asia/Almaty	47.46657	84.87144	accep	2019/05/16	KZ
Europe/Paris	48.98994	2.1699	maintenance	2020-07-16	FR
Asia/Dhaka	23.9028	89.11943	good	11/10/2015, 00:00:00	BD
Europe/Madrid	43.31667	-2.68333	excellent	09/06/2022, 00:00:00	ES
Pacific/Auckland	-38.65333	178.00417	excellent	2021-11-08	NZ
Africa/Lagos	9.58126	8.2926	excellent	2017/07/24	NG
America/New_York	38.70734	-77.02303	building	2014-07-26	US
America/Los_Angeles	36.91023	-121.75689	good	2021/01/19	US
America/Chicago	39.09112	-94.41551	excellent	01/29/2022, 00:00:00	US
Asia/Shanghai	37.30553	120.82747	average	2013-05-26	CN
Europe/Helsinki	60.2052	24.6522	average	2016-01-28	FI
Europe/Berlin	51.20219	7.36027	good	08/04/2017, 00:00:00	DE
Asia/Tokyo	35	136.51667	excellent	09/24/2022, 00:00:00	JP
Africa/Kampala	3.27833	32.88667	excellent	2014-11-25	UG
Australia/Perth	-32.05251	115.88782	good	02 Mar 2016	AU
Europe/Brussels	50.8	3.16667	good	2021/01/10	BE
Europe/London	52.66277	-2.01111	good	2016/05/30	GB
America/New_York	37.60876	-77.37331	accep	01/27/2020, 00:00:00	US
Asia/Kolkata	19.30157	72.85107	maintenance	2022-02-07	IN
America/Santiago	-30.60106	-71.19901	average	2018-09-21	CL
Asia/Kuala_Lumpur	1.6	103.81667	excellent	05 Jul 2017	MY
Europe/Berlin	50.72043	11.34046	good	22 Aug 2013	DE
Asia/Tokyo	35.82756	137.95378	average	2012/12/05	JP
Asia/Kolkata	9.57046	76.32756	average	03/21/2019, 00:00:00	IN
America/New_York	26.91756	-82.07842	average	2019/07/27	US
Asia/Kolkata	21.46527	83.97573	accep	2016/12/09	IN
America/El_Salvador	13.70167	-89.10944	average	2015-09-20	SV
Europe/Istanbul	38.37255	34.02537	accep	2012/10/11	TR
Europe/Amsterdam	51.44889	5.51978	excellent	11/17/2019, 00:00:00	NL
America/Sao_Paulo	-21.42917	-45.94722	good	14 Mar 2018	BR
America/Havana	22.98212	-80.58556	average	06 Jun 2019	CU
America/Toronto	45.4473	-73.75335	accep	2014-08-05	CA
America/New_York	40.68066	-73.47429	maintenance	2016-02-13	US
Europe/Rome	41.24264	16.50104	building	2014/03/12	IT
America/Santiago	-36.9256	-73.02841	average	24 Sep 2021	CL
Europe/Warsaw	50.20528	19.27498	maintenance	2022/06/24	PL
America/New_York	38.70734	-77.02303	average	2012-10-06	US
Africa/Lagos	7.62789	4.74161	accep	2019-02-04	NG
Europe/Kiev	46.75451	33.34864	accep	04/08/2016, 00:00:00	UA
America/Chicago	32.44874	-99.73314	good	07 Sep 2014	US
Africa/Luanda	-11.78333	19.91667	building	2013/08/11	AO
Asia/Manila	14.95472	120.89694	accep	2016/04/24	PH
America/New_York	38.70734	-77.02303	average	2019-03-16	US
America/Mexico_City	20.74122	-100.44843	good	2014-12-29	MX
Asia/Taipei	23.5654	119.58627	accep	2018/10/21	TW
Asia/Kolkata	18.51957	73.85535	maintenance	05 Jan 2019	IN
America/Sao_Paulo	-29.2975	-51.50361	accep	09/21/2022, 00:00:00	BR
Africa/Dar_es_Salaam	-4.83	29.65806	good	21 Oct 2015	TZ
Asia/Jakarta	3.7278	98.6738	excellent	2020/08/17	ID
Europe/Brussels	51.24197	4.82313	accep	2022-09-10	BE
Asia/Kuala_Lumpur	5.4709	100.24529	average	2022-04-30	MY
Asia/Kolkata	22.75218	72.68533	average	2018-11-27	IN
America/Porto_Velho	-8.76194	-63.90389	good	2017-12-10	BR
Africa/Lagos	7.6	4.18333	excellent	20 Feb 2013	NG
Africa/Casablanca	34.31	-2.16	excellent	29 Feb 2020	MA
America/Chicago	44.73941	-93.12577	accep	06/10/2016, 00:00:00	US
Asia/Tokyo	44.35056	142.45778	good	12 Sep 2013	JP
America/Porto_Velho	-8.76194	-63.90389	accep	2014-09-21	BR
Asia/Yekaterinburg	56.9083	60.8019	accep	2013-10-09	RU
America/New_York	41.24255	-82.61573	good	27 Oct 2015	US
