location	revision	QoS	longitude	latitude	code
America/Los_Angeles	09/10/2020, 00:00:00	accep	-122.24092	47.4943	US
Europe/Rome	2020/12/21	accep	12.38878	43.1122	IT
Europe/Kiev	02/01/2017, 00:00:00	good	30.96755	49.07866	UA
Australia/Melbourne	02 May 2019	average	145.06667	-37.88333	AU
America/New_York	11 Oct 2013	average	-76.72803	39.32288	US
Asia/Shanghai	04/06/2019, 00:00:00	good	117.81667	36.81667	CN
Asia/Kolkata	01/26/2020, 00:00:00	accep	86.79271	25.92127	IN
America/Chicago	07/04/2018, 00:00:00	accep	-87.45476	41.47892	US
Europe/Moscow	2017-11-10	average	37.49338	55.62047	RU
America/Chicago	2021-05-01	accep	-87.882	41.85059	US
America/Chicago	08/12/2022, 00:00:00	good	-95.63079	31.76212	US
America/Cuiaba	07/27/2020, 00:00:00	good	-52.35558	-14.66463	BR
Asia/Shanghai	2016-08-08	accep	115.04814	30.24706	CN
Asia/Kolkata	2020-07-29	good	77.5609	11.00599	IN
Asia/Kolkata	2019/03/20	excellent	76.03889	18.18158	IN
Asia/Kolkata	2020/03/10	good	78.14797	15.45144	IN
America/Sao_Paulo	13 Dec 2018	good	-51.50361	-29.2975	BR
Australia/Sydney	2021-07-01	excellent	150.60036	-34.88422	AU
Europe/London	25 Mar 2018	average	-0.91979	51.42708	GB
America/El_Salvador	2013-02-05	accep	-89.71472	13.73417	SV
Africa/Douala	2017/01/11	maintenance	11.5	3.51667	CM
Europe/Moscow	28 Apr 2017	accep	32.86389	53.95278	RU
Asia/Karachi	2018/08/22	accep	73.97117	31.96258	PK
America/Argentina/Ushuaia	29 Jan 2020	good	-68.3	-54.8	AR
Europe/Madrid	05 May 2016	acceptable	-2.77259	37.49073	ES
America/New_York	2015/02/20	building	-74.28459	40.5576	US
America/Argentina/Cordoba	2017/11/16	maintenance	-60.93173	-31.4488	AR
America/Chicago	27 Jul 2018	maintenance	-97.90308	31.12406	US
Africa/Bamako	15 Sep 2022	average	-8.07257	12.74409	ML
Europe/London	01 Nov 2021	accep	-2.98333	53.83333	GB
Europe/Zurich	2021-08-23	accep	8.52462	47.30997	CH
Europe/Amsterdam	05 Jun 2019	building	5.2875	51.65333	NL
Asia/Kolkata	2021/09/20	good	71.30633	21.34222	IN
America/Los_Angeles	2015/06/16	maintenance	-120.45794	34.63915	US
Europe/Paris	06/21/2013, 00:00:00	accep	2.12213	48.8222	FR
America/Los_Angeles	02 Sep 2016	excellent	-122.24064	47.80527	US
Asia/Shanghai	29 May 2015	accep	117.63083	35.50056	CN
Africa/Monrovia	2018/04/07	good	-8.53778	7.57944	LR
Asia/Jerusalem	2020-06-20	maintenance	34.75699	31.39547	IL
Pacific/Port_Moresby	16 Aug 2017	average	144.23058	-5.85746	PG
Europe/Amsterdam	12/26/2017, 00:00:00	average	6.61944	52.57583	NL
America/Havana	09/29/2017, 00:00:00	average	-81.24441	23.15678	CU
Asia/Karachi	24 Nov 2015	good	71.57118	32.87533	PK
Asia/Vladivostok	04/17/2022, 00:00:00	building	133.42825	45.47885	RU
Africa/Lagos	2022/07/29	accep	3.39467	6.45407	NG
America/Chicago	2018/10/08	accep	-93.12577	44.73941	US
Asia/Kolkata	2016-07-12	accep	86.51499	23.1959	IN
Europe/Berlin	10 Jun 2015	good	7.973	51.168	DE
Asia/Shanghai	2014-06-07	accep	120.82747	37.30553	CN
Africa/Dar_es_Salaam	2016/03/26	excellent	37.00438	-7.60361	TZ
Asia/Manila	2013-07-07	maintenance	121.96361	6.95194	PH
Europe/Berlin	2021/09/25	good	13.29371	52.53048	DE
Asia/Karachi	2013/08/16	good	72.54566	29.69221	PK
Asia/Kolkata	2013/01/16	accep	71.30633	21.34222	IN
Europe/Bratislava	23 Jan 2017	average	17.8031	48.43174	SK
Asia/Shanghai	13 Aug 2013	average	112.19028	30.35028	CN
Europe/Helsinki	2020-12-28	building	24.14662	65.84811	FI
America/Argentina/Buenos_Aires	07 Dec 2013	accep	-59.13316	-37.32167	AR
America/Chicago	01/09/2014, 00:00:00	good	-91.73625	35.25064	US
Asia/Karachi	2012/11/26	average	71.52847	32.57756	PK
Asia/Shanghai	2019-10-30	good	117.81667	36.81667	CN
Africa/Kinshasa	2016-10-02	building	15.16554	-4.5833	CD
America/Cuiaba	2019/05/25	accep	-52.35558	-14.66463	BR
Asia/Shanghai	2018-09-12	average	111.73861	35.20889	CN
America/Chicago	2022-07-09	accep	-96.67834	34.77453	US
Asia/Ulaanbaatar	2020-01-20	accep	106.88324	47.90771	MN
Africa/Algiers	2015-07-05	average	4.62744	36.06386	DZ
Asia/Karachi	2017-06-17	acceptable	72.54064	31.82539	PK
Africa/Douala	14 Apr 2018	excellent	10.7	4.96667	CM
Asia/Manila	22 Sep 2017	accep	121.3152	14.14989	PH
Asia/Kuala_Lumpur	2013/11/12	excellent	102.3278	2.2139	MY
Europe/Rome	2019/05/13	good	12.84052	45.78071	IT
Indian/Antananarivo	04/28/2021, 00:00:00	accep	44.53333	-22.9	MG
Asia/Jakarta	29 May 2013	average	109.3243	-7.0981	ID
Europe/Berlin	2014-06-24	accep	7.20769	50.80019	DE
Asia/Bangkok	2014/06/27	maintenance	100.48528	14.37395	TH
Asia/Manila	26 Aug 2018	average	120.5875	16.455	PH
Asia/Kolkata	09/07/2020, 00:00:00	maintenance	85.83636	25.66795	IN
Africa/Conakry	2013/09/26	maitennce	-13.68778	9.535	GN
Africa/Lagos	2017/05/20	maintenance	6.26764	4.92675	NG
Asia/Manila	2020-03-12	good	123.62494	12.37169	PH
Africa/Casablanca	2021/11/14	accep	-5.22126	33.43443	MA
Europe/Moscow	2021-07-10	good	35.96944	56.03361	RU
America/New_York	2021-07-13	good	-73.78458	41.0051	US
America/Argentina/Cordoba	2018-10-09	accep	-60.93173	-31.4488	AR
America/Denver	2015/03/03	excellent	-104.22884	32.42067	US
Europe/Madrid	04/03/2016, 00:00:00	maintenance	-2.77259	37.49073	ES
Asia/Jakarta	2021/08/17	good	110.71639	-7.54972	ID
Europe/Berlin	12/03/2015, 00:00:00	maintenance	9.72749	48.28259	DE
Asia/Karachi	2019/08/01	good	71.52847	32.57756	PK
Europe/Berlin	2019-02-09	average	8.91229	49.13645	DE
Asia/Seoul	05/21/2019, 00:00:00	average	127.08472	36.20389	KR
Asia/Kolkata	20 Apr 2013	excellent	77.54372	10.12268	IN
America/Boise	2022/04/24	maintenance	-116.56346	43.54072	US
Asia/Qyzylorda	2021-06-25	excellent	65.50917	44.85278	KZ
Europe/Paris	2016-10-06	accep	2.18967	48.8765	FR
America/New_York	2021/12/23	maitennce	-73.49484	41.14676	US
Europe/Brussels	04 Jun 2019	average	4.21372	51.12794	BE
Asia/Tehran	2018/07/09	excellent	51.0193	35.6803	IR
Europe/Berlin	2014-04-14	excellent	10.30215	53.94313	DE
America/Sao_Paulo	2014-12-22	average	-50.00639	-25.42944	BR
Asia/Kolkata	2020/11/04	accep	75.96976	15.73628	IN
Europe/Moscow	2022/05/07	maintenance	43.83992	55.39485	RU
Europe/Istanbul	16 Feb 2017	accep	29.26639	37.58105	TR
Africa/Niamey	27 May 2013	excellent	9.15013	13.70727	NE
America/Lima	2019/04/25	accep	-76.70944	-11.94306	PE
Europe/Berlin	07/07/2017, 00:00:00	building	9.85	53.63333	DE
Europe/Moscow	16 May 2014	good	33.2525	57.97472	RU
Europe/Lisbon	08 Jul 2015	building	-9.24671	38.72706	PT
America/Sao_Paulo	23 Feb 2018	average	-49.27306	-25.42778	BR
Africa/Lagos	2022-02-27	accep	6.26764	4.92675	NG
America/Chicago	13 Oct 2017	excellent	-97.92977	38.06084	US
Africa/Tunis	18 Sep 2020	maintenance	10.03478	37.16911	TN
America/New_York	2021-01-27	building	-72.97261	43.61062	US
Europe/Paris	2020/02/19	building	4.86667	45.51667	FR
Asia/Bangkok	07 May 2021	accep	99.95469	13.51825	TH
America/Chicago	04/11/2015, 00:00:00	average	-93.08883	45.16024	US
Australia/Perth	2019/10/18	average	115.88782	-32.05251	AU
America/Mexico_City	2021-11-04	good	-97.35992	19.8173	MX
Africa/Libreville	2020-04-14	average	13.58357	-1.63333	GA
Europe/Kiev	07/12/2017, 00:00:00	average	31.33078	47.56494	UA
Europe/London	31 Dec 2018	excellent	-4.0573	55.82737	GB
Africa/Addis_Ababa	2022-05-18	excellent	37.55	6.03333	ET
Africa/Lagos	04 May 2015	average	12.19458	10.61285	NG
Europe/London	01/27/2016, 00:00:00	good	1.15597	51.78967	GB
America/Mexico_City	2020/01/02	maintenance	-103.42897	20.28527	MX
America/Lima	2020/06/05	accep	-69.08333	-16.25	PE
America/Caracas	2017-05-03	accep	-62.64102	8.35122	VE
Asia/Kuala_Lumpur	2022-05-07	good	102.3278	2.2139	MY
America/Sao_Paulo	19 Jun 2014	building	-52.2	-28.44917	BR
America/Chicago	12/19/2018, 00:00:00	good	-94.41551	39.09112	US
Asia/Jerusalem	11/28/2016, 00:00:00	good	34.8732	32.05971	IL
Asia/Kolkata	2018-06-05	average	77.54372	10.12268	IN
America/Bogota	2020-07-31	average	-75.87877	5.6561	CO
Africa/Algiers	30 Jan 2013	good	3.50309	34.15429	DZ
Europe/London	05/01/2018, 00:00:00	accep	1.15597	51.78967	GB
Europe/Brussels	15 May 2013	excellent	3.16667	50.8	BE
Europe/Moscow	21 Aug 2020	excellent	43.83992	55.39485	RU
Asia/Kolkata	2014/10/06	average	86.68363	23.49668	IN
Asia/Tokyo	2022/08/10	excellent	139.6853	35.815	JP
Europe/Moscow	10 Mar 2015	maintenance	35.96944	56.03361	RU
America/Bogota	20 Jun 2015	maintenance	-74.73584	5.20856	CO
Europe/London	2022-01-12	building	-2.09814	57.14369	GB
America/New_York	07 Oct 2013	maintenance	-77.70066	43.16547	US
America/Indiana/Indianapolis	2021-12-23	average	-86.11084	41.75338	US
America/Chicago	2016/07/22	accep	-93.71133	41.57721	US
Europe/Istanbul	06/17/2020, 00:00:00	maitennce	27.18052	39.12074	TR
Europe/Lisbon	01/31/2015, 00:00:00	excellent	-8.33147	41.20485	PT
America/Sao_Paulo	10 Sep 2018	average	-41.88778	-21.205	BR
America/Argentina/Ushuaia	15 Sep 2018	average	-68.3	-54.8	AR
Europe/Bucharest	07 May 2020	excellent	26.01649	44.43579	RO
Asia/Kolkata	2012-12-18	good	81.54855	26.2649	IN
Europe/London	2015-10-04	accep	-4.0573	55.82737	GB
Asia/Kolkata	2017/09/14	average	75.11937	20.88098	IN
America/Chicago	21 Sep 2017	accep	-86.99666	33.45122	US
Asia/Hebron	2021-11-21	building	35.23388	31.78336	PS
Australia/Sydney	10/14/2012, 00:00:00	maintenance	151.07986	-33.88096	AU
America/New_York	27 Nov 2016	average	-77.70066	43.16547	US
America/Puerto_Rico	08 Aug 2017	accep	-67.15407	18.42745	PR
Pacific/Efate	2016-10-13	excellent	168.31366	-17.73648	VU
America/New_York	10/03/2017, 00:00:00	good	-71.29144	41.54566	US
America/Managua	15 Oct 2021	building	-86.19903	11.84962	NI
Asia/Kolkata	21 Mar 2016	average	82.85749	17.54907	IN
Asia/Shanghai	04/29/2016, 00:00:00	good	105.89333	34.56861	CN
America/Managua	07/09/2019, 00:00:00	building	-86.58208	13.48082	NI
Europe/Berlin	2014/08/24	accep	7.02238	52.21099	DE
America/Los_Angeles	22 Mar 2017	good	-116.97725	33.92946	US
Europe/Belgrade	2020-12-01	average	20.89389	42.62833	XK
Europe/Rome	08/30/2019, 00:00:00	maintenance	8.88104	45.79377	IT
Asia/Kolkata	05/17/2020, 00:00:00	excellent	88.18466	22.19303	IN
America/Bogota	2021-07-15	average	-75.69947	8.79577	CO
Asia/Irkutsk	2012/11/17	good	107.60627	51.82721	RU
Africa/Conakry	2013-03-25	good	-13.68778	9.535	GN
America/Denver	2015/09/29	accep	-111.99633	40.65995	US
Africa/Dar_es_Salaam	04 Dec 2014	good	39.28333	-10.33333	TZ
America/Denver	09 Jul 2013	excellent	-105.11221	39.57582	US
Asia/Barnaul	2019-10-22	good	83.62389	53.30972	RU
Asia/Shanghai	2021/03/25	average	122.08333	46.08333	CN
Europe/Moscow	08/08/2015, 00:00:00	accep	37.99117	44.92934	RU
Europe/Zurich	04/17/2016, 00:00:00	accep	8.52462	47.30997	CH
America/New_York	10/11/2015, 00:00:00	average	-84.20299	39.43534	US
America/Panama	06/05/2021, 00:00:00	building	-79.62098	9.15093	PA
Europe/London	30 Mar 2013	maintenance	-0.2	51.65	GB
Europe/London	08 Mar 2018	accep	-2.52398	53.19146	GB
Europe/Berlin	10 Apr 2014	accep	9.5586	54.52156	DE
America/New_York	2021-12-20	average	-76.88442	40.2737	US
America/Chicago	29 May 2020	maintenance	-97.90308	31.12406	US
Europe/Amsterdam	2016/07/09	building	5.51978	51.44889	NL
Asia/Shanghai	2017-08-09	maintenance	117.63083	35.50056	CN
America/Bogota	01/14/2018, 00:00:00	building	-73.26022	6.46838	CO
America/New_York	14 Jun 2013	accep	-82.46148	28.15112	US
Asia/Karachi	06 Jan 2013	good	71.52847	32.57756	PK
Asia/Tehran	03/25/2022, 00:00:00	maitennce	47.3799	33.14447	IR
America/Puerto_Rico	2013/02/12	excellent	-66.8499	18.03496	PR
Asia/Tokyo	2020/09/23	accep	135.21667	35.06667	JP
Africa/Casablanca	05/05/2014, 00:00:00	excellent	-6.00137	33.42585	MA
America/Sao_Paulo	05/31/2019, 00:00:00	accep	-43.80139	-20.25333	BR
Asia/Jakarta	02/08/2019, 00:00:00	average	109.3243	-7.0981	ID
Asia/Makassar	2020/03/06	building	117.59152	3.31332	ID
Asia/Kolkata	2015-11-17	average	78.15794	12.1277	IN
Africa/Tunis	06/15/2020, 00:00:00	average	9.37082	36.08497	TN
America/New_York	2015-02-26	good	-73.47429	40.68066	US
America/New_York	2020/05/01	good	-71.08977	41.9001	US
Asia/Jakarta	03/20/2015, 00:00:00	average	109.05389	-7.51611	ID
Europe/Berlin	2014-07-25	building	11.18709	48.73218	DE
Europe/Berlin	2013-09-28	building	7.02238	52.21099	DE
Asia/Kolkata	05/17/2014, 00:00:00	building	85.83334	20.88197	IN
Asia/Bangkok	13 Feb 2021	maintenance	99.89166	15.46063	TH
Africa/Abidjan	26 Apr 2016	excellent	-3.59625	5.27247	CI
Europe/Berlin	2021/07/09	average	9.17702	48.78232	DE
Asia/Vladivostok	2021-05-04	maintenance	133.42825	45.47885	RU
America/Bahia	27 Jul 2013	average	-38.79084	-10.95817	BR
America/Toronto	2017/09/21	building	-80.38297	42.8334	CA
Europe/Berlin	03 Dec 2020	good	7.2278	50.64336	DE
America/New_York	2014/01/19	excellent	-71.05977	42.35843	US
Europe/Madrid	2021-05-15	good	2.18247	41.41204	ES
Asia/Shanghai	2018-01-31	good	117.4831	27.34089	CN
America/New_York	07/09/2021, 00:00:00	average	-74.96933	39.71734	US
Asia/Manila	2021/03/28	maintenance	123.62494	12.37169	PH
America/Edmonton	2019/02/16	good	-113.3187	53.51684	CA
Africa/Douala	17 Oct 2015	excellent	9.00472	4.2475	CM
America/Bogota	2015-03-04	excellent	-72.47417	7.83389	CO
Europe/Rome	2019/10/08	average	14.39024	42.22718	IT
America/Panama	2016-05-24	average	-79.62603	8.88988	PA
Africa/Douala	27 May 2021	building	11.5	3.51667	CM
Europe/Berlin	07/29/2016, 00:00:00	good	13.28702	52.4581	DE
Europe/London	16 Apr 2019	excellent	-1.48119	53.0233	GB
Europe/Moscow	03/20/2016, 00:00:00	good	35.90057	56.85836	RU
America/New_York	2017/05/03	average	-76.51552	39.32011	US
Europe/Sofia	2022/04/25	excellent	23.225	43.4125	BG
Asia/Karachi	2021-04-06	average	75.06583	32.17629	PK
America/Los_Angeles	2019/03/20	accep	-117.14392	32.9156	US
Asia/Yekaterinburg	2021-12-13	good	59.80222	58.63667	RU
America/Santiago	2022/02/12	accep	-71.19901	-30.60106	CL
Asia/Kuala_Lumpur	2018-02-11	average	103.81667	1.6	MY
Africa/Dar_es_Salaam	2018-07-30	average	37.00438	-7.60361	TZ
Asia/Karachi	09/25/2017, 00:00:00	average	72.54566	29.69221	PK
Africa/Tunis	2021-02-21	accep	10.78222	36.46917	TN
Asia/Kuala_Lumpur	10/07/2019, 00:00:00	maintenance	100.24529	5.4709	MY
Europe/Berlin	2018/02/08	excellent	12.1369	51.04962	DE
Africa/Mogadishu	06 Oct 2021	accep	43.38531	9.89206	SO
Europe/Paris	08 Aug 2021	accep	2.44892	48.98693	FR
America/New_York	02/06/2015, 00:00:00	accep	-75.60804	39.96097	US
Asia/Barnaul	2020-08-07	average	83.62389	53.30972	RU
Europe/Berlin	01/19/2017, 00:00:00	good	6.26667	51.21667	DE
Europe/Rome	2019-05-16	average	14.66737	41.55947	IT
America/Chicago	17 Nov 2020	accep	-87.65644	41.80753	US
America/Toronto	2013-09-02	average	-80.38297	42.8334	CA
Europe/Sofia	08 Jul 2013	average	23.225	43.4125	BG
Australia/Melbourne	01 Jul 2022	average	145.18333	-37.9	AU
America/Los_Angeles	10/22/2020, 00:00:00	average	-120.43572	34.95303	US
Europe/Madrid	2015/07/03	accep	-1.325	38.47917	ES
America/Caracas	27 Jul 2022	accep	-67.33122	10.22677	VE
America/New_York	20 Jul 2018	accep	-76.51552	39.32011	US
America/Toronto	07/30/2021, 00:00:00	average	-73.75335	45.4473	CA
Europe/Kiev	08/18/2014, 00:00:00	good	29.41824	45.99194	UA
