location	latitude	QoS	code	longitude	revision
Europe/Moscow	61.78491	average	RU	34.34691	2019/08/18
Australia/Perth	-31.95224	maintenance	AU	115.8614	2013/09/26
Asia/Tokyo	36.75965	good	JP	137.36215	03/22/2013, 00:00:00
Africa/Bangui	4.94273	average	CF	15.87735	2019/11/24
America/Los_Angeles	33.76446	building	US	-117.79394	09/21/2020, 00:00:00
Europe/Vilnius	54.39635	average	LT	24.04142	04/12/2013, 00:00:00
America/Mexico_City	20.21322	average	MX	-100.88023	2019/07/30
America/New_York	42.58342	average	US	-71.8023	10/20/2013, 00:00:00
Europe/Berlin	50.64336	accep	DE	7.2278	2019/02/17
Africa/Dar_es_Salaam	-6.25	accep	TZ	38.66667	2013-01-21
America/New_York	37.60876	average	US	-77.37331	2019/12/21
America/New_York	39.32288	accep	US	-76.72803	05 Mar 2022
Europe/London	53.19146	excellent	GB	-2.52398	20 Nov 2016
Asia/Tokyo	41.77583	building	JP	140.73667	01/21/2019, 00:00:00
America/New_York	28.15112	average	US	-82.46148	08/07/2020, 00:00:00
Asia/Kolkata	23.1959	accep	IN	86.51499	2021/10/08
Europe/Minsk	55.1904	excellent	BY	30.2049	12 Nov 2021
Europe/Lisbon	38.72706	excellent	PT	-9.24671	2018-10-01
America/New_York	40.72816	building	US	-74.07764	2018/08/02
Europe/Brussels	50.56149	good	BE	4.69889	28 Apr 2020
Europe/Stockholm	59.33333	maintenance	SE	18.28333	2019-03-25
America/Los_Angeles	47.4943	building	US	-122.24092	24 Feb 2018
Africa/Douala	4.96667	accep	CM	10.7	2018/02/25
Europe/London	51.40148	building	GB	-1.32471	07 Sep 2022
America/Sao_Paulo	-19.7625	good	BR	-44.31389	2016/04/30
Asia/Seoul	37.1759	accep	KR	128.9889	01/20/2021, 00:00:00
Asia/Karachi	30.29184	average	PK	71.67164	09 Jul 2014
Europe/London	53.83333	excellent	GB	-2.98333	04/26/2017, 00:00:00
Europe/Rome	45.50369	excellent	IT	11.412	12/04/2020, 00:00:00
Asia/Yangon	16.68911	accep	MM	98.50893	2016/10/14
Asia/Kolkata	9.57046	average	IN	76.32756	12/10/2020, 00:00:00
America/New_York	28.54944	excellent	US	-81.77285	2020/11/21
Europe/Paris	44.92801	maintenance	FR	4.8951	12/04/2021, 00:00:00
America/Argentina/Cordoba	-31.4488	average	AR	-60.93173	21 Sep 2015
Europe/Berlin	51.21667	building	DE	6.26667	2020/03/14
Asia/Tokyo	36.75965	average	JP	137.36215	2016-06-18
Africa/Kampala	3.02013	excellent	UG	30.91105	2019-12-11
America/Los_Angeles	34.14251	average	US	-118.25508	2017-04-04
America/New_York	40.72816	average	US	-74.07764	2012/10/29
Europe/Amsterdam	52.71083	average	NL	5.74861	04 Nov 2017
America/Toronto	43.86682	accep	CA	-79.2663	2021-11-29
America/Maceio	-10.90889	excellent	BR	-37.03861	2016-07-31
Asia/Karachi	25.95533	good	PK	68.88871	2022-07-29
Africa/Dar_es_Salaam	-10.33333	good	TZ	39.28333	21 Feb 2019
Asia/Tokyo	34.75856	accep	JP	136.13108	02 Oct 2015
America/Santiago	-33.59217	good	CL	-70.6996	2013/11/05
Asia/Aqtobe	47.83333	good	KZ	59.6	06/30/2014, 00:00:00
Asia/Shanghai	36.81667	excellent	CN	117.81667	29 Jan 2015
Asia/Karachi	27.55898	accep	PK	68.21204	15 May 2017
Europe/Berlin	50.23805	accep	DE	8.86704	06 Jan 2019
Europe/Stockholm	61.72744	average	SE	17.10558	13 Jul 2021
America/Mexico_City	19.04222	excellent	MX	-98.11889	2015/07/27
Europe/Berlin	50.64336	good	DE	7.2278	2015-10-29
Africa/Cairo	26.67319	excellent	EG	31.4976	03/19/2022, 00:00:00
Asia/Manila	14.95472	excellent	PH	120.89694	2017/03/03
Asia/Damascus	35.95664	excellent	SY	36.7138	2014-09-27
Asia/Yekaterinburg	51.4781	maintenance	RU	57.3552	2014/10/03
America/New_York	40.2737	accep	US	-76.88442	12/05/2012, 00:00:00
Asia/Manila	14.62578	excellent	PH	121.12251	2020-06-04
Europe/Istanbul	37.05944	average	TR	37.3825	2013/11/30
Asia/Bangkok	8.43333	accep	TH	99.96667	2014-07-23
Europe/Berlin	50.23805	average	DE	8.86704	27 Aug 2017
America/New_York	35.05266	average	US	-78.87836	15 Apr 2021
America/Sao_Paulo	-21.41222	good	BR	-42.19667	2020/05/28
Europe/Sofia	43.4125	building	BG	23.225	08/28/2022, 00:00:00
Asia/Yekaterinburg	55.75556	excellent	RU	60.70278	2019-03-27
Asia/Kolkata	10.12268	accep	IN	77.54372	05/12/2013, 00:00:00
Africa/Dar_es_Salaam	-5.41667	excellent	TZ	38.01667	2014-06-26
Asia/Kolkata	21.46527	excellent	IN	83.97573	28 Aug 2022
Asia/Kolkata	24.05979	accep	IN	77.40858	2020/05/08
Africa/Dar_es_Salaam	-6.8	excellent	TZ	39.25	03 May 2015
Asia/Bangkok	8.43333	average	TH	99.96667	2017-03-31
Asia/Seoul	36.6009	average	KR	126.665	2015/11/04
America/Los_Angeles	33.52253	average	US	-117.70755	2019/04/19
Asia/Karachi	30.29184	excellent	PK	71.67164	16 Jan 2021
Asia/Yekaterinburg	58.7002	average	RU	59.4839	06/13/2016, 00:00:00
Asia/Kolkata	10.10649	average	IN	76.35484	08/31/2017, 00:00:00
Europe/Andorra	42.50729	maintenance	AD	1.53414	2017/02/23
America/Los_Angeles	36.20829	maintenance	US	-115.98391	05/11/2017, 00:00:00
Europe/Moscow	54.84444	average	RU	38.16694	06/06/2017, 00:00:00
America/Los_Angeles	37.71715	building	US	-122.40433	11/16/2017, 00:00:00
Europe/Moscow	56.03361	average	RU	35.96944	12/30/2013, 00:00:00
Africa/Porto-Novo	8.88649	average	BJ	2.59753	09 Apr 2015
Pacific/Port_Moresby	-5.85746	accep	PG	144.23058	29 Mar 2018
America/Maceio	-10.91111	average	BR	-37.07167	30 Apr 2014
America/Fortaleza	-4.24444	good	BR	-42.29444	09/24/2022, 00:00:00
Asia/Shanghai	34.86472	maintenance	CN	117.55417	2020/05/20
Europe/Warsaw	54.58048	building	PL	16.86194	02/08/2016, 00:00:00
Africa/Algiers	35.21222	excellent	DZ	2.31889	2019-02-22
Europe/Moscow	53.59782	average	RU	34.33825	2014/01/10
Indian/Antananarivo	-19.65	maintenance	MG	47.31667	04/29/2013, 00:00:00
Europe/Berlin	51.30001	accep	DE	13.10984	06 Mar 2015
America/New_York	28.90054	good	US	-81.26367	2014-01-08
Europe/Paris	43.32393	good	FR	5.4584	10 Jan 2022
Europe/Bratislava	48.43174	excellent	SK	17.8031	2021/09/05
America/Sao_Paulo	-28.44917	good	BR	-52.2	2012/10/07
America/Los_Angeles	34.09611	building	US	-118.10583	2021/10/12
Asia/Jakarta	-7.57897	average	ID	112.23109	2020/01/26
America/Guatemala	14.93333	good	GT	-91.11667	01/07/2015, 00:00:00
America/Mexico_City	20.74122	excellent	MX	-100.44843	04/16/2020, 00:00:00
Asia/Shanghai	45.35	building	CN	126.28333	2020/07/14
Asia/Bangkok	8.43333	good	TH	99.96667	09 May 2014
America/Sao_Paulo	-20.25333	maintenance	BR	-43.80139	24 Aug 2019
Africa/Casablanca	33.92866	building	MA	-6.90656	2021/08/23
Asia/Tbilisi	41.82143	building	GE	41.77921	2014-08-19
America/Santiago	-32.45242	accep	CL	-71.23106	16 Jan 2014
Europe/Kiev	50.18545	average	UA	27.06365	2022-02-22
Europe/Paris	43.83125	excellent	FR	5.03586	2019-10-28
America/Santiago	-33.59217	good	CL	-70.6996	10/15/2019, 00:00:00
Europe/Lisbon	37.08819	excellent	PT	-8.2503	04/02/2016, 00:00:00
Africa/Bamako	12.74409	average	ML	-8.07257	29 Dec 2018
Asia/Shanghai	30.24706	accep	CN	115.04814	06 May 2021
Asia/Seoul	37.1759	average	KR	128.9889	2018-11-24
Africa/Johannesburg	-26.93366	accep	ZA	29.24152	2017-11-21
Asia/Kolkata	28.92694	good	IN	78.23456	2017/05/30
America/Mexico_City	19.32889	building	MX	-99.32556	2012/12/31
America/Recife	-8.28333	good	BR	-35.03333	08/24/2016, 00:00:00
Asia/Tokyo	44.35056	excellent	JP	142.45778	2016-11-30
Africa/Dar_es_Salaam	-6.25	average	TZ	38.66667	03/31/2013, 00:00:00
America/Chicago	31.12406	accep	US	-97.90308	06/01/2013, 00:00:00
America/Chicago	45.16024	average	US	-93.08883	23 Sep 2013
America/New_York	33.98154	average	US	-81.23621	2016/11/07
America/Edmonton	53.51684	accep	CA	-113.3187	2017-02-18
Asia/Kolkata	30.81383	excellent	IN	75.16878	2013-08-22
Europe/Warsaw	54.60528	excellent	PL	18.34717	12/28/2017, 00:00:00
Asia/Shanghai	23.29549	accep	CN	113.82465	2017-04-14
Asia/Shanghai	37.73222	maintenance	CN	115.70111	18 Oct 2021
Asia/Tokyo	43.82634	good	JP	144.09638	2012-10-16
America/Havana	23.04419	good	CU	-82.00919	08/12/2016, 00:00:00
Africa/Johannesburg	-26.93366	excellent	ZA	29.24152	2022/06/13
America/Tegucigalpa	15.48131	building	HN	-86.57415	25 Sep 2021
Asia/Bangkok	13.8196	accep	TH	100.04427	2016/06/16
Asia/Riyadh	27.0174	average	SA	49.62251	2015/07/05
Africa/Abidjan	5.27247	maintenance	CI	-3.59625	2015-08-17
America/Los_Angeles	37.73604	maintenance	US	-120.93549	2017-12-07
Europe/Vienna	47.05	maintenance	AT	15.46667	04/28/2019, 00:00:00
Asia/Tokyo	36.53333	good	JP	136.61667	2014-10-22
Asia/Kolkata	25.49043	building	IN	85.94001	2019-04-26
Europe/Paris	48.8765	average	FR	2.18967	02/14/2019, 00:00:00
Asia/Manila	6.33444	maintenance	PH	124.95278	2013-11-19
Europe/Rome	37.31065	accep	IT	13.57661	2022-08-30
Africa/Nairobi	3.11988	good	KE	35.59642	10 Jul 2016
Europe/Berlin	51.30001	average	DE	13.10984	09/06/2022, 00:00:00
Africa/Kigali	-1.9487	good	RW	30.4347	12 Jun 2021
America/New_York	41.14676	accep	US	-73.49484	07/25/2019, 00:00:00
America/Los_Angeles	40.58654	accep	US	-122.39168	2017/01/16
Asia/Tokyo	35	maintenance	JP	136.51667	20 Oct 2013
America/New_York	42.52787	excellent	US	-70.92866	2012/11/05
Europe/Moscow	60.02427	excellent	RU	30.28491	2020-10-17
America/Sao_Paulo	-22.53722	excellent	BR	-42.98194	2013-06-24
America/Toronto	42.8334	average	CA	-80.38297	25 Apr 2022
Africa/Maputo	-23.85972	excellent	MZ	35.34722	2014/05/27
Europe/London	53.81667	building	GB	-3.05	12/26/2016, 00:00:00
America/New_York	40.24537	accep	US	-75.64963	12/22/2018, 00:00:00
America/Argentina/Buenos_Aires	-34.74785	maintenance	AR	-58.70072	07/13/2014, 00:00:00
America/Mexico_City	19.04222	good	MX	-98.11889	2019-04-27
America/Managua	11.84962	building	NI	-86.19903	2019/08/27
Asia/Ho_Chi_Minh	10.29085	accep	VN	105.75635	2013/02/27
Asia/Kolkata	25.92493	maintenance	IN	73.66633	2017-11-13
America/Manaus	-3.14306	accep	BR	-58.44417	10/28/2013, 00:00:00
America/New_York	43.16547	good	US	-77.70066	01 Sep 2020
America/Toronto	45.44868	accep	CA	-73.81669	2013-12-14
Asia/Manila	6.95194	excellent	PH	121.96361	2018/01/22
America/Los_Angeles	34.09668	good	US	-117.71978	12/19/2021, 00:00:00
Asia/Shanghai	34.85	accep	CN	117.33333	2013-04-26
Asia/Jakarta	3.7278	good	ID	98.6738	2018-09-05
Asia/Shanghai	27.85	building	CN	112.9	2019-11-30
America/Porto_Velho	-8.76194	excellent	BR	-63.90389	27 Aug 2014
Asia/Qyzylorda	44.85278	excellent	KZ	65.50917	01/30/2022, 00:00:00
Europe/Kiev	51.67822	maintenance	UA	33.9162	30 Dec 2016
Africa/Lagos	9.58126	average	NG	8.2926	2018/12/06
Asia/Kolkata	9.57046	good	IN	76.32756	2022/06/26
Europe/Skopje	42	maintenance	MK	21.32778	2018/11/05
Asia/Kolkata	28.71271	average	IN	77.656	2022-02-23
Europe/Istanbul	37.31309	average	TR	40.74357	2017-03-08
Europe/Madrid	38.38479	accep	ES	-0.76773	08/19/2021, 00:00:00
Africa/Dar_es_Salaam	-6.25	average	TZ	38.66667	2019-08-06
America/Guayaquil	-2.90055	excellent	EC	-79.00453	03/31/2017, 00:00:00
Africa/Algiers	35.06544	building	DZ	1.04945	12/21/2019, 00:00:00
Europe/London	51.84819	average	GB	1.26738	2021/04/09
Europe/Madrid	38.96667	good	ES	-0.18333	04/18/2022, 00:00:00
America/Los_Angeles	46.32374	maintenance	US	-120.00865	05 Nov 2013
Asia/Kolkata	34.08565	excellent	IN	74.80555	19 Aug 2022
America/New_York	43.91452	accep	US	-69.96533	07 Feb 2018
Australia/Brisbane	-27.50578	accep	AU	153.10236	2012/12/16
America/Mexico_City	19.04222	accep	MX	-98.11889	2021/11/14
Europe/Berlin	49.68369	excellent	DE	8.61839	2013-05-18
Africa/Kampala	3.27833	excellent	UG	32.88667	03 Nov 2016
Africa/Algiers	34.15429	maintenance	DZ	3.50309	2020-01-08
Europe/Paris	44.80477	good	FR	-0.59543	2019-04-26
Europe/London	50.7236	maintenance	GB	-3.52751	10 Apr 2016
Africa/Freetown	8.48714	accep	SL	-13.2356	02 May 2014
America/Chicago	41.72059	good	US	-87.70172	2016/04/10
Asia/Shanghai	34.65918	good	CN	109.22921	11/27/2021, 00:00:00
Africa/Tripoli	30.75545	average	LY	20.22625	2015-03-14
America/Toronto	43.86682	average	CA	-79.2663	02 May 2018
Europe/Podgorica	42.28639	good	ME	18.84	12/19/2018, 00:00:00
Asia/Yerevan	40.49748	average	AM	44.7662	12/09/2020, 00:00:00
Asia/Kolkata	19.21667	maintenance	IN	73.08333	2014/11/27
America/New_York	37.52487	average	US	-77.55777	16 Aug 2016
Asia/Manila	10.31672	maitennce	PH	123.89071	2016-01-02
Europe/Berlin	52.59319	excellent	DE	13.32127	30 Aug 2014
America/New_York	39.71734	building	US	-74.96933	2015/02/24
Europe/Rome	44.31771	accep	IT	9.32241	19 Jul 2015
America/New_York	39.43534	excellent	US	-84.20299	11/09/2020, 00:00:00
Asia/Kolkata	12.1277	building	IN	78.15794	24 Dec 2016
Europe/Moscow	44.92934	good	RU	37.99117	01/31/2019, 00:00:00
Asia/Shanghai	45.75279	excellent	CN	130.57211	2016/01/07
Europe/Sofia	41.57439	good	BG	24.71204	06 Apr 2022
America/New_York	41.0051	average	US	-73.78458	02 Nov 2020
Europe/Berlin	52.53048	good	DE	13.29371	05/16/2018, 00:00:00
Asia/Manila	10.13361	accep	PH	124.84472	28 Apr 2019
America/Chicago	35.74788	good	US	-95.36969	26 Nov 2020
Europe/Istanbul	40.37528	maintenance	TR	28.88222	2018-04-05
America/Detroit	42.30865	building	US	-83.48216	2019/05/11
Europe/Moscow	55.38752	good	RU	36.73307	18 Aug 2014
Europe/Berlin	53.94313	building	DE	10.30215	2018-11-01
Europe/Rome	40.55851	good	IT	17.80774	30 Mar 2015
Asia/Tehran	36.64852	good	IR	51.49621	06/23/2020, 00:00:00
Asia/Kolkata	26.32293	excellent	IN	91.00632	2017-04-17
Europe/Stockholm	59.33333	maintenance	SE	18.28333	2013/08/06
Europe/Madrid	43.31667	excellent	ES	-2.68333	2016-04-20
Europe/Paris	45.69558	average	FR	4.7934	07 Feb 2017
America/Chicago	42.16808	good	US	-88.42814	2014-01-05
America/Chicago	32.44874	accep	US	-99.73314	2014-04-05
America/Sao_Paulo	-22.57306	building	BR	-47.1725	2018-02-25
Australia/Brisbane	-27.50578	excellent	AU	153.10236	2013/11/07
Asia/Manila	9.6531	accep	PH	124.3697	2012/12/06
Europe/London	53.69786	accep	GB	-2.68758	2013-11-20
Europe/Kiev	47.56494	good	UA	31.33078	09 Dec 2016
Asia/Tokyo	41.77583	accep	JP	140.73667	01/16/2013, 00:00:00
Asia/Shanghai	37.73222	average	CN	115.70111	2018/01/05
Europe/London	51.39148	average	GB	-0.29825	01 Apr 2017
Asia/Makassar	3.31332	building	ID	117.59152	04 Oct 2013
America/Los_Angeles	38.54491	excellent	US	-121.74052	26 Feb 2017
Asia/Shanghai	45.75279	average	CN	130.57211	04/22/2020, 00:00:00
America/Chicago	42.24113	accep	US	-88.3162	08/27/2013, 00:00:00
America/Sao_Paulo	-19.7625	good	BR	-44.31389	02 Jan 2017
Asia/Shanghai	37.19723	accep	CN	122.05228	23 Mar 2018
Europe/Moscow	64.5635	maintenance	RU	39.8302	2021-01-16
Africa/Niamey	13.70727	average	NE	9.15013	2021/08/20
Asia/Kolkata	17.54907	good	IN	82.85749	2018/06/12
Asia/Krasnoyarsk	58.23583	maintenance	RU	92.48278	30 Jul 2017
America/Fortaleza	-4.24444	good	BR	-42.29444	24 Apr 2013
Asia/Jakarta	-6.91806	average	ID	106.92667	2017/03/06
America/New_York	42.58342	excellent	US	-71.8023	06/07/2017, 00:00:00
Asia/Colombo	6.84019	accep	LK	79.87116	06/01/2015, 00:00:00
Europe/Bratislava	48.8449	good	SK	17.22635	22 Oct 2019
Africa/Tunis	37.16911	average	TN	10.03478	04/27/2020, 00:00:00
Asia/Kolkata	14.46693	building	IN	75.92694	12 Sep 2013
Asia/Vladivostok	53.14657	excellent	RU	140.72287	25 Oct 2019
Europe/Amsterdam	51.955	good	NL	5.22778	02 May 2013
Europe/Moscow	53.59782	good	RU	34.33825	2019/03/15
Africa/Casablanca	33.42585	accep	MA	-6.00137	03/24/2019, 00:00:00
Africa/Dar_es_Salaam	-7.76667	accep	TZ	35.7	22 Jun 2020
Asia/Kolkata	28.98002	maintenance	IN	77.70636	2015/09/23
Africa/Kinshasa	-4.5833	accep	CD	15.16554	12/11/2017, 00:00:00
Asia/Manila	14.66	good	PH	120.56528	03/02/2021, 00:00:00
Asia/Makassar	-1.26753	accep	ID	116.82887	04 Sep 2013
Asia/Shanghai	27.92333	good	CN	118.53333	03 Dec 2018
America/Costa_Rica	10.63504	excellent	CR	-85.43772	2020-05-04
Asia/Tokyo	44.35056	accep	JP	142.45778	2013/10/15
Asia/Kolkata	11.50526	average	IN	77.23826	08/15/2016, 00:00:00
Asia/Tokyo	36.24624	good	JP	139.07204	06 Jul 2021
America/Los_Angeles	33.95015	average	US	-118.03917	2022-08-13
Asia/Makassar	-1.26753	good	ID	116.82887	22 Jan 2016
America/Detroit	42.30865	accep	US	-83.48216	28 Jan 2022
Europe/Paris	50.75	good	FR	2.25	11/08/2020, 00:00:00
America/Detroit	42.97086	maintenance	US	-82.42491	02/07/2014, 00:00:00
