location	QoS	longitude	revision	latitude	station
Europe/Helsinki	excellent	24.95034	11/25/2014, 00:00:00	60.18427	Kallio
Europe/Rome	maintenance	8.86374	2014/11/10	44.89784	Tortona
Asia/Jakarta	average	109.3243	2018-11-08	-7.0981	Randudongkal
Africa/Kampala	maintenance	32.88667	12/18/2012, 00:00:00	3.27833	Kitgum
Asia/Yangon	accep	98.50893	11 Jan 2019	16.68911	Myawadi
Europe/Berlin	accep	10.30215	2019/10/15	53.94313	Bad Segeberg
Asia/Yekaterinburg	good	56.36091	2020/03/04	51.78771	Saraktash
America/Chicago	accep	-88.42814	2022/04/26	42.16808	Huntley
Asia/Shanghai	excellent	105.89333	08/08/2018, 00:00:00	34.56861	Beidao
Asia/Manila	good	122.8637	2013-12-09	9.3337	Santa Catalina
Europe/Warsaw	accep	17.4674	14 Feb 2013	50.86079	Brzeg
Europe/London	average	-0.32247	2017/07/10	50.82882	Lancing
Asia/Kolkata	maintenance	73.7553	2020-01-21	15.5439	Calangute
Africa/Tunis	good	9.37082	12/20/2017, 00:00:00	36.08497	Siliana
America/Denver	accep	-105.11221	03/22/2016, 00:00:00	39.57582	Ken Caryl
Asia/Kolkata	good	76.56719	2018/05/19	24.41288	Aklera
America/Chicago	good	-87.88754	2022/07/13	41.15376	Bourbonnais
Europe/Berlin	accep	12.1369	31 Oct 2012	51.04962	Zeitz
Asia/Jakarta	good	107.60389	2021-01-06	-7.01833	Pameungpeuk
Africa/Algiers	good	1.04945	2020/08/16	35.06544	Frenda
Asia/Kuala_Lumpur	good	101.02083	10/19/2018, 00:00:00	4.02219	Teluk Intan
Europe/Berlin	average	11.34046	2016/03/03	50.72043	Rudolstadt
Europe/Saratov	maintenance	46.04833	2018-10-03	51.40944	Privolzhskiy
America/New_York	accep	-81.26367	08/16/2016, 00:00:00	28.90054	Deltona
Asia/Jakarta	accep	106.92667	2016/03/08	-6.91806	Sukabumi
Asia/Tehran	accep	51.67462	01/09/2013, 00:00:00	32.65246	Isfahan
Europe/Berlin	good	9.72749	09/26/2020, 00:00:00	48.28259	Ehingen
Asia/Seoul	good	128.63083	05/14/2014, 00:00:00	36.82167	Eisen
Europe/Madrid	accep	-0.76773	22 Sep 2013	38.38479	Novelda
America/Chicago	excellent	-87.70172	2020-05-05	41.72059	Evergreen Park
America/Denver	excellent	-111.99633	2019/05/10	40.65995	Kearns
Asia/Tokyo	average	135.6	06/28/2021, 00:00:00	34.61667	Yao
Africa/Lagos	accep	4.52514	2018/08/09	12.74482	Argungu
Europe/Paris	average	2.12213	02/08/2015, 00:00:00	48.8222	Le Chesnay
America/Chicago	excellent	-88.81395	03/13/2015, 00:00:00	35.61452	Jackson
Africa/Libreville	building	13.58357	09/13/2020, 00:00:00	-1.63333	Franceville
Asia/Shanghai	accep	117.65694	03/31/2022, 00:00:00	36.19278	Laiwu
Asia/Kolkata	excellent	73.85535	09/27/2021, 00:00:00	18.51957	Pune
Europe/Amsterdam	accep	5.74861	2016-04-29	52.71083	Emmeloord
Asia/Colombo	acceptable	79.883	2015/07/14	6.9909	Hendala
Asia/Ho_Chi_Minh	good	105.75635	2021/05/05	10.29085	Sa Dec
America/New_York	maintenance	-78.04471	04/03/2017, 00:00:00	34.25628	Leland
Asia/Shanghai	good	112.9	2017-12-25	27.85	Xiangtan
Asia/Manila	average	121.06761	09/02/2017, 00:00:00	12.35275	San Jose
Europe/Istanbul	average	42.85693	2015/04/27	39.22493	Patnos
Asia/Jakarta	excellent	109.3243	2017-10-24	-7.0981	Randudongkal
Australia/Sydney	good	151.08057	2015/04/11	-33.79176	Eastwood
America/New_York	good	-82.32483	2016-03-10	29.65163	Gainesville
America/Mexico_City	average	-102.04897	12/07/2018, 00:00:00	19.64745	Paracho de Verduzco
Africa/Ndjamena	good	18.69303	07/08/2017, 00:00:00	12.18441	Mongo
Asia/Baku	accep	45.36561	2013-10-03	41.09246	Qazax
Asia/Manila	building	124.84472	11/03/2012, 00:00:00	10.13361	Maasin
America/Los_Angeles	accep	-116.37697	02/13/2014, 00:00:00	33.72255	Palm Desert
Asia/Kabul	accep	65.93249	2019/03/04	36.21544	Sar-e Pul
Europe/Brussels	excellent	5.37429	31 Dec 2018	51.03427	Houthalen
Asia/Kolkata	excellent	71.57737	2014/09/24	21.53889	Gariadhar
Asia/Shanghai	good	112.73333	24 Sep 2016	38.40917	Xinzhou
Europe/Berlin	excellent	7.973	2017-04-01	51.168	Finnentrop
Asia/Seoul	maintenance	126.665	2021/08/12	36.6009	Hongseong
Europe/Helsinki	accep	24.14662	05/23/2016, 00:00:00	65.84811	Tornio
America/Mexico_City	building	-99.32556	2020-08-05	19.32889	San Lorenzo Acopilco
Africa/Nairobi	good	35.59642	04 Aug 2014	3.11988	Lodwar
Asia/Kuala_Lumpur	average	101.96857	08/11/2020, 00:00:00	4.88441	Gua Musang
Asia/Kolkata	good	77.40858	2021/10/19	24.05979	Leteri
America/Caracas	average	-67.33122	08/13/2021, 00:00:00	10.22677	La Victoria
America/New_York	good	-73.97069	11 Apr 2019	40.64621	Kensington
Europe/Helsinki	excellent	24.95034	2012/11/21	60.18427	Kallio
Europe/Istanbul	excellent	29.26639	04/02/2022, 00:00:00	37.58105	Serinhisar
Asia/Kolkata	excellent	74.85849	04/07/2013, 00:00:00	31.28092	Patti
Africa/Niamey	accep	9.15013	03/07/2016, 00:00:00	13.70727	Mirriah
Europe/Berlin	average	11.34046	2014/04/11	50.72043	Rudolstadt
America/Chicago	excellent	-94.41551	2016/03/11	39.09112	Independence
Asia/Manila	building	124.3697	2014-05-28	9.6531	Jagna
America/Los_Angeles	maitennce	-120.93549	04/22/2020, 00:00:00	37.73604	Riverbank
America/New_York	accep	-74.38987	05/21/2018, 00:00:00	40.65538	Scotch Plains
Europe/Berlin	building	9.17702	02/17/2015, 00:00:00	48.78232	Stuttgart
America/Los_Angeles	excellent	-122.23484	2015/08/23	47.38093	Kent
America/New_York	excellent	-73.95958	29 Feb 2020	40.57788	Brighton Beach
Asia/Kolkata	excellent	84.63445	2014-11-29	24.81757	Rafiganj
Europe/Berlin	accep	8.64409	08 Jun 2021	48.07667	Trossingen
Europe/Zurich	accep	8.52462	03 Sep 2014	47.30997	Adliswil
Europe/London	accep	-2.98333	01 Jan 2020	53.83333	Poulton-le-Fylde
Asia/Kolkata	excellent	78.95693	22 Aug 2016	29.21399	Kashipur
America/New_York	excellent	-73.89875	2022-09-07	40.93121	Yonkers
Asia/Tokyo	excellent	139.6853	20 Jul 2021	35.815	Shimotoda
Europe/Berlin	building	9.5586	02 Feb 2019	54.52156	Schleswig
Asia/Jakarta	good	113.69785	2013/02/17	-7.73379	Besuki
America/Los_Angeles	good	-122.24064	2014/05/25	47.80527	Bothell West
Asia/Kolkata	excellent	85.94001	2019-05-12	25.49043	Teghra
Europe/Moscow	average	38.2739	17 May 2019	46.7055	Yeysk
Asia/Tokyo	accep	135.21667	02/18/2017, 00:00:00	35.06667	Sasayama
America/New_York	excellent	-81.38758	20 Jun 2016	30.17746	Palm Valley
Europe/Moscow	building	37.92792	27 Aug 2014	53.93361	Kireyevsk
Europe/London	maintenance	-0.76667	23 Sep 2014	53.38333	Gainsborough
Asia/Makassar	accep	116.82887	10/30/2012, 00:00:00	-1.26753	Balikpapan
Asia/Kolkata	average	78.40102	2014/10/16	27.9247	Chharra
Europe/Kiev	maintenance	26.97253	2015/03/06	49.65186	Krasyliv
Europe/Berlin	average	13.10984	2015/07/04	51.30001	Oschatz
Asia/Manila	average	120.4861	12 May 2016	16.0438	Manaoag
Australia/Brisbane	accep	153.10236	2021/09/27	-27.50578	Carindale
America/New_York	maintenance	-76.99081	2012-10-18	38.96372	Chillum
America/New_York	maintenance	-82.61573	2014-05-26	41.24255	Norwalk
Asia/Shanghai	good	130.57211	26 Apr 2015	45.75279	Boli
Europe/Rome	excellent	8.55552	12/06/2015, 00:00:00	40.72586	Sassari
Asia/Kolkata	excellent	75.35927	2021/10/02	12.04161	Talipparamba
Europe/Paris	building	2.25	03/01/2013, 00:00:00	50.75	Saint-Omer
America/New_York	good	-80.08199	2017-07-14	35.88264	Thomasville
Asia/Tehran	excellent	51.49621	2018/12/20	36.64852	Nowshahr
Asia/Shanghai	maintenance	116.11768	10/07/2019, 00:00:00	24.28859	Meizhou
Asia/Kolkata	excellent	78.23456	23 Feb 2015	28.92694	Bachhraon
Europe/London	average	-2.1875	2019-03-29	51.26	Westbury
Africa/Lubumbashi	maintenance	24.43973	2017/02/06	0.76755	Yangambi
Europe/Sofia	building	24.71204	2013/09/12	41.57439	Smolyan
Asia/Makassar	good	116.82887	2016-02-24	-1.26753	Balikpapan
Asia/Kolkata	maintenance	76.03889	21 Feb 2016	18.18158	Osmanabad
Europe/Amsterdam	maintenance	5.2875	17 Jun 2021	51.65333	Vught
Asia/Jakarta	excellent	104.09701	05 Jun 2018	-1.26424	Simpang
Africa/Algiers	accep	2.95924	03/15/2019, 00:00:00	36.76775	Cheraga
America/New_York	excellent	-78.87836	17 May 2014	35.05266	Fayetteville
America/New_York	average	-75.23266	09/13/2018, 00:00:00	43.1009	Utica
Asia/Manila	good	122.8637	12/14/2014, 00:00:00	9.3337	Santa Catalina
Europe/Madrid	accep	-1.60452	07 Feb 2016	42.06166	Tudela
Africa/Douala	maintenance	9.00472	2013/06/06	4.2475	Idenao
Europe/Madrid	good	-3.67029	2018-05-02	37.13548	Las Gabias
Europe/Paris	accep	1.00288	02/23/2016, 00:00:00	49.28669	Elbeuf
Asia/Vladivostok	excellent	133.42825	06/01/2019, 00:00:00	45.47885	Lesozavodsk
America/Puerto_Rico	good	-66.8499	2016-09-04	18.03496	Yauco
Africa/Bamako	excellent	-8.07257	09/05/2018, 00:00:00	12.74409	Kati
Asia/Jakarta	average	99.1625	11 Feb 2022	3.3285	Tebingtinggi
Asia/Karachi	excellent	72.54566	2018-09-03	29.69221	Hasilpur
America/Detroit	building	-82.42491	29 Apr 2021	42.97086	Port Huron
America/New_York	good	-75.64963	23 Jun 2018	40.24537	Pottstown
Europe/Berlin	building	9.5586	02 Jul 2022	54.52156	Schleswig
America/Sao_Paulo	average	-53.13722	2020/04/20	-22.92306	Loanda
Europe/Rome	average	14.34085	05/16/2017, 00:00:00	40.87363	Volla
Asia/Jakarta	average	113.69785	23 Aug 2015	-7.73379	Besuki
Africa/Windhoek	accep	16.91667	15 May 2018	-21.98333	Okahandja
Asia/Dili	accep	125.21972	19 Aug 2020	-8.99167	Maliana
America/Maceio	maintenance	-37.03861	2017/03/11	-10.90889	Barra dos Coqueiros
Asia/Karachi	excellent	71.52847	2015/07/29	32.57756	Mianwali
Asia/Jakarta	building	99.1625	2019/12/16	3.3285	Tebingtinggi
Africa/Porto-Novo	good	2.59753	02/14/2015, 00:00:00	8.88649	Tchaourou
America/Los_Angeles	accep	-122.38731	2015/11/12	45.53929	Troutdale
America/New_York	average	-81.26367	08 Nov 2021	28.90054	Deltona
Europe/Berlin	excellent	7.11393	2018-12-15	51.08468	Burscheid
America/Phoenix	excellent	-111.78903	2022-07-09	33.35283	Gilbert
Europe/Berlin	excellent	9.85	2017/01/10	53.63333	Halstenbek
America/Chicago	accep	-88.42814	2016/09/23	42.16808	Huntley
Asia/Almaty	accep	84.87144	2022-03-22	47.46657	Zaysan
Asia/Shanghai	maintenance	117.63083	2015/01/30	35.50056	Pingyi
America/New_York	excellent	-77.4286	28 Sep 2016	39.00622	Sterling
America/Mexico_City	accep	-103.42897	2013/06/28	20.28527	Jocotepec
Asia/Tokyo	accep	137.5	02 Oct 2015	34.9	Shinshiro
America/New_York	excellent	-76.72803	2013-04-13	39.32288	Woodlawn
America/New_York	good	-82.90375	2016/08/30	32.54044	Dublin
Asia/Shanghai	building	120.03308	12/24/2015, 00:00:00	28.88162	Guli
Europe/Paris	excellent	2.12213	01/14/2019, 00:00:00	48.8222	Le Chesnay
America/Mexico_City	average	-93.11308	19 Dec 2012	16.75973	Tuxtla
America/Los_Angeles	average	-116.37697	2013-06-07	33.72255	Palm Desert
America/New_York	good	-77.02303	19 Jun 2022	38.70734	Fort Washington
Europe/Madrid	good	-2.68333	24 Apr 2022	43.31667	Gernika-Lumo
Europe/Paris	average	-0.59543	2015-06-07	44.80477	Talence
Europe/Madrid	building	-1.60452	2019/05/18	42.06166	Tudela
America/Denver	good	-111.99633	2017/09/14	40.65995	Kearns
Asia/Jakarta	good	104.09701	02/15/2017, 00:00:00	-1.26424	Simpang
Africa/Accra	average	-1.4001	2015-11-04	7.06273	Mampong
America/Argentina/Buenos_Aires	good	-60.47389	09/11/2021, 00:00:00	-34.64167	Chacabuco
America/Recife	excellent	-35.71667	2015-10-19	-8.66667	Catende
Europe/Paris	accep	4.86667	03 May 2021	45.51667	Vienne
America/Chicago	average	-94.74049	2016-11-07	32.5007	Longview
Europe/Amsterdam	good	6.76111	2016/03/02	53.16167	Hoogezand
Asia/Manila	accep	121.12251	2014/12/03	14.62578	Antipolo
America/New_York	average	-81.56929	10/14/2013, 00:00:00	41.55838	Collinwood
Asia/Manila	maintenance	123.89071	2018/02/01	10.31672	Cebu City
Europe/Berlin	excellent	9.02596	31 Aug 2019	48.21644	Albstadt
Asia/Phnom_Penh	average	102.56365	2020/05/13	13.65805	Paoy Paet
America/New_York	maintenance	-75.23266	2022/05/09	43.1009	Utica
Europe/Moscow	maintenance	39.8302	2019-07-02	64.5635	Severodvinsk
Asia/Shanghai	maintenance	120.74221	19 May 2022	31.64615	Changshu City
Asia/Yekaterinburg	maintenance	53.47103	2015-03-11	54.48147	Oktyabr’skiy
Pacific/Efate	maintenance	168.31366	12/28/2012, 00:00:00	-17.73648	Port-Vila
America/New_York	accep	-75.64963	02 Aug 2016	40.24537	Pottstown
Asia/Karachi	maintenance	73.97117	2013/09/02	31.96258	Naushahra Virkan
America/Mexico_City	average	-103.42897	2021-04-02	20.28527	Jocotepec
Asia/Kabul	excellent	65.93249	2021/01/30	36.21544	Sar-e Pul
Africa/Mogadishu	good	42.54536	2016-06-01	-0.35817	Kismayo
America/Chicago	good	-88.31476	03/31/2014, 00:00:00	36.61033	Murray
Africa/Lagos	average	4.74161	2018/05/27	7.62789	Ilesa
Europe/London	average	0.47713	07 May 2015	51.39323	Strood
America/Denver	good	-111.99633	09/21/2015, 00:00:00	40.65995	Kearns
Europe/Minsk	good	25.8191	2014/02/09	53.5942	Novogrudok
Africa/Ndjamena	excellent	18.69303	31 May 2017	12.18441	Mongo
America/Vancouver	excellent	-119.27337	01 May 2020	50.26729	Vernon
Europe/Amsterdam	average	5.23333	06/24/2021, 00:00:00	52.09	Zeist
America/Mexico_City	maintenance	-96.72365	23 Jun 2022	17.06542	Oaxaca
America/New_York	excellent	-73.99681	07/24/2022, 00:00:00	40.94065	Dumont
America/Sao_Paulo	excellent	-42.19667	2021/09/29	-21.41222	Miracema
Asia/Kolkata	excellent	86.51499	15 Feb 2013	23.1959	Kenda
Asia/Tokyo	accep	144.09638	2019-04-19	43.82634	Motomachi
Atlantic/Azores	excellent	-25.66689	2022-03-24	37.74615	Ponta Delgada
Europe/Berlin	good	13.10984	2019-03-08	51.30001	Oschatz
Asia/Kolkata	good	81.54855	2014/02/06	26.2649	Jais
Indian/Reunion	excellent	55.4504	2014/01/23	-20.88231	Saint-Denis
America/Port_of_Spain	good	-61.51889	21 Sep 2016	10.66668	Port of Spain
Europe/Rome	average	9.29109	10/06/2016, 00:00:00	45.39402	San Giuliano Milanese
America/New_York	average	-81.56929	02/04/2015, 00:00:00	41.55838	Collinwood
Asia/Kolkata	accep	71.57737	06/02/2015, 00:00:00	21.53889	Gariadhar
Africa/Dar_es_Salaam	excellent	38.66667	2012/11/15	-6.25	Mvomero
Africa/Libreville	excellent	13.58357	18 May 2015	-1.63333	Franceville
Asia/Kolkata	good	74.3092	04 Oct 2016	33.37526	Rajaori
Asia/Yekaterinburg	accep	69.49015	2014-01-09	56.11281	Ishim
Australia/Perth	average	115.88782	2017-03-06	-32.05251	Willetton
Indian/Antananarivo	excellent	47.31667	15 Dec 2017	-19.65	Antanifotsy
Europe/London	accep	-1.47217	2015/11/03	53.46506	Chapletown
Asia/Jakarta	maintenance	109.05389	2021-04-13	-7.51611	Wangon
America/Toronto	average	-73.81669	2014/08/23	45.44868	Pointe-Claire
Europe/Helsinki	accep	24.6522	28 Nov 2016	60.2052	Espoo
Asia/Jakarta	maintenance	103.61667	20 Sep 2013	-1.6	Jambi City
Europe/Kiev	building	26.97253	2021/06/21	49.65186	Krasyliv
America/Jamaica	excellent	-76.78319	31 Mar 2014	18.00747	New Kingston
America/Manaus	average	-58.44417	03/12/2022, 00:00:00	-3.14306	Itacoatiara
Asia/Almaty	building	84.87144	2022/04/23	47.46657	Zaysan
Asia/Yekaterinburg	good	60.8019	02/27/2016, 00:00:00	56.9083	Beryozovsky
Europe/Berlin	accep	9.85	2017/07/12	53.63333	Halstenbek
Europe/Helsinki	excellent	24.6522	2016-02-06	60.2052	Espoo
Asia/Shanghai	good	109.22921	10/12/2021, 00:00:00	34.65918	Yanliang
America/New_York	average	-73.78458	27 Feb 2013	41.0051	Scarsdale
Asia/Manila	maintenance	120.4861	2020/07/18	16.0438	Manaoag
Europe/London	accep	-2.52398	2015/05/29	53.19146	Winsford
Europe/Berlin	maintenance	7.20769	2021/04/04	50.80019	Siegburg
Africa/Banjul	maintenance	-15.6	03/30/2015, 00:00:00	13.56667	Farafenni
America/Bogota	building	-74.26419	2013/11/09	4.73245	Madrid
Asia/Bangkok	average	100.04427	06/17/2015, 00:00:00	13.8196	Nakhon Pathom
Asia/Karachi	accep	68.11759	2019/04/17	26.9423	Tharu Shah
America/Los_Angeles	excellent	-119.01677	2014-11-11	36.06523	Porterville
America/New_York	building	-80.31727	10/19/2013, 00:00:00	25.67927	Kendall
America/Los_Angeles	excellent	-121.75689	22 Oct 2012	36.91023	Watsonville
Europe/Andorra	building	1.53414	25 Nov 2015	42.50729	les Escaldes
Europe/Skopje	accep	21.32778	2022-08-06	42	Saraj
Europe/Rome	excellent	12.70038	2016-01-22	45.9836	Cordenons
Europe/Istanbul	average	28.67582	07/18/2021, 00:00:00	40.98894	Yakuplu
America/Los_Angeles	accep	-117.70755	2021/06/18	33.52253	Laguna Niguel
Europe/Brussels	building	4.52529	2015-07-05	50.71229	Rixensart
Asia/Seoul	good	128.62667	12/21/2012, 00:00:00	34.8825	Sinhyeon
Asia/Shanghai	average	122.05228	08/07/2016, 00:00:00	37.19723	Tianfu
America/New_York	average	-73.99681	2019-05-11	40.94065	Dumont
Europe/Zurich	average	8.52462	2016-09-04	47.30997	Adliswil
Asia/Tashkent	average	69.67639	08/20/2021, 00:00:00	41.29444	Parkent
America/New_York	accep	-80.08199	01/20/2015, 00:00:00	35.88264	Thomasville
Asia/Kolkata	excellent	72.85107	16 Apr 2020	19.30157	Bhayandar
Europe/Moscow	building	43.91385	2017-02-03	54.03876	Kovylkino
Europe/Berlin	accep	13.29371	08/06/2013, 00:00:00	52.53048	Charlottenburg-Nord
America/Chicago	good	-93.75018	2019/07/05	32.52515	Shreveport
America/Chicago	accep	-98.15529	2020-09-14	26.18924	San Juan
Europe/Istanbul	maitennce	27.02444	2017/07/04	39.59611	Edremit
America/Chicago	good	-87.71255	2022/06/30	41.84364	South Lawndale
America/Bogota	good	-74.95472	05/30/2013, 00:00:00	10.98778	Puerto Colombia
Europe/Paris	excellent	3.87723	03/02/2018, 00:00:00	43.61092	Montpellier
America/Matamoros	average	-97.50417	01/03/2019, 00:00:00	25.87972	Heroica Matamoros
America/Los_Angeles	accep	-122.24064	2015-01-13	47.80527	Bothell West
America/Bogota	maintenance	-72.47417	2015-09-04	7.83389	Villa del Rosario
Asia/Shanghai	good	120.82747	12/16/2020, 00:00:00	37.30553	Zhuangyuan
America/Puerto_Rico	good	-67.15407	03/25/2015, 00:00:00	18.42745	Aguadilla
Europe/Moscow	excellent	53.26023	20 Feb 2019	54.39304	Bavly
Africa/Djibouti	excellent	42.7125	26 Jan 2017	11.15583	'Ali Sabieh
Europe/London	accep	-1.06667	2018-09-07	53.78333	Selby
Europe/Moscow	building	33.72798	05/07/2015, 00:00:00	53.53395	Zhukovka
Asia/Karachi	excellent	68.75915	2017-06-22	27.52948	Khairpur Mir’s
Asia/Kuala_Lumpur	excellent	101.02083	2021-08-11	4.02219	Teluk Intan
Europe/London	maintenance	-1.29243	03/15/2017, 00:00:00	53.49389	Mexborough
Asia/Shanghai	building	120.74792	2021/10/20	41.09822	Nanpiao
Africa/Lagos	good	9.0027	2018/10/31	11.86064	Gaya
Africa/Algiers	maintenance	2.31889	07/17/2021, 00:00:00	35.21222	Ksar Chellala
Europe/Berlin	maintenance	7.973	06/23/2019, 00:00:00	51.168	Finnentrop
America/Chicago	accep	-88.81395	2013/10/15	35.61452	Jackson
Africa/Dar_es_Salaam	excellent	29.65806	12/30/2019, 00:00:00	-4.83	Mwandiga
America/New_York	average	-83.2321	22 Sep 2015	33.08014	Milledgeville
Asia/Tbilisi	building	41.77921	2017-09-11	41.82143	Kobuleti
Europe/Paris	maintenance	2.29026	25 Dec 2020	48.77644	Sceaux
Asia/Damascus	excellent	38.28402	27 Sep 2018	34.5624	Tadmur
America/Chicago	excellent	-91.06177	10 Oct 2019	33.41012	Greenville
Australia/Perth	good	115.88782	03/05/2021, 00:00:00	-32.05251	Willetton
Asia/Kolkata	good	74.85849	08/22/2019, 00:00:00	31.28092	Patti
America/New_York	accep	-73.99681	2016/02/29	40.94065	Dumont
Atlantic/Azores	accep	-25.66689	2020-10-28	37.74615	Ponta Delgada
Africa/Lagos	average	8.2926	12/28/2018, 00:00:00	9.58126	Kafanchan
Europe/Madrid	average	1.10687	2019/05/23	41.15612	Reus
America/New_York	good	-73.47429	2017-03-26	40.68066	Massapequa
Africa/Tunis	average	9.37082	2015/11/20	36.08497	Siliana
America/Fortaleza	accep	-40.7475	19 Mar 2021	-4.16694	Guaraciaba do Norte
Europe/Andorra	accep	1.53414	2021-07-22	42.50729	les Escaldes
America/New_York	accep	-74.28459	2017-12-10	40.5576	Woodbridge
Asia/Urumqi	good	86.00214	2015-12-01	46.51872	Hoxtolgay
Europe/Moscow	good	43.67663	04/25/2019, 00:00:00	53.53041	Nizhniy Lomov
Europe/London	excellent	-1.08593	23 May 2014	50.79205	Southsea
Europe/Madrid	good	-1.86343	09/09/2022, 00:00:00	38.10558	Caravaca
Asia/Almaty	maintenance	84.87144	06/30/2017, 00:00:00	47.46657	Zaysan
Europe/Volgograd	average	43.2379	24 Jan 2018	50.06	Mikhaylovka
Africa/Johannesburg	excellent	29.24152	05 Jul 2018	-26.93366	Standerton
Asia/Kolkata	average	85.37752	2016/05/21	22.10194	Barbil
Asia/Kolkata	good	76.56719	06/15/2016, 00:00:00	24.41288	Aklera
Europe/Berlin	excellent	6.9747	2021/05/21	50.82709	Wesseling
Europe/Moscow	good	38.94324	2020-11-17	44.98901	Yablonovskiy
Asia/Kolkata	good	73.85535	08 Jan 2022	18.51957	Pune
Europe/Paris	excellent	-1.05366	09/18/2013, 00:00:00	43.71032	Dax
America/New_York	average	-73.49484	2022/01/17	41.14676	New Canaan
America/Chicago	accep	-88.27205	2019-12-08	44.27804	Kaukauna
Australia/Sydney	maintenance	150.60036	2016/04/14	-34.88422	Nowra
Asia/Jakarta	good	114.33333	2014/12/04	-8.43333	Muncar
Asia/Shanghai	average	115.70111	2014-09-18	37.73222	Hengshui
America/Sao_Paulo	excellent	-48.67028	2014/04/09	-28.24	Imbituba
Asia/Shanghai	average	111.50861	2021/08/28	32.54278	Danjiangkou
Asia/Shanghai	accep	114.68333	14 Jul 2013	23.73333	Heyuan
Africa/Algiers	average	2.95924	2014/11/04	36.76775	Cheraga
Asia/Manila	accep	120.89694	2020-09-15	14.95472	Baliuag
America/Port_of_Spain	average	-61.51889	05/17/2022, 00:00:00	10.66668	Port of Spain
Europe/Amsterdam	excellent	6.92917	2014/07/18	52.31333	Oldenzaal
Asia/Kolkata	excellent	91.61356	2016-10-24	26.44931	Rangia
America/Mexico_City	maintenance	-94.91386	03/27/2018, 00:00:00	17.94979	Acayucan
