code	QoS	latitude	revision	station	longitude
IN	good	33.37526	03/19/2019, 00:00:00	Rajaori	74.3092
BO	average	-21.44345	05/16/2019, 00:00:00	Tupiza	-65.71875
JP	excellent	34.4833	24 Dec 2015	Toba	136.84186
JP	accep	35.815	07/22/2016, 00:00:00	Shimotoda	139.6853
UA	maitennce	49.65186	10/18/2021, 00:00:00	Krasyliv	26.97253
NG	excellent	10.61285	2019/07/17	Biu	12.19458
FR	good	48.77644	04/19/2022, 00:00:00	Sceaux	2.29026
IN	maintenance	20.88197	25 Dec 2018	Bhuban	85.83334
PE	average	-15.21194	16 Dec 2012	Minas de Marcona	-75.11028
BR	building	-26.22861	2015-03-28	Pato Branco	-52.67056
CA	average	46.23899	2021-12-07	Charlottetown	-63.13414
US	good	47.80527	08/07/2022, 00:00:00	Bothell West	-122.24064
US	accep	32.35126	2013-12-31	Tyler	-95.30106
US	average	42.24113	2017-02-10	Crystal Lake	-88.3162
FR	accep	45.73333	15 Aug 2019	Bron	4.91667
IT	maintenance	45.50369	28 Feb 2013	Montecchio Maggiore-Alte Ceccato	11.412
CO	excellent	5.6561	15 May 2014	Andes	-75.87877
ZA	accep	-26.93366	2021-11-20	Standerton	29.24152
CN	maintenance	27.34089	03 Oct 2017	Shaowu	117.4831
US	good	30.5427	2015-03-26	Hutto	-97.54667
FR	good	44.92801	2021-12-17	Valence	4.8951
RU	accep	55.85	2017-02-15	Likhobory	37.56667
US	excellent	39.43534	05 Dec 2020	Lebanon	-84.20299
US	good	43.61062	06 Mar 2021	Rutland	-72.97261
MG	average	-22.9	2020/07/04	Sakaraha	44.53333
DE	building	50.80019	04 Oct 2020	Siegburg	7.20769
KR	accep	37.65639	2020/04/02	Goyang-si	126.835
US	good	38.91817	2015-10-16	Front Royal	-78.19444
HT	good	18.65297	09/14/2021, 00:00:00	Thomazeau	-72.09391
AF	excellent	36.21544	07/25/2022, 00:00:00	Sar-e Pul	65.93249
RU	building	43.35071	2021-02-13	Gudermes	46.10925
US	maintenance	40.65995	08 Dec 2020	Kearns	-111.99633
SY	average	35.95664	04/06/2013, 00:00:00	Binnish	36.7138
US	average	31.84568	11/08/2015, 00:00:00	Odessa	-102.36764
KR	good	36.6009	2014-08-31	Hongseong	126.665
FR	accep	43.32393	2018-02-14	Les Olives	5.4584
VU	excellent	-17.73648	24 Nov 2020	Port-Vila	168.31366
US	excellent	41.72059	03 Jul 2020	Evergreen Park	-87.70172
NG	accep	6.8485	04/03/2015, 00:00:00	Shagamu	3.64633
US	average	41.6764	2016/01/12	Coralville	-91.58045
IN	average	18.51957	17 Feb 2020	Pune	73.85535
JP	good	36	2019/04/18	Okegawa	139.55722
RW	maintenance	-1.9487	16 Aug 2014	Rwamagana	30.4347
LT	good	55.25	24 Sep 2018	Ukmerge	24.75
BJ	average	8.88649	2013-02-21	Tchaourou	2.59753
US	average	41.6764	09/28/2017, 00:00:00	Coralville	-91.58045
MX	accep	21.28306	2014-11-15	Progreso	-89.66123
TR	accep	40.98894	2018/06/19	Yakuplu	28.67582
RU	maintenance	51.4781	2017/12/20	Kuvandyk	57.3552
BE	average	50.74497	18 Sep 2021	Mouscron	3.20639
RU	excellent	50.06	25 Sep 2018	Mikhaylovka	43.2379
CN	maintenance	41.94175	2017/08/16	Hushitai	123.50266
PL	average	54.58048	07/01/2016, 00:00:00	Ustka	16.86194
TJ	good	38.55632	05 Nov 2016	Vahdat	69.01354
PH	accep	12.37169	21 Dec 2012	Masbate	123.62494
TH	excellent	16.0567	03/30/2016, 00:00:00	Roi Et	103.65309
FR	good	45.73333	2013/03/25	Bron	4.91667
IT	maintenance	37.49223	2013-09-04	Catania	15.07041
MA	accep	33.43443	2021/06/07	Azrou	-5.22126
US	good	40.58654	01 Jul 2018	Redding	-122.39168
PK	good	30.76468	03/16/2015, 00:00:00	Kanganpur	74.12286
IN	good	10.12268	07/19/2014, 00:00:00	Periyakulam	77.54372
CN	average	37.30553	2022-08-31	Zhuangyuan	120.82747
US	accep	29.65163	2014/05/18	Gainesville	-82.32483
PH	excellent	8.56697	25 Mar 2021	Dipolog	123.33471
BE	building	50.74497	2015/10/04	Mouscron	3.20639
CF	good	4.94273	2013-04-27	Carnot	15.87735
IN	excellent	19.30157	2014-11-26	Bhayandar	72.85107
AT	average	47.05	2020/03/10	Sankt Peter	15.46667
ME	maintenance	42.28639	17 Jan 2022	Budva	18.84
US	good	33.45122	19 Aug 2019	Hueytown	-86.99666
DE	excellent	51.19139	06/13/2021, 00:00:00	Korschenbroich	6.51352
AR	good	-31.4488	01/04/2016, 00:00:00	Esperanza	-60.93173
IN	excellent	24.05979	2017/10/12	Leteri	77.40858
US	accep	39.08367	12/10/2018, 00:00:00	Covington	-84.50855
US	maintenance	33.95015	2014-10-16	South Whittier	-118.03917
RE	good	-20.88231	02/12/2018, 00:00:00	Saint-Denis	55.4504
US	excellent	37.95143	08/06/2015, 00:00:00	Rolla	-91.77127
ET	average	11.85	2013-11-03	Debre Tabor	38.01667
DE	building	51.04962	2014/12/24	Zeitz	12.1369
CN	accep	32.54278	01/26/2019, 00:00:00	Danjiangkou	111.50861
AR	excellent	-27.4338	09/08/2019, 00:00:00	Aguilares	-65.61427
CN	excellent	38.40917	2014-06-22	Xinzhou	112.73333
IT	excellent	40.53123	01/10/2016, 00:00:00	Francavilla Fontana	17.58522
HK	maintenance	22.37066	19 Mar 2014	Tsuen Wan	114.10479
CA	excellent	46.23899	2020-04-02	Charlottetown	-63.13414
GB	accep	51.26	2016/01/03	Westbury	-2.1875
DE	excellent	51.168	2018/08/02	Finnentrop	7.973
BD	accep	23.9028	2018-02-02	Kushtia	89.11943
RU	average	57.97472	2017/08/23	Valday	33.2525
US	accep	40.65538	29 May 2019	Scotch Plains	-74.38987
NE	average	13.70727	19 Jun 2014	Mirriah	9.15013
TN	good	36.08497	2013/02/21	Siliana	9.37082
IT	average	42.67164	09/25/2013, 00:00:00	Roseto degli Abruzzi	14.01481
LT	maintenance	55.25	2014-09-14	Ukmerge	24.75
PK	good	30.76468	2019-11-07	Kanganpur	74.12286
US	excellent	42.55308	2021-12-25	Pleasant Prairie	-87.93341
FR	good	48.98333	18 Jun 2022	Mitry-Mory	2.61667
IN	average	26.11527	09/26/2018, 00:00:00	Supaul	86.59509
GB	excellent	53.7446	2021/11/29	Kingston upon Hull	-0.33525
CU	good	20.14298	02/16/2018, 00:00:00	Media Luna	-77.43532
DJ	accep	11.15583	06/30/2020, 00:00:00	'Ali Sabieh	42.7125
IN	building	25.66795	2017/08/08	Dalsingh Sarai	85.83636
MZ	building	-23.85972	2020/12/14	Maxixe	35.34722
US	building	32.54044	2018-11-04	Dublin	-82.90375
IR	excellent	33.86419	2014/02/04	Aleshtar	48.26258
CN	average	27.34089	2018/06/25	Shaowu	117.4831
BR	good	-29.2975	25 Aug 2021	Carlos Barbosa	-51.50361
NL	accep	52.57583	28 Feb 2014	Hardenberg	6.61944
IR	excellent	33.14447	2013/06/26	Darreh Shahr	47.3799
DE	excellent	50.72043	2013-09-02	Rudolstadt	11.34046
ES	good	43.32686	01 Aug 2022	Leioa	-2.98884
BR	good	-25.42778	2014-07-01	Curitiba	-49.27306
MX	maintenance	17.94979	2016/11/01	Acayucan	-94.91386
NZ	building	-38.65333	2013/08/22	Gisborne	178.00417
PK	excellent	32.57756	10/09/2014, 00:00:00	Mianwali	71.52847
NL	average	51.65333	24 Apr 2019	Vught	5.2875
US	building	25.67927	2019/08/24	Kendall	-80.31727
NG	building	7.6	2020-10-21	Olupona	4.18333
DE	building	51.30001	2021/01/16	Oschatz	13.10984
US	average	35.05266	2018-01-18	Fayetteville	-78.87836
PH	average	9.3337	2015/11/23	Santa Catalina	122.8637
PH	accep	10.7375	2019/04/27	Talisay	122.9666
CL	excellent	-36.9256	2017/01/16	Chiguayante	-73.02841
US	excellent	41.84364	18 Dec 2019	South Lawndale	-87.71255
BR	accep	-22.97056	24 Aug 2020	Valinhos	-46.99583
GB	accep	51.39323	2019-03-07	Strood	0.47713
CA	average	50.26729	05/15/2013, 00:00:00	Vernon	-119.27337
AR	average	-34.64966	2012/10/14	Barracas	-58.38341
PK	excellent	31.96258	2013/02/09	Naushahra Virkan	73.97117
US	building	42.4251	23 Oct 2018	Malden	-71.06616
US	maintenance	30.16688	2015-05-21	Brenham	-96.39774
UG	average	3.27833	2017-05-16	Kitgum	32.88667
CZ	building	50.23271	25 Aug 2019	Karlovy Vary	12.87117
DZ	excellent	36.06386	2019/09/11	El Achir	4.62744
TR	good	40.37528	2018/07/29	Mudanya	28.88222
DE	average	53.59337	30 Nov 2017	Stade	9.47629
GB	accep	50.7236	02/16/2022, 00:00:00	Exeter	-3.52751
PK	average	30.76468	03/07/2015, 00:00:00	Kanganpur	74.12286
BR	average	-28.24	2012/11/19	Imbituba	-48.67028
CO	good	6.46838	2016-06-20	Socorro	-73.26022
BR	maintenance	-3.20333	2015/12/10	Altamira	-52.20639
MX	accep	20.28527	2016-02-18	Jocotepec	-103.42897
MA	good	33.92866	2016/10/18	Temara	-6.90656
BY	good	55.1904	2014-03-28	Vitebsk	30.2049
US	building	28.90054	09/14/2017, 00:00:00	Deltona	-81.26367
IN	excellent	28.92694	07 Mar 2017	Bachhraon	78.23456
IN	maintenance	25.75728	02/09/2017, 00:00:00	Deoli	75.37991
PT	accep	37.74615	21 Apr 2021	Ponta Delgada	-25.66689
RU	good	55.8736	2015/03/07	Yashkino	85.4265
US	average	35.61452	2021-04-04	Jackson	-88.81395
US	average	35.88264	2014/01/29	Thomasville	-80.08199
US	average	34.09611	30 Oct 2015	San Gabriel	-118.10583
IN	building	12.95629	02/03/2019, 00:00:00	Robertsonpet	78.27539
AF	maintenance	36.21544	03/04/2019, 00:00:00	Sar-e Pul	65.93249
IN	good	26.44931	2018-09-18	Rangia	91.61356
US	average	43.54072	04/29/2015, 00:00:00	Nampa	-116.56346
PL	accep	50.5107	12/17/2019, 00:00:00	Strzelce Opolskie	18.30056
US	average	25.67927	2020/01/28	Kendall	-80.31727
RU	accep	55.85	2014-03-08	Likhobory	37.56667
IT	good	37.31065	2019-08-17	Agrigento	13.57661
BE	good	50.74497	01/27/2020, 00:00:00	Mouscron	3.20639
CN	excellent	41.27194	2015/10/06	Liaoyang	123.17306
TN	accep	36.46917	2013-05-26	Beni Khiar	10.78222
PH	building	9.3337	10 Feb 2013	Santa Catalina	122.8637
