location	latitude	station	QoS	revision	longitude
America/Mexico_City	19.8173	Teziutlan	accep	2017/03/01	-97.35992
Europe/Madrid	39.96348	Talavera de la Reina	excellent	15 Mar 2019	-4.83076
Australia/Melbourne	-37.9	Wheelers Hill	good	2016/09/29	145.18333
Europe/Moscow	42.819	Buynaksk	average	2022-06-12	47.1192
Asia/Shanghai	34.65918	Yanliang	maintenance	04 Dec 2015	109.22921
Europe/Madrid	40.42386	San Fernando de Henares	good	2014/02/25	-3.53261
Europe/Rome	45.78071	Portogruaro	good	2014/06/06	12.84052
Asia/Jakarta	-6.48167	Cibinong	maintenance	01/02/2021, 00:00:00	106.85417
Asia/Kolkata	22.75218	Kheda	accep	14 Oct 2021	72.68533
America/Sao_Paulo	-29.2975	Carlos Barbosa	excellent	2021-12-10	-51.50361
America/Sao_Paulo	-17.74431	Caldas Novas	average	2021-02-12	-48.62789
Europe/Stockholm	59.33333	Boo	accep	03/08/2017, 00:00:00	18.28333
Europe/Madrid	38.10558	Caravaca	maintenance	2012-11-16	-1.86343
Asia/Krasnoyarsk	58.23583	Lesosibirsk	average	12/04/2018, 00:00:00	92.48278
Asia/Shanghai	41.94175	Hushitai	maintenance	2014-10-28	123.50266
Asia/Manila	10.20898	Naga	accep	2012-11-11	123.758
Africa/Casablanca	33.42585	Oulmes	average	2020-11-24	-6.00137
Europe/Warsaw	50.20528	Jaworzno	good	31 Jan 2022	19.27498
Africa/Lagos	7.62789	Ilesa	accep	08 Feb 2019	4.74161
Asia/Baku	41.09246	Qazax	maintenance	2022/07/03	45.36561
Europe/Zagreb	43.50891	Split	excellent	2019-01-22	16.43915
America/Santiago	-33.59217	San Bernardo	excellent	04/26/2014, 00:00:00	-70.6996
Europe/Istanbul	39.59611	Edremit	accep	2022-03-25	27.02444
Asia/Yekaterinburg	54.48147	Oktyabr’skiy	excellent	29 Dec 2018	53.47103
Europe/London	53.19146	Winsford	average	01/28/2013, 00:00:00	-2.52398
America/New_York	41.14676	New Canaan	accep	07 Sep 2015	-73.49484
Asia/Tokyo	34.75856	Ueno-ebisumachi	good	05/23/2019, 00:00:00	136.13108
Indian/Reunion	-20.88231	Saint-Denis	excellent	16 Mar 2021	55.4504
America/New_York	41.0051	Scarsdale	average	09/10/2020, 00:00:00	-73.78458
Europe/Madrid	37.49073	Baza	excellent	10 May 2017	-2.77259
Europe/Madrid	37.49073	Baza	maintenance	2013-06-19	-2.77259
America/Mexico_City	19.8173	Teziutlan	good	02 Jun 2018	-97.35992
America/Santiago	-30.60106	Ovalle	excellent	01 Jan 2014	-71.19901
Europe/Paris	43.83125	Cavaillon	accep	10 May 2020	5.03586
Europe/Amsterdam	53.16167	Hoogezand	excellent	13 Apr 2021	6.76111
Asia/Shanghai	41.09822	Nanpiao	average	15 Apr 2015	120.74792
America/Mexico_City	16.75973	Tuxtla	good	23 Mar 2021	-93.11308
Asia/Tokyo	41.77583	Hakodate	average	09/07/2019, 00:00:00	140.73667
America/Argentina/Ushuaia	-54.8	Ushuaia	excellent	14 Sep 2019	-68.3
America/New_York	37.52487	Bon Air	excellent	28 Oct 2015	-77.55777
America/New_York	38.96372	Chillum	accep	23 Apr 2014	-76.99081
America/New_York	26.2173	North Lauderdale	accep	12/01/2018, 00:00:00	-80.22588
Africa/Gaborone	-21.44236	Tonota	accep	06/12/2021, 00:00:00	27.46153
America/Sao_Paulo	-19.32556	Resplendor	excellent	07/15/2021, 00:00:00	-41.25528
Europe/London	50.11861	Penzance	good	13 Aug 2021	-5.53715
America/Martinique	14.67751	Le Robert	accep	03 Jun 2021	-60.94228
Asia/Ho_Chi_Minh	10.29085	Sa Dec	average	2013/08/04	105.75635
Asia/Kolkata	34.08565	Srinagar	good	01/27/2019, 00:00:00	74.80555
America/New_York	43.91452	Brunswick	average	06/18/2016, 00:00:00	-69.96533
Europe/Moscow	53.93361	Kireyevsk	accep	12/18/2017, 00:00:00	37.92792
Asia/Tokyo	35.815	Shimotoda	good	2017/07/17	139.6853
Europe/Amsterdam	51.95838	Schiebroek	excellent	05/27/2019, 00:00:00	4.47124
America/Sao_Paulo	-23.44361	Sarandi	average	19 Jul 2020	-51.87389
America/Sao_Paulo	-21.41222	Miracema	maintenance	2015/02/05	-42.19667
Asia/Kolkata	26.44931	Rangia	good	2020/11/07	91.61356
Europe/Paris	48.8765	Rueil-Malmaison	excellent	05/31/2019, 00:00:00	2.18967
America/Chicago	45.0408	Columbia Heights	average	04/09/2022, 00:00:00	-93.263
America/Guatemala	14.93333	Chichicastenango	excellent	06 Apr 2021	-91.11667
Europe/Berlin	50.80904	Marburg an der Lahn	good	2021/11/08	8.77069
America/Chicago	35.25064	Searcy	excellent	22 Jan 2020	-91.73625
Africa/Maputo	-23.85972	Maxixe	good	2019/01/12	35.34722
Australia/Brisbane	-27.50578	Carindale	average	2013-10-17	153.10236
Europe/Istanbul	38.13708	Silvan	accep	22 Dec 2014	41.00817
Europe/Rome	43.78956	Ventimiglia	maintenance	10/18/2019, 00:00:00	7.60872
Europe/Madrid	43.31667	Gernika-Lumo	maintenance	2014/03/18	-2.68333
Africa/Nairobi	3.11988	Lodwar	good	29 Apr 2022	35.59642
Asia/Jakarta	-7.54972	Ngemplak	maintenance	26 Nov 2018	110.71639
Asia/Shanghai	27.92333	Pucheng	accep	24 Aug 2018	118.53333
Europe/Skopje	42	Saraj	building	19 Mar 2020	21.32778
Europe/London	51.65	Barnet	excellent	2016-01-21	-0.2
Europe/Amsterdam	52.09	Zeist	good	2018/07/01	5.23333
America/Los_Angeles	34.21639	Camarillo	accep	2012/10/13	-119.0376
America/New_York	41.48199	Lakewood	excellent	2018-08-30	-81.79819
America/New_York	26.2173	North Lauderdale	excellent	06/03/2016, 00:00:00	-80.22588
America/Caracas	10.22677	La Victoria	building	07/05/2021, 00:00:00	-67.33122
Africa/Accra	5.30383	Tarkwa	accep	2016-12-30	-1.98956
Europe/Warsaw	54.58048	Ustka	accep	10/07/2014, 00:00:00	16.86194
Asia/Shanghai	23.73333	Heyuan	building	2017/04/17	114.68333
Europe/Berlin	52.53048	Charlottenburg-Nord	excellent	24 Jun 2013	13.29371
Europe/London	53.49389	Mexborough	good	2020-03-19	-1.29243
Africa/Mogadishu	9.89206	Baki	accep	22 Apr 2014	43.38531
Africa/Dar_es_Salaam	-6.8	Magomeni	accep	2021-12-29	39.25
Atlantic/Azores	37.74615	Ponta Delgada	good	2015-08-17	-25.66689
Asia/Bangkok	13.44581	Phanat Nikhom	building	2013-03-18	101.18445
Europe/Madrid	43.48961	Ferrol	accep	24 Apr 2015	-8.2194
Asia/Karachi	31.82539	Sillanwali	accep	2019-09-16	72.54064
America/New_York	38.96372	Chillum	average	2020/05/18	-76.99081
America/Chicago	33.44872	Vestavia Hills	good	26 Mar 2013	-86.78777
Asia/Manila	10.13361	Maasin	accep	03 Aug 2015	124.84472
America/New_York	42.52787	Peabody	building	06/12/2022, 00:00:00	-70.92866
Europe/Volgograd	50.06	Mikhaylovka	accep	07/15/2015, 00:00:00	43.2379
America/New_York	41.48199	Lakewood	building	2022/03/27	-81.79819
America/Sao_Paulo	-28.81833	Soledade	good	11/18/2012, 00:00:00	-52.51028
Asia/Shanghai	36.19278	Laiwu	average	03 Aug 2014	117.65694
Indian/Antananarivo	-19.65	Antanifotsy	excellent	2019-11-30	47.31667
America/New_York	30.17746	Palm Valley	good	31 Oct 2017	-81.38758
Europe/London	51.78967	Clacton-on-Sea	average	06/01/2020, 00:00:00	1.15597
Asia/Manila	10.7375	Talisay	accep	2018-08-15	122.9666
America/New_York	41.55838	Collinwood	good	03/23/2022, 00:00:00	-81.56929
Pacific/Efate	-17.73648	Port-Vila	accep	02/09/2013, 00:00:00	168.31366
Europe/Istanbul	37.31309	Mardin	excellent	2015/07/07	40.74357
Africa/Dar_es_Salaam	-7.76667	Iringa	maintenance	2018/07/08	35.7
Europe/Prague	50.50301	Most	good	2017-12-24	13.63617
Indian/Antananarivo	-17.83333	Ambatondrazaka	good	12/04/2016, 00:00:00	48.41667
Asia/Kuching	5.90702	Donggongon	excellent	15 Mar 2019	116.10146
Africa/Casablanca	33.92866	Temara	good	19 Oct 2017	-6.90656
Europe/London	51.39323	Strood	good	01/04/2020, 00:00:00	0.47713
America/New_York	34.06635	Acworth	accep	19 Jun 2022	-84.67837
America/Managua	13.48082	Somoto	excellent	2015-10-23	-86.58208
America/Argentina/Tucuman	-27.4338	Aguilares	maintenance	12/09/2012, 00:00:00	-65.61427
Asia/Kolkata	11.50526	Sathyamangalam	accep	2021/08/15	77.23826
Africa/Dar_es_Salaam	-5.41667	Chanika	maintenance	2019/07/15	38.01667
Europe/Rome	45.78071	Portogruaro	building	2019-03-13	12.84052
Europe/Rome	41.55947	Campobasso	excellent	2013/10/09	14.66737
Europe/Brussels	51.21187	Beveren	average	2018/11/05	4.25633
Africa/Kinshasa	-4.5833	Kasangulu	excellent	04 Dec 2017	15.16554
Europe/Paris	48.79325	Fontenay-aux-Roses	accep	10/14/2021, 00:00:00	2.29275
Australia/Melbourne	-38.16604	Frankston South	accep	06 Sep 2014	145.13643
Europe/Moscow	55.38752	Naro-Fominsk	average	2018/09/12	36.73307
America/Havana	23.04419	Jaruco	good	2013/12/26	-82.00919
Africa/Algiers	36.76775	Cheraga	maintenance	03/22/2015, 00:00:00	2.95924
America/Havana	23.04419	Jaruco	good	2019-08-13	-82.00919
America/Sao_Paulo	-23.44361	Sarandi	building	04/05/2015, 00:00:00	-51.87389
America/New_York	28.90054	Deltona	good	2015/01/13	-81.26367
Europe/Madrid	37.35813	San Juan de Aznalfarache	accep	2019-05-17	-6.03731
Europe/Minsk	55.1904	Vitebsk	good	15 Jan 2014	30.2049
Asia/Bangkok	8.43333	Nakhon Si Thammarat	excellent	12/14/2020, 00:00:00	99.96667
America/Mexico_City	20.22816	Zacoalco de Torres	good	05/31/2013, 00:00:00	-103.5687
Asia/Baghdad	32.61603	Karbala	accep	12/15/2019, 00:00:00	44.02488
Europe/Moscow	57.97472	Valday	average	06 Dec 2016	33.2525
Europe/Rome	40.53123	Francavilla Fontana	good	01/29/2021, 00:00:00	17.58522
Asia/Yekaterinburg	58.7002	Kachkanar	good	2016/05/13	59.4839
America/New_York	26.68451	Belle Glade	excellent	2018-05-09	-80.66756
Asia/Bangkok	16.0567	Roi Et	average	14 Aug 2022	103.65309
Asia/Aden	14.53767	Ataq	accep	2015-08-31	46.83187
Asia/Kolkata	25.75728	Deoli	good	03/04/2019, 00:00:00	75.37991
Africa/Lagos	7.65649	Efon-Alaaye	building	19 Nov 2015	4.92235
Europe/Istanbul	40.37528	Mudanya	maintenance	03/06/2019, 00:00:00	28.88222
Europe/Istanbul	38.37255	Aksaray	average	05/26/2015, 00:00:00	34.02537
Asia/Kolkata	24.41288	Aklera	accep	26 Jul 2022	76.56719
Asia/Shanghai	34.86472	Zaozhuang	average	2020/01/16	117.55417
Asia/Kolkata	33.37526	Rajaori	excellent	2017-07-25	74.3092
Africa/Banjul	13.56667	Farafenni	good	28 Nov 2020	-15.6
Europe/Paris	48.98994	Herblay	good	2014-07-18	2.1699
America/Bahia	-15.675	Canavieiras	good	2021-05-29	-38.94722
America/Chicago	41.57721	West Des Moines	excellent	2019/07/28	-93.71133
Asia/Tokyo	36.53333	Nonoichi	excellent	13 Dec 2017	136.61667
Asia/Karachi	31.82539	Sillanwali	accep	2021-02-01	72.54064
Europe/Istanbul	37.58105	Serinhisar	excellent	2013/07/20	29.26639
Asia/Yerevan	40.49748	Hrazdan	good	2018-05-15	44.7662
Europe/Kiev	50.75932	Lutsk	building	2022/03/27	25.34244
America/Caracas	10.22677	La Victoria	average	03 Aug 2017	-67.33122
Europe/Amsterdam	51.65333	Vught	average	09/12/2015, 00:00:00	5.2875
America/Los_Angeles	38.54491	Davis	accep	2016-10-20	-121.74052
America/Toronto	45.43341	Beaconsfield	excellent	08/10/2017, 00:00:00	-73.86586
Asia/Tehran	35.6803	Shahre Jadide Andisheh	good	2015-02-26	51.0193
Europe/Bratislava	48.43174	Hlohovec	maintenance	2013-07-10	17.8031
Asia/Tashkent	40.78206	Andijon	average	12/22/2020, 00:00:00	72.34424
Asia/Kolkata	18.51957	Pune	maintenance	2015-06-24	73.85535
America/Edmonton	53.51684	Sherwood Park	building	2015-09-01	-113.3187
Europe/Copenhagen	55.67938	Frederiksberg	average	2022-05-04	12.53463
America/Bogota	10.15031	El Copey	good	01/19/2019, 00:00:00	-73.9614
America/Los_Angeles	34.09668	Claremont	average	19 May 2019	-117.71978
Africa/Windhoek	-21.98333	Okahandja	maintenance	2015/09/02	16.91667
America/Chicago	42.55308	Pleasant Prairie	maintenance	2017-08-14	-87.93341
America/Chicago	30.5427	Hutto	average	04/18/2016, 00:00:00	-97.54667
Australia/Sydney	-34.88422	Nowra	building	12/01/2021, 00:00:00	150.60036
America/Los_Angeles	33.72255	Palm Desert	excellent	2022-09-17	-116.37697
Asia/Hebron	31.78336	East Jerusalem	good	2013/05/11	35.23388
Asia/Kolkata	22.75218	Kheda	excellent	2018/03/24	72.68533
Europe/Lisbon	38.72706	Carnaxide	accep	22 Mar 2018	-9.24671
America/Edmonton	53.51684	Sherwood Park	excellent	2017/01/23	-113.3187
Indian/Antananarivo	-21.15	Ikalamavony	excellent	2020/05/29	46.58333
Europe/Dublin	53.43333	Athlone	excellent	2018/11/08	-7.95
America/El_Salvador	13.73417	Sonzacate	average	2015-10-10	-89.71472
Africa/Lagos	4.92675	Yenagoa	good	11 Dec 2012	6.26764
Indian/Antananarivo	-21.15	Ikalamavony	excellent	02/09/2022, 00:00:00	46.58333
Europe/Berlin	53.6052	Barmbek-Nord	average	04/15/2016, 00:00:00	10.03988
America/Chicago	32.5007	Longview	excellent	2019/05/06	-94.74049
Pacific/Efate	-17.73648	Port-Vila	excellent	20 Jan 2016	168.31366
America/Panama	8.88988	Veracruz	excellent	11/20/2017, 00:00:00	-79.62603
America/Chicago	41.84364	South Lawndale	accep	16 Feb 2013	-87.71255
Asia/Manila	10.31672	Cebu City	average	2022/06/01	123.89071
Africa/Tunis	36.46917	Beni Khiar	maintenance	2022-09-02	10.78222
Europe/Rome	42.22718	Lanciano	good	18 May 2015	14.39024
Europe/Madrid	41.91738	Palafrugell	maintenance	2016/12/26	3.1631
America/Mexico_City	19.32932	Contla	good	18 Aug 2015	-98.1664
America/Bogota	7.83389	Villa del Rosario	accep	02/23/2017, 00:00:00	-72.47417
America/Santiago	-36.9256	Chiguayante	accep	2015-06-27	-73.02841
Europe/Paris	43.61058	Colomiers	building	22 May 2018	1.33467
America/New_York	40.82232	Nutley	maintenance	06 Jan 2018	-74.15987
America/Argentina/Ushuaia	-54.8	Ushuaia	accep	2016/09/14	-68.3
Europe/Samara	53.37596	Otradnyy	accep	2017-10-24	51.3452
America/Santiago	-32.45242	La Ligua	average	2020-09-30	-71.23106
Europe/Moscow	54.03876	Kovylkino	good	04/21/2015, 00:00:00	43.91385
America/Sao_Paulo	-28.24	Imbituba	excellent	18 Nov 2017	-48.67028
Africa/Lagos	4.92675	Yenagoa	accep	2018-10-11	6.26764
Africa/Abidjan	5.84752	Lakota	excellent	13 Jul 2021	-5.682
America/Bahia	-12.91667	Muritiba	average	2022/07/29	-39.25
America/Chicago	29.84576	Estelle	average	09 Jul 2017	-90.10674
Europe/Madrid	41.91738	Palafrugell	excellent	2021/06/25	3.1631
Europe/Berlin	49.97704	Aschaffenburg	accep	28 Apr 2014	9.15214
Africa/Blantyre	-13.7804	Salima	maintenance	26 Aug 2016	34.4587
Europe/Moscow	55.62047	Tyoply Stan	average	08/07/2015, 00:00:00	37.49338
Asia/Kolkata	26.76628	Gorakhpur	excellent	2015/01/05	83.36889
Europe/Berlin	50.80019	Siegburg	average	28 Dec 2017	7.20769
America/Lima	-3.74912	Iquitos	average	04/12/2013, 00:00:00	-73.25383
America/Detroit	42.7392	Waverly	average	2019-04-01	-84.62081
Asia/Kolkata	11.50526	Sathyamangalam	average	2021-07-11	77.23826
Asia/Kolkata	22.19303	Diamond Harbour	excellent	01 Oct 2019	88.18466
Asia/Manila	10.13361	Maasin	accep	2013-07-19	124.84472
Europe/Berlin	52.47774	Gifhorn	average	18 Nov 2017	10.5511
America/New_York	39.08367	Covington	average	09 Jan 2014	-84.50855
America/Los_Angeles	33.7207	Indio	accep	12/20/2018, 00:00:00	-116.21677
Asia/Shanghai	30.24706	Huangshi	average	11/18/2017, 00:00:00	115.04814
Asia/Almaty	43.41949	Otegen Batyra	building	01/23/2013, 00:00:00	77.0202
Europe/Moscow	54.84444	Kashira	excellent	09 Nov 2016	38.16694
Europe/Rome	45.44694	Novara	average	2016/07/25	8.62118
America/Sao_Paulo	-21.41222	Miracema	excellent	2012/10/16	-42.19667
America/Tegucigalpa	15.48131	Olanchito	maintenance	2018/02/28	-86.57415
America/New_York	42.58342	Fitchburg	accep	08 Feb 2021	-71.8023
Asia/Manila	14.95472	Baliuag	excellent	2022/03/17	120.89694
America/New_York	41.14676	New Canaan	good	2022/01/09	-73.49484
America/Martinique	14.67751	Le Robert	building	2017/06/15	-60.94228
America/Los_Angeles	34.95303	Santa Maria	excellent	15 Mar 2021	-120.43572
Asia/Jakarta	-6.48167	Cibinong	excellent	2019/12/11	106.85417
Europe/Berlin	52.2	Kirchlengern	excellent	2014/06/22	8.63333
Africa/Addis_Ababa	6.03333	Arba Minch	average	12/01/2017, 00:00:00	37.55
America/Maceio	-10.91111	Aracaju	average	14 May 2014	-37.07167
Europe/Berlin	51.20219	Radevormwald	average	2021-03-14	7.36027
Africa/Casablanca	34.31	Jerada	good	05 May 2018	-2.16
America/Costa_Rica	10.63504	Liberia	accep	2019-11-04	-85.43772
Pacific/Auckland	-44.39672	Timaru	good	08 Sep 2017	171.25364
America/El_Salvador	13.70167	Ilopango	excellent	08 Jul 2019	-89.10944
Asia/Tokyo	34.61667	Yao	average	2013-08-13	135.6
America/Havana	23.0072	Boyeros	accep	2018/11/03	-82.4017
Europe/Berlin	50.23805	Nidderau	accep	12/22/2013, 00:00:00	8.86704
America/Argentina/Buenos_Aires	-37.32167	Tandil	accep	2017/07/04	-59.13316
Europe/London	51.78967	Clacton-on-Sea	accep	2022-03-06	1.15597
Asia/Seoul	36.6009	Hongseong	maintenance	05 Feb 2020	126.665
Asia/Shanghai	34.65918	Yanliang	excellent	2016/01/04	109.22921
Asia/Kolkata	30.81383	Moga	good	2021/12/28	75.16878
America/Port-au-Prince	18.65297	Thomazeau	excellent	2019/10/11	-72.09391
Europe/Prague	50.50301	Most	good	07/09/2020, 00:00:00	13.63617
America/Porto_Velho	-8.76194	Porto Velho	building	2017/05/27	-63.90389
Asia/Shanghai	27.85	Xiangtan	excellent	2019-11-13	112.9
Europe/London	53.83333	Poulton-le-Fylde	maintenance	2019-04-02	-2.98333
Atlantic/Canary	27.76056	Maspalomas	average	03/16/2015, 00:00:00	-15.58602
Asia/Tokyo	34.4833	Toba	accep	2018-12-23	136.84186
Asia/Shanghai	37.19723	Tianfu	good	2017/06/27	122.05228
America/Guayaquil	-2.90055	Cuenca	maintenance	15 Mar 2016	-79.00453
Asia/Kolkata	28.98002	Meerut	building	17 Apr 2019	77.70636
Europe/Istanbul	39.22493	Patnos	good	2021/02/18	42.85693
Europe/Paris	43.2907	Marseille 11	excellent	15 Feb 2021	5.4384
Europe/Berlin	51.88333	Verl	good	05/20/2014, 00:00:00	8.51667
Africa/Bangui	4.94273	Carnot	accep	2015-06-11	15.87735
Europe/Moscow	53.53395	Zhukovka	average	09/20/2022, 00:00:00	33.72798
America/New_York	26.91756	Punta Gorda Isles	excellent	2020-10-01	-82.07842
Europe/London	50.79205	Southsea	average	30 Jan 2019	-1.08593
Australia/Sydney	-33.88096	Strathfield	good	17 Nov 2020	151.07986
Australia/Sydney	-33.79176	Eastwood	good	11/01/2019, 00:00:00	151.08057
Asia/Shanghai	45.75279	Boli	building	2017-02-02	130.57211
America/Sao_Paulo	-22.53722	Guapimirim	excellent	2014-08-08	-42.98194
America/Toronto	43.86682	Markham	average	2015-06-06	-79.2663
Europe/Berlin	48.49144	Reutlingen	excellent	02/12/2020, 00:00:00	9.20427
Europe/Paris	46.67535	Lons-le-Saunier	excellent	2017-10-20	5.55575
Asia/Tokyo	36.53333	Nonoichi	good	2017/06/05	136.61667
Europe/Madrid	43.31667	Gernika-Lumo	maintenance	08 Mar 2019	-2.68333
Europe/Amsterdam	51.955	Culemborg	maintenance	2014/01/25	5.22778
Europe/Rome	45.53069	Gorgonzola	average	04 Apr 2015	9.40531
Europe/Berlin	53.6052	Barmbek-Nord	accep	2017-09-09	10.03988
America/Maceio	-10.91722	Lagarto	maintenance	2019-06-04	-37.65
Asia/Seoul	36.6009	Hongseong	average	2016/02/23	126.665
Europe/Paris	43.83125	Cavaillon	building	05/31/2018, 00:00:00	5.03586
Asia/Kolkata	10.58806	Udumalaippettai	accep	2013-06-17	77.24779
Africa/Libreville	-1.63333	Franceville	excellent	03/07/2015, 00:00:00	13.58357
America/Los_Angeles	37.71715	Visitacion Valley	average	21 Nov 2013	-122.40433
America/Los_Angeles	33.95015	South Whittier	excellent	27 Jan 2016	-118.03917
Europe/Moscow	53.59782	Dyat’kovo	good	2017-05-30	34.33825
Asia/Kolkata	9.57046	Kalavoor	accep	2015-01-23	76.32756
Asia/Aden	14.53767	Ataq	accep	2018-11-15	46.83187
Indian/Antananarivo	-22.9	Sakaraha	excellent	2017-03-03	44.53333
Europe/Paris	41.91886	Ajaccio	accep	07/10/2021, 00:00:00	8.73812
Europe/Dublin	53.43333	Athlone	accep	09 Nov 2018	-7.95
America/Vancouver	50.26729	Vernon	excellent	2018-05-17	-119.27337
Europe/Skopje	42	Saraj	excellent	2015-04-15	21.32778
America/New_York	27.09978	Venice	accep	09/29/2012, 00:00:00	-82.45426
Asia/Tbilisi	41.82143	Kobuleti	accep	08 Oct 2017	41.77921
Asia/Karachi	32.87533	Daud Khel	accep	2021-10-06	71.57118
America/Chicago	33.41012	Greenville	maintenance	2021-08-01	-91.06177
America/New_York	30.17746	Palm Valley	excellent	03/22/2016, 00:00:00	-81.38758
Asia/Kolkata	23.49668	Adra	excellent	2013-06-06	86.68363
Africa/Johannesburg	-27.76952	Vryheid	average	06/02/2013, 00:00:00	30.79165
Africa/Conakry	9.535	Camayenne	good	12 Aug 2020	-13.68778
Asia/Kolkata	22.4711	Pujali	building	07/09/2015, 00:00:00	88.1453
Asia/Yangon	16.68911	Myawadi	excellent	03/12/2013, 00:00:00	98.50893
Asia/Yangon	17.30858	Kyaikto	maintenance	2013-01-27	97.01124
Africa/Niamey	13.70727	Mirriah	average	02/04/2014, 00:00:00	9.15013
Europe/Berlin	50.82709	Wesseling	accep	2020/10/02	6.9747
Europe/Kiev	46.75451	Nova Kakhovka	average	2014/02/21	33.34864
Asia/Kolkata	26.2649	Jais	accep	02/02/2013, 00:00:00	81.54855
