station	longitude	QoS	location	latitude	revision
Barras	-42.29444	excellent	America/Fortaleza	-4.24444	09/09/2022, 00:00:00
Custoias	-7.32097	good	Europe/Lisbon	41.1053	10/07/2019, 00:00:00
New City	-87.65644	good	America/Chicago	41.80753	2021/09/29
Gates-North Gates	-77.70066	accep	America/New_York	43.16547	18 Dec 2013
Ajdabiya	20.22625	average	Africa/Tripoli	30.75545	08/24/2018, 00:00:00
Fairview Heights	-89.99038	average	America/Chicago	38.58894	2012-12-21
Sirsi	74.83554	accep	Asia/Kolkata	14.62072	30 Jul 2013
Muncar	114.33333	building	Asia/Jakarta	-8.43333	03/04/2022, 00:00:00
Kuvandyk	57.3552	accep	Asia/Yekaterinburg	51.4781	2013-05-09
San Giuliano Milanese	9.29109	good	Europe/Rome	45.39402	2013-06-24
Ragusa	14.72443	average	Europe/Rome	36.92574	01 Jan 2020
Motomachi	144.09638	building	Asia/Tokyo	43.82634	25 Oct 2015
Standerton	29.24152	good	Africa/Johannesburg	-26.93366	2013-11-06
Chiavari	9.32241	maintenance	Europe/Rome	44.31771	2021/10/27
Cibinong	106.85417	excellent	Asia/Jakarta	-6.48167	01/12/2013, 00:00:00
Nikolayevsk-on-Amure	140.72287	maintenance	Asia/Vladivostok	53.14657	2019-12-19
Pontevedra	-58.70072	good	America/Argentina/Buenos_Aires	-34.74785	01/13/2019, 00:00:00
Pune	73.85535	average	Asia/Kolkata	18.51957	12 Feb 2016
Taozhuang	117.33333	average	Asia/Shanghai	34.85	2020/10/21
Ushuaia	-68.3	average	America/Argentina/Ushuaia	-54.8	06/23/2017, 00:00:00
Rafaela	-61.4867	maintenance	America/Argentina/Cordoba	-31.25033	08 Jun 2019
Herblay	2.1699	good	Europe/Paris	48.98994	13 Jan 2016
Mokopane	29.00974	excellent	Africa/Johannesburg	-24.19436	2018-10-06
Eastwood	151.08057	average	Australia/Sydney	-33.79176	2020-02-29
Espoo	24.6522	average	Europe/Helsinki	60.2052	16 Mar 2015
Thenia	3.55665	excellent	Africa/Algiers	36.72544	09/07/2017, 00:00:00
Milledgeville	-83.2321	building	America/New_York	33.08014	01/27/2020, 00:00:00
Chanika	38.01667	maintenance	Africa/Dar_es_Salaam	-5.41667	2021-09-25
Jambi City	103.61667	accep	Asia/Jakarta	-1.6	2017/01/11
Pandua	88.28637	excellent	Asia/Kolkata	23.07492	12/06/2017, 00:00:00
Kobuleti	41.77921	good	Asia/Tbilisi	41.82143	05/02/2021, 00:00:00
Neuburg an der Donau	11.18709	average	Europe/Berlin	48.73218	22 Mar 2013
Pilar	120.56528	accep	Asia/Manila	14.66	04/06/2017, 00:00:00
Yasothon	104.1451	good	Asia/Bangkok	15.79408	07/31/2019, 00:00:00
Silvan	41.00817	building	Europe/Istanbul	38.13708	04/30/2016, 00:00:00
Columbia Heights	-93.263	accep	America/Chicago	45.0408	08 Feb 2014
Canavieiras	-38.94722	good	America/Bahia	-15.675	2014/07/09
el Camp de l'Arpa del Clot	2.18247	excellent	Europe/Madrid	41.41204	26 Oct 2015
Nova Xavantina	-52.35558	maintenance	America/Cuiaba	-14.66463	08 Dec 2019
Winsford	-2.52398	good	Europe/London	53.19146	2013/10/21
Mexborough	-1.29243	good	Europe/London	53.49389	2021/11/10
Talisay	122.9666	good	Asia/Manila	10.7375	2014/09/18
Jais	81.54855	good	Asia/Kolkata	26.2649	21 May 2018
Durazno	-56.52361	excellent	America/Montevideo	-33.38056	2019-03-26
Kidodi	37.00438	excellent	Africa/Dar_es_Salaam	-7.60361	2021/02/19
Estelle	-90.10674	average	America/Chicago	29.84576	2013/09/26
Bryn Mawr-Skyway	-122.24092	building	America/Los_Angeles	47.4943	2015-12-31
Colomiers	1.33467	accep	Europe/Paris	43.61058	2021/05/19
Chilibre	-79.62098	excellent	America/Panama	9.15093	04/19/2021, 00:00:00
Dobrush	31.3237	average	Europe/Minsk	52.4089	2016/09/16
Buenaventura	-77.03116	average	America/Bogota	3.8801	2022/05/18
An Muileann gCearr	-7.35	average	Europe/Dublin	53.53333	04 Feb 2017
Mount Hagen	144.23058	average	Pacific/Port_Moresby	-5.85746	19 Dec 2014
Ukmerge	24.75	accep	Europe/Vilnius	55.25	03/22/2015, 00:00:00
Ventimiglia	7.60872	average	Europe/Rome	43.78956	12/01/2013, 00:00:00
Nova Kakhovka	33.34864	accep	Europe/Kiev	46.75451	2013/02/03
San Bernardo	-70.6996	excellent	America/Santiago	-33.59217	2018/11/01
Wacheng	114.51667	good	Asia/Shanghai	33.78333	2017/07/21
Farafenni	-15.6	excellent	Africa/Banjul	13.56667	03 Mar 2014
Carlos Barbosa	-51.50361	accep	America/Sao_Paulo	-29.2975	2013/05/21
Siliana	9.37082	excellent	Africa/Tunis	36.08497	05/21/2015, 00:00:00
Iwade	135.31667	good	Asia/Tokyo	34.25	27 Aug 2018
Carnot	15.87735	accep	Africa/Bangui	4.94273	24 Jun 2018
Split	16.43915	building	Europe/Zagreb	43.50891	15 Jun 2017
Elbeuf	1.00288	average	Europe/Paris	49.28669	29 Sep 2018
Sterling	-77.4286	building	America/New_York	39.00622	12/04/2017, 00:00:00
Kheda	72.68533	accep	Asia/Kolkata	22.75218	2013/09/13
Chichicastenango	-91.11667	excellent	America/Guatemala	14.93333	21 Jul 2013
Biu	12.19458	building	Africa/Lagos	10.61285	01 Mar 2014
Kingston upon Hull	-0.33525	good	Europe/London	53.7446	2019/11/27
Malakhovka	38.02486	accep	Europe/Moscow	55.64776	2014-12-05
Bothell West	-122.24064	maintenance	America/Los_Angeles	47.80527	2017/12/21
Veracruz	-79.62603	maintenance	America/Panama	8.88988	24 Aug 2018
Fitchburg	-71.8023	average	America/New_York	42.58342	2017/04/17
Santa Maria	-120.43572	good	America/Los_Angeles	34.95303	03/17/2020, 00:00:00
Mira Mesa	-117.14392	building	America/Los_Angeles	32.9156	09/16/2015, 00:00:00
Tarakan	117.59152	building	Asia/Makassar	3.31332	2014-10-17
Kahului	-156.47432	maintenance	Pacific/Honolulu	20.88953	12/22/2013, 00:00:00
Arba Minch	37.55	good	Africa/Addis_Ababa	6.03333	2016-12-01
Naro-Fominsk	36.73307	average	Europe/Moscow	55.38752	2017/04/17
Shushary	30.38167	maintenance	Europe/Moscow	59.80917	02/08/2022, 00:00:00
Frankston South	145.13643	excellent	Australia/Melbourne	-38.16604	19 Dec 2020
San Juan	-98.15529	accep	America/Chicago	26.18924	2017-06-21
Boli	130.57211	maintenance	Asia/Shanghai	45.75279	15 Feb 2014
Kolomyagi	30.28491	good	Europe/Moscow	60.02427	2016/06/17
Haicheng	122.74754	excellent	Asia/Shanghai	40.85158	2015-12-31
Palmeira	-50.00639	building	America/Sao_Paulo	-25.42944	2013-10-26
Strood	0.47713	average	Europe/London	51.39323	2012-11-30
Biu	12.19458	building	Africa/Lagos	10.61285	2012-12-29
Palafrugell	3.1631	building	Europe/Madrid	41.91738	30 Nov 2012
Hlukhiv	33.9162	maintenance	Europe/Kiev	51.67822	10/27/2021, 00:00:00
Andijon	72.34424	good	Asia/Tashkent	40.78206	2013/12/19
Jaworzno	19.27498	average	Europe/Warsaw	50.20528	02 Jan 2015
Kearns	-111.99633	accep	America/Denver	40.65995	09/09/2013, 00:00:00
Sungurlu	34.37389	accep	Europe/Istanbul	40.1675	2017/07/10
Hongseong	126.665	average	Asia/Seoul	36.6009	2013/04/13
Jalal-Abad	73	building	Asia/Bishkek	40.93333	2017/02/25
Glendale	-118.25508	excellent	America/Los_Angeles	34.14251	21 Jan 2015
Fontenay-aux-Roses	2.29275	good	Europe/Paris	48.79325	2013/06/25
Manikchari	91.84128	good	Asia/Dhaka	22.83957	12/09/2019, 00:00:00
Mesagne	17.80774	accep	Europe/Rome	40.55851	2014-03-02
Antipolo	121.12251	good	Asia/Manila	14.62578	12/21/2017, 00:00:00
Teghra	85.94001	average	Asia/Kolkata	25.49043	14 Nov 2016
Kasangulu	15.16554	average	Africa/Kinshasa	-4.5833	03 May 2022
Kulai	103.6032	good	Asia/Kuala_Lumpur	1.6561	2020/03/30
Igbara-Odo	5.06258	average	Africa/Lagos	7.50251	2013/02/23
Alwaye	76.35484	accep	Asia/Kolkata	10.10649	2014-11-22
Marau	-52.2	average	America/Sao_Paulo	-28.44917	03/09/2016, 00:00:00
Isfahan	51.67462	good	Asia/Tehran	32.65246	07/27/2016, 00:00:00
Stupino	38.07083	good	Europe/Moscow	54.90083	08/08/2013, 00:00:00
Taunton	-71.08977	maintenance	America/New_York	41.9001	16 Mar 2022
Arzamas	43.83992	building	Europe/Moscow	55.39485	2020/01/19
Simpang	104.09701	accep	Asia/Jakarta	-1.26424	2022-07-25
Emmeloord	5.74861	average	Europe/Amsterdam	52.71083	2015/11/07
Ueno-ebisumachi	136.13108	accep	Asia/Tokyo	34.75856	2017-02-06
Naushahra Virkan	73.97117	building	Asia/Karachi	31.96258	2022-09-26
Pameungpeuk	107.60389	average	Asia/Jakarta	-7.01833	08 Jun 2016
Santa Cruz de Barahona	-71.10077	average	America/Santo_Domingo	18.20854	27 Apr 2017
Pameungpeuk	107.60389	excellent	Asia/Jakarta	-7.01833	2012-12-17
Minokamo	137.02166	good	Asia/Tokyo	35.48199	2013-05-23
Tianfu	122.05228	good	Asia/Shanghai	37.19723	2017/06/03
Kushtia	89.11943	accep	Asia/Dhaka	23.9028	2020-04-16
Iquitos	-73.25383	excellent	America/Lima	-3.74912	01/20/2019, 00:00:00
Srinagar	74.80555	accep	Asia/Kolkata	34.08565	12/03/2021, 00:00:00
Diamond Harbour	88.18466	excellent	Asia/Kolkata	22.19303	05/12/2016, 00:00:00
Balikpapan	116.82887	good	Asia/Makassar	-1.26753	2021-10-04
Kidodi	37.00438	good	Africa/Dar_es_Salaam	-7.60361	2014-02-06
Hermsdorf	13.31783	building	Europe/Berlin	52.61131	2020-04-27
Ragusa	14.72443	accep	Europe/Rome	36.92574	2020/07/26
Claremont	-117.71978	average	America/Los_Angeles	34.09668	2012/10/23
Manjeri	76.11996	good	Asia/Kolkata	11.12018	2018-06-15
Novopavlovsk	43.63417	good	Europe/Moscow	43.96222	15 Sep 2014
Qazax	45.36561	accep	Asia/Baku	41.09246	2017/10/17
Waterbury	-73.0515	accep	America/New_York	41.55815	21 Jun 2021
Busia	34.11169	excellent	Africa/Nairobi	0.46005	2019/05/12
Lexington	-81.23621	excellent	America/New_York	33.98154	07/17/2016, 00:00:00
Oschatz	13.10984	good	Europe/Berlin	51.30001	2013-10-18
Tarakan	117.59152	average	Asia/Makassar	3.31332	2013/08/02
Recife	-34.88111	building	America/Recife	-8.05389	11/24/2019, 00:00:00
Mesagne	17.80774	maitennce	Europe/Rome	40.55851	2019/11/07
Segundo Ensanche	-1.64295	good	Europe/Madrid	42.8139	2022-02-11
El Copey	-73.9614	excellent	America/Bogota	10.15031	24 Oct 2017
Messaad	3.50309	accep	Africa/Algiers	34.15429	08/02/2016, 00:00:00
Belper	-1.48119	maintenance	Europe/London	53.0233	2016/12/12
High Wycombe	-0.74934	excellent	Europe/London	51.62907	29 Oct 2019
San Lorenzo Acopilco	-99.32556	building	America/Mexico_City	19.32889	31 Aug 2020
High Wycombe	-0.74934	good	Europe/London	51.62907	2020/11/02
Calangute	73.7553	building	Asia/Kolkata	15.5439	17 Jul 2015
Tianfu	122.05228	average	Asia/Shanghai	37.19723	2014-08-13
Chapletown	-1.47217	maintenance	Europe/London	53.46506	2016-08-05
Myawadi	98.50893	accep	Asia/Yangon	16.68911	2021/03/19
Krymsk	37.99117	accep	Europe/Moscow	44.92934	2020/11/19
Sector 6	26.01649	good	Europe/Bucharest	44.43579	30 Sep 2013
Saharsa	86.59611	excellent	Asia/Kolkata	25.87498	10/04/2021, 00:00:00
Schiebroek	4.47124	excellent	Europe/Amsterdam	51.95838	11 Oct 2012
Lons-le-Saunier	5.55575	accep	Europe/Paris	46.67535	2015-07-03
Corralillo	-80.58556	maintenance	America/Havana	22.98212	2014/03/20
Santa Gertrudes	-47.53028	maintenance	America/Sao_Paulo	-22.45667	12/09/2013, 00:00:00
Manaoag	120.4861	average	Asia/Manila	16.0438	2014/11/28
Valence	4.8951	good	Europe/Paris	44.92801	30 Jun 2015
Resplendor	-41.25528	building	America/Sao_Paulo	-19.32556	2013-11-27
Ulu Tiram	103.81667	excellent	Asia/Kuala_Lumpur	1.6	2013/02/17
Milagro	-79.59415	accep	America/Guayaquil	-2.13404	2021/06/15
Hoxtolgay	86.00214	accep	Asia/Urumqi	46.51872	2019/12/12
Nova Kakhovka	33.34864	average	Europe/Kiev	46.75451	2021/03/05
Soroca	28.28489	accep	Europe/Chisinau	48.15659	06/22/2013, 00:00:00
Balikpapan	116.82887	accep	Asia/Makassar	-1.26753	17 Jun 2013
Longview	-94.74049	accep	America/Chicago	32.5007	04/06/2022, 00:00:00
Copperas Cove	-97.90308	maintenance	America/Chicago	31.12406	18 Jan 2017
Sterling	-77.4286	accep	America/New_York	39.00622	05 Sep 2018
New Yekepa	-8.53778	accep	Africa/Monrovia	7.57944	2021/02/12
Charlottenburg-Nord	13.29371	building	Europe/Berlin	52.53048	2013-09-18
Santa Cruz de Barahona	-71.10077	building	America/Santo_Domingo	18.20854	02 May 2020
Beidao	105.89333	excellent	Asia/Shanghai	34.56861	2014/10/31
Villa del Rosario	-72.47417	good	America/Bogota	7.83389	07 Mar 2014
Farafenni	-15.6	excellent	Africa/Banjul	13.56667	11/07/2020, 00:00:00
Beryozovsky	60.8019	average	Asia/Yekaterinburg	56.9083	2012-12-26
Bushey	-0.36053	maintenance	Europe/London	51.64316	2013-05-10
Sambalpur	83.97573	good	Asia/Kolkata	21.46527	07/11/2014, 00:00:00
Heyuan	114.68333	maintenance	Asia/Shanghai	23.73333	2016/07/16
Afragola	14.30935	maitennce	Europe/Rome	40.92298	2021/01/02
Ambatondrazaka	48.41667	excellent	Indian/Antananarivo	-17.83333	2022/07/30
Hlukhiv	33.9162	maintenance	Europe/Kiev	51.67822	2018/07/07
Mira Mesa	-117.14392	accep	America/Los_Angeles	32.9156	2017/09/03
Sun City Center	-82.35176	excellent	America/New_York	27.71809	12/11/2014, 00:00:00
Temara	-6.90656	building	Africa/Casablanca	33.92866	2019-11-30
North Tustin	-117.79394	average	America/Los_Angeles	33.76446	2014/12/12
Beryozovsky	60.8019	good	Asia/Yekaterinburg	56.9083	07/28/2022, 00:00:00
Maxixe	35.34722	maintenance	Africa/Maputo	-23.85972	01/25/2020, 00:00:00
Roseto degli Abruzzi	14.01481	average	Europe/Rome	42.67164	07/06/2015, 00:00:00
Recife	-34.88111	excellent	America/Recife	-8.05389	05/25/2013, 00:00:00
Zaozhuang	117.55417	average	Asia/Shanghai	34.86472	14 Apr 2021
Pleasant Prairie	-87.93341	maintenance	America/Chicago	42.55308	06/21/2022, 00:00:00
Jiangyan	120.14278	accep	Asia/Shanghai	32.50611	16 Jan 2021
Paredes	-8.33147	good	Europe/Lisbon	41.20485	2020/01/14
Andijon	72.34424	good	Asia/Tashkent	40.78206	31 Mar 2014
Komono	136.51667	good	Asia/Tokyo	35	17 Apr 2020
Betamcherla	78.14797	excellent	Asia/Kolkata	15.45144	07/09/2019, 00:00:00
Mokopane	29.00974	excellent	Africa/Johannesburg	-24.19436	29 Jan 2020
Krymsk	37.99117	average	Europe/Moscow	44.92934	04/06/2021, 00:00:00
Smolyan	24.71204	average	Europe/Sofia	41.57439	2021/11/02
Onex	6.10237	good	Europe/Zurich	46.18396	2016/01/13
Woodbridge	-74.28459	average	America/New_York	40.5576	12 Dec 2017
Bordj Zemoura	4.85668	accep	Africa/Algiers	36.27462	2019/01/14
Lanciano	14.39024	maintenance	Europe/Rome	42.22718	04 Oct 2012
Norfolk County	-80.38297	good	America/Toronto	42.8334	2018/05/04
Lutsk	25.34244	good	Europe/Kiev	50.75932	2013-01-31
Gorakhpur	83.36889	average	Asia/Kolkata	26.76628	21 Dec 2012
Zvenihorodka	30.96755	average	Europe/Kiev	49.07866	07/05/2016, 00:00:00
Jais	81.54855	excellent	Asia/Kolkata	26.2649	2016-05-19
Nova Xavantina	-52.35558	building	America/Cuiaba	-14.66463	2015-11-08
Gua Musang	101.96857	average	Asia/Kuala_Lumpur	4.88441	2013/02/01
Mechanicsville	-77.37331	accep	America/New_York	37.60876	03 Aug 2017
Belle Glade	-80.66756	average	America/New_York	26.68451	11 Jul 2021
Maxixe	35.34722	maintenance	Africa/Maputo	-23.85972	07/30/2018, 00:00:00
Aklera	76.56719	good	Asia/Kolkata	24.41288	2019/07/15
Alwaye	76.35484	excellent	Asia/Kolkata	10.10649	16 Jun 2014
Farafenni	-15.6	accep	Africa/Banjul	13.56667	2020-07-26
Taozhuang	117.33333	accep	Asia/Shanghai	34.85	2019-06-24
Guapimirim	-42.98194	good	America/Sao_Paulo	-22.53722	2013/12/23
Zhukovka	33.72798	good	Europe/Moscow	53.53395	12 Jul 2018
Licheng	113.82465	accep	Asia/Shanghai	23.29549	2018/12/11
Siliana	9.37082	building	Africa/Tunis	36.08497	16 Nov 2015
Gandia	-0.18333	accep	Europe/Madrid	38.96667	27 Sep 2017
Sirsi	74.83554	accep	Asia/Kolkata	14.62072	10/21/2021, 00:00:00
Aracaju	-37.07167	maintenance	America/Maceio	-10.91111	2018-11-24
Bar-le-Duc	5.16108	good	Europe/Paris	48.77275	11 Jan 2018
Chiguayante	-73.02841	average	America/Santiago	-36.9256	2014/08/06
La Garenne-Colombes	2.2469	average	Europe/Paris	48.90472	09/04/2019, 00:00:00
Volla	14.34085	building	Europe/Rome	40.87363	2014/09/11
Abilene	-99.73314	accep	America/Chicago	32.44874	06/28/2015, 00:00:00
Landshut	12.16179	excellent	Europe/Berlin	48.52961	05/28/2013, 00:00:00
Balikpapan	116.82887	average	Asia/Makassar	-1.26753	03/23/2014, 00:00:00
Maryborough	152.70493	good	Australia/Brisbane	-25.54073	04 Aug 2017
New Yekepa	-8.53778	average	Africa/Monrovia	7.57944	2018-10-19
San Bernardo	-70.6996	accep	America/Santiago	-33.59217	2016/06/17
Aksaray	34.02537	good	Europe/Istanbul	38.37255	12 Dec 2016
Floridsdorf	16.4	good	Europe/Vienna	48.25	2014/02/20
New City	-87.65644	good	America/Chicago	41.80753	2022-02-16
Korschenbroich	6.51352	maintenance	Europe/Berlin	51.19139	04 Jun 2015
Santa Cruz de Barahona	-71.10077	excellent	America/Santo_Domingo	18.20854	24 Mar 2015
Dehiwala-Mount Lavinia	79.87116	maintenance	Asia/Colombo	6.84019	2021/04/25
Somma Vesuviana	14.43865	average	Europe/Rome	40.87329	30 Jul 2018
Lagarto	-37.65	excellent	America/Maceio	-10.91722	2017-05-14
Ghat	10.18003	excellent	Africa/Tripoli	24.96334	2019/09/08
Southsea	-1.08593	average	Europe/London	50.79205	2018/09/11
Carnegie	145.06667	maintenance	Australia/Melbourne	-37.88333	05/28/2021, 00:00:00
Kashira	38.16694	maintenance	Europe/Moscow	54.84444	02/28/2019, 00:00:00
Albstadt	9.02596	maintenance	Europe/Berlin	48.21644	28 Aug 2021
Isfahan	51.67462	excellent	Asia/Tehran	32.65246	03/21/2016, 00:00:00
Thomazeau	-72.09391	average	America/Port-au-Prince	18.65297	28 Nov 2012
Arbroath	-2.58736	average	Europe/London	56.56317	2017/11/04
Aguadilla	-67.15407	average	America/Puerto_Rico	18.42745	2020/01/18
Sceaux	2.29026	average	Europe/Paris	48.77644	2019-05-28
Nonsan	127.08472	building	Asia/Seoul	36.20389	07 Mar 2018
Gero	137.23333	good	Asia/Tokyo	35.8	2016-08-23
Tornio	24.14662	average	Europe/Helsinki	65.84811	27 Mar 2021
Roi Et	103.65309	average	Asia/Bangkok	16.0567	02 Oct 2018
El Alia	10.03478	good	Africa/Tunis	37.16911	07/17/2021, 00:00:00
Fayetteville	-78.87836	average	America/New_York	35.05266	2013-07-30
Poulton-le-Fylde	-2.98333	building	Europe/London	53.83333	03/25/2016, 00:00:00
Valinhos	-46.99583	accep	America/Sao_Paulo	-22.97056	2015/10/19
Shaowu	117.4831	accep	Asia/Shanghai	27.34089	27 Aug 2013
Wacheng	114.51667	building	Asia/Shanghai	33.78333	12 Apr 2014
Bisceglie	16.50104	average	Europe/Rome	41.24264	2020/05/26
Camayenne	-13.68778	building	Africa/Conakry	9.535	09/09/2016, 00:00:00
Copperas Cove	-97.90308	good	America/Chicago	31.12406	11/01/2017, 00:00:00
Itacoatiara	-58.44417	accep	America/Manaus	-3.14306	2013/02/10
Skalica	17.22635	average	Europe/Bratislava	48.8449	12/01/2016, 00:00:00
Yingkou	122.22833	good	Asia/Shanghai	40.66482	2016/09/24
Tonga	10.7	excellent	Africa/Douala	4.96667	21 Dec 2016
Alytus	24.04142	building	Europe/Vilnius	54.39635	30 Jan 2020
Hengshui	115.70111	average	Asia/Shanghai	37.73222	05/28/2022, 00:00:00
Gavrilov-Yam	39.85331	good	Europe/Moscow	57.30185	2019/06/03
Talisay	122.9666	maintenance	Asia/Manila	10.7375	2017-01-01
Sakaraha	44.53333	accep	Indian/Antananarivo	-22.9	08/19/2014, 00:00:00
Ragusa	14.72443	excellent	Europe/Rome	36.92574	04/04/2014, 00:00:00
Most	13.63617	average	Europe/Prague	50.50301	05/30/2022, 00:00:00
Dawei	98.19151	good	Asia/Yangon	14.0823	2018-09-12
Saharsa	86.59611	building	Asia/Kolkata	25.87498	2015-09-01
Iturama	-50.19556	good	America/Sao_Paulo	-19.72806	2017/12/18
Ganei Tikva	34.8732	good	Asia/Jerusalem	32.05971	2013/06/01
Kachkanar	59.4839	accep	Asia/Yekaterinburg	58.7002	31 May 2015
Jais	81.54855	maintenance	Asia/Kolkata	26.2649	2015/04/22
Kearns	-111.99633	average	America/Denver	40.65995	2015-10-17
Budva	18.84	building	Europe/Podgorica	42.28639	2014-12-06
Cowes	-1.29772	excellent	Europe/London	50.76306	2019/10/14
Donggongon	116.10146	accep	Asia/Kuching	5.90702	04/12/2020, 00:00:00
Myawadi	98.50893	average	Asia/Yangon	16.68911	06/11/2022, 00:00:00
Visitacion Valley	-122.40433	excellent	America/Los_Angeles	37.71715	2018/01/12
Boo	18.28333	good	Europe/Stockholm	59.33333	2021-10-19
Kitgum	32.88667	good	Africa/Kampala	3.27833	2020/03/14
Guanajuato	-101.2591	average	America/Mexico_City	21.01858	2016-06-17
Catania	15.07041	accep	Europe/Rome	37.49223	15 Apr 2019
Masbate	123.62494	good	Asia/Manila	12.37169	29 Oct 2012
Patnos	42.85693	good	Europe/Istanbul	39.22493	2012-10-03
Waterbury	-73.0515	accep	America/New_York	41.55815	02/21/2018, 00:00:00
Krasyliv	26.97253	good	Europe/Kiev	49.65186	30 Jun 2013
Gandia	-0.18333	good	Europe/Madrid	38.96667	09/17/2022, 00:00:00
Iringa	35.7	average	Africa/Dar_es_Salaam	-7.76667	2013-11-24
Tongelre	5.51978	accep	Europe/Amsterdam	51.44889	2012/10/03
Dyat’kovo	34.33825	maintenance	Europe/Moscow	53.59782	10/20/2014, 00:00:00
Cowes	-1.29772	good	Europe/London	50.76306	2020-01-23
Bhayandar	72.85107	average	Asia/Kolkata	19.30157	2019/09/03
Agrigento	13.57661	maintenance	Europe/Rome	37.31065	20 Dec 2012
Otradnyy	51.3452	average	Europe/Samara	53.37596	13 May 2015
Ulan-Ude	107.60627	excellent	Asia/Irkutsk	51.82721	2019/03/13
Nakhon Si Thammarat	99.96667	maintenance	Asia/Bangkok	8.43333	06/04/2018, 00:00:00
Ehingen	9.72749	accep	Europe/Berlin	48.28259	25 Aug 2019
Komono	136.51667	maintenance	Asia/Tokyo	35	14 Jun 2015
Albufeira	-8.2503	average	Europe/Lisbon	37.08819	2017-03-09
Nowra	150.60036	accep	Australia/Sydney	-34.88422	2022/06/18
Dobrush	31.3237	excellent	Europe/Minsk	52.4089	19 Jan 2013
Pahrump	-115.98391	maintenance	America/Los_Angeles	36.20829	2017/07/02
Gajendragarh	75.96976	accep	Asia/Kolkata	15.73628	20 May 2016
Collinwood	-81.56929	excellent	America/New_York	41.55838	2018-01-06
Santa Gertrudes	-47.53028	accep	America/Sao_Paulo	-22.45667	2018-03-08
Elbeuf	1.00288	excellent	Europe/Paris	49.28669	2013/07/18
Buenaventura	-77.03116	good	America/Bogota	3.8801	25 Aug 2016
Catania	15.07041	maintenance	Europe/Rome	37.49223	07/14/2017, 00:00:00
Xiangtan	112.9	maintenance	Asia/Shanghai	27.85	2012-12-08
Camayenne	-13.68778	building	Africa/Conakry	9.535	2013/12/06
Lino Lakes	-93.08883	good	America/Chicago	45.16024	05/24/2016, 00:00:00
Southsea	-1.08593	maintenance	Europe/London	50.79205	2014/02/15
Misterbianco	15.00913	good	Europe/Rome	37.51803	2018-12-17
Glendale	-118.25508	excellent	America/Los_Angeles	34.14251	09/07/2021, 00:00:00
Ghat	10.18003	excellent	Africa/Tripoli	24.96334	2014-05-20
Voznesensk	31.33078	excellent	Europe/Kiev	47.56494	07 Jul 2020
Nkpor	6.83042	average	Africa/Lagos	6.15038	2016/08/25
Evergreen Park	-87.70172	maitennce	America/Chicago	41.72059	2016/05/23
Southsea	-1.08593	maintenance	Europe/London	50.79205	2016/09/01
Alfenas	-45.94722	accep	America/Sao_Paulo	-21.42917	2019/06/10
Carnegie	145.06667	average	Australia/Melbourne	-37.88333	2013/05/10
Uran	72.93924	good	Asia/Kolkata	18.87813	2020/12/01
Rueil-Malmaison	2.18967	accep	Europe/Paris	48.8765	07/06/2021, 00:00:00
Memmingen	10.18527	accep	Europe/Berlin	47.98372	2017-07-08
New Canaan	-73.49484	average	America/New_York	41.14676	12/04/2016, 00:00:00
Madhipura	86.79271	good	Asia/Kolkata	25.92127	2018-06-20
Dyat’kovo	34.33825	maintenance	Europe/Moscow	53.59782	2014/05/15
Dobrush	31.3237	good	Europe/Minsk	52.4089	2017-06-05
Pfullingen	9.22796	accep	Europe/Berlin	48.46458	16 Oct 2017
Lino Lakes	-93.08883	maintenance	America/Chicago	45.16024	2020-04-19
Yamada	141.95	excellent	Asia/Tokyo	39.46667	2014/05/25
Leioa	-2.98884	good	Europe/Madrid	43.32686	2018-12-02
East Dereham	0.93333	maintenance	Europe/London	52.68333	12/16/2020, 00:00:00
Riverbank	-120.93549	maintenance	America/Los_Angeles	37.73604	2022/01/02
Adliswil	8.52462	average	Europe/Zurich	47.30997	2018-06-18
Volokolamsk	35.96944	accep	Europe/Moscow	56.03361	2015-12-24
Artsyz	29.41824	accep	Europe/Kiev	45.99194	2018/09/01
La Trinidad	120.5875	maintenance	Asia/Manila	16.455	2016-05-02
Wittenau	13.32127	excellent	Europe/Berlin	52.59319	05/16/2015, 00:00:00
Charlottetown	-63.13414	average	America/Halifax	46.23899	2020-12-04
Changzhi	111.73861	good	Asia/Shanghai	35.20889	15 Jun 2020
Zhukovka	33.72798	accep	Europe/Moscow	53.53395	05/18/2013, 00:00:00
Juhaynah	31.4976	good	Africa/Cairo	26.67319	2021/05/24
Sathyamangalam	77.23826	good	Asia/Kolkata	11.50526	02 Nov 2015
Azrou	-5.22126	accep	Africa/Casablanca	33.43443	2014/07/30
Tak Bai	102.05461	accep	Asia/Bangkok	6.25947	12 Jan 2014
Leioa	-2.98884	good	Europe/Madrid	43.32686	2013-08-15
Zgorzelec	15.00835	good	Europe/Warsaw	51.14942	09/11/2017, 00:00:00
Soure	-48.52333	maintenance	America/Belem	-0.71667	15 Jul 2018
Kahului	-156.47432	good	Pacific/Honolulu	20.88953	05/21/2022, 00:00:00
Wheelers Hill	145.18333	excellent	Australia/Melbourne	-37.9	2016-03-15
Buenaventura	-77.03116	maitennce	America/Bogota	3.8801	07/17/2013, 00:00:00
Nova Xavantina	-52.35558	average	America/Cuiaba	-14.66463	2015/10/10
Westchester	-87.882	good	America/Chicago	41.85059	2017-06-25
