location	longitude	QoS	code	revision	latitude
Asia/Karachi	70.91106	maintenance	PK	16 Jan 2016	29.38242
America/New_York	-73.89125	excellent	US	09/27/2017, 00:00:00	40.67705
Europe/Berlin	13.32127	average	DE	09/27/2017, 00:00:00	52.59319
Europe/Amsterdam	6.61944	good	NL	2020/12/07	52.57583
Asia/Shanghai	113.82465	maintenance	CN	02/23/2016, 00:00:00	23.29549
Asia/Tokyo	141.95	maintenance	JP	2016-03-24	39.46667
America/New_York	-76.72803	building	US	2020/05/29	39.32288
Europe/Amsterdam	5.51978	good	NL	2013/07/10	51.44889
America/Santiago	-73.02841	excellent	CL	16 Feb 2013	-36.9256
Asia/Jakarta	114.33333	good	ID	2019/04/14	-8.43333
Pacific/Auckland	171.25364	average	NZ	2018-07-29	-44.39672
Europe/Vienna	15.46667	accep	AT	02/13/2022, 00:00:00	47.05
America/Los_Angeles	-122.24092	excellent	US	01/25/2019, 00:00:00	47.4943
Asia/Kuala_Lumpur	100.24529	good	MY	2013/05/31	5.4709
Europe/Amsterdam	5.23333	accep	NL	22 Aug 2021	52.09
Europe/Warsaw	18.34717	good	PL	19 Feb 2017	54.60528
Europe/Istanbul	29.26639	excellent	TR	28 Mar 2016	37.58105
Asia/Jakarta	101.44167	good	ID	11 Jul 2022	0.51667
Asia/Aden	46.83187	average	YE	2017-09-29	14.53767
Europe/Berlin	8.70745	average	DE	05/30/2018, 00:00:00	49.03685
Asia/Krasnoyarsk	92.48278	accep	RU	09/08/2018, 00:00:00	58.23583
America/Mexico_City	-100.88023	accep	MX	2017-09-29	20.21322
America/New_York	-73.0515	excellent	US	03 Apr 2014	41.55815
Asia/Manila	124.95278	accep	PH	27 Jan 2016	6.33444
America/Sao_Paulo	-52.51028	accep	BR	2016-01-21	-28.81833
Europe/Madrid	-8.2194	average	ES	06 Jul 2021	43.48961
Europe/Paris	5.4384	building	FR	20 Jun 2016	43.2907
America/New_York	-80.22588	building	US	07/06/2015, 00:00:00	26.2173
Europe/Moscow	30.28491	accep	RU	2015-08-23	60.02427
Asia/Yekaterinburg	57.3552	accep	RU	2013-11-15	51.4781
Europe/Moscow	39.8302	average	RU	2021/05/30	64.5635
Asia/Tokyo	136.51667	good	JP	2021/10/25	35
America/Chicago	-86.99666	average	US	09/21/2018, 00:00:00	33.45122
America/New_York	-75.64963	excellent	US	09/08/2019, 00:00:00	40.24537
Africa/Kigali	30.4347	excellent	RW	2016-12-24	-1.9487
Europe/London	-0.33525	excellent	GB	2019-01-10	53.7446
Africa/Gaborone	27.46153	good	BW	09 Nov 2016	-21.44236
Asia/Kolkata	85.94001	good	IN	24 Nov 2014	25.49043
Asia/Kolkata	88.28637	accep	IN	12 Sep 2022	23.07492
Africa/Algiers	2.95924	excellent	DZ	2017-06-24	36.76775
Asia/Shanghai	115.70111	average	CN	11/04/2019, 00:00:00	37.73222
Europe/Berlin	13.32127	accep	DE	02/01/2018, 00:00:00	52.59319
Asia/Karachi	70.96699	accep	PK	11 Jan 2021	30.46907
America/New_York	-74.07764	excellent	US	08/13/2014, 00:00:00	40.72816
Asia/Bangkok	103.65309	average	TH	26 Jul 2013	16.0567
Europe/Madrid	-4.83076	accep	ES	13 Feb 2022	39.96348
Africa/Kampala	30.98551	excellent	UG	09/28/2017, 00:00:00	2.41669
America/Mexico_City	-98.1664	good	MX	24 May 2016	19.32932
Asia/Kuala_Lumpur	100.24529	good	MY	04/15/2021, 00:00:00	5.4709
Africa/Johannesburg	29.24152	average	ZA	20 Dec 2019	-26.93366
Europe/Madrid	1.10687	maintenance	ES	2017-04-23	41.15612
Europe/London	0.47713	good	GB	10/12/2018, 00:00:00	51.39323
America/Toronto	-79.2663	accep	CA	02/16/2018, 00:00:00	43.86682
Asia/Jakarta	103.61667	accep	ID	2012-10-30	-1.6
Asia/Yangon	98.50893	average	MM	04/18/2017, 00:00:00	16.68911
Europe/London	-2.52398	excellent	GB	11/05/2018, 00:00:00	53.19146
Asia/Shanghai	120.14278	average	CN	2016-07-20	32.50611
Europe/Rome	12.6723	building	IT	2018-01-26	41.72063
Europe/Rome	15.00913	accep	IT	2021-08-03	37.51803
Europe/Berlin	12.16179	maintenance	DE	2022-07-19	48.52961
Asia/Kolkata	86.59509	accep	IN	2014-07-31	26.11527
Africa/Libreville	13.58357	excellent	GA	04/23/2019, 00:00:00	-1.63333
Europe/Berlin	13.29371	good	DE	12/08/2012, 00:00:00	52.53048
America/New_York	-76.72803	accep	US	05/27/2017, 00:00:00	39.32288
America/Chicago	-89.64066	good	US	2012/11/29	40.56754
America/New_York	-82.90375	maintenance	US	2015-10-08	32.54044
America/New_York	-73.97069	accep	US	25 Jan 2017	40.64621
Asia/Jerusalem	34.75699	good	IL	2018/01/14	31.39547
Europe/Madrid	-5.55835	acceptable	ES	10 Sep 2018	42.64685
America/Phoenix	-111.89903	good	US	19 Jun 2016	33.50921
Europe/Belgrade	19.61222	accep	RS	09/08/2014, 00:00:00	44.97639
America/Lima	-76.70944	good	PE	06/12/2016, 00:00:00	-11.94306
America/Caracas	-70.20749	building	VE	22 Oct 2012	8.62261
America/New_York	-83.2321	building	US	2019/10/30	33.08014
Asia/Vladivostok	133.42825	building	RU	2017/06/23	45.47885
Africa/Lagos	9.0027	accep	NG	2022/07/04	11.86064
Europe/Moscow	37.92792	building	RU	2019-06-12	53.93361
America/Costa_Rica	-84.13722	good	CR	2017-08-12	9.92787
America/Chicago	-89.99038	average	US	02/25/2021, 00:00:00	38.58894
Asia/Yekaterinburg	65.27258	accep	RU	2018-02-17	58.04254
America/Chicago	-98.15529	good	US	2016/12/15	26.18924
Europe/Paris	1.33467	average	FR	11/22/2017, 00:00:00	43.61058
Africa/Casablanca	-6.00137	accep	MA	2017-04-16	33.42585
Asia/Yekaterinburg	65.27258	accep	RU	18 Apr 2022	58.04254
America/Chicago	-87.93341	excellent	US	2013-05-15	42.55308
Asia/Kolkata	75.92694	good	IN	2015/01/15	14.46693
Europe/London	-1.5443	average	GB	09/16/2019, 00:00:00	50.75767
Asia/Tokyo	144.09638	building	JP	01 Jan 2021	43.82634
Europe/Vienna	15.46667	good	AT	09/30/2017, 00:00:00	47.05
Asia/Shanghai	117.27583	maintenance	CN	01/26/2020, 00:00:00	35.64889
Africa/Tunis	10.58082	building	TN	23 May 2016	35.72917
Europe/Rome	15.00913	accep	IT	12/06/2012, 00:00:00	37.51803
Asia/Bangkok	99.89166	average	TH	2013/06/24	15.46063
Europe/Madrid	-3.53261	excellent	ES	2014/06/15	40.42386
Africa/Kampala	30.98551	building	UG	12/14/2019, 00:00:00	2.41669
America/Chicago	-87.71255	good	US	2015/08/22	41.84364
America/Chicago	-86.99666	good	US	2012/12/02	33.45122
America/Bogota	-73.26022	accep	CO	23 Jun 2016	6.46838
Europe/Amsterdam	5.22778	average	NL	2014/05/09	51.955
Europe/Rome	17.80774	maintenance	IT	09/05/2019, 00:00:00	40.55851
Asia/Jakarta	99.1625	accep	ID	2014/09/06	3.3285
Europe/Paris	2.25	good	FR	04 Aug 2021	50.75
Asia/Baku	45.36561	excellent	AZ	2019-05-13	41.09246
Europe/Istanbul	37.3825	average	TR	2015/09/30	37.05944
Europe/Skopje	20.91361	good	MK	2018/06/16	41.92361
America/Chicago	-87.88754	good	US	15 Feb 2014	41.15376
America/Argentina/Cordoba	-60.93173	average	AR	11/25/2016, 00:00:00	-31.4488
America/Chicago	-88.31476	accep	US	09 Jul 2021	36.61033
America/Recife	-35.71667	average	BR	2013/10/15	-8.66667
America/Indiana/Indianapolis	-86.11084	excellent	US	15 Sep 2020	41.75338
America/Chicago	-91.73625	good	US	02/15/2022, 00:00:00	35.25064
Africa/Monrovia	-8.53778	building	LR	09/18/2013, 00:00:00	7.57944
Europe/Berlin	9.47629	accep	DE	04/21/2019, 00:00:00	53.59337
Asia/Vladivostok	140.72287	excellent	RU	2018/08/30	53.14657
Africa/Tunis	10.78222	good	TN	11/04/2013, 00:00:00	36.46917
America/New_York	-73.97069	accep	US	2021/11/28	40.64621
America/Chicago	-88.31476	excellent	US	07 Jun 2022	36.61033
Africa/Dar_es_Salaam	37.00438	accep	TZ	2021/08/28	-7.60361
Europe/Moscow	43.67663	good	RU	2019/03/18	53.53041
Europe/Rome	14.72443	average	IT	2022-08-30	36.92574
Asia/Kolkata	86.59509	accep	IN	30 Mar 2016	26.11527
America/Porto_Velho	-63.90389	excellent	BR	2013-08-07	-8.76194
America/El_Salvador	-89.10944	excellent	SV	2014-09-17	13.70167
Africa/Dar_es_Salaam	35.7	good	TZ	2015/06/24	-7.76667
Pacific/Port_Moresby	144.23058	good	PG	2018-08-15	-5.85746
Asia/Kolkata	75.16878	accep	IN	02/04/2019, 00:00:00	30.81383
America/Sao_Paulo	-48.62789	acceptable	BR	04/08/2014, 00:00:00	-17.74431
Europe/Madrid	-3.67029	accep	ES	2015/09/16	37.13548
Asia/Manila	120.4861	excellent	PH	2018-11-22	16.0438
Asia/Manila	120.4861	accep	PH	2019-11-13	16.0438
Asia/Riyadh	49.62251	good	SA	10 Apr 2013	27.0174
Asia/Shanghai	117.81667	average	CN	2021/05/03	36.81667
Europe/London	-1.48119	excellent	GB	24 Feb 2017	53.0233
Europe/Minsk	25.8191	good	BY	2017/05/08	53.5942
Asia/Kolkata	78.95693	average	IN	2016-09-09	29.21399
Asia/Tehran	47.3799	accep	IR	2014/07/16	33.14447
America/Chicago	-87.70172	accep	US	28 Jun 2020	41.72059
Europe/Berlin	13.28702	building	DE	14 Feb 2018	52.4581
Europe/Rome	11.412	acceptable	IT	03/08/2021, 00:00:00	45.50369
Asia/Ho_Chi_Minh	105.75635	good	VN	2019-06-08	10.29085
Europe/Oslo	16.54165	good	NO	08/05/2014, 00:00:00	68.79833
Europe/London	-1.32471	excellent	GB	21 Jan 2013	51.40148
Asia/Bishkek	73	excellent	KG	08/22/2020, 00:00:00	40.93333
America/Bogota	-73.9614	average	CO	08/15/2014, 00:00:00	10.15031
Europe/London	-2.1875	good	GB	30 Oct 2014	51.26
America/Chicago	-97.90308	excellent	US	08 Jul 2018	31.12406
Asia/Kolkata	77.54372	average	IN	06/07/2020, 00:00:00	10.12268
Asia/Karachi	68.11759	good	PK	11/09/2020, 00:00:00	26.9423
Europe/Berlin	13.31783	building	DE	11 Mar 2019	52.61131
Europe/Moscow	47.1192	excellent	RU	2014-01-17	42.819
Africa/Nairobi	35.59642	excellent	KE	2016-01-10	3.11988
Europe/Moscow	38.94324	excellent	RU	09/11/2016, 00:00:00	44.98901
Asia/Kolkata	78.15794	average	IN	16 Jan 2014	12.1277
America/Chicago	-95.63079	accep	US	06/15/2021, 00:00:00	31.76212
Asia/Manila	123.758	accep	PH	2022-02-22	10.20898
Europe/Chisinau	28.28489	maintenance	MD	2021/08/01	48.15659
Europe/Rome	14.66737	accep	IT	2020-09-01	41.55947
Asia/Manila	124.3697	average	PH	03/02/2014, 00:00:00	9.6531
America/Toronto	-79.2663	average	CA	23 Feb 2013	43.86682
America/Chicago	-93.263	good	US	2013-01-27	45.0408
Asia/Shanghai	115.70111	excellent	CN	2020/03/15	37.73222
Europe/Madrid	-2.68333	good	ES	30 Aug 2013	43.31667
America/Tegucigalpa	-86.57415	accep	HN	19 Sep 2015	15.48131
Europe/Berlin	9.5926	accep	DE	2018-10-24	52.86147
Asia/Shanghai	120.33063	excellent	CN	10/08/2020, 00:00:00	37.65181
America/Sao_Paulo	-47.53028	maintenance	BR	25 Apr 2021	-22.45667
Asia/Jakarta	99.1625	good	ID	23 Mar 2013	3.3285
America/Toronto	-73.81669	good	CA	2019/10/19	45.44868
America/Jamaica	-76.78319	good	JM	12/22/2016, 00:00:00	18.00747
Europe/Berlin	8.86704	excellent	DE	2019/07/16	50.23805
America/Edmonton	-113.3187	good	CA	29 Dec 2016	53.51684
Europe/Berlin	8.96317	excellent	DE	2022-07-17	48.35149
Europe/Berlin	11.34046	good	DE	07/28/2020, 00:00:00	50.72043
Asia/Tokyo	137.36215	accep	JP	07/25/2014, 00:00:00	36.75965
Africa/Niamey	9.15013	maintenance	NE	01/21/2017, 00:00:00	13.70727
America/Chicago	-88.42814	accep	US	23 Jun 2017	42.16808
Asia/Yekaterinburg	60.8019	excellent	RU	03 Jan 2016	56.9083
Africa/Accra	-1.4001	excellent	GH	10/08/2020, 00:00:00	7.06273
America/Los_Angeles	-118.25508	excellent	US	2013/08/12	34.14251
Europe/Brussels	4.82313	good	BE	17 Sep 2017	51.24197
America/Montevideo	-56.52361	accep	UY	2014-06-27	-33.38056
America/Sao_Paulo	-41.88778	accep	BR	04/02/2021, 00:00:00	-21.205
America/New_York	-73.49484	excellent	US	24 Oct 2018	41.14676
Asia/Kolkata	75.96976	maintenance	IN	2020/11/24	15.73628
America/New_York	-73.89875	accep	US	04/12/2020, 00:00:00	40.93121
America/New_York	-71.29144	good	US	25 Apr 2021	41.54566
Europe/Sofia	24.71204	average	BG	2022/04/29	41.57439
America/Los_Angeles	-116.97725	good	US	31 May 2018	33.92946
America/New_York	-82.90375	building	US	2021-01-02	32.54044
Africa/Douala	9.00472	excellent	CM	2019/02/25	4.2475
Africa/Dar_es_Salaam	37.00438	accep	TZ	2021/04/20	-7.60361
America/Matamoros	-97.50417	accep	MX	2015-05-20	25.87972
Africa/Khartoum	34.3869	accep	SD	15 Sep 2022	11.8659
Europe/London	-4.22398	good	GB	01/22/2022, 00:00:00	57.47908
Europe/Sofia	24.71204	maintenance	BG	2015/04/02	41.57439
America/Recife	-35.71667	acceptable	BR	04/30/2019, 00:00:00	-8.66667
America/Santo_Domingo	-71.10077	good	DO	08/01/2015, 00:00:00	18.20854
America/Chicago	-87.71255	average	US	08/28/2013, 00:00:00	41.84364
Europe/Rome	12.38878	building	IT	07/08/2017, 00:00:00	43.1122
America/Bahia	-39.25	average	BR	27 Apr 2021	-12.91667
Asia/Shanghai	112.73333	building	CN	2022-03-26	38.40917
America/Sao_Paulo	-52.67056	accep	BR	30 Sep 2015	-26.22861
Europe/Rome	17.58522	average	IT	28 Jun 2013	40.53123
Asia/Shanghai	115.70111	building	CN	06/16/2015, 00:00:00	37.73222
Africa/Dar_es_Salaam	35.7	building	TZ	2018/01/14	-7.76667
Europe/Rome	14.72443	maintenance	IT	27 Jan 2022	36.92574
Asia/Kuching	116.10146	average	MY	2019/01/14	5.90702
Europe/Berlin	7.11393	good	DE	25 Feb 2017	51.08468
America/Mazatlan	-105.36369	average	MX	10/20/2013, 00:00:00	22.49396
Europe/Copenhagen	12.53463	building	DK	09 Oct 2013	55.67938
America/New_York	-84.23381	accep	US	2015-07-02	33.54428
Europe/Moscow	37.38115	maintenance	RU	04/23/2014, 00:00:00	55.63711
Europe/Berlin	11.32903	accep	DE	2020-02-11	50.9803
Europe/Berlin	9.20427	maintenance	DE	03 Jul 2019	48.49144
America/Guayaquil	-79.00453	building	EC	2013-12-24	-2.90055
Asia/Shanghai	122.22833	average	CN	04/04/2015, 00:00:00	40.66482
Europe/Paris	-1.05366	average	FR	2018-05-22	43.71032
Europe/Amsterdam	5.22778	accep	NL	2014/12/13	51.955
Asia/Manila	122.8637	excellent	PH	03 Aug 2022	9.3337
Asia/Makassar	118.9707	excellent	ID	26 Jul 2018	-3.5403
America/Mexico_City	-102.04897	accep	MX	06 Jul 2016	19.64745
Asia/Karachi	73.38333	building	PK	2015/07/15	31.71667
America/Mexico_City	-100.88023	accep	MX	2013-03-28	20.21322
Europe/Istanbul	41.00817	accep	TR	2014/07/04	38.13708
Australia/Brisbane	152.70493	building	AU	10/12/2016, 00:00:00	-25.54073
America/Recife	-35.03333	good	BR	23 Apr 2013	-8.28333
Africa/Lagos	12.19458	excellent	NG	2018/01/10	10.61285
America/Los_Angeles	-115.98391	excellent	US	2012/12/21	36.20829
Europe/Amsterdam	5.51978	excellent	NL	2013-03-19	51.44889
America/Sao_Paulo	-53.13722	average	BR	2022-04-18	-22.92306
Europe/Istanbul	34.02537	accep	TR	01/11/2014, 00:00:00	38.37255
Europe/Bratislava	17.8031	excellent	SK	05 Jul 2017	48.43174
America/New_York	-73.89125	good	US	10/13/2020, 00:00:00	40.67705
Asia/Kolkata	85.37752	good	IN	10/06/2012, 00:00:00	22.10194
Asia/Kolkata	76.32756	good	IN	2015-04-12	9.57046
America/Chicago	-96.39774	excellent	US	2015/03/27	30.16688
America/New_York	-82.32483	good	US	05 Nov 2013	29.65163
Europe/Copenhagen	12.53463	good	DK	2018-02-05	55.67938
America/New_York	-84.20299	acceptable	US	2018-06-17	39.43534
Asia/Karachi	75.06583	good	PK	05/14/2013, 00:00:00	32.17629
Europe/Vilnius	24.75	excellent	LT	07 Apr 2015	55.25
America/Managua	-86.19903	excellent	NI	2019/09/12	11.84962
Africa/Lagos	9.0027	accep	NG	12/19/2015, 00:00:00	11.86064
Asia/Kuching	116.10146	building	MY	2018-09-01	5.90702
America/Vancouver	-119.27337	building	CA	08/08/2022, 00:00:00	50.26729
Asia/Kolkata	79.5286	maintenance	IN	2014/12/15	29.22254
Africa/Nairobi	34.11169	accep	KE	2021/08/31	0.46005
America/New_York	-82.46148	excellent	US	03 Apr 2016	28.15112
Africa/Lagos	3.39467	excellent	NG	2018-01-08	6.45407
America/Porto_Velho	-63.90389	maintenance	BR	08 Jul 2016	-8.76194
America/Denver	-105.11221	average	US	2018-10-06	39.57582
Europe/Berlin	7.2278	accep	DE	2020/02/18	50.64336
America/Sao_Paulo	-48.59278	good	BR	28 Mar 2018	-23.7975
Europe/Rome	12.38878	average	IT	2022/02/09	43.1122
Asia/Tokyo	135.31667	good	JP	2015/11/30	34.25
Africa/Lagos	12.19458	good	NG	2013-02-14	10.61285
Asia/Seoul	126.835	accep	KR	03/25/2020, 00:00:00	37.65639
America/Bogota	-74.73584	excellent	CO	05 Dec 2013	5.20856
America/New_York	-81.26367	accep	US	2013/04/28	28.90054
America/New_York	-80.31727	average	US	2018/04/20	25.67927
America/New_York	-84.50855	good	US	31 Mar 2022	39.08367
Europe/Moscow	46.5813	accep	RU	2020-07-30	54.8421
Asia/Shanghai	113.13148	accep	CN	2012-10-18	23.02677
Europe/Zaporozhye	38.15035	accep	UA	2016/07/27	49.41029
America/Chicago	-96.39774	accep	US	2020-11-26	30.16688
Europe/Berlin	9.5926	building	DE	05/29/2013, 00:00:00	52.86147
Europe/Prague	12.87117	excellent	CZ	06 Aug 2015	50.23271
Indian/Antananarivo	47.31667	average	MG	09 Nov 2018	-19.65
Asia/Jakarta	104.09701	average	ID	2016/03/13	-1.26424
America/New_York	-74.13653	good	US	2021-06-23	40.63316
Asia/Kolkata	75.96976	average	IN	2021/07/04	15.73628
America/Argentina/Buenos_Aires	-58.38341	maintenance	AR	09 Apr 2013	-34.64966
Asia/Kolkata	78.23456	accep	IN	2013/06/11	28.92694
Europe/Madrid	-5.55835	maintenance	ES	03/30/2014, 00:00:00	42.64685
Europe/Vienna	16.4	excellent	AT	2021-03-19	48.25
Asia/Bangkok	100.48528	good	TH	30 Dec 2013	14.37395
Europe/London	-2.12139	building	GB	2014-08-12	52.48173
America/New_York	-76.51552	average	US	2019-02-21	39.32011
Asia/Shanghai	109.22921	building	CN	2016-12-20	34.65918
America/Chicago	-93.75018	accep	US	2019/03/07	32.52515
America/New_York	-78.04471	good	US	2018-06-20	34.25628
Europe/Istanbul	28.88222	building	TR	08/24/2013, 00:00:00	40.37528
Asia/Kolkata	76.35484	accep	IN	10/30/2014, 00:00:00	10.10649
Europe/Berlin	9.20427	maintenance	DE	02/03/2022, 00:00:00	48.49144
Asia/Kolkata	88.1453	maintenance	IN	2013-07-21	22.4711
Asia/Karachi	68.49143	maintenance	PK	2022-06-06	25.80565
Africa/Addis_Ababa	37.55	average	ET	2015-04-14	6.03333
Europe/Moscow	46.10925	average	RU	11/04/2018, 00:00:00	43.35071
