station	latitude	revision	QoS	longitude	code
Hasilpur	29.69221	08 Jul 2015	excellent	72.54566	PK
Debre Tabor	11.85	2019/04/25	average	38.01667	ET
Fontenay-aux-Roses	48.79325	2017/09/01	excellent	2.29275	FR
Friedberg	48.35693	11/16/2020, 00:00:00	good	10.98461	DE
Tsuen Wan	22.37066	01 Feb 2018	accep	114.10479	HK
Aistala	23.18	2019-03-12	excellent	88.58	IN
Kampung Ayer Molek	2.2139	11 Mar 2016	good	102.3278	MY
Balikpapan	-1.26753	02/19/2015, 00:00:00	excellent	116.82887	ID
Heyuan	23.73333	06/07/2019, 00:00:00	average	114.68333	CN
Huntley	42.16808	2019/03/31	average	-88.42814	US
Hongseong	36.6009	2018/08/21	maintenance	126.665	KR
Portogruaro	45.78071	2022/03/20	maintenance	12.84052	IT
Hutto	30.5427	10 Jan 2018	good	-97.54667	US
Pujali	22.4711	2021-11-24	accep	88.1453	IN
Kallio	60.18427	2015/09/16	building	24.95034	FI
Ciudad Guayana	8.35122	30 Sep 2015	accep	-62.64102	VE
Bibiani	6.46346	03 Sep 2015	excellent	-2.31938	GH
Buynaksk	42.819	10/22/2018, 00:00:00	building	47.1192	RU
Ataq	14.53767	2019-07-23	good	46.83187	YE
Arzamas	55.39485	07 Jun 2018	good	43.83992	RU
Ataq	14.53767	2021-01-29	excellent	46.83187	YE
Ulan-Ude	51.82721	02 Apr 2019	good	107.60627	RU
East Haven	41.27621	2019-07-16	maintenance	-72.86843	US
Lesosibirsk	58.23583	02/21/2022, 00:00:00	accep	92.48278	RU
Pfullingen	48.46458	17 Jan 2014	excellent	9.22796	DE
Arles	43.67681	06/23/2014, 00:00:00	accep	4.63031	FR
Vitebsk	55.1904	2022-04-23	excellent	30.2049	BY
Bensheim	49.68369	18 Sep 2014	average	8.61839	DE
Pamiers	43.11667	03/10/2016, 00:00:00	building	1.6	FR
Carlos Barbosa	-29.2975	2018-12-14	accep	-51.50361	BR
Yingkou	40.66482	2020-08-28	building	122.22833	CN
Fayetteville	35.05266	30 Oct 2015	maitennce	-78.87836	US
Bisceglie	41.24264	2015-11-20	excellent	16.50104	IT
Zhoucun	36.81667	2018-12-11	good	117.81667	CN
Rixensart	50.71229	2018/11/23	excellent	4.52529	BE
Puducherry	11.93381	05 Apr 2014	building	79.82979	IN
Peabody	42.52787	2018/03/24	good	-70.92866	US
Beveren	51.21187	06/13/2015, 00:00:00	accep	4.25633	BE
Iron River	46.09273	17 Oct 2013	good	-88.64235	US
Laguna Niguel	33.52253	2020/03/22	excellent	-117.70755	US
Sakaraha	-22.9	17 Nov 2017	excellent	44.53333	MG
Idenao	4.2475	01/17/2019, 00:00:00	average	9.00472	CM
Jaworzno	50.20528	03 Nov 2021	good	19.27498	PL
Gorakhpur	26.76628	2020-04-07	average	83.36889	IN
Griffith	-34.28853	2019/12/11	excellent	146.05093	AU
Ikalamavony	-21.15	01/12/2016, 00:00:00	accep	46.58333	MG
Gudermes	43.35071	2015-08-28	excellent	46.10925	RU
Chacabuco	-34.64167	2018-06-23	excellent	-60.47389	AR
Kundla	21.34222	2021-02-13	good	71.30633	IN
Tyoply Stan	55.62047	2018/03/25	average	37.49338	RU
Gernika-Lumo	43.31667	2013-10-22	good	-2.68333	ES
Alipur	29.38242	2013/11/10	average	70.91106	PK
Dipolog	8.56697	2020/01/30	maintenance	123.33471	PH
Hardenberg	52.57583	17 Jan 2016	average	6.61944	NL
Carlsbad	32.42067	09/06/2017, 00:00:00	average	-104.22884	US
Port Huron	42.97086	05/01/2015, 00:00:00	maintenance	-82.42491	US
Casa Blanca	19.04222	2017-04-11	average	-98.11889	MX
Brenham	30.16688	12/20/2013, 00:00:00	accep	-96.39774	US
Caravaca	38.10558	2014-02-05	good	-1.86343	ES
Darreh Shahr	33.14447	08/24/2014, 00:00:00	excellent	47.3799	IR
New Kingston	18.00747	2018-08-29	average	-76.78319	JM
Petrozavodsk	61.78491	01/06/2016, 00:00:00	average	34.34691	RU
Donggongon	5.90702	10/16/2015, 00:00:00	excellent	116.10146	MY
Artsyz	45.99194	15 Jan 2016	average	29.41824	UA
Cavaillon	43.83125	2017/10/29	accep	5.03586	FR
Barracas	-34.64966	14 Mar 2013	maintenance	-58.38341	AR
Bryn Mawr-Skyway	47.4943	09/08/2019, 00:00:00	excellent	-122.24092	US
Quimper	48	09/21/2020, 00:00:00	good	-4.1	FR
Palafrugell	41.91738	01/14/2020, 00:00:00	average	3.1631	ES
Juhaynah	26.67319	30 Jan 2019	good	31.4976	EG
Eastwood	-33.79176	2016/10/16	average	151.08057	AU
Resplendor	-19.32556	2013/07/13	excellent	-41.25528	BR
Bonoua	5.27247	2017-01-25	maintenance	-3.59625	CI
Igbara-Odo	7.50251	01/18/2014, 00:00:00	good	5.06258	NG
Pingyi	35.50056	12/25/2013, 00:00:00	good	117.63083	CN
Lanciano	42.22718	08/04/2017, 00:00:00	building	14.39024	IT
Goyang-si	37.65639	2020/08/08	average	126.835	KR
Ulan-Ude	51.82721	2016-11-14	maintenance	107.60627	RU
Guaraciaba do Norte	-4.16694	10 Mar 2019	excellent	-40.7475	BR
Niort	46.32313	2019/10/30	good	-0.45877	FR
Santa Rosa Jauregui	20.74122	20 Nov 2014	average	-100.44843	MX
Inverness	57.47908	03/15/2017, 00:00:00	excellent	-4.22398	GB
Naga	10.20898	05/27/2020, 00:00:00	excellent	123.758	PH
Baliuag	14.95472	12 Jan 2018	building	120.89694	PH
Jalal-Abad	40.93333	2018-05-01	excellent	73	KG
Cebu City	10.31672	04 May 2020	excellent	123.89071	PH
Pointe-Claire	45.44868	11/05/2013, 00:00:00	excellent	-73.81669	CA
Valinhos	-22.97056	2019-02-07	average	-46.99583	BR
Alwaye	10.10649	2017-07-28	excellent	76.35484	IN
Tandil	-37.32167	2021/10/22	average	-59.13316	AR
Tupelo	34.25807	2019-11-17	excellent	-88.70464	US
Kidodi	-7.60361	12/07/2019, 00:00:00	accep	37.00438	TZ
Gandia	38.96667	29 Jun 2022	accep	-0.18333	ES
Ragusa	36.92574	2021/10/25	good	14.72443	IT
Watsonville	36.91023	04/02/2014, 00:00:00	acceptable	-121.75689	US
Clacton-on-Sea	51.78967	2014/10/22	accep	1.15597	GB
Zeitz	51.04962	07/08/2020, 00:00:00	average	12.1369	DE
Robertsonpet	12.95629	13 Sep 2015	excellent	78.27539	IN
Hongseong	36.6009	04 Jan 2020	accep	126.665	KR
Caravaca	38.10558	05/03/2019, 00:00:00	accep	-1.86343	ES
Massapequa	40.68066	2021/11/03	average	-73.47429	US
Liberia	10.63504	07 Feb 2022	excellent	-85.43772	CR
Ajdabiya	30.75545	01 Jul 2021	average	20.22625	LY
Zgorzelec	51.14942	12/19/2018, 00:00:00	maintenance	15.00835	PL
Xiangtan	27.85	2012-12-01	excellent	112.9	CN
Nizhniy Lomov	53.53041	27 May 2015	excellent	43.67663	RU
Okegawa	36	2017/09/23	average	139.55722	JP
Kasangulu	-4.5833	2014/09/24	average	15.16554	CD
Nanpiao	41.09822	2016-06-10	accep	120.74792	CN
Inverness	57.47908	18 May 2021	maintenance	-4.22398	GB
Pfullingen	48.46458	28 Aug 2013	accep	9.22796	DE
Muritiba	-12.91667	03/03/2017, 00:00:00	accep	-39.25	BR
Francavilla Fontana	40.53123	2018-08-02	maitennce	17.58522	IT
Landshut	48.52961	03 May 2020	building	12.16179	DE
Hakodate	41.77583	2016-03-28	maintenance	140.73667	JP
Taozhuang	34.85	2018/09/12	excellent	117.33333	CN
Antanifotsy	-19.65	2012/12/10	accep	47.31667	MG
Paidha	2.41669	06/28/2019, 00:00:00	accep	30.98551	UG
Hudiksvall	61.72744	2016-01-15	good	17.10558	SE
Hendala	6.9909	12/18/2020, 00:00:00	maintenance	79.883	LK
Palafrugell	41.91738	2018/10/16	good	3.1631	ES
Korschenbroich	51.19139	27 Jul 2015	accep	6.51352	DE
Diamond Harbour	22.19303	2013/06/27	excellent	88.18466	IN
Boli	45.75279	2015/08/16	average	130.57211	CN
Harstad	68.79833	13 Dec 2015	acceptable	16.54165	NO
Kyaikto	17.30858	11/26/2014, 00:00:00	average	97.01124	MM
Bhuban	20.88197	2019-09-16	accep	85.83334	IN
Bhuban	20.88197	2014/01/03	average	85.83334	IN
Aurora	39.72943	02/18/2022, 00:00:00	building	-104.83192	US
Same	-4.06667	2016/03/06	good	37.73333	TZ
Ishim	56.11281	2022-04-02	good	69.49015	RU
Portogruaro	45.78071	2018/09/13	average	12.84052	IT
Arles	43.67681	08 May 2013	accep	4.63031	FR
Yauco	18.03496	13 Jan 2013	accep	-66.8499	PR
Annaka	36.33011	05 Jul 2018	excellent	138.89585	JP
High Wycombe	51.62907	10 Jan 2014	excellent	-0.74934	GB
Mouscron	50.74497	2016-03-06	excellent	3.20639	BE
Salvatierra	20.21322	12/18/2012, 00:00:00	excellent	-100.88023	MX
Rudolstadt	50.72043	01/21/2021, 00:00:00	accep	11.34046	DE
Inverness	57.47908	2020-12-25	accep	-4.22398	GB
East Dereham	52.68333	2021-03-03	good	0.93333	GB
High Wycombe	51.62907	08/05/2017, 00:00:00	excellent	-0.74934	GB
Krasyliv	49.65186	2018/09/27	accep	26.97253	UA
Zacoalco de Torres	20.22816	2012-10-05	excellent	-103.5687	MX
Likhobory	55.85	2020/07/09	good	37.56667	RU
Olanchito	15.48131	2015/10/16	excellent	-86.57415	HN
Tyoply Stan	55.62047	20 Jan 2022	building	37.49338	RU
Villabate	38.07789	2013/12/19	good	13.44275	IT
Dorval	45.4473	2017-08-09	maintenance	-73.75335	CA
Emmeloord	52.71083	2019-11-18	maintenance	5.74861	NL
Liaoyang	41.27194	2014-10-16	excellent	123.17306	CN
Stuttgart	48.78232	2016/08/17	maintenance	9.17702	DE
Dyat’kovo	53.59782	20 May 2020	good	34.33825	RU
Tinaquillo	9.91861	2016/04/27	excellent	-68.30472	VE
Marau	-28.44917	12/04/2020, 00:00:00	accep	-52.2	BR
Kitgum	3.27833	2016-11-07	good	32.88667	UG
Naushahra Virkan	31.96258	2019-01-30	accep	73.97117	PK
Lodwar	3.11988	20 May 2017	accep	35.59642	KE
Gorgonzola	45.53069	2016/08/05	acceptable	9.40531	IT
Pato Branco	-26.22861	2021/05/23	excellent	-52.67056	BR
Parola	20.88098	03 May 2021	accep	75.11937	IN
Sangla Hill	31.71667	03/17/2013, 00:00:00	building	73.38333	PK
Besuki	-7.73379	20 Dec 2013	building	113.69785	ID
Beaumont	33.92946	07/10/2013, 00:00:00	accep	-116.97725	US
Leland	34.25628	2015/06/22	accep	-78.04471	US
Cardedeu	41.63976	2020/03/12	maintenance	2.35739	ES
Searcy	35.25064	2014/06/29	maintenance	-91.73625	US
Bua Yai	15.58552	08/12/2020, 00:00:00	excellent	102.42587	TH
Tebingtinggi	3.3285	2017/05/05	accep	99.1625	ID
Aleshtar	33.86419	2014/06/04	maintenance	48.26258	IR
Kushtia	23.9028	2019-03-10	maintenance	89.11943	BD
Laiwu	36.19278	2022-06-29	accep	117.65694	CN
Yeysk	46.7055	2022-08-03	average	38.2739	RU
Taozhuang	34.85	04 Aug 2017	excellent	117.33333	CN
Hudiksvall	61.72744	2012-10-19	average	17.10558	SE
Bridgeport	41.16704	03/29/2015, 00:00:00	good	-73.20483	US
Rwamagana	-1.9487	2015/05/04	excellent	30.4347	RW
Port Huron	42.97086	01 Nov 2016	average	-82.42491	US
Wevelgem	50.8	2015-07-23	maintenance	3.16667	BE
Salvatierra	20.21322	31 Mar 2013	accep	-100.88023	MX
Yangambi	0.76755	2015-06-03	excellent	24.43973	CD
Saint-Genis-Laval	45.69558	08 Jun 2022	average	4.7934	FR
Tyoply Stan	55.62047	07/08/2013, 00:00:00	average	37.49338	RU
Bothell	47.76232	21 May 2021	accep	-122.2054	US
Al Jubayl	27.0174	07/05/2013, 00:00:00	accep	49.62251	SA
Parkent	41.29444	03/19/2016, 00:00:00	excellent	69.67639	UZ
Sharypovo	55.54028	22 Feb 2019	building	89.20083	RU
Gaziantep	37.05944	2015-03-05	average	37.3825	TR
Reutlingen	48.49144	2018/08/25	good	9.20427	DE
New City	41.80753	2019/02/02	good	-87.65644	US
Kudus	-6.8048	05 Jun 2021	good	110.8405	ID
Mount Hagen	-5.85746	2016-01-09	excellent	144.23058	PG
Opportunity	47.64995	10/21/2017, 00:00:00	good	-117.23991	US
Haldwani	29.22254	2017/07/03	excellent	79.5286	IN
Norfolk County	42.8334	07/17/2016, 00:00:00	excellent	-80.38297	CA
Rosedale	39.32011	11/15/2017, 00:00:00	good	-76.51552	US
Sunnyside	46.32374	2019-08-14	accep	-120.00865	US
Brierley Hill	52.48173	2021/03/13	accep	-2.12139	GB
Westbury	51.26	01/31/2021, 00:00:00	average	-2.1875	GB
Saraj	42	31 May 2014	average	21.32778	MK
Roi Et	16.0567	25 Jul 2020	good	103.65309	TH
Thomazeau	18.65297	12 Oct 2013	good	-72.09391	HT
Naga	10.20898	2022/04/02	building	123.758	PH
Herblay	48.98994	27 Jun 2022	maintenance	2.1699	FR
Sterling	39.00622	07/10/2020, 00:00:00	excellent	-77.4286	US
Danjiangkou	32.54278	03/14/2017, 00:00:00	excellent	111.50861	CN
Isfahan	32.65246	2014-12-06	building	51.67462	IR
Jambi City	-1.6	2013/04/15	average	103.61667	ID
North Lauderdale	26.2173	02/24/2015, 00:00:00	excellent	-80.22588	US
Myawadi	16.68911	24 Dec 2021	building	98.50893	MM
Dehiwala-Mount Lavinia	6.84019	2015-07-21	average	79.87116	LK
Agrigento	37.31065	2015-02-17	excellent	13.57661	IT
Narva	59.37722	2014/09/08	good	28.19028	EE
Olanchito	15.48131	01/30/2021, 00:00:00	good	-86.57415	HN
Haldwani	29.22254	2015/10/06	accep	79.5286	IN
Floridsdorf	48.25	10 Jul 2015	good	16.4	AT
Taunton	41.9001	02/13/2014, 00:00:00	good	-71.08977	US
Woodlawn	39.32288	2017-06-14	building	-76.72803	US
Zacoalco de Torres	20.22816	03/23/2018, 00:00:00	maintenance	-103.5687	MX
Pune	18.51957	04 Oct 2013	good	73.85535	IN
Tupelo	34.25807	01/15/2020, 00:00:00	excellent	-88.70464	US
Oldenzaal	52.31333	2013/10/22	accep	6.92917	NL
Sremska Mitrovica	44.97639	2015/05/10	average	19.61222	RS
Kherson	46.65581	2018-02-13	excellent	32.6178	UA
Claremont	34.09668	2019-04-10	building	-117.71978	US
La Garenne-Colombes	48.90472	2014-08-21	accep	2.2469	FR
Pointe-Claire	45.44868	2016-12-29	excellent	-73.81669	CA
Ajaccio	41.91886	2015-01-25	maintenance	8.73812	FR
Otradnyy	53.37596	2018-05-24	good	51.3452	RU
Arles	43.67681	2014-01-13	building	4.63031	FR
Kediri	-7.81667	2019/07/29	acceptable	112.01667	ID
Milagro	-2.13404	2013-11-18	average	-79.59415	EC
Mexborough	53.49389	09/06/2020, 00:00:00	excellent	-1.29243	GB
Parola	20.88098	10/15/2020, 00:00:00	average	75.11937	IN
Indio	33.7207	2013-09-23	excellent	-116.21677	US
Kachkanar	58.7002	07/07/2021, 00:00:00	building	59.4839	RU
Zacoalco de Torres	20.22816	24 Oct 2016	accep	-103.5687	MX
Searcy	35.25064	27 Dec 2019	maintenance	-91.73625	US
Aberdeen	57.14369	11/12/2016, 00:00:00	average	-2.09814	GB
South Whittier	33.95015	2021-09-15	average	-118.03917	US
Kanganpur	30.76468	02 Mar 2017	good	74.12286	PK
Alexandria	31.20176	2020-02-07	good	29.91582	EG
Roslavl’	53.95278	2019/08/25	average	32.86389	RU
Dehiwala-Mount Lavinia	6.84019	03/15/2021, 00:00:00	accep	79.87116	LK
East Haven	41.27621	09/24/2015, 00:00:00	accep	-72.86843	US
Custoias	41.1053	2021/10/09	accep	-7.32097	PT
Ataq	14.53767	2018-09-05	accep	46.83187	YE
Nayoro	44.35056	2019-05-01	accep	142.45778	JP
Nowra	-34.88422	2013/03/04	average	150.60036	AU
Charlottetown	46.23899	04/15/2014, 00:00:00	accep	-63.13414	CA
Harstad	68.79833	05/12/2015, 00:00:00	good	16.54165	NO
