station	QoS	longitude	location	revision	latitude
Kent	good	-122.23484	America/Los_Angeles	20 Mar 2018	47.38093
Azrou	excellent	-5.22126	Africa/Casablanca	2016-12-22	33.43443
Verl	accep	8.51667	Europe/Berlin	15 Oct 2021	51.88333
Pilar	good	120.56528	Asia/Manila	2020-10-10	14.66
Scarsdale	maintenance	-73.78458	America/New_York	2016-04-03	41.0051
Mikhaylovka	maintenance	43.2379	Europe/Volgograd	2021/12/16	50.06
Waverly	excellent	-84.62081	America/Detroit	03 Feb 2019	42.7392
San Carlos	excellent	-75.69947	America/Bogota	2018/11/24	8.79577
Esperanza	accep	-60.93173	America/Argentina/Cordoba	2014/12/23	-31.4488
Port Richmond	accep	-74.13653	America/New_York	08/13/2019, 00:00:00	40.63316
Granger	accep	-86.11084	America/Indiana/Indianapolis	2021/06/21	41.75338
Santa Cruz de Barahona	good	-71.10077	America/Santo_Domingo	2014-08-05	18.20854
Sakaraha	accep	44.53333	Indian/Antananarivo	2014/09/22	-22.9
La Garenne-Colombes	good	2.2469	Europe/Paris	2021/01/22	48.90472
Dumont	good	-73.99681	America/New_York	22 Nov 2021	40.94065
Perugia	good	12.38878	Europe/Rome	2017-02-16	43.1122
Kashira	accep	38.16694	Europe/Moscow	2020-12-17	54.84444
Likhobory	accep	37.56667	Europe/Moscow	15 Feb 2017	55.85
Jackson	building	-88.81395	America/Chicago	07 Jun 2022	35.61452
Tharu Shah	accep	68.11759	Asia/Karachi	2012/12/10	26.9423
Zacoalco de Torres	average	-103.5687	America/Mexico_City	2020/10/02	20.22816
Rwamagana	good	30.4347	Africa/Kigali	25 Oct 2017	-1.9487
Belper	accep	-1.48119	Europe/London	2019/02/02	53.0233
Strzelce Opolskie	maintenance	18.30056	Europe/Warsaw	2018/12/30	50.5107
Fresno	average	-95.44744	America/Chicago	04 Sep 2020	29.53885
Walsrode	maintenance	9.5926	Europe/Berlin	2017-08-22	52.86147
Newburgh	maintenance	-74.01042	America/New_York	2022-08-04	41.50343
Bad Honnef	average	7.2278	Europe/Berlin	2020-08-09	50.64336
Stade	average	9.47629	Europe/Berlin	2016-07-01	53.59337
Hueytown	good	-86.99666	America/Chicago	10/25/2019, 00:00:00	33.45122
Dombivli	good	73.08333	Asia/Kolkata	03/02/2015, 00:00:00	19.21667
South Lawndale	accep	-87.71255	America/Chicago	01 Jan 2017	41.84364
Busia	good	34.11169	Africa/Nairobi	2020-08-13	0.46005
les Escaldes	accep	1.53414	Europe/Andorra	2015-10-05	42.50729
Juhaynah	building	31.4976	Africa/Cairo	21 Jan 2019	26.67319
Rosedale	average	-76.51552	America/New_York	02/28/2018, 00:00:00	39.32011
Mianwali	average	71.52847	Asia/Karachi	2022-03-21	32.57756
Bushey	excellent	-0.36053	Europe/London	2021-09-07	51.64316
Dombivli	accep	73.08333	Asia/Kolkata	2020-03-02	19.21667
Penzance	average	-5.53715	Europe/London	2016-10-23	50.11861
Colomiers	maintenance	1.33467	Europe/Paris	02 Aug 2018	43.61058
Alatyr’	excellent	46.5813	Europe/Moscow	18 Jun 2021	54.8421
Gates-North Gates	maintenance	-77.70066	America/New_York	2014/06/19	43.16547
Marburg an der Lahn	excellent	8.77069	Europe/Berlin	20 Jan 2022	50.80904
Imbituba	average	-48.67028	America/Sao_Paulo	2018-04-14	-28.24
Punta Gorda Isles	excellent	-82.07842	America/New_York	2019/10/15	26.91756
Lille	accep	4.82313	Europe/Brussels	2018-08-12	51.24197
Kangayam	average	77.5609	Asia/Kolkata	06/07/2019, 00:00:00	11.00599
Yao	average	135.6	Asia/Tokyo	08 Mar 2022	34.61667
Barinas	excellent	-70.20749	America/Caracas	2021/09/27	8.62261
Leyland	good	-2.68758	Europe/London	07 Jun 2016	53.69786
Lal Bahadur Nagar	accep	78.55757	Asia/Kolkata	06 Mar 2019	17.34769
Corralillo	accep	-80.58556	America/Havana	2018/12/26	22.98212
Boo	excellent	18.28333	Europe/Stockholm	05/02/2018, 00:00:00	59.33333
Siliana	good	9.37082	Africa/Tunis	2019-12-12	36.08497
Tupi	maitennce	124.95278	Asia/Manila	2018-04-02	6.33444
Maryborough	building	152.70493	Australia/Brisbane	2016-10-03	-25.54073
Sishui	accep	117.27583	Asia/Shanghai	2018/10/16	35.64889
Yasothon	accep	104.1451	Asia/Bangkok	09 Nov 2012	15.79408
Norco	excellent	-117.54866	America/Los_Angeles	2022-06-18	33.93113
Mvomero	excellent	38.66667	Africa/Dar_es_Salaam	29 Mar 2020	-6.25
Itaperuna	good	-41.88778	America/Sao_Paulo	2020/05/07	-21.205
Fitchburg	excellent	-71.8023	America/New_York	22 Jun 2019	42.58342
Westbury	building	-2.1875	Europe/London	04/18/2015, 00:00:00	51.26
Rudolstadt	average	11.34046	Europe/Berlin	2017-11-14	50.72043
Port of Spain	excellent	-61.51889	America/Port_of_Spain	08/08/2016, 00:00:00	10.66668
Frenda	accep	1.04945	Africa/Algiers	2015/06/22	35.06544
Sinhyeon	excellent	128.62667	Asia/Seoul	01/24/2021, 00:00:00	34.8825
Elbeuf	maintenance	1.00288	Europe/Paris	06/16/2019, 00:00:00	49.28669
Beveren	good	4.25633	Europe/Brussels	2018/05/08	51.21187
Marseille 11	building	5.4384	Europe/Paris	2018-09-14	43.2907
Debre Tabor	excellent	38.01667	Africa/Addis_Ababa	2015/04/01	11.85
Wangon	building	109.05389	Asia/Jakarta	10/27/2018, 00:00:00	-7.51611
Port Richmond	good	-74.13653	America/New_York	2019/09/24	40.63316
Krasyliv	excellent	26.97253	Europe/Kiev	09/18/2020, 00:00:00	49.65186
Verl	building	8.51667	Europe/Berlin	11/02/2019, 00:00:00	51.88333
Dorval	average	-73.75335	America/Toronto	2019/01/03	45.4473
Kent	maintenance	-122.23484	America/Los_Angeles	03/27/2016, 00:00:00	47.38093
Jaruco	building	-82.00919	America/Havana	2013/03/02	23.04419
Clacton-on-Sea	accep	1.15597	Europe/London	11/25/2021, 00:00:00	51.78967
Negotin	excellent	22.53083	Europe/Belgrade	07 Jul 2019	44.22639
Serinhisar	good	29.26639	Europe/Istanbul	07/04/2017, 00:00:00	37.58105
Aguilares	excellent	-65.61427	America/Argentina/Tucuman	2017-09-12	-27.4338
Somoto	average	-86.58208	America/Managua	2020/10/18	13.48082
Scarsdale	excellent	-73.78458	America/New_York	02/25/2017, 00:00:00	41.0051
New City	average	-87.65644	America/Chicago	2016/07/22	41.80753
Villabate	maintenance	13.44275	Europe/Rome	04/20/2022, 00:00:00	38.07789
Ken Caryl	good	-105.11221	America/Denver	07 Jan 2014	39.57582
Rwamagana	building	30.4347	Africa/Kigali	2013/01/28	-1.9487
Izluchinsk	accep	76.92421	Asia/Yekaterinburg	17 Apr 2015	60.97944
Porterville	average	-119.01677	America/Los_Angeles	20 Apr 2022	36.06523
Gorakhpur	good	83.36889	Asia/Kolkata	2014-08-27	26.76628
Puertollano	building	-4.10734	Europe/Madrid	2014-02-24	38.68712
Lagos	excellent	3.39467	Africa/Lagos	03 Feb 2015	6.45407
Maspalomas	good	-15.58602	Atlantic/Canary	06/05/2022, 00:00:00	27.76056
Fairview Heights	good	-89.99038	America/Chicago	2016-07-21	38.58894
San Juan de Aznalfarache	accep	-6.03731	Europe/Madrid	2021/01/30	37.35813
Nowshahr	average	51.49621	Asia/Tehran	2016-06-15	36.64852
Aguadilla	accep	-67.15407	America/Puerto_Rico	03/12/2015, 00:00:00	18.42745
Schwalmtal	good	6.26667	Europe/Berlin	2019/08/19	51.21667
Itacoatiara	average	-58.44417	America/Manaus	28 Nov 2014	-3.14306
Lexington	good	-81.23621	America/New_York	02/20/2017, 00:00:00	33.98154
Vitebsk	accep	30.2049	Europe/Minsk	2018/01/16	55.1904
Lons-le-Saunier	accep	5.55575	Europe/Paris	08/04/2016, 00:00:00	46.67535
Roi Et	accep	103.65309	Asia/Bangkok	01 Sep 2019	16.0567
Bhayandar	good	72.85107	Asia/Kolkata	27 May 2017	19.30157
Jashpurnagar	average	84.13864	Asia/Kolkata	21 Oct 2019	22.88783
Pointe-Claire	excellent	-73.81669	America/Toronto	2012/10/02	45.44868
Glendale	building	-118.25508	America/Los_Angeles	01 Oct 2018	34.14251
Viradouro	building	-48.29694	America/Sao_Paulo	08 Jun 2016	-20.87306
Searcy	average	-91.73625	America/Chicago	2017-07-12	35.25064
Heroica Matamoros	good	-97.50417	America/Matamoros	2012/11/24	25.87972
Buenaventura	maintenance	-77.03116	America/Bogota	12/16/2019, 00:00:00	3.8801
Oaxaca	accep	-96.72365	America/Mexico_City	07/28/2019, 00:00:00	17.06542
Goyang-si	excellent	126.835	Asia/Seoul	2013-10-23	37.65639
Sainte-Catherine	excellent	-73.58248	America/Toronto	2012/11/23	45.40008
Gavrilov-Yam	building	39.85331	Europe/Moscow	2016-04-05	57.30185
Meerut	average	77.70636	Asia/Kolkata	2014/12/13	28.98002
Beaconsfield	good	-73.86586	America/Toronto	2015-12-24	45.43341
Nakhon Pathom	average	100.04427	Asia/Bangkok	09/20/2018, 00:00:00	13.8196
Pingyi	average	117.63083	Asia/Shanghai	21 Apr 2013	35.50056
Hofheim am Taunus	building	8.4493	Europe/Berlin	10 Sep 2022	50.09019
Kolomyagi	accep	30.28491	Europe/Moscow	2018/07/08	60.02427
Glendale	accep	-118.25508	America/Los_Angeles	05/20/2019, 00:00:00	34.14251
Mampong	building	-1.4001	Africa/Accra	2020/10/11	7.06273
La Ligua	excellent	-71.23106	America/Santiago	17 Feb 2015	-32.45242
Uran	good	72.93924	Asia/Kolkata	05/27/2020, 00:00:00	18.87813
Edremit	average	27.02444	Europe/Istanbul	01/07/2018, 00:00:00	39.59611
Hermsdorf	good	13.31783	Europe/Berlin	25 Feb 2015	52.61131
Acaponeta	building	-105.36369	America/Mazatlan	28 May 2019	22.49396
Dax	average	-1.05366	Europe/Paris	08/10/2022, 00:00:00	43.71032
Paoy Paet	average	102.56365	Asia/Phnom_Penh	2014-12-29	13.65805
Columbia Heights	accep	-93.263	America/Chicago	06/02/2017, 00:00:00	45.0408
Kent	good	-122.23484	America/Los_Angeles	04/09/2015, 00:00:00	47.38093
Tharu Shah	excellent	68.11759	Asia/Karachi	2013-12-04	26.9423
La Garenne-Colombes	excellent	2.2469	Europe/Paris	2012/10/09	48.90472
Rosedale	building	-76.51552	America/New_York	2013-12-12	39.32011
Same	excellent	37.73333	Africa/Dar_es_Salaam	20 Feb 2014	-4.06667
Nutley	excellent	-74.15987	America/New_York	2020/06/10	40.82232
Coralville	average	-91.58045	America/Chicago	2017/01/07	41.6764
Standerton	excellent	29.24152	Africa/Johannesburg	2018-10-08	-26.93366
Dehiwala-Mount Lavinia	average	79.87116	Asia/Colombo	12/03/2019, 00:00:00	6.84019
Dyat’kovo	maintenance	34.33825	Europe/Moscow	2017/10/27	53.59782
Eppingen	average	8.91229	Europe/Berlin	2018-06-21	49.13645
Labuhan Deli	good	98.6738	Asia/Jakarta	2022/01/29	3.7278
Budva	excellent	18.84	Europe/Podgorica	11 Nov 2018	42.28639
Tornio	average	24.14662	Europe/Helsinki	2018/03/19	65.84811
Muskogee	accep	-95.36969	America/Chicago	2012-12-08	35.74788
Aracaju	average	-37.07167	America/Maceio	2018-08-18	-10.91111
Rio Real	acceptable	-37.93278	America/Bahia	02/09/2016, 00:00:00	-11.48472
Kudus	building	110.8405	Asia/Jakarta	07/29/2021, 00:00:00	-6.8048
Zhukovka	excellent	33.72798	Europe/Moscow	19 Mar 2018	53.53395
Chiavari	excellent	9.32241	Europe/Rome	2021-06-15	44.31771
Elbeuf	good	1.00288	Europe/Paris	05/29/2021, 00:00:00	49.28669
Barracas	maintenance	-58.38341	America/Argentina/Buenos_Aires	2016-12-06	-34.64966
Villabate	average	13.44275	Europe/Rome	06/26/2017, 00:00:00	38.07789
Pontevedra	excellent	-58.70072	America/Argentina/Buenos_Aires	2017-11-05	-34.74785
Tharu Shah	good	68.11759	Asia/Karachi	31 Jul 2014	26.9423
Tsuen Wan	building	114.10479	Asia/Hong_Kong	2014-06-14	22.37066
Colomiers	good	1.33467	Europe/Paris	11/23/2020, 00:00:00	43.61058
Kaukauna	average	-88.27205	America/Chicago	05/29/2021, 00:00:00	44.27804
Jersey City	excellent	-74.07764	America/New_York	2014/09/28	40.72816
Lesnoy	average	59.80222	Asia/Yekaterinburg	07/20/2016, 00:00:00	58.63667
Talavera de la Reina	excellent	-4.83076	Europe/Madrid	2018/09/22	39.96348
Bensheim	good	8.61839	Europe/Berlin	2019-05-19	49.68369
Mount Hagen	maintenance	144.23058	Pacific/Port_Moresby	2015/12/25	-5.85746
Minas de Marcona	accep	-75.11028	America/Lima	2022/01/06	-15.21194
Onex	excellent	6.10237	Europe/Zurich	02/17/2013, 00:00:00	46.18396
Labuhan Deli	building	98.6738	Asia/Jakarta	09/26/2017, 00:00:00	3.7278
Cebu City	excellent	123.89071	Asia/Manila	15 Dec 2016	10.31672
Igbara-Odo	building	5.06258	Africa/Lagos	2017/01/17	7.50251
Larkana	excellent	68.21204	Asia/Karachi	2017-04-14	27.55898
Kalavoor	maintenance	76.32756	Asia/Kolkata	14 Aug 2014	9.57046
Memmingen	good	10.18527	Europe/Berlin	2021/04/03	47.98372
Floridsdorf	average	16.4	Europe/Vienna	01 Oct 2021	48.25
Alwaye	good	76.35484	Asia/Kolkata	09/10/2019, 00:00:00	10.10649
Toledo	excellent	-83.55521	America/New_York	2018-01-18	41.66394
Ukmerge	building	24.75	Europe/Vilnius	02 Apr 2018	55.25
Changzhi	average	111.73861	Asia/Shanghai	29 Oct 2021	35.20889
Denderleeuw	good	4.07601	Europe/Brussels	09/08/2022, 00:00:00	50.88506
Novosilikatnyy	maintenance	83.62389	Asia/Barnaul	27 Jun 2018	53.30972
Surbiton	average	-0.29825	Europe/London	07/06/2017, 00:00:00	51.39148
Lancing	building	-0.32247	Europe/London	23 Dec 2018	50.82882
Ar Ruseris	accep	34.3869	Africa/Khartoum	04/26/2019, 00:00:00	11.8659
Leland	accep	-78.04471	America/New_York	11/29/2018, 00:00:00	34.25628
Hlukhiv	building	33.9162	Europe/Kiev	2016-12-24	51.67822
Burgos	average	120.57224	Asia/Manila	02/08/2018, 00:00:00	15.72892
Wittenau	average	13.32127	Europe/Berlin	07/18/2018, 00:00:00	52.59319
Wacheng	excellent	114.51667	Asia/Shanghai	2019-07-20	33.78333
Shinshiro	excellent	137.5	Asia/Tokyo	2018/01/04	34.9
Memmingen	good	10.18527	Europe/Berlin	11 Apr 2016	47.98372
Polohy	excellent	36.25361	Europe/Zaporozhye	11/03/2015, 00:00:00	47.48444
Villa del Rosario	good	-72.47417	America/Bogota	29 Mar 2022	7.83389
Bon Air	accep	-77.55777	America/New_York	15 Aug 2018	37.52487
Madhipura	maintenance	86.79271	Asia/Kolkata	28 Jan 2013	25.92127
Carlos Barbosa	building	-51.50361	America/Sao_Paulo	2018/02/04	-29.2975
Huntley	good	-88.42814	America/Chicago	2013-12-24	42.16808
Wangon	excellent	109.05389	Asia/Jakarta	22 Jul 2021	-7.51611
Mokopane	excellent	29.00974	Africa/Johannesburg	10/11/2013, 00:00:00	-24.19436
Alfenas	maintenance	-45.94722	America/Sao_Paulo	13 Nov 2016	-21.42917
San Fernando de Henares	good	-3.53261	Europe/Madrid	2013/08/04	40.42386
Namerikawa	maintenance	137.36215	Asia/Tokyo	2019-07-06	36.75965
Zgorzelec	accep	15.00835	Europe/Warsaw	09/09/2015, 00:00:00	51.14942
Jerada	good	-2.16	Africa/Casablanca	2020-06-14	34.31
Tavda	average	65.27258	Asia/Yekaterinburg	2018/07/25	58.04254
Cypress Hills	average	-73.89125	America/New_York	15 Mar 2020	40.67705
Shaowu	average	117.4831	Asia/Shanghai	01/06/2013, 00:00:00	27.34089
Woodlawn	average	-76.72803	America/New_York	10 Jan 2021	39.32288
Volla	excellent	14.34085	Europe/Rome	06/17/2016, 00:00:00	40.87363
Dorval	good	-73.75335	America/Toronto	07 Sep 2020	45.4473
Waverly	excellent	-84.62081	America/Detroit	03/14/2013, 00:00:00	42.7392
Tyler	maintenance	-95.30106	America/Chicago	07/30/2017, 00:00:00	32.35126
Tinaquillo	building	-68.30472	America/Caracas	05/12/2015, 00:00:00	9.91861
Efon-Alaaye	accep	4.92235	Africa/Lagos	2019-04-01	7.65649
Baulkham Hills	accep	150.99292	Australia/Sydney	2019-10-03	-33.75881
Guapimirim	average	-42.98194	America/Sao_Paulo	09/20/2017, 00:00:00	-22.53722
Aksaray	building	34.02537	Europe/Istanbul	2022/02/03	38.37255
Friedberg	average	10.98461	Europe/Berlin	01 Apr 2018	48.35693
Ovalle	maintenance	-71.19901	America/Santiago	2019/05/23	-30.60106
Santa Catalina	building	122.8637	Asia/Manila	04/02/2022, 00:00:00	9.3337
Venice	maintenance	-82.45426	America/New_York	08/06/2021, 00:00:00	27.09978
Taozhuang	good	117.33333	Asia/Shanghai	2013/09/26	34.85
Barinas	average	-70.20749	America/Caracas	24 Apr 2018	8.62261
Krymsk	average	37.99117	Europe/Moscow	2013/02/22	44.92934
Far Rockaway	maintenance	-73.75513	America/New_York	01/26/2018, 00:00:00	40.60538
Elbeuf	excellent	1.00288	Europe/Paris	27 Nov 2020	49.28669
Lesnoy	excellent	59.80222	Asia/Yekaterinburg	2017/09/21	58.63667
El Alia	good	10.03478	Africa/Tunis	2021-04-16	37.16911
Solntsevo	average	37.38115	Europe/Moscow	2018-12-05	55.63711
Randudongkal	building	109.3243	Asia/Jakarta	07/23/2019, 00:00:00	-7.0981
South Lawndale	accep	-87.71255	America/Chicago	03 Nov 2012	41.84364
Perugia	good	12.38878	Europe/Rome	05/07/2021, 00:00:00	43.1122
Watsonville	excellent	-121.75689	America/Los_Angeles	03/18/2018, 00:00:00	36.91023
Kyaikto	building	97.01124	Asia/Yangon	12/25/2017, 00:00:00	17.30858
Nova Kakhovka	excellent	33.34864	Europe/Kiev	03 Mar 2019	46.75451
Cardedeu	excellent	2.35739	Europe/Madrid	24 Feb 2020	41.63976
Mardin	accep	40.74357	Europe/Istanbul	2019-11-26	37.31309
Ajdabiya	good	20.22625	Africa/Tripoli	13 Oct 2014	30.75545
Alatyr’	good	46.5813	Europe/Moscow	2020-10-07	54.8421
Schererville	good	-87.45476	America/Chicago	2013/05/20	41.47892
Jizzax	accep	67.84222	Asia/Samarkand	2013/10/08	40.11583
Tchaourou	average	2.59753	Africa/Porto-Novo	2021-08-11	8.88649
Kalavoor	average	76.32756	Asia/Kolkata	31 May 2021	9.57046
Albufeira	building	-8.2503	Europe/Lisbon	15 Feb 2022	37.08819
Haicheng	excellent	122.74754	Asia/Shanghai	10/12/2020, 00:00:00	40.85158
Shaowu	accep	117.4831	Asia/Shanghai	2019/05/12	27.34089
Indio	maintenance	-116.21677	America/Los_Angeles	2019/02/22	33.7207
Carlos Barbosa	average	-51.50361	America/Sao_Paulo	12 Feb 2019	-29.2975
Losser	average	7.00417	Europe/Amsterdam	23 Aug 2022	52.26083
Larkana	maintenance	68.21204	Asia/Karachi	2013-09-03	27.55898
Nova Kakhovka	good	33.34864	Europe/Kiev	18 Jun 2014	46.75451
Gaya	good	9.0027	Africa/Lagos	2016/11/10	11.86064
Kafanchan	excellent	8.2926	Africa/Lagos	12 Sep 2022	9.58126
Surbiton	good	-0.29825	Europe/London	21 Nov 2019	51.39148
Coralville	average	-91.58045	America/Chicago	24 Apr 2019	41.6764
Betamcherla	excellent	78.14797	Asia/Kolkata	14 Dec 2018	15.45144
Hungund	average	76.0586	Asia/Kolkata	04/03/2017, 00:00:00	16.06213
Chosica	accep	-76.70944	America/Lima	2019/11/25	-11.94306
Antipolo	average	121.12251	Asia/Manila	2020/12/08	14.62578
Barinas	accep	-70.20749	America/Caracas	26 Dec 2016	8.62261
Tucano	average	-38.79084	America/Bahia	2021/05/14	-10.95817
Ovalle	excellent	-71.19901	America/Santiago	16 Feb 2017	-30.60106
San Lorenzo Acopilco	excellent	-99.32556	America/Mexico_City	2013-07-22	19.32889
Milagro	building	-79.59415	America/Guayaquil	07 Aug 2018	-2.13404
Nova Kakhovka	average	33.34864	Europe/Kiev	03 Mar 2016	46.75451
Ganei Tikva	building	34.8732	Asia/Jerusalem	12/17/2013, 00:00:00	32.05971
Opportunity	average	-117.23991	America/Los_Angeles	30 Oct 2021	47.64995
Ramla	excellent	34.86563	Asia/Jerusalem	17 Feb 2021	31.92923
Soroca	good	28.28489	Europe/Chisinau	02/11/2014, 00:00:00	48.15659
Kasangulu	average	15.16554	Africa/Kinshasa	13 Jan 2019	-4.5833
Port-Vila	maintenance	168.31366	Pacific/Efate	16 Mar 2014	-17.73648
Fitchburg	excellent	-71.8023	America/New_York	2022-01-06	42.58342
Roslavl’	excellent	32.86389	Europe/Moscow	2014/09/30	53.95278
Tupelo	maintenance	-88.70464	America/Chicago	04/08/2016, 00:00:00	34.25807
Kirchlengern	accep	8.63333	Europe/Berlin	28 Feb 2018	52.2
Progreso	maintenance	-89.66123	America/Merida	17 Dec 2017	21.28306
Friedberg	good	10.98461	Europe/Berlin	06 Mar 2015	48.35693
Mirriah	building	9.15013	Africa/Niamey	04/29/2021, 00:00:00	13.70727
Nonsan	accep	127.08472	Asia/Seoul	2017-10-01	36.20389
Krymsk	good	37.99117	Europe/Moscow	06/22/2021, 00:00:00	44.92934
Beryozovsky	good	60.8019	Asia/Yekaterinburg	07/17/2015, 00:00:00	56.9083
Casa Blanca	excellent	-98.11889	America/Mexico_City	2018-12-30	19.04222
Mardin	accep	40.74357	Europe/Istanbul	11/26/2018, 00:00:00	37.31309
Tebingtinggi	maintenance	99.1625	Asia/Jakarta	2013/02/10	3.3285
Liaoyang	average	123.17306	Asia/Shanghai	16 Oct 2018	41.27194
Hongseong	building	126.665	Asia/Seoul	11/15/2016, 00:00:00	36.6009
Frankston South	good	145.13643	Australia/Melbourne	06/07/2019, 00:00:00	-38.16604
Kahului	good	-156.47432	Pacific/Honolulu	09/18/2014, 00:00:00	20.88953
Most	accep	13.63617	Europe/Prague	03 Dec 2019	50.50301
El Copey	accep	-73.9614	America/Bogota	2016/02/09	10.15031
Resplendor	excellent	-41.25528	America/Sao_Paulo	09/19/2018, 00:00:00	-19.32556
Culemborg	good	5.22778	Europe/Amsterdam	12/03/2014, 00:00:00	51.955
Tavda	average	65.27258	Asia/Yekaterinburg	2016-04-21	58.04254
Contla	excellent	-98.1664	America/Mexico_City	2022-07-02	19.32932
Reutlingen	maintenance	9.20427	Europe/Berlin	2017/11/01	48.49144
Alwaye	excellent	76.35484	Asia/Kolkata	01/02/2014, 00:00:00	10.10649
Donggongon	accep	116.10146	Asia/Kuching	20 Dec 2015	5.90702
Le Chesnay	accep	2.12213	Europe/Paris	08/15/2016, 00:00:00	48.8222
Gingee	good	79.41727	Asia/Kolkata	14 Sep 2021	12.25282
Gifhorn	accep	10.5511	Europe/Berlin	12 Apr 2015	52.47774
Hardenberg	good	6.61944	Europe/Amsterdam	2019/10/04	52.57583
Supaul	maintenance	86.59509	Asia/Kolkata	07/13/2014, 00:00:00	26.11527
Newbury	excellent	-1.32471	Europe/London	2017/02/08	51.40148
Korschenbroich	good	6.51352	Europe/Berlin	25 Jul 2019	51.19139
Karbala	accep	44.02488	Asia/Baghdad	2022/04/14	32.61603
Ulu Tiram	good	103.81667	Asia/Kuala_Lumpur	2021-03-19	1.6
Marly-le-Roi	average	2.08333	Europe/Paris	2016-10-20	48.86667
Ariccia	building	12.6723	Europe/Rome	06/30/2022, 00:00:00	41.72063
Saint-Denis	maintenance	55.4504	Indian/Reunion	2016/11/09	-20.88231
Arbroath	excellent	-2.58736	Europe/London	29 Dec 2017	56.56317
Jingzhou	average	112.19028	Asia/Shanghai	08/08/2019, 00:00:00	30.35028
Maxixe	accep	35.34722	Africa/Maputo	02/06/2022, 00:00:00	-23.85972
Volokolamsk	building	35.96944	Europe/Moscow	2014-12-12	56.03361
