location	revision	longitude	code	QoS	latitude
Europe/Madrid	10/17/2017, 00:00:00	-2.98884	ES	excellent	43.32686
Asia/Tokyo	2017/12/19	140.73667	JP	excellent	41.77583
Europe/Madrid	29 Mar 2014	-1.325	ES	maintenance	38.47917
Europe/Rome	11/07/2019, 00:00:00	14.30935	IT	accep	40.92298
Asia/Tokyo	2013-09-13	144.09638	JP	building	43.82634
America/Chicago	10/06/2020, 00:00:00	-90.10674	US	excellent	29.84576
Europe/Warsaw	10/12/2019, 00:00:00	16.86194	PL	excellent	54.58048
America/Chicago	2016/04/01	-89.99038	US	good	38.58894
Asia/Colombo	2016-02-18	79.883	LK	average	6.9909
Asia/Karachi	2016-08-15	70.96699	PK	maintenance	30.46907
America/Sao_Paulo	15 Nov 2015	-42.98194	BR	good	-22.53722
Europe/Moscow	05/06/2020, 00:00:00	37.92792	RU	accep	53.93361
Asia/Yakutsk	08/16/2017, 00:00:00	111.4834	RU	accep	65.93381
America/Bahia	22 May 2021	-37.93278	BR	accep	-11.48472
Asia/Manila	2014-10-31	120.57224	PH	good	15.72892
America/Los_Angeles	11 Aug 2013	-122.24092	US	good	47.4943
America/Bogota	2021/10/20	-74.26419	CO	excellent	4.73245
America/New_York	10 Jun 2013	-81.79819	US	average	41.48199
Europe/Warsaw	2020-11-24	18.34717	PL	good	54.60528
America/Los_Angeles	07/28/2020, 00:00:00	-122.2054	US	excellent	47.76232
Europe/Berlin	2016/01/28	12.1369	DE	building	51.04962
America/Fortaleza	2018/01/01	-40.7475	BR	accep	-4.16694
America/Toronto	18 Sep 2019	-73.86586	CA	building	45.43341
America/New_York	2015-10-25	-81.77285	US	excellent	28.54944
Europe/Istanbul	2014/12/01	40.74357	TR	average	37.31309
Asia/Tokyo	2018-07-18	139.6853	JP	good	35.815
Europe/Prague	2021-12-29	13.63617	CZ	average	50.50301
Asia/Kolkata	24 Aug 2015	78.25795	IN	average	9.82564
America/Los_Angeles	2018/10/25	-117.23991	US	excellent	47.64995
America/Los_Angeles	2020-01-09	-122.24092	US	building	47.4943
Asia/Kolkata	02 Feb 2015	77.54372	IN	average	10.12268
Asia/Tokyo	2020/08/21	139.55722	JP	good	36
Asia/Manila	2017-05-20	121.3152	PH	average	14.14989
Europe/Brussels	08/23/2015, 00:00:00	3.16667	BE	excellent	50.8
Europe/Berlin	10 Feb 2015	8.70745	DE	average	49.03685
Africa/Casablanca	2021-10-07	-5.22126	MA	building	33.43443
Asia/Baku	27 Sep 2021	48.87498	AZ	good	38.45598
Asia/Kolkata	20 May 2021	78.23456	IN	maintenance	28.92694
Asia/Qyzylorda	15 Jan 2013	65.50917	KZ	accep	44.85278
Asia/Bangkok	05/19/2020, 00:00:00	100.04427	TH	maintenance	13.8196
America/Chicago	12 Feb 2019	-88.27205	US	accep	44.27804
Europe/Helsinki	10/23/2015, 00:00:00	24.95034	FI	accep	60.18427
America/New_York	06/18/2019, 00:00:00	-73.89875	US	good	40.93121
Africa/Dar_es_Salaam	14 Apr 2022	33	TZ	average	-2.68333
Asia/Tokyo	07/21/2019, 00:00:00	144.09638	JP	maintenance	43.82634
America/Mazatlan	2015-07-22	-105.36369	MX	accep	22.49396
America/Los_Angeles	2021-06-02	-121.75689	US	building	36.91023
Asia/Karachi	2019/07/04	70.96699	PK	good	30.46907
Australia/Melbourne	2017-03-30	145.18333	AU	building	-37.9
Europe/London	2021-06-09	-4.0573	GB	accep	55.82737
Indian/Antananarivo	2014-10-28	48.41667	MG	accep	-17.83333
Asia/Kolkata	06/28/2022, 00:00:00	78.40102	IN	average	27.9247
Europe/Helsinki	2019/05/14	24.6522	FI	excellent	60.2052
Europe/Dublin	08/22/2020, 00:00:00	-7.35	IE	accep	53.53333
America/Sao_Paulo	20 Jun 2021	-42.19667	BR	building	-21.41222
America/Bogota	06/26/2021, 00:00:00	-73.26022	CO	accep	6.46838
Europe/London	2017-08-18	-1.48119	GB	average	53.0233
Asia/Tehran	2016-09-18	51.49621	IR	average	36.64852
America/New_York	2018/10/10	-71.8023	US	good	42.58342
Europe/Paris	2021-02-15	2.45012	FR	average	48.90982
America/Los_Angeles	2018/05/07	-120.43572	US	maintenance	34.95303
Asia/Kolkata	10/15/2019, 00:00:00	74.4818	IN	good	30.21121
America/Chicago	2016-02-02	-89.64066	US	accep	40.56754
Europe/Vienna	08 Oct 2018	15.46667	AT	acceptable	47.05
Asia/Almaty	08 Jun 2016	84.87144	KZ	accep	47.46657
Europe/Tallinn	2021-09-30	28.19028	EE	building	59.37722
Asia/Dili	15 Oct 2017	125.21972	TL	excellent	-8.99167
America/Chicago	08 Jan 2022	-94.74049	US	maintenance	32.5007
America/Boise	2019/10/18	-116.56346	US	accep	43.54072
America/Maceio	2022-01-05	-37.65	BR	accep	-10.91722
Europe/Amsterdam	27 Feb 2016	6.61944	NL	accep	52.57583
America/Havana	2022/07/19	-80.58556	CU	excellent	22.98212
Europe/Madrid	08/03/2019, 00:00:00	-4.83076	ES	acceptable	39.96348
Asia/Shanghai	2020/05/18	111.73861	CN	excellent	35.20889
Indian/Reunion	2021/10/31	55.4504	RE	building	-20.88231
Asia/Manila	2013-08-17	121.12251	PH	excellent	14.62578
America/New_York	22 Oct 2020	-75.64963	US	excellent	40.24537
Asia/Kolkata	02/20/2019, 00:00:00	75.35927	IN	building	12.04161
Asia/Kolkata	2020/07/16	78.40102	IN	maintenance	27.9247
Europe/Rome	2018-06-30	11.04979	IT	good	44.59445
Europe/London	2017-08-27	-3.05814	GB	average	53.00974
America/Chicago	2017-02-25	-94.74049	US	good	32.5007
Europe/Berlin	2014/01/27	9.5926	DE	excellent	52.86147
America/New_York	30 Apr 2019	-75.60804	US	excellent	39.96097
America/Chicago	2021/11/04	-87.45476	US	excellent	41.47892
Europe/London	18 Sep 2018	0.30367	GB	average	51.38673
Asia/Yekaterinburg	21 Aug 2018	65.27258	RU	average	58.04254
America/Los_Angeles	01/21/2020, 00:00:00	-122.2608	US	good	38.17492
America/Chicago	01/03/2013, 00:00:00	-91.77127	US	good	37.95143
America/New_York	26 Feb 2015	-82.35176	US	excellent	27.71809
Asia/Tokyo	2019-03-18	139.55722	JP	accep	36
Europe/Warsaw	2020/08/13	18.34717	PL	average	54.60528
Europe/Kiev	06/02/2022, 00:00:00	30.96755	UA	accep	49.07866
Europe/Amsterdam	2021-12-28	5.23333	NL	good	52.09
Australia/Melbourne	2019/07/20	145.13643	AU	accep	-38.16604
America/Los_Angeles	2013/02/08	-117.71978	US	accep	34.09668
Europe/Berlin	09/05/2017, 00:00:00	8.77155	DE	building	50.23019
Europe/Berlin	08/09/2022, 00:00:00	10.98461	DE	accep	48.35693
Africa/Ndjamena	2019/01/01	18.69303	TD	maintenance	12.18441
Africa/Dar_es_Salaam	2014-06-10	38.66667	TZ	good	-6.25
Europe/Paris	05/18/2016, 00:00:00	-0.45877	FR	building	46.32313
Europe/Berlin	06/22/2016, 00:00:00	12.1369	DE	good	51.04962
Europe/Rome	08/15/2013, 00:00:00	9.32241	IT	average	44.31771
America/Sao_Paulo	07 Jan 2013	-47.53028	BR	average	-22.45667
America/Mexico_City	2017/06/24	-94.91386	MX	good	17.94979
Asia/Jakarta	2014/04/20	99.1625	ID	average	3.3285
Asia/Manila	2018/03/14	123.99333	PH	good	12.97389
Europe/Amsterdam	2012/11/14	4.47124	NL	maintenance	51.95838
America/Bogota	28 Oct 2018	-74.95472	CO	building	10.98778
Europe/Rome	15 Feb 2020	8.55552	IT	building	40.72586
Europe/Kiev	08 May 2015	33.9162	UA	maintenance	51.67822
Indian/Antananarivo	2020-03-10	48.41667	MG	building	-17.83333
Asia/Kolkata	2020-10-09	86.59611	IN	excellent	25.87498
America/New_York	2015/03/07	-75.23266	US	building	43.1009
Europe/Samara	2022-01-23	51.3452	RU	accep	53.37596
America/Panama	2018/02/20	-79.62098	PA	accep	9.15093
America/Vancouver	2014/04/13	-119.27337	CA	excellent	50.26729
America/New_York	2018-10-19	-71.08977	US	maintenance	41.9001
Europe/Madrid	01/18/2022, 00:00:00	-2.68333	ES	average	43.31667
Asia/Shanghai	2013-02-21	114.51667	CN	average	33.78333
Europe/Berlin	2020/02/24	6.9747	DE	maintenance	50.82709
Europe/Istanbul	2015/04/01	37.3825	TR	average	37.05944
America/Chicago	2019-09-21	-91.77127	US	good	37.95143
Asia/Manila	17 Sep 2015	120.89694	PH	building	14.95472
Europe/Berlin	06/08/2014, 00:00:00	6.8625	DE	excellent	51.47805
Africa/Lubumbashi	11/13/2012, 00:00:00	24.43973	CD	accep	0.76755
Africa/Dar_es_Salaam	2022-08-05	38.66667	TZ	accep	-6.25
America/Mexico_City	2013/07/08	-103.42897	MX	good	20.28527
Asia/Shanghai	2013-10-01	117.27583	CN	good	35.64889
Pacific/Honolulu	12/25/2013, 00:00:00	-156.47432	US	excellent	20.88953
Africa/Algiers	18 Feb 2015	3.47717	DZ	good	36.76639
America/Denver	28 Sep 2020	-111.99633	US	excellent	40.65995
Europe/London	07/26/2013, 00:00:00	-3.05814	GB	maintenance	53.00974
America/Denver	01 Feb 2015	-104.22884	US	accep	32.42067
America/Chicago	08/08/2014, 00:00:00	-90.10674	US	accep	29.84576
Asia/Shanghai	11/27/2014, 00:00:00	122.74754	CN	average	40.85158
Europe/London	2014-01-31	-2.09814	GB	good	57.14369
America/Caracas	18 Oct 2017	-62.64102	VE	average	8.35122
America/Argentina/Buenos_Aires	2014-01-16	-58.70072	AR	excellent	-34.74785
Asia/Colombo	2017/06/25	79.883	LK	good	6.9909
Europe/Volgograd	01/18/2017, 00:00:00	43.2379	RU	average	50.06
Asia/Manila	07/19/2017, 00:00:00	121.12251	PH	good	14.62578
Africa/Kigali	2016/01/26	30.4347	RW	average	-1.9487
Africa/Lubumbashi	18 Aug 2019	24.43973	CD	good	0.76755
Asia/Kolkata	2020-01-15	77.23826	IN	average	11.50526
Europe/Berlin	2013/08/25	8.91229	DE	average	49.13645
Europe/Bucharest	2022/02/16	26.01649	RO	average	44.43579
America/Los_Angeles	2014-11-13	-117.23991	US	excellent	47.64995
Africa/Abidjan	14 Dec 2017	-5.682	CI	excellent	5.84752
Africa/Algiers	19 Aug 2013	3.47717	DZ	average	36.76639
Africa/Kampala	10 Jan 2021	30.98551	UG	accep	2.41669
Australia/Sydney	2012-12-14	150.99292	AU	excellent	-33.75881
Africa/Dar_es_Salaam	2022-01-17	33	TZ	accep	-2.68333
America/Chicago	01/12/2014, 00:00:00	-89.99038	US	good	38.58894
Europe/Vienna	12 Jul 2018	15.46667	AT	acceptable	47.05
Asia/Bishkek	01/10/2017, 00:00:00	73	KG	average	40.93333
Asia/Kolkata	2017/02/16	77.656	IN	excellent	28.71271
America/Guayaquil	2017-12-06	-79.00453	EC	excellent	-2.90055
Asia/Jakarta	10/17/2013, 00:00:00	101.44167	ID	average	0.51667
Europe/Moscow	2021/01/05	47.1192	RU	maintenance	42.819
Asia/Yangon	10/29/2014, 00:00:00	98.19151	MM	average	14.0823
Europe/London	01 Jan 2016	-4.0573	GB	good	55.82737
Europe/Tallinn	2016/12/25	28.19028	EE	average	59.37722
America/Bogota	2013/11/08	-73.9614	CO	good	10.15031
Atlantic/Canary	04 Nov 2018	-15.58602	ES	accep	27.76056
Asia/Shanghai	2015-09-19	125.51176	CN	accep	42.64031
Europe/Berlin	23 Feb 2018	10.30215	DE	excellent	53.94313
Europe/Belgrade	2015/06/21	19.61222	RS	excellent	44.97639
Europe/Berlin	2017-07-28	10.18527	DE	building	47.98372
Asia/Manila	2015/01/18	120.57224	PH	building	15.72892
Asia/Seoul	17 Feb 2013	127.08472	KR	excellent	36.20389
America/Jamaica	2014-03-19	-76.78319	JM	building	18.00747
Asia/Karachi	2016-04-06	71.67164	PK	maintenance	30.29184
Europe/Moscow	22 Sep 2020	38.16694	RU	accep	54.84444
America/Chicago	01/16/2021, 00:00:00	-99.73314	US	building	32.44874
America/Los_Angeles	10 Aug 2018	-116.37697	US	average	33.72255
Europe/Kiev	04/15/2019, 00:00:00	32.6178	UA	accep	46.65581
Europe/Madrid	19 Jun 2021	-8.2194	ES	building	43.48961
Asia/Vladivostok	2022/03/02	140.72287	RU	good	53.14657
Africa/Algiers	19 Oct 2014	4.08282	DZ	accep	36.61954
America/Sao_Paulo	2021/11/19	-50.19556	BR	average	-19.72806
Africa/Dar_es_Salaam	2015-07-11	39.28333	TZ	average	-10.33333
America/Sao_Paulo	10/28/2012, 00:00:00	-48.67028	BR	accep	-28.24
America/Recife	2021/06/19	-34.88111	BR	good	-8.05389
Europe/Berlin	2022/09/02	11.37703	DE	excellent	48.06919
America/Toronto	2022/08/18	-73.86586	CA	average	45.43341
Europe/Skopje	2019-04-18	20.91361	MK	good	41.92361
Asia/Almaty	06/22/2022, 00:00:00	84.87144	KZ	average	47.46657
Europe/Berlin	02/14/2020, 00:00:00	8.4493	DE	building	50.09019
Asia/Shanghai	07/16/2019, 00:00:00	123.50266	CN	good	41.94175
America/New_York	2018/04/06	-71.8023	US	accep	42.58342
Asia/Novokuznetsk	06/12/2014, 00:00:00	85.4265	RU	average	55.8736
Europe/Madrid	09 May 2021	0.57856	ES	maintenance	40.70995
Asia/Manila	01/09/2015, 00:00:00	123.33471	PH	average	8.56697
Europe/Sofia	02 Sep 2017	23.225	BG	building	43.4125
Europe/Paris	16 Sep 2017	2.25	FR	building	50.75
Asia/Tokyo	15 Jun 2022	142.45778	JP	maintenance	44.35056
America/Indiana/Indianapolis	2014/09/03	-86.11084	US	average	41.75338
Europe/Paris	01 Oct 2013	2.45012	FR	maintenance	48.90982
Asia/Aden	11 May 2013	46.83187	YE	good	14.53767
Europe/Istanbul	2017/04/13	28.67582	TR	good	40.98894
America/Havana	05/17/2021, 00:00:00	-82.4017	CU	building	23.0072
Africa/Johannesburg	2020-11-19	29.00974	ZA	maintenance	-24.19436
Asia/Kolkata	2020-08-12	85.83334	IN	building	20.88197
Asia/Ho_Chi_Minh	2015-02-27	105.75635	VN	maintenance	10.29085
Europe/Moscow	2015/04/24	38.16694	RU	maintenance	54.84444
Europe/Paris	09 Jan 2015	1.33467	FR	excellent	43.61058
Australia/Brisbane	02/11/2014, 00:00:00	153.10236	AU	accep	-27.50578
Africa/Lagos	23 Mar 2014	4.92235	NG	good	7.65649
Europe/Moscow	2020-11-24	43.67663	RU	excellent	53.53041
America/Chicago	2020-10-12	-87.70172	US	good	41.72059
Europe/Oslo	07/08/2022, 00:00:00	16.54165	NO	maintenance	68.79833
Asia/Tokyo	2020/07/11	137.23333	JP	average	35.8
America/Los_Angeles	2015-01-30	-122.40433	US	building	37.71715
Europe/Rome	05/09/2019, 00:00:00	7.60872	IT	building	43.78956
Asia/Kolkata	11/01/2016, 00:00:00	71.21169	IN	excellent	21.59983
Africa/Dar_es_Salaam	2019-07-16	38.01667	TZ	building	-5.41667
Europe/London	2021-12-11	-0.36053	GB	average	51.64316
Europe/Rome	2014-05-27	8.86374	IT	accep	44.89784
Asia/Kolkata	2013/11/03	76.11996	IN	maintenance	11.12018
America/Sao_Paulo	2020-05-19	-41.88778	BR	maintenance	-21.205
Africa/Windhoek	2017/11/17	16.91667	NA	maintenance	-21.98333
America/New_York	12/01/2014, 00:00:00	-71.29144	US	good	41.54566
Europe/Madrid	2017/01/28	-0.76773	ES	good	38.38479
Asia/Tokyo	2012-12-18	139.55722	JP	average	36
Asia/Dhaka	2018/03/21	91.84128	BD	good	22.83957
Europe/Paris	26 Nov 2019	5.4584	FR	excellent	43.32393
Asia/Shanghai	12/09/2019, 00:00:00	120.33063	CN	building	37.65181
Asia/Kolkata	2021/05/09	78.25795	IN	accep	9.82564
America/Los_Angeles	2016-04-06	-122.39168	US	maintenance	40.58654
Europe/Berlin	08/17/2019, 00:00:00	11.37703	DE	maintenance	48.06919
America/Santo_Domingo	2021/04/10	-71.10077	DO	good	18.20854
