station	longitude	QoS	code	latitude	revision
Xinzhou	112.73333	average	CN	38.40917	12/22/2019, 00:00:00
Gaya	9.0027	building	NG	11.86064	2021/07/29
Changshu City	120.74221	maintenance	CN	31.64615	12/05/2014, 00:00:00
Al Jubayl	49.62251	maintenance	SA	27.0174	2019/02/26
Pekanbaru	101.44167	excellent	ID	0.51667	2015-07-07
La Trinidad	120.5875	building	PH	16.455	2021/11/20
Lower West Side	-87.66561	accep	US	41.8542	02/16/2013, 00:00:00
Waterbury	-73.0515	maintenance	US	41.55815	2020-10-01
les Escaldes	1.53414	excellent	AD	42.50729	12 Oct 2017
Neuburg an der Donau	11.18709	average	DE	48.73218	2013/03/11
Skalica	17.22635	accep	SK	48.8449	2016-05-14
Yeysk	38.2739	average	RU	46.7055	14 Oct 2014
Ukmerge	24.75	excellent	LT	55.25	2020/06/11
Schleswig	9.5586	good	DE	54.52156	2022-01-04
Tavda	65.27258	excellent	RU	58.04254	2017-04-16
Media Luna	-77.43532	good	CU	20.14298	2021-09-09
Alfenas	-45.94722	average	BR	-21.42917	13 Feb 2020
Acworth	-84.67837	accep	US	34.06635	2021/10/03
Grand Forks	-97.03285	good	US	47.92526	03/27/2018, 00:00:00
Thomasville	-80.08199	average	US	35.88264	2018-03-09
Shagamu	3.64633	building	NG	6.8485	11/04/2018, 00:00:00
Bhuban	85.83334	excellent	IN	20.88197	2014/10/11
Recife	-34.88111	accep	BR	-8.05389	11 Apr 2021
Hushitai	123.50266	accep	CN	41.94175	2016/03/15
Idenao	9.00472	good	CM	4.2475	2020/10/06
Mianwali	71.52847	accep	PK	32.57756	2018-11-26
Segundo Ensanche	-1.64295	building	ES	42.8139	2022-03-25
Silvan	41.00817	excellent	TR	38.13708	07 Jul 2020
Sinhyeon	128.62667	building	KR	34.8825	2014/08/18
Inverness	-4.22398	average	GB	57.47908	26 Dec 2012
Leyland	-2.68758	accep	GB	53.69786	2016/07/17
Izluchinsk	76.92421	average	RU	60.97944	07/15/2018, 00:00:00
Iwade	135.31667	average	JP	34.25	02 Dec 2012
Yeysk	38.2739	good	RU	46.7055	2018-02-18
Kheda	72.68533	excellent	IN	22.75218	12/20/2016, 00:00:00
Diwek	112.23109	building	ID	-7.57897	24 Sep 2022
Lagarto	-37.65	good	BR	-10.91722	2021/10/08
Redding	-122.39168	average	US	40.58654	2020-05-29
Southsea	-1.08593	excellent	GB	50.79205	12/24/2018, 00:00:00
Danjiangkou	111.50861	building	CN	32.54278	08/25/2021, 00:00:00
Usagara	33	accep	TZ	-2.68333	2018-08-11
San Gabriel	-118.10583	average	US	34.09611	2017/12/21
Le Chesnay	2.12213	good	FR	48.8222	28 Mar 2018
'Ali Sabieh	42.7125	maintenance	DJ	11.15583	02/05/2016, 00:00:00
Rutland	-72.97261	maintenance	US	43.61062	01 Jul 2015
Gilbert	-111.78903	building	US	33.35283	12 Feb 2021
Pointe-Claire	-73.81669	excellent	CA	45.44868	2022-06-30
Nakhon Si Thammarat	99.96667	accep	TH	8.43333	11/02/2016, 00:00:00
Huangshi	115.04814	excellent	CN	30.24706	08 Apr 2017
Loanda	-53.13722	maintenance	BR	-22.92306	2018/11/08
Kireyevsk	37.92792	average	RU	53.93361	20 Jul 2013
Ngemplak	110.71639	maintenance	ID	-7.54972	2013/12/11
Azrou	-5.22126	excellent	MA	33.43443	10/03/2020, 00:00:00
Adliswil	8.52462	accep	CH	47.30997	04/21/2018, 00:00:00
Hueytown	-86.99666	building	US	33.45122	16 Mar 2014
Yao	135.6	average	JP	34.61667	08 Oct 2013
Bhit Shah	68.49143	average	PK	25.80565	26 May 2021
Tharu Shah	68.11759	accep	PK	26.9423	05/10/2018, 00:00:00
Walton-on-the-Naze	1.26738	maintenance	GB	51.84819	2018-06-24
Iturama	-50.19556	good	BR	-19.72806	02/09/2017, 00:00:00
Hendala	79.883	excellent	LK	6.9909	09/15/2013, 00:00:00
Bogoroditsk	38.12408	accep	RU	53.77166	2014/08/11
Barneveld	5.58472	excellent	NL	52.14	03/19/2020, 00:00:00
Valday	33.2525	accep	RU	57.97472	2014/12/01
Newbury	-1.32471	excellent	GB	51.40148	2013-01-26
Montana	23.225	building	BG	43.4125	2012/11/28
Fontenay-aux-Roses	2.29275	excellent	FR	48.79325	2017-05-21
Lagarto	-37.65	maintenance	BR	-10.91722	2020-08-04
Scotch Plains	-74.38987	average	US	40.65538	03/24/2015, 00:00:00
Salvatierra	-100.88023	good	MX	20.21322	2020/07/24
Leland	-78.04471	building	US	34.25628	04/02/2015, 00:00:00
Kasangulu	15.16554	average	CD	-4.5833	22 May 2021
Afragola	14.30935	accep	IT	40.92298	06/08/2022, 00:00:00
Sunnyside	-120.00865	average	US	46.32374	2017-05-03
Keizer	-123.02621	good	US	44.99012	07/19/2017, 00:00:00
Ragusa	14.72443	maintenance	IT	36.92574	2020/08/24
Luena	19.91667	good	AO	-11.78333	02/04/2020, 00:00:00
Ulan Bator	106.88324	average	MN	47.90771	2022-07-18
Lesnoy	59.80222	excellent	RU	58.63667	2018/01/20
Lutz	-82.46148	average	US	28.15112	02/20/2016, 00:00:00
Weimar	11.32903	average	DE	50.9803	04/20/2013, 00:00:00
Gaya	9.0027	maintenance	NG	11.86064	2020-01-17
Argungu	4.52514	good	NG	12.74482	08/29/2013, 00:00:00
Yingkou	122.22833	average	CN	40.66482	2019-06-30
Gernika-Lumo	-2.68333	accep	ES	43.31667	12/12/2015, 00:00:00
Talavera de la Reina	-4.83076	excellent	ES	39.96348	2013/10/30
Schwalmtal	6.26667	maintenance	DE	51.21667	12 Dec 2015
Vestavia Hills	-86.78777	accep	US	33.44872	2015-03-17
Kot Addu	70.96699	good	PK	30.46907	02/02/2020, 00:00:00
Sojat	73.66633	accep	IN	25.92493	02 Nov 2015
Izluchinsk	76.92421	accep	RU	60.97944	30 Mar 2020
Udumalaippettai	77.24779	accep	IN	10.58806	15 Jan 2015
Soledade	-52.51028	excellent	BR	-28.81833	07 Jul 2017
Chillum	-76.99081	excellent	US	38.96372	08/28/2020, 00:00:00
Oldenzaal	6.92917	excellent	NL	52.31333	2014-08-05
Lompoc	-120.45794	accep	US	34.63915	2014/07/19
Chanika	38.01667	good	TZ	-5.41667	2021-11-05
Davangere	75.92694	good	IN	14.46693	05 Feb 2013
Eisen	128.63083	excellent	KR	36.82167	07/08/2014, 00:00:00
Newbury	-1.32471	excellent	GB	51.40148	06/12/2022, 00:00:00
Pamiers	1.6	accep	FR	43.11667	01/28/2015, 00:00:00
Carindale	153.10236	accep	AU	-27.50578	2020/02/02
San Jose	121.06761	maintenance	PH	12.35275	01 Jun 2013
Tucano	-38.79084	excellent	BR	-10.95817	2020/11/15
Aguadilla	-67.15407	maintenance	PR	18.42745	2012-12-25
Robertsonpet	78.27539	average	IN	12.95629	2021/12/30
Xiangtan	112.9	good	CN	27.85	2014-02-07
Dalsingh Sarai	85.83636	excellent	IN	25.66795	2017-12-08
Nakhon Si Thammarat	99.96667	average	TH	8.43333	01/01/2017, 00:00:00
Marau	-52.2	excellent	BR	-28.44917	2014/05/24
Kanganpur	74.12286	average	PK	30.76468	02 Jun 2013
Covington	-84.50855	excellent	US	39.08367	2013/07/05
Meerut	77.70636	maintenance	IN	28.98002	2018/07/11
Iturama	-50.19556	excellent	BR	-19.72806	11/10/2017, 00:00:00
Vahdat	69.01354	excellent	TJ	38.55632	2019/10/20
Wangon	109.05389	excellent	ID	-7.51611	2020-10-28
Debre Tabor	38.01667	good	ET	11.85	03/10/2022, 00:00:00
Guaraciaba do Norte	-40.7475	average	BR	-4.16694	11/09/2015, 00:00:00
Gero	137.23333	excellent	JP	35.8	06 Nov 2018
Kediri	112.01667	excellent	ID	-7.81667	2013-02-10
Kati	-8.07257	excellent	ML	12.74409	2017/04/06
Bogovinje	20.91361	average	MK	41.92361	2022-02-04
Mardin	40.74357	average	TR	37.31309	05 Mar 2019
Tupelo	-88.70464	accep	US	34.25807	22 Feb 2017
Barras	-42.29444	maintenance	BR	-4.24444	07/30/2015, 00:00:00
Beidao	105.89333	good	CN	34.56861	2017/08/04
