QoS	revision	code	station	latitude	longitude
good	2016/10/06	MA	Temara	33.92866	-6.90656
average	15 Feb 2013	CN	Tianfu	37.19723	122.05228
excellent	10 Dec 2017	CN	Changshu City	31.64615	120.74221
accep	2019-02-21	NG	Argungu	12.74482	4.52514
good	11/07/2020, 00:00:00	SA	Al Jubayl	27.0174	49.62251
average	2016-11-19	RU	Shushary	59.80917	30.38167
maintenance	07 Sep 2018	GB	Leyland	53.69786	-2.68758
excellent	20 Jul 2016	RO	Sector 6	44.43579	26.01649
excellent	12/02/2014, 00:00:00	IN	Hungund	16.06213	76.0586
maintenance	2016-02-19	SE	Hudiksvall	61.72744	17.10558
average	29 Aug 2022	PL	Strzelce Opolskie	50.5107	18.30056
excellent	04/23/2021, 00:00:00	BY	Vitebsk	55.1904	30.2049
good	2022-05-21	NG	Argungu	12.74482	4.52514
excellent	2020-12-24	CA	Dorval	45.4473	-73.75335
excellent	2017-07-10	ES	Leioa	43.32686	-2.98884
average	2015/06/09	AR	Barracas	-34.64966	-58.38341
average	09/15/2018, 00:00:00	IN	Patti	31.28092	74.85849
good	2021-12-24	IN	Srinagar	34.08565	74.80555
building	03 May 2021	TN	El Alia	37.16911	10.03478
average	16 Jun 2018	ES	San Juan de Aznalfarache	37.35813	-6.03731
average	06 Nov 2013	IR	Nowshahr	36.64852	51.49621
maintenance	06 Dec 2017	AZ	Qazax	41.09246	45.36561
average	07 Apr 2018	ES	Talavera de la Reina	39.96348	-4.83076
good	03/19/2022, 00:00:00	DE	Kirchlengern	52.2	8.63333
excellent	09/29/2019, 00:00:00	US	West Chester	39.96097	-75.60804
accep	13 Jul 2016	PL	Ustka	54.58048	16.86194
excellent	29 Nov 2017	ES	Baza	37.49073	-2.77259
good	2019-08-29	GB	Chapletown	53.46506	-1.47217
average	06 Oct 2014	BR	Barras	-4.24444	-42.29444
accep	2018/06/14	RO	Sector 6	44.43579	26.01649
excellent	2017/12/22	PK	Sangla Hill	31.71667	73.38333
average	18 Jan 2013	US	Lino Lakes	45.16024	-93.08883
maintenance	07/09/2020, 00:00:00	GB	Bushey	51.64316	-0.36053
excellent	07/06/2021, 00:00:00	IN	Pilkhua	28.71271	77.656
excellent	01/30/2018, 00:00:00	CN	Shuangcheng	45.35	126.28333
building	06/19/2021, 00:00:00	DZ	Messaad	34.15429	3.50309
excellent	2018-02-11	FR	Les Olives	43.32393	5.4584
good	03 Jan 2020	BG	Smolyan	41.57439	24.71204
maintenance	2020/09/05	PH	San Jose	12.35275	121.06761
average	01/14/2021, 00:00:00	NL	Hoogezand	53.16167	6.76111
average	05/01/2020, 00:00:00	PH	Masbate	12.37169	123.62494
good	2014-07-03	DE	Neuburg an der Donau	48.73218	11.18709
average	20 Jun 2014	RU	Kireyevsk	53.93361	37.92792
excellent	2015/03/31	DE	Ehingen	48.28259	9.72749
average	2014-03-07	CN	Sishui	35.64889	117.27583
excellent	2022-07-09	US	Keizer	44.99012	-123.02621
accep	2019/03/18	JP	Kamakura	35.30889	139.55028
average	2017-09-19	FR	Bron	45.73333	4.91667
average	2021-04-21	GB	High Wycombe	51.62907	-0.74934
maintenance	01 Aug 2021	IN	Robertsonpet	12.95629	78.27539
excellent	2017/03/20	TZ	Same	-4.06667	37.73333
accep	2014/11/08	RU	Solntsevo	55.63711	37.38115
good	08 Jul 2019	MY	Gua Musang	4.88441	101.96857
accep	19 Jan 2014	TH	Kantharalak	14.64056	104.64992
good	2018-03-10	US	Far Rockaway	40.60538	-73.75513
excellent	2013-01-06	BO	Tupiza	-21.44345	-65.71875
average	2013/09/07	IT	Montecchio Maggiore-Alte Ceccato	45.50369	11.412
average	2018/03/05	CA	Sherwood Park	53.51684	-113.3187
accep	2013-01-24	CN	Longgang	37.65181	120.33063
building	2015/01/23	US	Mechanicsville	37.60876	-77.37331
building	12/06/2017, 00:00:00	BR	Pato Branco	-26.22861	-52.67056
accep	14 Mar 2017	TH	Phanat Nikhom	13.44581	101.18445
excellent	2017-07-12	LT	Alytus	54.39635	24.04142
accep	2016/04/01	AU	Carindale	-27.50578	153.10236
good	2015-12-14	FR	Bar-le-Duc	48.77275	5.16108
building	2016/07/08	NG	Yenagoa	4.92675	6.26764
maintenance	2019-01-23	DE	Stuttgart	48.78232	9.17702
good	05/16/2015, 00:00:00	FR	Fontenay-aux-Roses	48.79325	2.29275
building	2015/04/20	UA	Nova Kakhovka	46.75451	33.34864
building	2021-05-30	GB	Blackpool	53.81667	-3.05
good	02/19/2019, 00:00:00	CL	La Ligua	-32.45242	-71.23106
average	2019/06/14	CU	Corralillo	22.98212	-80.58556
good	2022/04/07	BR	Resplendor	-19.32556	-41.25528
excellent	2018/01/28	US	Murray	36.61033	-88.31476
excellent	2021/10/19	CI	Lakota	5.84752	-5.682
accep	09/01/2014, 00:00:00	IT	Castelfranco Emilia	44.59445	11.04979
accep	2021-05-02	FR	Arles	43.67681	4.63031
acceptable	05 Mar 2019	MM	Myawadi	16.68911	98.50893
building	09/22/2014, 00:00:00	BR	Buri	-23.7975	-48.59278
average	21 Jan 2016	TJ	Vahdat	38.55632	69.01354
good	2015-02-13	AU	Carindale	-27.50578	153.10236
good	11/16/2015, 00:00:00	IN	Rafiganj	24.81757	84.63445
excellent	28 Apr 2014	AR	Esperanza	-31.4488	-60.93173
average	02 Dec 2017	CN	Foshan	23.02677	113.13148
average	2020-06-10	BR	Barra dos Coqueiros	-10.90889	-37.03861
accep	12/17/2021, 00:00:00	GB	East Dereham	52.68333	0.93333
accep	02 Aug 2021	US	Greenfield	39.78504	-85.76942
excellent	01/12/2015, 00:00:00	GB	Inverness	57.47908	-4.22398
accep	27 Jul 2014	ID	Kediri	-7.81667	112.01667
building	09 Jun 2020	UA	Svatove	49.41029	38.15035
maintenance	10/08/2020, 00:00:00	IN	Manjeri	11.12018	76.11996
excellent	12/18/2013, 00:00:00	TH	Damnoen Saduak	13.51825	99.95469
accep	11 Jan 2021	RU	Yashkino	55.8736	85.4265
good	2019/07/14	CO	El Copey	10.15031	-73.9614
accep	2018-12-22	PK	Alipur	29.38242	70.91106
maintenance	2017/10/19	BE	Houthalen	51.03427	5.37429
average	2015-02-13	DZ	El Achir	36.06386	4.62744
accep	11/12/2015, 00:00:00	SK	Skalica	48.8449	17.22635
maintenance	11 Nov 2018	US	Taunton	41.9001	-71.08977
building	07 Apr 2021	GB	Leyland	53.69786	-2.68758
building	18 May 2019	IN	Diamond Harbour	22.19303	88.18466
accep	2019-09-14	BR	Loanda	-22.92306	-53.13722
average	2019-11-27	IN	Barpeta	26.32293	91.00632
average	11 Dec 2020	US	Grand Forks	47.92526	-97.03285
excellent	02/19/2018, 00:00:00	GB	Cowes	50.76306	-1.29772
good	2015-08-15	ES	Gernika-Lumo	43.31667	-2.68333
maintenance	2013/05/25	TH	Bang Ban	14.37395	100.48528
accep	21 Jun 2017	HK	Tsuen Wan	22.37066	114.10479
accep	05/14/2020, 00:00:00	US	Brunswick	43.91452	-69.96533
accep	12/15/2013, 00:00:00	TZ	Mwandiga	-4.83	29.65806
average	2018-03-31	KR	Goyang-si	37.65639	126.835
average	2019-08-04	GB	Penzance	50.11861	-5.53715
average	04 Jan 2022	US	Rosemount	44.73941	-93.12577
building	2013-06-01	CU	Jaruco	23.04419	-82.00919
accep	2018/05/06	UA	Artsyz	45.99194	29.41824
excellent	2020-05-08	JP	Yao	34.61667	135.6
good	2018/03/24	US	Belle Glade	26.68451	-80.66756
excellent	12/13/2014, 00:00:00	EG	Juhaynah	26.67319	31.4976
average	2012/10/04	IT	Agrigento	37.31065	13.57661
good	2015/12/20	CD	Beni	0.49113	29.47306
good	2020-02-14	BR	Soure	-0.71667	-48.52333
good	2014/01/08	LK	Dehiwala-Mount Lavinia	6.84019	79.87116
maintenance	30 Apr 2022	JP	Toyokawa	34.81667	137.4
accep	2022/07/03	AO	Luena	-11.78333	19.91667
good	2021/07/22	KR	Sinhyeon	34.8825	128.62667
maintenance	2015-09-13	IN	Periyakulam	10.12268	77.54372
excellent	2018/04/13	BR	Buri	-23.7975	-48.59278
maintenance	08 Oct 2016	IN	Kheda	22.75218	72.68533
accep	10 Sep 2014	NA	Okahandja	-21.98333	16.91667
good	2016-05-10	US	Acworth	34.06635	-84.67837
accep	2014-01-30	VE	Tinaquillo	9.91861	-68.30472
good	02/10/2013, 00:00:00	UA	Kherson	46.65581	32.6178
building	2016/01/11	CN	Ulanhot	46.08333	122.08333
excellent	23 Aug 2018	US	Norwalk	41.24255	-82.61573
excellent	2019-11-02	IN	Dombivli	19.21667	73.08333
maintenance	2020-07-29	US	Punta Gorda Isles	26.91756	-82.07842
good	2016-02-14	IN	Jashpurnagar	22.88783	84.13864
good	09/21/2015, 00:00:00	US	Murray	36.61033	-88.31476
excellent	03 Jul 2019	PL	Brzeg	50.86079	17.4674
average	22 Dec 2015	PK	Sillanwali	31.82539	72.54064
accep	2015-11-16	FR	Marly-le-Roi	48.86667	2.08333
excellent	03/21/2016, 00:00:00	FI	Espoo	60.2052	24.6522
good	10/14/2012, 00:00:00	IN	Talipparamba	12.04161	75.35927
good	08/07/2019, 00:00:00	MY	Gua Musang	4.88441	101.96857
excellent	11/01/2015, 00:00:00	GT	Chichicastenango	14.93333	-91.11667
good	09/28/2021, 00:00:00	US	New City	41.80753	-87.65644
excellent	17 Oct 2021	ES	Gernika-Lumo	43.31667	-2.68333
excellent	2016-10-02	BE	Rixensart	50.71229	4.52529
building	07/25/2014, 00:00:00	IT	Lanciano	42.22718	14.39024
excellent	2016-07-04	PT	Custoias	41.1053	-7.32097
accep	04/07/2018, 00:00:00	US	Kensington	40.64621	-73.97069
excellent	2020-04-23	IT	Francavilla Fontana	40.53123	17.58522
good	2015-07-04	US	Bothell West	47.80527	-122.24064
