station	code	QoS	longitude	latitude	revision
el Camp de l'Arpa del Clot	ES	accep	2.18247	41.41204	17 Mar 2022
Esperanza	AR	good	-60.93173	-31.4488	2017-04-19
Keizer	US	average	-123.02621	44.99012	07/29/2020, 00:00:00
Brentwood Estates	US	building	-86.77917	36.02506	16 Dec 2018
Kovylkino	RU	excellent	43.91385	54.03876	2015-10-27
Laguna Niguel	US	excellent	-117.70755	33.52253	08/01/2020, 00:00:00
Lesozavodsk	RU	good	133.42825	45.47885	02/10/2016, 00:00:00
Puerto Colombia	CO	accep	-74.95472	10.98778	10/14/2013, 00:00:00
Iquitos	PE	accep	-73.25383	-3.74912	2021/03/04
Wacheng	CN	excellent	114.51667	33.78333	2020/05/30
East Jerusalem	PS	excellent	35.23388	31.78336	2015-03-17
Thomasville	US	building	-80.08199	35.88264	11 Jul 2016
Toyokawa	JP	average	137.4	34.81667	23 Oct 2020
Danjiangkou	CN	accep	111.50861	32.54278	12/21/2012, 00:00:00
Randudongkal	ID	excellent	109.3243	-7.0981	03/04/2020, 00:00:00
Skalica	SK	excellent	17.22635	48.8449	08 Apr 2016
Karlovy Vary	CZ	accep	12.87117	50.23271	2022/02/20
Sillanwali	PK	average	72.54064	31.82539	2020-04-02
Bushey	GB	excellent	-0.36053	51.64316	01/05/2018, 00:00:00
Nampa	US	accep	-116.56346	43.54072	2017-06-04
Sharypovo	RU	building	89.20083	55.54028	08/21/2015, 00:00:00
Bothell West	US	average	-122.24064	47.80527	01/18/2020, 00:00:00
Skalica	SK	building	17.22635	48.8449	05/04/2019, 00:00:00
La Garenne-Colombes	FR	average	2.2469	48.90472	28 Oct 2013
Pontevedra	AR	average	-58.70072	-34.74785	2021-10-26
Bavly	RU	average	53.26023	54.39304	12/24/2017, 00:00:00
Idenao	CM	accep	9.00472	4.2475	2020-10-01
Rwamagana	RW	good	30.4347	-1.9487	2022/06/26
San Carlos	CO	excellent	-75.69947	8.79577	25 Apr 2020
Ataq	YE	good	46.83187	14.53767	2013/04/09
Mudanya	TR	average	28.88222	40.37528	2017/10/30
Jumilla	ES	maintenance	-1.325	38.47917	07/16/2022, 00:00:00
Oberhausen	DE	excellent	6.8625	51.47805	08/10/2020, 00:00:00
Zacoalco de Torres	MX	excellent	-103.5687	20.22816	09/05/2019, 00:00:00
Naga	PH	good	123.758	10.20898	05 Sep 2016
Idenao	CM	average	9.00472	4.2475	2013/03/31
Copperas Cove	US	building	-97.90308	31.12406	2016/08/08
Camarillo	US	building	-119.0376	34.21639	2014-02-18
Tavda	RU	accep	65.27258	58.04254	03/12/2016, 00:00:00
Yao	JP	accep	135.6	34.61667	2020/03/29
Madrid	CO	building	-74.26419	4.73245	2013/05/05
Malakhovka	RU	excellent	38.02486	55.64776	12/21/2013, 00:00:00
Naushahra Virkan	PK	accep	73.97117	31.96258	2017-03-16
Voznesensk	UA	good	31.33078	47.56494	2022/08/02
Arzamas	RU	accep	43.83992	55.39485	2016-09-06
Strood	GB	building	0.47713	51.39323	2015-03-30
Polohy	UA	excellent	36.25361	47.48444	2022-07-12
Woodbridge	US	maintenance	-74.28459	40.5576	2020/07/24
Muritiba	BR	good	-39.25	-12.91667	08/30/2021, 00:00:00
Madhipura	IN	maintenance	86.79271	25.92127	2014-07-10
Greenpoint	US	good	-73.95097	40.72371	08/29/2016, 00:00:00
Mira Mesa	US	excellent	-117.14392	32.9156	2018-01-13
Brunswick	US	accep	-69.96533	43.91452	2018/02/17
Granger	US	good	-86.11084	41.75338	2013/01/23
Olupona	NG	good	4.18333	7.6	01/23/2020, 00:00:00
Abilene	US	accep	-99.73314	32.44874	2015/07/25
El Copey	CO	excellent	-73.9614	10.15031	2021-07-11
Teziutlan	MX	average	-97.35992	19.8173	2021/12/17
Penzance	GB	maintenance	-5.53715	50.11861	2017/07/25
Leioa	ES	excellent	-2.98884	43.32686	21 Sep 2018
Scottsdale	US	average	-111.89903	33.50921	2019/12/10
Bothell	US	accep	-122.2054	47.76232	2015/12/04
Belper	GB	good	-1.48119	53.0233	10/22/2020, 00:00:00
Santa Maria	US	excellent	-120.43572	34.95303	06/16/2016, 00:00:00
Carlos Barbosa	BR	good	-51.50361	-29.2975	28 Aug 2021
Copperas Cove	US	good	-97.90308	31.12406	2013-12-12
Jashpurnagar	IN	excellent	84.13864	22.88783	02/26/2015, 00:00:00
Hushitai	CN	accep	123.50266	41.94175	2015-03-19
Heyuan	CN	excellent	114.68333	23.73333	2017-08-17
Sirsi	IN	excellent	74.83554	14.62072	2021/11/03
Darreh Shahr	IR	average	47.3799	33.14447	2021-05-09
Balikpapan	ID	maintenance	116.82887	-1.26753	2013-04-10
Bretten	DE	good	8.70745	49.03685	2016-10-29
Beni	CD	excellent	29.47306	0.49113	12/27/2014, 00:00:00
Harrisburg	US	accep	-76.88442	40.2737	2017-11-18
Bogovinje	MK	maintenance	20.91361	41.92361	11 Jan 2014
Karben	DE	accep	8.77155	50.23019	05/27/2022, 00:00:00
Tadmur	SY	average	38.28402	34.5624	15 Oct 2012
Bhayandar	IN	accep	72.85107	19.30157	2018-07-09
Palafrugell	ES	good	3.1631	41.91738	01/15/2022, 00:00:00
Nanpiao	CN	good	120.74792	41.09822	2021/05/25
Rutherglen	GB	average	-4.21376	55.82885	2016/12/18
Mesagne	IT	average	17.80774	40.55851	21 Oct 2017
Beaumont	US	maintenance	-116.97725	33.92946	2017-12-26
Rhosllanerchrugog	GB	average	-3.05814	53.00974	2015/11/08
Bryn Mawr-Skyway	US	accep	-122.24092	47.4943	01/31/2016, 00:00:00
Teghra	IN	average	85.94001	25.49043	05/21/2022, 00:00:00
Santa Gertrudes	BR	excellent	-47.53028	-22.45667	27 Jun 2014
Elbeuf	FR	excellent	1.00288	49.28669	02/21/2019, 00:00:00
Greenville	US	good	-91.06177	33.41012	06/21/2019, 00:00:00
Silvan	TR	maintenance	41.00817	38.13708	2015-07-13
Losser	NL	good	7.00417	52.26083	2019-08-15
Segundo Ensanche	ES	accep	-1.64295	42.8139	20 Sep 2019
Elamanchili	IN	excellent	82.85749	17.54907	05/19/2015, 00:00:00
Ovalle	CL	average	-71.19901	-30.60106	06/20/2022, 00:00:00
Soroca	MD	excellent	28.28489	48.15659	24 Jun 2021
San Juan	US	accep	-98.15529	26.18924	08/09/2020, 00:00:00
Porto Velho	BR	maintenance	-63.90389	-8.76194	2022/03/23
Segundo Ensanche	ES	excellent	-1.64295	42.8139	2021-09-06
Cuenca	EC	maintenance	-79.00453	-2.90055	18 Aug 2016
Cowes	GB	average	-1.29772	50.76306	04 Jan 2017
Kamina	CD	maintenance	24.99798	-8.73508	10 Apr 2015
Jashpurnagar	IN	building	84.13864	22.88783	2012-12-12
Lexington	US	maintenance	-81.23621	33.98154	09/04/2016, 00:00:00
Surbiton	GB	building	-0.29825	51.39148	12/22/2019, 00:00:00
Ganei Tikva	IL	good	34.8732	32.05971	2022-08-26
Schwalmtal	DE	good	6.26667	51.21667	2014/01/30
Friedberg	DE	good	10.98461	48.35693	2016-08-24
Oulmes	MA	excellent	-6.00137	33.42585	2019/10/21
Oberhausen	DE	accep	6.8625	51.47805	2017-03-14
Marau	BR	accep	-52.2	-28.44917	2014/11/09
Castelfranco Emilia	IT	excellent	11.04979	44.59445	2016/03/04
Mount Hagen	PG	good	144.23058	-5.85746	2013-04-28
Recife	BR	good	-34.88111	-8.05389	23 Nov 2015
Sicklerville	US	accep	-74.96933	39.71734	11/18/2020, 00:00:00
Boo	SE	accep	18.28333	59.33333	27 Oct 2013
Davis	US	good	-121.74052	38.54491	11/05/2012, 00:00:00
Hlohovec	SK	average	17.8031	48.43174	12 Apr 2014
Qadirpur Ran	PK	good	71.67164	30.29184	07/11/2016, 00:00:00
Annaka	JP	good	138.89585	36.33011	2018-07-03
Frederiksberg	DK	accep	12.53463	55.67938	2013-07-26
Bothell West	US	accep	-122.24064	47.80527	10/31/2012, 00:00:00
Encinitas	US	good	-117.29198	33.03699	02/18/2020, 00:00:00
Barmbek-Nord	DE	good	10.03988	53.6052	2021/09/12
Nakhon Pathom	TH	excellent	100.04427	13.8196	08/01/2021, 00:00:00
Wesseling	DE	maintenance	6.9747	50.82709	07 Oct 2015
Petrozavodsk	RU	maintenance	34.34691	61.78491	09/12/2020, 00:00:00
Sherwood Park	CA	accep	-113.3187	53.51684	2013-06-18
Paoy Paet	KH	excellent	102.56365	13.65805	26 Jan 2020
Daud Khel	PK	good	71.57118	32.87533	2022/04/30
Labuhan Deli	ID	excellent	98.6738	3.7278	2014/08/08
Esmeraldas	BR	good	-44.31389	-19.7625	2020/02/08
Hueytown	US	accep	-86.99666	33.45122	09/06/2020, 00:00:00
Bretten	DE	good	8.70745	49.03685	05/28/2021, 00:00:00
Karlovy Vary	CZ	good	12.87117	50.23271	09/28/2018, 00:00:00
Stupino	RU	good	38.07083	54.90083	05/29/2019, 00:00:00
Naushahra Virkan	PK	average	73.97117	31.96258	05 Jul 2022
Artsyz	UA	good	29.41824	45.99194	2013/02/09
Falconara Marittima	IT	maintenance	13.39954	43.62558	20 Jan 2022
Villabate	IT	maintenance	13.44275	38.07789	2017-01-30
Deoli	IN	accep	75.37991	25.75728	07/09/2016, 00:00:00
Jerada	MA	excellent	-2.16	34.31	28 Jul 2022
Timaru	NZ	excellent	171.25364	-44.39672	2014-06-16
Nonsan	KR	accep	127.08472	36.20389	2013/12/02
Karbala	IQ	excellent	44.02488	32.61603	2018-12-23
Opportunity	US	acceptable	-117.23991	47.64995	2017-10-24
Hengshui	CN	maintenance	115.70111	37.73222	2018-04-15
Harstad	NO	excellent	16.54165	68.79833	2019/10/18
Wheelers Hill	AU	building	145.18333	-37.9	2021/02/06
Utica	US	excellent	-75.23266	43.1009	2016-03-11
Aguadilla	PR	accep	-67.15407	18.42745	2018-12-12
Gorgonzola	IT	acceptable	9.40531	45.53069	08/04/2016, 00:00:00
Peabody	US	average	-70.92866	42.52787	2013/03/11
Ina	JP	maintenance	137.95378	35.82756	2015/01/10
Ar Ruseris	SD	accep	34.3869	11.8659	2018/02/23
Narva	EE	accep	28.19028	59.37722	2016-10-08
Losheim	DE	accep	6.74549	49.5099	2015-09-07
Parola	IN	excellent	75.11937	20.88098	2017/07/05
Quimper	FR	accep	-4.1	48	12/11/2017, 00:00:00
Argungu	NG	accep	4.52514	12.74482	09/26/2019, 00:00:00
Antanifotsy	MG	accep	47.31667	-19.65	06/15/2016, 00:00:00
Baulkham Hills	AU	building	150.99292	-33.75881	2015-07-18
Dongfeng	CN	good	125.51176	42.64031	08 Jan 2017
Ambatondrazaka	MG	average	48.41667	-17.83333	05/22/2015, 00:00:00
Longgang	CN	building	120.33063	37.65181	2021/10/01
Gariadhar	IN	excellent	71.57737	21.53889	03 Mar 2014
Zhuangyuan	CN	good	120.82747	37.30553	2017-05-07
Kashipur	IN	excellent	78.95693	29.21399	28 Mar 2017
Dongdu	CN	good	117.7	35.85	2018/04/23
Palm Desert	US	good	-116.37697	33.72255	2021-04-06
Maspalomas	ES	accep	-15.58602	27.76056	2013/04/27
Landshut	DE	excellent	12.16179	48.52961	15 Nov 2019
Crystal Lake	US	maintenance	-88.3162	42.24113	2019/06/30
Teluk Intan	MY	accep	101.02083	4.02219	09/06/2015, 00:00:00
Srinagar	IN	good	74.80555	34.08565	02/23/2016, 00:00:00
Baulkham Hills	AU	accep	150.99292	-33.75881	2014-02-07
Rangia	IN	good	91.61356	26.44931	13 Feb 2021
Barras	BR	accep	-42.29444	-4.24444	2021-07-03
New City	US	good	-87.65644	41.80753	2015-01-14
El Alia	TN	excellent	10.03478	37.16911	2014/12/15
Likhobory	RU	average	37.56667	55.85	2019/09/12
Lanciano	IT	average	14.39024	42.22718	2015-05-20
Barmbek-Nord	DE	excellent	10.03988	53.6052	16 May 2013
Carnot	CF	excellent	15.87735	4.94273	2013-07-24
Canavieiras	BR	average	-38.94722	-15.675	03/13/2022, 00:00:00
Gaziantep	TR	accep	37.3825	37.05944	12/09/2013, 00:00:00
San Carlos	CO	accep	-75.69947	8.79577	25 Dec 2012
Boli	CN	average	130.57211	45.75279	28 Mar 2018
Shimotoda	JP	accep	139.6853	35.815	2018-09-22
Media Luna	CU	maintenance	-77.43532	20.14298	2020-09-11
Port-Vila	VU	building	168.31366	-17.73648	2016/01/23
Isfahan	IR	average	51.67462	32.65246	06 May 2020
Talavera de la Reina	ES	maintenance	-4.83076	39.96348	2018-09-09
San Giuliano Milanese	IT	excellent	9.29109	45.39402	2017/12/03
Hoogezand	NL	average	6.76111	53.16167	04 Nov 2014
Bhuban	IN	accep	85.83334	20.88197	2022-06-26
Salima	MW	average	34.4587	-13.7804	03/28/2021, 00:00:00
Salima	MW	average	34.4587	-13.7804	2015/11/15
Keizer	US	average	-123.02621	44.99012	08 Mar 2014
Greenfield	US	maintenance	-85.76942	39.78504	23 Feb 2022
Negotin	RS	average	22.53083	44.22639	2015-05-29
Nampa	US	building	-116.56346	43.54072	09/11/2016, 00:00:00
Veracruz	PA	excellent	-79.62603	8.88988	2019/05/08
Kirchlengern	DE	excellent	8.63333	52.2	2015/07/17
Freetown	SL	average	-13.2356	8.48714	2013/07/20
Salvatierra	MX	excellent	-100.88023	20.21322	2013/04/16
San Jose	PH	average	121.06761	12.35275	2021/03/07
Colomiers	FR	good	1.33467	43.61058	06/28/2014, 00:00:00
Longgang	CN	maitennce	120.33063	37.65181	12 Nov 2014
Antanifotsy	MG	good	47.31667	-19.65	2013/11/20
Aurora	US	excellent	-104.83192	39.72943	2014-12-31
Bhayandar	IN	accep	72.85107	19.30157	10/17/2021, 00:00:00
Boyeros	CU	excellent	-82.4017	23.0072	2020/09/05
Jashpurnagar	IN	average	84.13864	22.88783	2021/09/29
Collinwood	US	accep	-81.56929	41.55838	03/21/2018, 00:00:00
Ambatondrazaka	MG	average	48.41667	-17.83333	10/21/2012, 00:00:00
Norco	US	accep	-117.54866	33.93113	2013/08/09
Wesseling	DE	excellent	6.9747	50.82709	07/28/2021, 00:00:00
Barnet	GB	excellent	-0.2	51.65	01/25/2018, 00:00:00
Sicklerville	US	accep	-74.96933	39.71734	2021/01/29
Oberhausen	DE	average	6.8625	51.47805	03/12/2016, 00:00:00
Santa Cruz de Barahona	DO	excellent	-71.10077	18.20854	19 Apr 2019
Rutherglen	GB	average	-4.21376	55.82885	04/12/2015, 00:00:00
Bonoua	CI	excellent	-3.59625	5.27247	2020-01-30
Cardedeu	ES	average	2.35739	41.63976	05/19/2022, 00:00:00
Santa Maria	US	good	-120.43572	34.95303	02/12/2013, 00:00:00
Mvomero	TZ	excellent	38.66667	-6.25	05/24/2019, 00:00:00
Hutto	US	building	-97.54667	30.5427	07 Sep 2018
Periyakulam	IN	excellent	77.54372	10.12268	10/30/2020, 00:00:00
Shinshiro	JP	good	137.5	34.9	2019-09-27
Westbury	GB	good	-2.1875	51.26	04/05/2017, 00:00:00
Mokopane	ZA	average	29.00974	-24.19436	01/28/2014, 00:00:00
Santa Gertrudes	BR	excellent	-47.53028	-22.45667	05/03/2017, 00:00:00
Messaad	DZ	excellent	3.50309	34.15429	19 Jan 2020
Kachkanar	RU	average	59.4839	58.7002	04/15/2015, 00:00:00
Guli	CN	average	120.03308	28.88162	05/16/2013, 00:00:00
Milledgeville	US	average	-83.2321	33.08014	2012-11-06
Bridgeport	US	good	-73.20483	41.16704	2017/01/29
Ksar Chellala	DZ	excellent	2.31889	35.21222	2017/07/03
Covington	US	accep	-84.50855	39.08367	07/19/2019, 00:00:00
Indio	US	average	-116.21677	33.7207	2013-12-30
Kushtia	BD	building	89.11943	23.9028	2019/08/10
Palm Desert	US	average	-116.37697	33.72255	2018-05-13
Kashipur	IN	good	78.95693	29.21399	19 Dec 2020
Gandia	ES	building	-0.18333	38.96667	2018-01-11
Sassari	IT	average	8.55552	40.72586	28 Jul 2022
Darreh Shahr	IR	good	47.3799	33.14447	2014-09-04
New Yekepa	LR	average	-8.53778	7.57944	11/30/2021, 00:00:00
Saint-Denis	RE	good	55.4504	-20.88231	05 Jan 2019
